Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,279.66,3053100,10942.251,9.0688,12.8641,12.8641,16.5779,17.2675,-23.6985,2.6338,8.7326,7.1863,30.8376,0.5,1.2887,91.2674,25687.5683,879.6239999999997,-0.7574,23.1614,8.5019,2.5696,3.9694,552.3191,523.5219999999998,177.764,1.6263,0.0185,0.7864,5.0062,38.9157
2/28/2007,256.51,2885400,10942.251,8.3181,12.8641,12.8641,16.5779,17.2675,-23.6985,2.6338,8.7326,7.1863,30.8376,0.5,1.2887,91.2674,23511.8386,879.6239999999997,-0.7574,21.2441,8.5019,2.8016,4.3277,552.3191,523.5219999999998,177.764,1.6263,0.0201,0.7864,4.5918,35.6943
3/30/2007,240.13,1977520,22568.3626,4.589,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,20901.3336,1271.758,-1.3752,17.0543,6.0846,4.3488,5.4853,873.6895,943.21,187.968,1.7876,0.0073,1.0256,4.1468,22.9948
4/30/2007,257.35,941970,22568.3626,4.9181,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,22519.7381,1271.758,-1.3752,18.2773,6.0846,4.0578,5.1182,873.6895,943.21,187.968,1.7876,0.0068,1.0256,4.4442,24.6438
5/31/2007,306.29,8751835,22568.3626,5.8534,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,27119.3153,1271.758,-1.3752,21.7531,6.0846,3.4094,4.3004,873.6895,943.21,187.968,1.7876,0.0057,1.0256,5.2893,29.3303
6/29/2007,351.77,18225885,22568.3626,6.7225,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,31393.7077,1271.758,-1.3752,24.9831,6.0846,2.9686,3.7444,873.6895,943.21,187.968,1.7876,0.005,1.0256,6.0747,33.6854
7/31/2007,306.94,8867780,22568.3626,5.8658,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,27180.4049,1271.758,-1.3752,21.7992,6.0846,3.4022,4.2913,873.6895,943.21,187.968,1.7876,0.0057,1.0256,5.3005,29.3925
8/31/2007,284.63,5064545,22568.3626,5.4395,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,25083.6217,1271.758,-1.3752,20.2147,6.0846,3.6689,4.6277,873.6895,943.21,187.968,1.7876,0.0062,1.0256,4.9153,27.2561
9/28/2007,268.37,2961905,22568.3626,5.1287,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,23555.7106,1271.758,-1.3752,19.0599,6.0846,3.8912,4.9081,873.6895,943.21,187.968,1.7876,0.0065,1.0256,4.6345,25.699
10/31/2007,295.8,10683215,22568.3626,5.6529,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,26133.7193,1271.758,-1.3752,21.008000000000006,6.0846,3.5304,4.4529,873.6895,943.21,187.968,1.7876,0.0059,1.0256,5.1081,28.3257
11/30/2007,309.57,3843205,22568.3626,5.9161,18.0336,18.0336,16.5595,3.3027,-34.9798,2.9475,7.1103,10.4428,52.3269,0.7,0.9183,92.8897,27427.8928,1271.758,-1.3752,21.986,6.0846,3.3733,4.2549,873.6895,943.21,187.968,1.7876,0.0057,1.0256,5.3459,29.6443
