Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,10.01,4883400,855.8913,0.8122,5.3749,5.3749,5.395,90.615,84.4222,1.7869,14.2173,1.406,12.3285,0.2,1.0037,85.7827,1798.6693,354.32800000000015,2.5864,2.4816,19.9593,14.0408,30.117,230.5524,123.462,117.961,0.8055,1.1187,0.077,0.3828,7.1195
2/28/2007,10.5,21917873,855.8913,0.8517,5.3749,5.3749,5.395,90.615,84.4222,1.7869,14.2173,1.406,12.3285,0.2,1.0037,85.7827,1841.4054,354.32800000000015,2.5864,2.6022,19.9593,13.39,28.7211,230.5524,123.462,117.961,0.8055,1.0668,0.077,0.4014,7.468
3/30/2007,9.56,3153375,839.4994,0.7276,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,1930.2994,404.135,2.6951,2.0773,20.9364,17.4642,37.7234,240.3886,146.612,117.961,0.7502,1.3862,0.0737,0.3254,5.7259
4/30/2007,10.54,1996965,839.4994,0.8022,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2016.3569,404.135,2.6951,2.2902,20.9364,15.8404,34.2159,240.3886,146.612,117.961,0.7502,1.2573,0.0737,0.3587,6.3129
5/31/2007,11.24,6646973,839.4994,0.8554,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2077.8265,404.135,2.6951,2.4423,20.9364,14.8539,32.0851,240.3886,146.612,117.961,0.7502,1.179,0.0737,0.3826,6.7322
6/29/2007,14.99,31595828,839.4994,1.1411,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2407.4208,404.135,2.6951,3.2579,20.9364,11.1355,24.0531,240.3886,146.612,117.961,0.7502,0.8839,0.0737,0.5103,8.9782
7/31/2007,13.64,8013015,839.4994,1.0381,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2288.5795,404.135,2.6951,2.9638,20.9364,12.2403,26.4396,240.3886,146.612,117.961,0.7502,0.9716,0.0737,0.4642,8.1696
8/31/2007,12.93,2403375,839.4994,0.9843,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2226.5245,404.135,2.6951,2.8103,20.9364,12.9091,27.8842,240.3886,146.612,117.961,0.7502,1.0246,0.0737,0.4402,7.7444
9/28/2007,13.49,4647578,839.4994,1.0264,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2275.1653,404.135,2.6951,2.9305,20.9364,12.3795,26.7402,240.3886,146.612,117.961,0.7502,0.9826,0.0737,0.459,8.0798
10/31/2007,12.17,2723033,839.4994,0.926,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2159.2462,404.135,2.6951,2.6437,20.9364,13.7226,29.6413,240.3886,146.612,117.961,0.7502,1.0892,0.0737,0.4141,7.2892
11/30/2007,11.83,2120790,839.4994,0.9006,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2129.9737,404.135,2.6951,2.5712,20.9364,14.1091,30.4763,240.3886,146.612,117.961,0.7502,1.1198,0.0737,0.4028,7.0855
12/31/2007,15.21,18215130,839.4994,1.1573,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2426.2114,404.135,2.6951,3.3042,20.9364,10.9793,23.7157,240.3886,146.612,117.961,0.7502,0.8714,0.0737,0.5176,9.11
1/31/2008,11.22,7949753,839.4994,0.8539,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2076.1123,404.135,2.6951,2.438,20.9364,14.8804,32.1422,240.3886,146.612,117.961,0.7502,1.1811,0.0737,0.3819,6.7202
