Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,29.55,19851795,2667.5218,2.5076,6.0855,6.0855,7.3348,8.0614,-2.1337,1.7117,11.9383,1.396,11.784,0.1667,1.2053,88.0617,5004.5618,523.4555,-0.08199999999999999,9.6427,19.9444,4.7242,7.4581,246.9728,238.4657,113.875,0.7968,0.0321,0.154,1.2881,21.1676
2/28/2007,24.41,5783265,2667.5218,2.0712,6.0855,6.0855,7.3348,8.0614,-2.1337,1.7117,11.9383,1.396,11.784,0.1667,1.2053,88.0617,4126.0162,523.4555,-0.08199999999999999,7.9643,19.9444,5.7197,9.0297,246.9728,238.4657,113.875,0.7968,0.0389,0.154,1.0639,17.4857
3/30/2007,22.69,5137365,3876.3049,1.5908,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,4697.4926,830.8153,0.9884,9.3366,17.6864,6.0646,8.5186,468.2568,470.4346,113.875,0.7835,0.2773,0.116,1.3019,16.4862
4/30/2007,24.66,3398175,3876.3049,1.7289,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,5033.9932,830.8153,0.9884,10.1471,17.6864,5.5802,7.8382,468.2568,470.4346,113.875,0.7835,0.2551,0.116,1.415,17.9176
5/31/2007,26.33,5162820,3876.3049,1.8458,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,5318.6807,830.8153,0.9884,10.8328,17.6864,5.227,7.342,468.2568,470.4346,113.875,0.7835,0.239,0.116,1.5106,19.131
6/29/2007,34.99,15125070,3876.3049,2.4528,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,6797.917,830.8153,0.9884,14.3958,17.6864,3.9333,5.5249,468.2568,470.4346,113.875,0.7835,0.1798,0.116,2.0074,25.4232
7/31/2007,39.96,13771605,3876.3049,2.8012,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,7646.8551,830.8153,0.9884,16.4406,17.6864,3.4441,4.8377,468.2568,470.4346,113.875,0.7835,0.1575,0.116,2.2926,29.0344
8/31/2007,39.75,6527835,3876.3049,2.7868,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,7611.5538,830.8153,0.9884,16.3555,17.6864,3.462,4.8629,468.2568,470.4346,113.875,0.7835,0.1583,0.116,2.2807,28.8818
9/28/2007,45.3,12153708,3876.3049,3.1756,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,8559.0619,830.8153,0.9884,18.6376,17.6864,3.0381,4.2675,468.2568,470.4346,113.875,0.7835,0.1389,0.116,2.5989,32.9143
10/31/2007,52.47,15044679,3876.3049,3.678,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,9783.2289,830.8153,0.9884,21.5861,17.6864,2.6231,3.6845,468.2568,470.4346,113.875,0.7835,0.1199,0.116,3.0101,38.124
11/30/2007,57.47,6887796,3876.3049,4.0285,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,10637.2988,830.8153,0.9884,23.6433,17.6864,2.3949,3.364,468.2568,470.4346,113.875,0.7835,0.1095,0.116,3.2969,41.7569
12/31/2007,67.3,10357695,3876.3049,4.7178,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,12316.9698,830.8153,0.9884,27.6889,17.6864,2.045,2.8724,468.2568,470.4346,113.875,0.7835,0.0935,0.116,3.8611,48.8992
1/31/2008,76.12,11999478,3876.3049,5.3359,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,13822.9799,830.8153,0.9884,31.3163,17.6864,1.8081,2.5397,468.2568,470.4346,113.875,0.7835,0.0827,0.116,4.3669,55.3077
2/29/2008,72.05,3682434,3876.3049,5.0508,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,13128.3363,830.8153,0.9884,29.6432,17.6864,1.9102,2.6831,468.2568,470.4346,113.875,0.7835,0.0873,0.116,4.1336,52.3505
3/31/2008,65.22,5702742,11139.8219,3.3443,8.7105,8.7105,13.7262,94.9447,79.5904,3.2045,4.2237,3.6782,19.501,0.2333,1.5758,95.7763,13791.0865,1577.0417,1.6811,10.6092,11.4353,5.6399,7.9647,861.6483,943.6315,113.875,0.2851,0.2839,0.2851,1.5444,17.7315
4/30/2008,68.02,2942937,11139.8219,3.4879,8.7105,8.7105,13.7262,94.9447,79.5904,3.2045,4.2237,3.6782,19.501,0.2333,1.5758,95.7763,14269.3657,1577.0417,1.6811,11.0647,11.4353,5.4078,7.6368,861.6483,943.6315,113.875,0.2851,0.2722,0.2851,1.6107,18.4927
5/30/2008,61.28,2930724,11139.8219,3.1426,8.7105,8.7105,13.7262,94.9447,79.5904,3.2045,4.2237,3.6782,19.501,0.2333,1.5758,95.7763,13119.2181,1577.0417,1.6811,9.9694,11.4353,6.0019,8.4759,861.6483,943.6315,113.875,0.2851,0.3021,0.2851,1.4513,16.6603
6/30/2008,46.68,5652447,11139.8219,2.3939,8.7105,8.7105,13.7262,94.9447,79.5904,3.2045,4.2237,3.6782,19.501,0.2333,1.5758,95.7763,10625.3337,1577.0417,1.6811,7.5943,11.4353,7.879,11.1267,861.6483,943.6315,113.875,0.2851,0.3966,0.2851,1.1055,12.690999999999999
7/31/2008,41.78,14298603,11139.8219,2.1426,8.7105,8.7105,13.7262,94.9447,79.5904,3.2045,4.2237,3.6782,19.501,0.2333,1.5758,95.7763,9788.3451,1577.0417,1.6811,6.7972,11.4353,8.802999999999997,12.4315,861.6483,943.6315,113.875,0.2851,0.4431,0.2851,0.9895,11.3588
8/29/2008,42.0,12359718,11139.8219,2.1537,8.7105,8.7105,13.7262,94.9447,79.5904,3.2045,4.2237,3.6782,19.501,0.2333,1.5758,95.7763,9825.3548,1577.0417,1.6811,6.8324,11.4353,8.7576,12.3674,861.6483,943.6315,113.875,0.2851,0.4408,0.2851,0.9946,11.4186
9/30/2008,33.4,4454298,11139.8219,1.7127,8.7105,8.7105,13.7262,94.9447,79.5904,3.2045,4.2237,3.6782,19.501,0.2333,1.5758,95.7763,8356.3544,1577.0417,1.6811,5.4334,11.4353,11.0125,15.5518,861.6483,943.6315,113.875,0.2851,0.5543,0.2851,0.7909999999999999,9.0805
10/31/2008,25.0,3375972,11139.8219,1.2819999999999998,8.7105,8.7105,13.7262,94.9447,79.5904,3.2045,4.2237,3.6782,19.501,0.2333,1.5758,95.7763,6921.5167,1577.0417,1.6811,4.0669,11.4353,14.7127,20.7772,861.6483,943.6315,113.875,0.2851,0.7406,0.2851,0.5920000000000001,6.7968
11/28/2008,20.55,1872116,11139.8219,1.0538,8.7105,8.7105,13.7262,94.9447,79.5904,3.2045,4.2237,3.6782,19.501,0.2333,1.5758,95.7763,6161.3615,1577.0417,1.6811,3.343,11.4353,17.8987,25.2764,861.6483,943.6315,113.875,0.2851,0.901,0.2851,0.4867,5.587000000000001
12/31/2008,23.68,3243092,11139.8219,1.214,8.7105,8.7105,13.7262,94.9447,79.5904,3.2045,4.2237,3.6782,19.501,0.2333,1.5758,95.7763,6695.1502,1577.0417,1.6811,3.8514,11.4353,15.5362,21.9401,861.6483,943.6315,113.875,0.2851,0.7821,0.2851,0.5607,6.4379
1/30/2009,20.78,1674146,11139.8219,1.0653,8.7105,8.7105,13.7262,94.9447,79.5904,3.2045,4.2237,3.6782,19.501,0.2333,1.5758,95.7763,6199.786,1577.0417,1.6811,3.3796,11.4353,17.7049,25.0027,861.6483,943.6315,113.875,0.2851,0.8912,0.2851,0.4920000000000001,5.6495
2/27/2009,17.48,3209064,11139.8219,0.8961,8.7105,8.7105,13.7262,94.9447,79.5904,3.2045,4.2237,3.6782,19.501,0.2333,1.5758,95.7763,5636.1065,1577.0417,1.6811,2.8428,11.4353,21.0483,29.7242,861.6483,943.6315,113.875,0.2851,1.0595,0.2851,0.4138,4.7523
3/31/2009,18.33,3098270,3130.1391,0.7718,6.1285,6.1285,9.2518,70.4834,53.1541,2.8538,4.2237,4.7115,23.7445,0.2333,1.5096,95.7763,5285.988,1673.9513,1.2879,1.8699,31.6677,25.7109,42.4386,885.0704,804.7867,113.875,0.3994,0.9133,0.3813,0.2384,3.8905
4/29/2009,26.73,5668644,3130.1391,1.1255,6.1285,6.1285,9.2518,70.4834,53.1541,2.8538,4.2237,4.7115,23.7445,0.2333,1.5096,95.7763,6720.8087,1673.9513,1.2879,2.7271,31.6677,17.6296,29.0996,885.0704,804.7867,113.875,0.3994,0.6262,0.3813,0.3476,5.6734
5/29/2009,42.2,6104620,3130.1391,1.7773,6.1285,6.1285,9.2518,70.4834,53.1541,2.8538,4.2237,4.7115,23.7445,0.2333,1.5096,95.7763,9364.1244,1673.9513,1.2879,4.3062,31.6677,11.1647,18.4286,885.0704,804.7867,113.875,0.3994,0.3966,0.3813,0.5489,8.9568
6/30/2009,46.85,7509610,3130.1391,1.9731,6.1285,6.1285,9.2518,70.4834,53.1541,2.8538,4.2237,4.7115,23.7445,0.2333,1.5096,95.7763,10158.4002,1673.9513,1.2879,4.7806,31.6677,10.0566,16.5995,885.0704,804.7867,113.875,0.3994,0.3572,0.3813,0.6094,9.9438
7/31/2009,59.13,13532966,3130.1391,2.49,6.1285,6.1285,9.2518,70.4834,53.1541,2.8538,4.2237,4.7115,23.7445,0.2333,1.5096,95.7763,12255.1174,1673.9513,1.2879,6.0332,31.6677,7.9687,13.1533,885.0704,804.7867,113.875,0.3994,0.2831,0.3813,0.7691,12.5501
8/31/2009,63.35,14479236,3130.1391,2.668,6.1285,6.1285,9.2518,70.4834,53.1541,2.8538,4.2237,4.7115,23.7445,0.2333,1.5096,95.7763,12976.7981,1673.9513,1.2879,6.4643,31.6677,7.4373,12.276,885.0704,804.7867,113.875,0.3994,0.2642,0.3813,0.8240000000000001,13.4458
9/30/2009,71.53,16683916,3130.1391,3.0123,6.1285,6.1285,9.2518,70.4834,53.1541,2.8538,4.2237,4.7115,23.7445,0.2333,1.5096,95.7763,14373.1862,1673.9513,1.2879,7.2985,31.6677,6.5872,10.8729,885.0704,804.7867,113.875,0.3994,0.234,0.3813,0.9304,15.182
10/30/2009,76.35,12926824,3130.1391,3.2155,6.1285,6.1285,9.2518,70.4834,53.1541,2.8538,4.2237,4.7115,23.7445,0.2333,1.5096,95.7763,15197.3541,1673.9513,1.2879,7.7909,31.6677,6.171,10.1858,885.0704,804.7867,113.875,0.3994,0.2192,0.3813,0.9931,16.205
11/30/2009,84.9,13017788,3130.1391,3.5756,6.1285,6.1285,9.2518,70.4834,53.1541,2.8538,4.2237,4.7115,23.7445,0.2333,1.5096,95.7763,16657.7966,1673.9513,1.2879,8.6633,31.6677,5.5495,9.16,885.0704,804.7867,113.875,0.3994,0.1971,0.3813,1.1043,18.0197
12/31/2009,81.7,8875824,3130.1391,3.4408,6.1285,6.1285,9.2518,70.4834,53.1541,2.8538,4.2237,4.7115,23.7445,0.2333,1.5096,95.7763,16111.1982,1673.9513,1.2879,8.3368,31.6677,5.7669,9.5188,885.0704,804.7867,113.875,0.3994,0.2048,0.3813,1.0627,17.3405
1/29/2010,78.28,17694574,3130.1391,3.2965,6.1285,6.1285,9.2518,70.4834,53.1541,2.8538,4.2237,4.7115,23.7445,0.2333,1.5096,95.7763,15526.1672,1673.9513,1.2879,7.9873,31.6677,6.0192,9.9353,885.0704,804.7867,113.875,0.3994,0.2138,0.3813,1.0182,16.6147
2/26/2010,75.13,5121358,3130.1391,3.1639,6.1285,6.1285,9.2518,70.4834,53.1541,2.8538,4.2237,4.7115,23.7445,0.2333,1.5096,95.7763,14988.1094,1673.9513,1.2879,7.6659,31.6677,6.2716,10.3519,885.0704,804.7867,113.875,0.3994,0.2228,0.3813,0.9772,15.9461
3/31/2010,82.1,7973922,14023.7062,2.5796,11.4056,11.4056,17.8686,16.7738,5.2833,1.9777,4.2237,9.78,31.8269,0.2333,1.5667,95.7763,14310.8869,2752.7066,0.1043,5.0945,19.235,11.9123,16.5666,1523.9908,1670.3339,170.8125,0.9551,0.065,0.1958,0.9576,8.3947
4/30/2010,85.05,17084566,14023.7062,2.6723,11.4056,11.4056,17.8686,16.7738,5.2833,1.9777,4.2237,9.78,31.8269,0.2333,1.5667,95.7763,14814.7823,2752.7066,0.1043,5.2776,19.235,11.4991,15.992,1523.9908,1670.3339,170.8125,0.9551,0.0628,0.1958,0.992,8.6963
5/31/2010,82.23,7624424,14023.7062,2.5835,11.4056,11.4056,17.8686,16.7738,5.2833,1.9777,4.2237,9.78,31.8269,0.2333,1.5667,95.7763,14332.2384,2752.7066,0.1043,5.1023,19.235,11.8942,16.5414,1523.9908,1670.3339,170.8125,0.9551,0.0649,0.1958,0.959,8.408
6/30/2010,91.95,10673884,14023.7062,2.8891,11.4056,11.4056,17.8686,16.7738,5.2833,1.9777,4.2237,9.78,31.8269,0.2333,1.5667,95.7763,15993.3851,2752.7066,0.1043,5.7057,19.235,10.6362,14.792,1523.9908,1670.3339,170.8125,0.9551,0.0581,0.1958,1.0725,9.4018
7/30/2010,95.1,17475594,14023.7062,2.988,11.4056,11.4056,17.8686,16.7738,5.2833,1.9777,4.2237,9.78,31.8269,0.2333,1.5667,95.7763,16531.4429,2752.7066,0.1043,5.9012,19.235,10.2839,14.302,1523.9908,1670.3339,170.8125,0.9551,0.0561,0.1958,1.1092,9.7239
8/31/2010,95.03,5196156,14023.7062,2.9857,11.4056,11.4056,17.8686,16.7738,5.2833,1.9777,4.2237,9.78,31.8269,0.2333,1.5667,95.7763,16518.631999999998,2752.7066,0.1043,5.8965,19.235,10.292,14.3133,1523.9908,1670.3339,170.8125,0.9551,0.0562,0.1958,1.1083,9.7168
9/30/2010,106.13,17645454,14023.7062,3.3344,11.4056,11.4056,17.8686,16.7738,5.2833,1.9777,4.2237,9.78,31.8269,0.2333,1.5667,95.7763,18414.6452,2752.7066,0.1043,6.5853,19.235,9.2155,12.8162,1523.9908,1670.3339,170.8125,0.9551,0.0503,0.1958,1.2378,10.8517
10/29/2010,98.95,10498172,14023.7062,3.109,11.4056,11.4056,17.8686,16.7738,5.2833,1.9777,4.2237,9.78,31.8269,0.2333,1.5667,95.7763,17189.0691,2752.7066,0.1043,6.1401,19.235,9.8838,13.7455,1523.9908,1670.3339,170.8125,0.9551,0.054000000000000006,0.1958,1.1541,10.1176
11/30/2010,92.4,7173830,14023.7062,2.9032,11.4056,11.4056,17.8686,16.7738,5.2833,1.9777,4.2237,9.78,31.8269,0.2333,1.5667,95.7763,16070.2505,2752.7066,0.1043,5.7337,19.235,10.5844,14.7199,1523.9908,1670.3339,170.8125,0.9551,0.0578,0.1958,1.0777,9.4479
12/31/2010,95.83,3689178,14023.7062,3.0108,11.4056,11.4056,17.8686,16.7738,5.2833,1.9777,4.2237,9.78,31.8269,0.2333,1.5667,95.7763,16655.2816,2752.7066,0.1043,5.9462,19.235,10.2061,14.1938,1523.9908,1670.3339,170.8125,0.9551,0.0557,0.1958,1.1177,9.7986
1/31/2011,85.4,5747318,14023.7062,2.6833,11.4056,11.4056,17.8686,16.7738,5.2833,1.9777,4.2237,9.78,31.8269,0.2333,1.5667,95.7763,14874.5665,2752.7066,0.1043,5.2993,19.235,11.452,15.9265,1523.9908,1670.3339,170.8125,0.9551,0.0625,0.1958,0.9961,8.7321
2/28/2011,81.5,1621678,14023.7062,2.5607,11.4056,11.4056,17.8686,16.7738,5.2833,1.9777,4.2237,9.78,31.8269,0.2333,1.5667,95.7763,14208.3997,2752.7066,0.1043,5.0573,19.235,12.0,16.6886,1523.9908,1670.3339,170.8125,0.9551,0.0655,0.1958,0.9506,8.3333
3/31/2011,94.88,4682312,16205.8359,2.5089,8.4042,8.4042,14.1619,13.9508,6.9658,1.9851,14.9941,8.67,37.815,1.3,1.6851,85.0059,16655.7282,2612.92,0.1722,6.2022,15.6878,9.1383,13.5494,1475.5706,1480.96,170.8125,0.9507,0.0556,0.1223,0.9196,10.9435
4/29/2011,96.23,1448908,16205.8359,2.5446,8.4042,8.4042,14.1619,13.9508,6.9658,1.9851,14.9941,8.67,37.815,1.3,1.6851,85.0059,16886.3244,2612.92,0.1722,6.2904,15.6878,9.0101,13.3593,1475.5706,1480.96,170.8125,0.9507,0.0548,0.1223,0.9327,11.0992
5/31/2011,105.45,4324868,16205.8359,2.7886,8.4042,8.4042,14.1619,13.9508,6.9658,1.9851,14.9941,8.67,37.815,1.3,1.6851,85.0059,18462.065,2612.92,0.1722,6.8935,15.6878,8.2219,12.1906,1475.5706,1480.96,170.8125,0.9507,0.05,0.1223,1.0222,12.1626
6/30/2011,112.93,2634524,16205.8359,2.9863,8.4042,8.4042,14.1619,13.9508,6.9658,1.9851,14.9941,8.67,37.815,1.3,1.6851,85.0059,19738.8847,2612.92,0.1722,7.3822,15.6878,7.6777,11.3837,1475.5706,1480.96,170.8125,0.9507,0.0467,0.1223,1.0946,13.0254
7/29/2011,119.38,4588490,16205.8359,3.1568,8.4042,8.4042,14.1619,13.9508,6.9658,1.9851,14.9941,8.67,37.815,1.3,1.6851,85.0059,20840.6221,2612.92,0.1722,7.8038,15.6878,7.2628,10.7686,1475.5706,1480.96,170.8125,0.9507,0.0442,0.1223,1.1571,13.7693
8/30/2011,120.68,2824504,16205.8359,3.1912,8.4042,8.4042,14.1619,13.9508,6.9658,1.9851,14.9941,8.67,37.815,1.3,1.6851,85.0059,21062.6777,2612.92,0.1722,7.8888,15.6878,7.1846,10.6526,1475.5706,1480.96,170.8125,0.9507,0.0437,0.1223,1.1697,13.9193
9/30/2011,104.78,2579562,16205.8359,2.7707,8.4042,8.4042,14.1619,13.9508,6.9658,1.9851,14.9941,8.67,37.815,1.3,1.6851,85.0059,18346.7669,2612.92,0.1722,6.8494,15.6878,8.2749,12.2692,1475.5706,1480.96,170.8125,0.9507,0.0504,0.1223,1.0156,12.0854
10/31/2011,101.78,1787896,16205.8359,2.6914,8.4042,8.4042,14.1619,13.9508,6.9658,1.9851,14.9941,8.67,37.815,1.3,1.6851,85.0059,17834.3309,2612.92,0.1722,6.6533,15.6878,8.5188,12.6308,1475.5706,1480.96,170.8125,0.9507,0.0518,0.1223,0.9865,11.7393
11/30/2011,105.78,2756574,16205.8359,2.7972,8.4042,8.4042,14.1619,13.9508,6.9658,1.9851,14.9941,8.67,37.815,1.3,1.6851,85.0059,18517.5789,2612.92,0.1722,6.9148,15.6878,8.1966,12.1532,1475.5706,1480.96,170.8125,0.9507,0.0499,0.1223,1.0253,12.2007
12/30/2011,102.0,3590012,16205.8359,2.6973,8.4042,8.4042,14.1619,13.9508,6.9658,1.9851,14.9941,8.67,37.815,1.3,1.6851,85.0059,17872.7636,2612.92,0.1722,6.6679999999999975,15.6878,8.5,12.603,1475.5706,1480.96,170.8125,0.9507,0.0517,0.1223,0.9887,11.7647
1/31/2012,108.08,1960820,16205.8359,2.858,8.4042,8.4042,14.1619,13.9508,6.9658,1.9851,14.9941,8.67,37.815,1.3,1.6851,85.0059,18910.4465,2612.92,0.1722,7.0651,15.6878,8.0222,11.8945,1475.5706,1480.96,170.8125,0.9507,0.0488,0.1223,1.0476,12.466
