Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,137.3,104157626,213948.6726,5.3376,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,188751.9637,29702.4,0.0548,6.9795,13.778,8.15,12.7457,23148.0531,23988.7,3033.7,0.9822,0.0462,0.9972,2.9087,12.2699
2/28/2007,115.8,139199134,213948.6726,4.5018,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,177279.0838,29702.4,0.0548,5.8866,13.778,9.6632,15.1121,23148.0531,23988.7,3033.7,0.9822,0.0493,0.9972,2.4532,10.3485
3/30/2007,106.7,245313039,213948.6726,4.148,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,163475.9567,29702.4,0.0548,5.424,13.778,10.4873,16.4009,23148.0531,23988.7,3033.7,0.9822,0.0535,0.9972,2.2604,9.5353
4/30/2007,117.95,166185087,213948.6726,4.5853,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,180555.2795,29702.4,0.0548,5.9959,13.778,9.4871,14.8366,23148.0531,23988.7,3033.7,0.9822,0.0484,0.9972,2.4987,10.5407
5/31/2007,113.4,142924042,213948.6726,4.4085,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,173653.1366,29702.4,0.0548,5.7646,13.778,9.8677,15.4319,23148.0531,23988.7,3033.7,0.9822,0.0503,0.9972,2.4023,10.134
6/29/2007,124.5,89295193,213948.6726,4.84,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,190963.4191,29702.4,0.0548,6.3289,13.778,8.988,14.0561,23148.0531,23988.7,3033.7,0.9822,0.0457,0.9972,2.6375,11.126
7/31/2007,131.4,118522410,213948.6726,5.1082,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,201456.5688,29702.4,0.0548,6.6796,13.778,8.516,13.318,23148.0531,23988.7,3033.7,0.9822,0.0433,0.9972,2.7837,11.7426
8/31/2007,133.45,142553215,213948.6726,5.1879,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,204595.6345,29702.4,0.0548,6.7838,13.778,8.3852,13.1134,23148.0531,23988.7,3033.7,0.9822,0.0426,0.9972,2.8271,11.9258
9/28/2007,144.5,146584599,213948.6726,5.6175,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,221504.4482,29702.4,0.0548,7.3455,13.778,7.7439,12.1106,23148.0531,23988.7,3033.7,0.9822,0.0394,0.9972,3.0612,12.9133
10/31/2007,144.75,129425022,213948.6726,5.6272,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,221884.8529,29702.4,0.0548,7.3582,13.778,7.7306,12.0897,23148.0531,23988.7,3033.7,0.9822,0.0393,0.9972,3.0665,12.9357
11/30/2007,149.7,46568230,213948.6726,5.8196,33.6574,33.6574,46.7341,22.1767,4.1676,1.9993,21.9264,11.19,25.7233,3.3,1.3885,78.0736,229416.8671,29702.4,0.0548,7.6099,13.778,7.4749,11.6899,23148.0531,23988.7,3033.7,0.9822,0.038,0.9972,3.1713,13.378
12/31/2007,147.05,27149206,223865.3058,4.6168,18.2216,18.2216,16.2146,6.9844,-35.0054,2.2528,50.4685,12.14,31.8512,3.5,0.8899,49.5315,206822.7267,20487.7,-0.8286,10.9117,9.9025,8.2557,8.1036,9566.8604,10554.1,3044.8,1.6216,0.0151,1.6132,3.8597,12.1129
