Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,33.67,16980200,11154.4348,2.0361,3.3875,3.3875,4.9422,128.7859,96.5031,1.0462,19.3951,2.3199,16.5369,0.45,1.4589,80.6049,21741.9219,2383.3,2.5671,5.4162,13.7981,6.8901,12.8087,1224.7909,889.4,383.4,0.3932,0.5226,0.2119,0.4917,14.5136
2/28/2007,30.56,5696960,11154.4348,1.848,3.3875,3.3875,4.9422,128.7859,96.5031,1.0462,19.3951,2.3199,16.5369,0.45,1.4589,80.6049,20298.8042,2383.3,2.5671,4.9159,13.7981,7.5913,14.1122,1224.7909,889.4,383.4,0.3932,0.5758,0.2119,0.4462,13.173
3/30/2007,27.99,11589560,12985.7332,1.3891,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,20619.8197,4055.61,1.8824,2.8833,19.6685,10.0111,24.657,1719.0043,1170.64,464.09,0.4370000000000001,0.7247,0.1424,0.272,9.9907
4/30/2007,31.59,13398930,12985.7332,1.5681,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,22292.6298,4055.61,1.8824,3.2547,19.6685,8.8686,21.8431,1719.0043,1170.64,464.09,0.4370000000000001,0.642,0.1424,0.307,11.2757
5/31/2007,35.9,30568480,12985.7332,1.7818,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,24290.2574,4055.61,1.8824,3.6982,19.6685,7.805,19.2234,1719.0043,1170.64,464.09,0.4370000000000001,0.565,0.1424,0.3489,12.8141
6/29/2007,31.93,27378430,12985.7332,1.5847,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,22448.0782,4055.61,1.8824,3.2892,19.6685,8.7756,21.6139,1719.0043,1170.64,464.09,0.4370000000000001,0.6352,0.1424,0.3103,11.3971
7/31/2007,37.92,28084320,12985.7332,1.8823,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,25229.9081,4055.61,1.8824,3.9069,19.6685,7.3882,18.1969,1719.0043,1170.64,464.09,0.4370000000000001,0.5348,0.1424,0.3686,13.5351
8/31/2007,40.55,24555594,12985.7332,2.0129,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,26450.2861,4055.61,1.8824,4.1778,19.6685,6.909,17.0166,1719.0043,1170.64,464.09,0.4370000000000001,0.5001,0.1424,0.3941,14.4739
9/28/2007,39.2,24032573,12985.7332,1.9458,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,25823.8598,4055.61,1.8824,4.0388,19.6685,7.1469,17.6027,1719.0043,1170.64,464.09,0.4370000000000001,0.5173,0.1424,0.381,13.992
10/31/2007,38.95,31315790,12985.7332,1.9334,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,25707.8535,4055.61,1.8824,4.013,19.6685,7.1928,17.7157,1719.0043,1170.64,464.09,0.4370000000000001,0.5207,0.1424,0.3786,13.9028
11/30/2007,41.9,57188593,12985.7332,2.0799,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,27076.7272,4055.61,1.8824,4.3169,19.6685,6.6864,16.4684,1719.0043,1170.64,464.09,0.4370000000000001,0.484,0.1424,0.4072,14.9557
12/31/2007,53.85,125826295,12985.7332,2.673,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,32621.8259,4055.61,1.8824,5.5481,19.6685,5.2026,12.8138,1719.0043,1170.64,464.09,0.4370000000000001,0.3766,0.1424,0.5234,19.2212
1/31/2008,44.6,208443384,12985.7332,2.2139,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,28864.7947,4055.61,1.8824,4.5951,19.6685,6.2816,15.4714,1719.0043,1170.64,464.09,0.4370000000000001,0.4432,0.1424,0.4335,15.9195
