Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,52.39,2286100,17271.9238,3.5221,11.1451,11.1451,9.686,103.2569,75.6977,2.6772,27.5904,3.6957,14.8731,1.0,1.023,72.4096,12303.3849,1411.6551,1.5418,6.9386,7.2585,7.0548,11.6208,736.7415,691.0138,193.3172,1.0225,0.2932,0.5102,1.5798,14.1759
2/28/2007,50.05,2497370,17271.9238,3.3648,11.1451,11.1451,9.686,103.2569,75.6977,2.6772,27.5904,3.6957,14.8731,1.0,1.023,72.4096,11851.0231,1411.6551,1.5418,6.6286,7.2585,7.3847,12.1642,736.7415,691.0138,193.3172,1.0225,0.3069,0.5102,1.5092,13.5428
3/30/2007,45.45,667790,8786.266,2.5286,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,12816.2787,1780.7486,2.2631,4.934,13.8944,9.4581,16.1694,914.6539,831.0096,193.3172,0.4816,0.4646,0.0145,1.0011,10.573
4/30/2007,49.7,1356460,8786.266,2.765,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,13637.876,1780.7486,2.2631,5.3954,13.8944,8.6493,14.7867,914.6539,831.0096,193.3172,0.4816,0.4249,0.0145,1.0947,11.5616
5/31/2007,48.65,2001190,8786.266,2.7066,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,13434.8931,1780.7486,2.2631,5.2814,13.8944,8.8359,15.1059,914.6539,831.0096,193.3172,0.4816,0.4341,0.0145,1.0716,11.3174
6/29/2007,60.98,6555110,8786.266,3.3926,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,15818.4916,1780.7486,2.2631,6.62,13.8944,7.0493,12.0515,914.6539,831.0096,193.3172,0.4816,0.3463,0.0145,1.3432,14.1857
7/31/2007,62.71,4792870,8786.266,3.4888,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,16152.93,1780.7486,2.2631,6.8078,13.8944,6.8549,11.719000000000001,914.6539,831.0096,193.3172,0.4816,0.3368,0.0145,1.3813,14.5881
8/31/2007,59.11,1795870,8786.266,3.2883,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,15456.0223,1780.7486,2.2631,6.4164,13.8944,7.273,12.4338,914.6539,831.0096,193.3172,0.4816,0.3573,0.0145,1.3019,13.7507
9/28/2007,58.59,746720,8786.266,3.2593,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,15355.673999999999,1780.7486,2.2631,6.36,13.8944,7.3375,12.5442,914.6539,831.0096,193.3172,0.4816,0.3605,0.0145,1.2904,13.6297
10/31/2007,60.02,2781350,8786.266,3.3389,9.4685,9.4685,9.686,117.488,115.9793,1.3621,24.4261,4.2987,17.9745,1.05,1.023,75.5739,15632.1216,1780.7486,2.2631,6.5152,13.8944,7.1627,12.2453,914.6539,831.0096,193.3172,0.4816,0.3519,0.0145,1.3219,13.9624
