Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,283.7,5765339,10443.4687,3.381,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,12023.794,1087.385,0.7523,10.3053,9.6558,5.074,7.7527,566.4592,568.578,394.987,0.7715,0.0965,0.0844,1.5396,19.7085
2/28/2007,241.75,1395854,10443.4687,2.8811,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,10366.8235,1087.385,0.7523,8.7815,9.6558,5.9544,9.098,566.4592,568.578,394.987,0.7715,0.1133,0.0844,1.3119,16.7943
3/30/2007,213.3,1129857,10443.4687,2.542,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,9243.0855,1087.385,0.7523,7.747999999999997,9.6558,6.7486,10.3114,566.4592,568.578,394.987,0.7715,0.1284,0.0844,1.1575,14.8179
4/30/2007,235.6,1141074,10443.4687,2.8078,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,10123.9065,1087.385,0.7523,8.5581,9.6558,6.1099,9.3354,566.4592,568.578,394.987,0.7715,0.1162,0.0844,1.2786,16.367
5/31/2007,262.65,1364946,10443.4687,3.1302,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,11192.3463,1087.385,0.7523,9.5406,9.6558,5.4806,8.374,566.4592,568.578,394.987,0.7715,0.1042,0.0844,1.4254,18.2462
6/29/2007,291.9,2012797,10443.4687,3.4788,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,12347.6833,1087.385,0.7523,10.6031,9.6558,4.9314,7.5349,566.4592,568.578,394.987,0.7715,0.0938,0.0844,1.5841,20.2782
7/31/2007,250.8,1136556,10443.4687,2.9889,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,10724.2868,1087.385,0.7523,9.1102,9.6558,5.7396,8.7697,566.4592,568.578,394.987,0.7715,0.1092,0.0844,1.361,17.423
8/31/2007,244.05,416994,10443.4687,2.9085,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,10457.6705,1087.385,0.7523,8.865,9.6558,5.8983,9.0122,566.4592,568.578,394.987,0.7715,0.1122,0.0844,1.3244,16.954
9/28/2007,290.2,2343732,10443.4687,3.4585,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,12280.623,1087.385,0.7523,10.5414,9.6558,4.9603,7.579,566.4592,568.578,394.987,0.7715,0.0943,0.0844,1.5749,20.1601
10/31/2007,314.5,1668521,10443.4687,3.7481,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,13240.4487,1087.385,0.7523,11.4241,9.6558,4.5771,6.9934,566.4592,568.578,394.987,0.7715,0.0871,0.0844,1.7067,21.8482
11/30/2007,381.2,1101966,10443.4687,4.543,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,15875.032,1087.385,0.7523,13.8469,9.6558,3.7762,5.7698,566.4592,568.578,394.987,0.7715,0.0718,0.0844,2.0687,26.4818
12/31/2007,450.2,1003137,10443.4687,5.3653,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,18600.463,1087.385,0.7523,16.3533,9.6558,3.1974,4.8855,566.4592,568.578,394.987,0.7715,0.0608,0.0844,2.4431,31.2752
