Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,16.02,7156397,16949.5971,5.9989,7.2745,7.2745,15.383,51.3156,39.851,1.4369999999999998,53.5906,0.833,2.6701,0.4464,2.1146,46.4094,15251.6384,1070.875,0.8871,13.3546,5.9827,5.2007,6.2135,685.6654,743.75,398.554,0.5301,0.0855,0.1014,1.3988,19.2317
2/28/2007,14.34,3395370,16949.5971,5.3703,7.2745,7.2745,15.383,51.3156,39.851,1.4369999999999998,53.5906,0.833,2.6701,0.4464,2.1146,46.4094,13752.9179,1070.875,0.8871,11.9551,5.9827,5.8094,6.9408,685.6654,743.75,398.554,0.5301,0.0956,0.1014,1.2522,17.2149
3/30/2007,12.98,4551120,11591.0142,4.0132,7.1897,7.1897,14.8723,60.9136,52.9464,1.9207,36.3641,0.9821,3.2348,0.3571,2.0686,63.6359,13120.3684,1224.936,1.2484,9.4625,9.3363,7.5652,8.9394,848.4994,876.8860000000003,637.745,0.6948,0.1518,0.0902,0.9504,13.2166
4/30/2007,13.57,5241163,11591.0142,4.1954,7.1897,7.1897,14.8723,60.9136,52.9464,1.9207,36.3641,0.9821,3.2348,0.3571,2.0686,63.6359,13646.5149,1224.936,1.2484,9.892,9.3363,7.2368,8.5513,848.4994,876.8860000000003,637.745,0.6948,0.1452,0.0902,0.9935,13.8173
5/31/2007,15.89,10362750,11591.0142,4.913,7.1897,7.1897,14.8723,60.9136,52.9464,1.9207,36.3641,0.9821,3.2348,0.3571,2.0686,63.6359,15719.2135,1224.936,1.2484,11.5841,9.3363,6.1797,7.3022,848.4994,876.8860000000003,637.745,0.6948,0.124,0.0902,1.1634,16.1796
6/29/2007,17.52,23821885,11591.0142,5.4154,7.1897,7.1897,14.8723,60.9136,52.9464,1.9207,36.3641,0.9821,3.2348,0.3571,2.0686,63.6359,17170.1026,1224.936,1.2484,12.7685,9.3363,5.6065,6.6248,848.4994,876.8860000000003,637.745,0.6948,0.1125,0.0902,1.2824,17.8393
7/31/2007,17.89,23840942,11591.0142,5.5313,7.1897,7.1897,14.8723,60.9136,52.9464,1.9207,36.3641,0.9821,3.2348,0.3571,2.0686,63.6359,17504.9231,1224.936,1.2484,13.0419,9.3363,5.489,6.4860000000000015,848.4994,876.8860000000003,637.745,0.6948,0.1101,0.0902,1.3098,18.2161
8/31/2007,17.59,8645549,11591.0142,5.4375,7.1897,7.1897,14.8723,60.9136,52.9464,1.9207,36.3641,0.9821,3.2348,0.3571,2.0686,63.6359,17233.8779,1224.936,1.2484,12.8206,9.3363,5.5837,6.5979,848.4994,876.8860000000003,637.745,0.6948,0.112,0.0902,1.2876,17.9106
9/28/2007,18.45,6961643,11591.0142,5.7024,7.1897,7.1897,14.8723,60.9136,52.9464,1.9207,36.3641,0.9821,3.2348,0.3571,2.0686,63.6359,17999.1978,1224.936,1.2484,13.4454,9.3363,5.3242,6.2913,848.4994,876.8860000000003,637.745,0.6948,0.1068,0.0902,1.3504,18.7863
10/31/2007,17.14,6844846,11591.0142,5.2994,7.1897,7.1897,14.8723,60.9136,52.9464,1.9207,36.3641,0.9821,3.2348,0.3571,2.0686,63.6359,16835.2967,1224.936,1.2484,12.4952,9.3363,5.7291,6.7697,848.4994,876.8860000000003,637.745,0.6948,0.1149,0.0902,1.2549,17.4524
