Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,41.77,82500330,105932.0,5.2161,16.3746,16.3746,12.271,0.4379,-87.2498,1.4993,19.5159,2.267,8.0088,0.4424,0.7494,80.4841,91838.737,9007.696,-2.0496,12.2433,10.2961,5.4268,7.3561,5553.8538,5984.851,800.0,0.9107,0.0008,0.584,3.0174,18.4252
2/28/2007,46.12,222099108,105932.0,5.759,16.3746,16.3746,12.271,0.4379,-87.2498,1.4993,19.5159,2.267,8.0088,0.4424,0.7494,80.4841,103318.737,9007.696,-2.0496,13.5178,10.2961,4.9151,6.6626,5553.8538,5984.851,800.0,0.9107,0.0008,0.584,3.3315,20.3441
3/30/2007,45.58,71077611,120320.0,4.5066,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,2.7710000000000004,10.1131,0.5455,0.7168,80.3158,99456.966,9731.424,-2.1462,12.3641,9.7846,6.0801,7.3119,6817.5617,7315.519,800.0,1.1545,0.0002,0.6363,2.972,16.4489
4/30/2007,52.07,142417473,120320.0,5.1488,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,2.7710000000000004,10.1131,0.5455,0.7168,80.3158,116600.966,9731.424,-2.1462,14.1258,9.7846,5.3218,6.4,6817.5617,7315.519,800.0,1.1545,0.0002,0.6363,3.3954,18.7911
5/31/2007,54.77,97044519,120320.0,5.4156,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,2.7710000000000004,10.1131,0.5455,0.7168,80.3158,123724.966,9731.424,-2.1462,14.8578,9.7846,5.0596,6.0846,6817.5617,7315.519,800.0,1.1545,0.0002,0.6363,3.5714,19.7654
6/29/2007,55.49,108840567,120320.0,5.4868,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,2.7710000000000004,10.1131,0.5455,0.7168,80.3158,125624.966,9731.424,-2.1462,15.0531,9.7846,4.9939,6.0057,6817.5617,7315.519,800.0,1.1545,0.0002,0.6363,3.6183,20.0253
7/31/2007,53.57,98645250,120320.0,5.2972,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,2.7710000000000004,10.1131,0.5455,0.7168,80.3158,120564.966,9731.424,-2.1462,14.5331,9.7846,5.1726,6.2206,6817.5617,7315.519,800.0,1.1545,0.0002,0.6363,3.4933,19.3324
8/31/2007,51.46,58610277,120320.0,5.0885,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,2.7710000000000004,10.1131,0.5455,0.7168,80.3158,114992.966,9731.424,-2.1462,13.9605,9.7846,5.3848,6.4757,6817.5617,7315.519,800.0,1.1545,0.0002,0.6363,3.3557,18.5709
9/28/2007,55.81,51879531,120320.0,5.5182,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,2.7710000000000004,10.1131,0.5455,0.7168,80.3158,126464.966,9731.424,-2.1462,15.1394,9.7846,4.9655,5.9715,6817.5617,7315.519,800.0,1.1545,0.0002,0.6363,3.6391,20.1407
10/31/2007,55.41,98304525,120320.0,5.479,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,2.7710000000000004,10.1131,0.5455,0.7168,80.3158,125416.966,9731.424,-2.1462,15.0317,9.7846,5.001,6.0143,6817.5617,7315.519,800.0,1.1545,0.0002,0.6363,3.6132,19.9964
11/30/2007,53.76,55124124,120320.0,5.316,18.0697,18.0697,12.9517,0.0877,-78.1613,1.6375,19.6842,2.7710000000000004,10.1131,0.5455,0.7168,80.3158,121064.966,9731.424,-2.1462,14.5845,9.7846,5.1544,6.1987,6817.5617,7315.519,800.0,1.1545,0.0002,0.6363,3.5057,19.4009
