Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,174.9,11538400,58769.2959,16.9463,12.4374,12.4374,22.8992,11.9274,-9.4599,0.8833,72.8338,5.15,10.3209,3.75,1.8412,27.1662,47304.7307,2097.095,-0.1266,22.6839,3.5845,2.9445,3.4983,1221.8946,1400.374,1359.928,0.1913,0.006999999999999999,0.17,4.2249,33.9612
2/28/2007,161.15,7941648,58769.2959,15.614,12.4374,12.4374,22.8992,11.9274,-9.4599,0.8833,72.8338,5.15,10.3209,3.75,1.8412,27.1662,43564.9287,2097.095,-0.1266,20.9006,3.5845,3.1958,3.7968,1221.8946,1400.374,1359.928,0.1913,0.0076,0.17,3.8928,31.2913
3/30/2007,166.32,7028542,45238.0106,16.2495,11.4536,11.4536,22.0537,16.0731,-21.418000000000006,0.8465,87.0601,5.455,10.2357,3.75,1.9255,12.9399,44641.7352,1888.436,-0.3157,23.9553,4.2302,3.2797,3.7418,1285.1738,1483.953,1359.928,0.2678,0.0099,0.2456,3.4916,30.4895
4/30/2007,171.95,6404054,45238.0106,16.799,11.4536,11.4536,22.0537,16.0731,-21.418000000000006,0.8465,87.0601,5.455,10.2357,3.75,1.9255,12.9399,46171.6542,1888.436,-0.3157,24.7654,4.2302,3.1724,3.6194,1285.1738,1483.953,1359.928,0.2678,0.0096,0.2456,3.6097,31.5215
5/31/2007,181.48,18546352,45238.0106,17.7296,11.4536,11.4536,22.0537,16.0731,-21.418000000000006,0.8465,87.0601,5.455,10.2357,3.75,1.9255,12.9399,48762.317,1888.436,-0.3157,26.1373,4.2302,3.0059,3.4294,1285.1738,1483.953,1359.928,0.2678,0.0091,0.2456,3.8097,33.2686
6/29/2007,184.95,8556556,45238.0106,18.0691,11.4536,11.4536,22.0537,16.0731,-21.418000000000006,0.8465,87.0601,5.455,10.2357,3.75,1.9255,12.9399,49707.4669,1888.436,-0.3157,26.6378,4.2302,2.9494,3.365,1285.1738,1483.953,1359.928,0.2678,0.0089,0.2456,3.8826,33.9047
7/31/2007,205.68,22717536,45238.0106,20.0939,11.4536,11.4536,22.0537,16.0731,-21.418000000000006,0.8465,87.0601,5.455,10.2357,3.75,1.9255,12.9399,55344.3684,1888.436,-0.3157,29.6227,4.2302,2.6522,3.0259,1285.1738,1483.953,1359.928,0.2678,0.008,0.2456,4.3177,37.7049
8/31/2007,193.73,14716720,45238.0106,18.9264,11.4536,11.4536,22.0537,16.0731,-21.418000000000006,0.8465,87.0601,5.455,10.2357,3.75,1.9255,12.9399,52094.1405,1888.436,-0.3157,27.9016,4.2302,2.8158,3.2125,1285.1738,1483.953,1359.928,0.2678,0.0085,0.2456,4.0668,35.5142
9/28/2007,200.75,11842938,45238.0106,19.6127,11.4536,11.4536,22.0537,16.0731,-21.418000000000006,0.8465,87.0601,5.455,10.2357,3.75,1.9255,12.9399,54004.919,1888.436,-0.3157,28.9134,4.2302,2.7173,3.1001,1285.1738,1483.953,1359.928,0.2678,0.0082,0.2456,4.2143,36.8011
10/31/2007,192.15,16578440,45238.0106,18.7725,11.4536,11.4536,22.0537,16.0731,-21.418000000000006,0.8465,87.0601,5.455,10.2357,3.75,1.9255,12.9399,51665.8394,1888.436,-0.3157,27.6748,4.2302,2.8389,3.2389,1285.1738,1483.953,1359.928,0.2678,0.0086,0.2456,4.0338,35.2246
