Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,44.93,5121088,12042.234,2.4775,7.8372,7.8372,7.3485,92.7097,87.0887,1.2086,22.6402,3.7544,18.133,0.85,0.9376,77.3598,15425.441,1556.898,2.5769,7.3309,9.6977,8.357000000000001,10.3851,902.0853,953.821,254.056,0.1615,0.3742,0.0323,0.9378,11.9673
2/28/2007,38.88,2929560,12042.234,2.1439,7.8372,7.8372,7.3485,92.7097,87.0887,1.2086,22.6402,3.7544,18.133,0.85,0.9376,77.3598,13888.4046,1556.898,2.5769,6.3436,9.6977,9.6576,12.0013,902.0853,953.821,254.056,0.1615,0.4324,0.0323,0.8115,10.3558
3/30/2007,32.63,3215540,8288.563,1.504,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,12919.196000000002,2075.57,2.231,3.9934,16.0658,14.0818,20.2246,1204.841,1167.182,254.056,0.3713,0.7632,0.1922,0.6057,7.1024
4/30/2007,36.7,4911234,8288.563,1.6918,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,13954.4726,2075.57,2.231,4.4922,16.0658,12.5183,17.979,1204.841,1167.182,254.056,0.3713,0.6785,0.1922,0.6814,7.9883
5/31/2007,37.13,1401718,8288.563,1.7114,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,14062.4463,2075.57,2.231,4.5442,16.0658,12.3749,17.7731,1204.841,1167.182,254.056,0.3713,0.6707,0.1922,0.6893,8.0819
6/29/2007,39.38,1938360,8288.563,1.8152,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,14634.0714,2075.57,2.231,4.8196,16.0658,11.6678,16.7575,1204.841,1167.182,254.056,0.3713,0.6324,0.1922,0.7311,8.5717
7/31/2007,43.1,4354914,8288.563,1.9869,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,15652.147,2075.57,2.231,5.2756,16.0658,10.6594,15.3092,1204.841,1167.182,254.056,0.3713,0.574,0.1922,0.8002,9.3814
8/31/2007,46.6,5166374,8288.563,2.1482,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,16547.1656,2075.57,2.231,5.704,16.0658,9.8588,14.1594,1204.841,1167.182,254.056,0.3713,0.5309,0.1922,0.8652,10.1432
9/28/2007,60.48,8527686,8288.563,2.7878,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,20095.2991,2075.57,2.231,7.4023,16.0658,7.5969,10.9108,1204.841,1167.182,254.056,0.3713,0.4091,0.1922,1.1228,13.1644
10/31/2007,52.93,4459180,8288.563,2.4398,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,18164.6131,2075.57,2.231,6.4782,16.0658,8.6806,12.4672,1204.841,1167.182,254.056,0.3713,0.4674,0.1922,0.9826,11.520999999999999
11/30/2007,58.43,6789466,8288.563,2.6933,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,19571.0731,2075.57,2.231,7.1514,16.0658,7.8634,11.2936,1204.841,1167.182,254.056,0.3713,0.4234,0.1922,1.0847,12.7182
12/31/2007,62.8,5744452,8288.563,2.895,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,20689.8481,2075.57,2.231,7.6869,16.0658,7.3156,10.5068,1204.841,1167.182,254.056,0.3713,0.3939,0.1922,1.166,13.6694
1/31/2008,61.55,4162370,8288.563,2.8374,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,20370.1981,2075.57,2.231,7.5339,16.0658,7.4642,10.7202,1204.841,1167.182,254.056,0.3713,0.4019,0.1922,1.1428,13.3973
2/29/2008,64.0,3969234,8288.563,2.9503,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,20996.7121,2075.57,2.231,7.8338,16.0658,7.1784,10.3098,1204.841,1167.182,254.056,0.3713,0.3865,0.1922,1.1882,13.9306
3/31/2008,58.7,1339008,16423.9017,2.0646,9.6888,9.6888,9.2814,131.1207,118.064,2.3267,23.3054,7.51,28.4317,1.75,0.9579,76.6946,24402.7871,4135.82,2.2709,3.9711,16.0204,12.7939,22.003,2282.1275,2100.966,254.056,0.2438,0.6949,0.1243,0.7574,7.8162
4/30/2008,68.48,6952942,16423.9017,2.4084,9.6888,9.6888,9.2814,131.1207,118.064,2.3267,23.3054,7.51,28.4317,1.75,0.9579,76.6946,28550.9176,4135.82,2.2709,4.6324,16.0204,10.9675,18.862,2282.1275,2100.966,254.056,0.2438,0.5444,0.1243,0.8835,9.1185
5/30/2008,64.53,2403998,16423.9017,2.2695,9.6888,9.6888,9.2814,131.1207,118.064,2.3267,23.3054,7.51,28.4317,1.75,0.9579,76.6946,27445.7313,4135.82,2.2709,4.3652,16.0204,11.6389,20.0167,2282.1275,2100.966,254.056,0.2438,0.5778,0.1243,0.8326,8.5925
6/30/2008,58.48,5596852,16423.9017,2.0567,9.6888,9.6888,9.2814,131.1207,118.064,2.3267,23.3054,7.51,28.4317,1.75,0.9579,76.6946,25752.9775,4135.82,2.2709,3.9559,16.0204,12.8431,22.0877,2282.1275,2100.966,254.056,0.2438,0.6375,0.1243,0.7545,7.787000000000001
7/31/2008,85.5,10189864,16423.9017,3.0072,9.6888,9.6888,9.2814,131.1207,118.064,2.3267,23.3054,7.51,28.4317,1.75,0.9579,76.6946,33314.4105,4135.82,2.2709,5.7842,16.0204,8.7836,15.1062,2282.1275,2100.966,254.056,0.2438,0.436,0.1243,1.1032,11.3848
8/29/2008,89.08,5025294,16423.9017,3.1329,9.6888,9.6888,9.2814,131.1207,118.064,2.3267,23.3054,7.51,28.4317,1.75,0.9579,76.6946,34314.6741,4135.82,2.2709,6.026,16.0204,8.4311,14.4999,2282.1275,2100.966,254.056,0.2438,0.4185,0.1243,1.1493,11.8615
9/30/2008,72.55,2893682,16423.9017,2.5517,9.6888,9.6888,9.2814,131.1207,118.064,2.3267,23.3054,7.51,28.4317,1.75,0.9579,76.6946,29691.0782,4135.82,2.2709,4.9081,16.0204,10.3515,17.8026,2282.1275,2100.966,254.056,0.2438,0.5139,0.1243,0.9361,9.6605
10/31/2008,58.68,5489316,16423.9017,2.0637,9.6888,9.6888,9.2814,131.1207,118.064,2.3267,23.3054,7.51,28.4317,1.75,0.9579,76.6946,25808.9363,4135.82,2.2709,3.9694,16.0204,12.7993,22.0124,2282.1275,2100.966,254.056,0.2438,0.6354,0.1243,0.7571,7.8136
11/28/2008,45.53,1720808,16423.9017,1.6012,9.6888,9.6888,9.2814,131.1207,118.064,2.3267,23.3054,7.51,28.4317,1.75,0.9579,76.6946,22129.6451,4135.82,2.2709,3.0798,16.0204,16.4964,28.3707,2282.1275,2100.966,254.056,0.2438,0.8189,0.1243,0.5874,6.0626
12/31/2008,47.15,3275444,16423.9017,1.6584,9.6888,9.6888,9.2814,131.1207,118.064,2.3267,23.3054,7.51,28.4317,1.75,0.9579,76.6946,22584.3104,4135.82,2.2709,3.1898,16.0204,15.9279,27.3929,2282.1275,2100.966,254.056,0.2438,0.7907,0.1243,0.6084,6.2783
1/30/2009,54.35,6944630,16423.9017,1.9116,9.6888,9.6888,9.2814,131.1207,118.064,2.3267,23.3054,7.51,28.4317,1.75,0.9579,76.6946,24598.8272,4135.82,2.2709,3.6769,16.0204,13.8178,23.7641,2282.1275,2100.966,254.056,0.2438,0.6859,0.1243,0.7013,7.237
2/27/2009,46.85,2104300,16423.9017,1.6478,9.6888,9.6888,9.2814,131.1207,118.064,2.3267,23.3054,7.51,28.4317,1.75,0.9579,76.6946,22500.3722,4135.82,2.2709,3.1695,16.0204,16.0299,27.5683,2282.1275,2100.966,254.056,0.2438,0.7957,0.1243,0.6045,6.2383
3/31/2009,45.3,2518502,12674.6635,1.0458,25.9597,25.9597,14.7593,146.111,111.0637,2.1601,10.0015,19.995,43.316,2.0,0.5685,89.9985,26135.1035,8106.812,1.6604,1.5635,31.0189,44.1391,59.5257,4842.7679,5595.063,254.056,0.2986,1.3971,0.241,0.5881,2.2656
4/29/2009,61.55,8920392,12674.6635,1.421,25.9597,25.9597,14.7593,146.111,111.0637,2.1601,10.0015,19.995,43.316,2.0,0.5685,89.9985,30681.7561,8106.812,1.6604,2.1243,31.0189,32.4858,43.8101,4842.7679,5595.063,254.056,0.2986,1.0283,0.241,0.799,3.0783
5/29/2009,91.0,3760160,12674.6635,2.1008,25.9597,25.9597,14.7593,146.111,111.0637,2.1601,10.0015,19.995,43.316,2.0,0.5685,89.9985,38921.6896,8106.812,1.6604,3.1407,31.0189,21.9725,29.632,4842.7679,5595.063,254.056,0.2986,0.6955,0.241,1.1813,4.5511
