Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,295.68,991240,14825.2456,10.3037,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,9.2622,28.6959,1.5,1.3394,83.5048,19589.0108,810.9844,-0.4748,24.1811,5.6161,3.1326,3.7349,560.8734,614.3099,67.5544,1.212,0,0.4435,6.8252,31.9233
2/28/2007,277.9,584010,14825.2456,9.6843,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,9.2622,28.6959,1.5,1.3394,83.5048,18388.2384,810.9844,-0.4748,22.7274,5.6161,3.3329,3.9738,560.8734,614.3099,67.5544,1.212,0,0.4435,6.4149,30.0037
3/30/2007,267.47,1208000,14825.2456,9.3209,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,9.2622,28.6959,1.5,1.3394,83.5048,17683.6502,810.9844,-0.4748,21.8744,5.6161,3.4629,4.1288,560.8734,614.3099,67.5544,1.212,0,0.4435,6.1741,28.8776
4/30/2007,305.32,1749560,14825.2456,10.64,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,9.2622,28.6959,1.5,1.3394,83.5048,20240.9069,810.9844,-0.4748,24.9703,5.6161,3.0335,3.6169,560.8734,614.3099,67.5544,1.212,0,0.4435,7.0479,32.9641
5/31/2007,320.11,996700,14825.2456,11.1551,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,9.2622,28.6959,1.5,1.3394,83.5048,22686.5491,810.9844,-0.4748,26.1791,5.6161,2.8935,3.4499,560.8734,614.3099,67.5544,1.212,0,0.4435,7.3891,34.5609
6/29/2007,388.99,970880,14825.2456,13.5556,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,9.2622,28.6959,1.5,1.3394,83.5048,27651.4355,810.9844,-0.4748,31.8127,5.6161,2.3811,2.8389,560.8734,614.3099,67.5544,1.212,0,0.4435,8.9792,41.9976
7/31/2007,385.91,906800,14825.2456,13.4481,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,9.2622,28.6959,1.5,1.3394,83.5048,27429.0841,810.9844,-0.4748,31.5604,5.6161,2.4001,2.8616,560.8734,614.3099,67.5544,1.212,0,0.4435,8.908,41.665
8/31/2007,367.43,856530,14825.2456,12.8043,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,9.2622,28.6959,1.5,1.3394,83.5048,26097.4985,810.9844,-0.4748,30.0494,5.6161,2.5208,3.0055,560.8734,614.3099,67.5544,1.212,0,0.4435,8.4815,39.6698
9/28/2007,363.87,545550,14825.2456,12.68,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,9.2622,28.6959,1.5,1.3394,83.5048,25842.3712,810.9844,-0.4748,29.7579,5.6161,2.5455,3.035,560.8734,614.3099,67.5544,1.212,0,0.4435,8.3992,39.2855
10/31/2007,327.56,724310,14825.2456,11.4149,21.3803,21.3803,28.6374,0,-20.3816,1.3994,16.4952,9.2622,28.6959,1.5,1.3394,83.5048,23281.19100000001,810.9844,-0.4748,26.7888,5.6161,2.8276,3.3714,560.8734,614.3099,67.5544,1.212,0,0.4435,7.5612,35.3652
