Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,194.79,12912602,47133.9,6.3328,10.3456,10.3456,14.5452,10.8193,-3.6177,2.1511,43.1277,6.6248,30.7584,2.8571,1.4059,56.8723,53686.148,2862.568,-0.1078,18.8623,6.1133,3.4011,4.5612,1651.6637,1836.408,396.0,1.1943,0.0171,0.2782,3.0419,29.4032
2/28/2007,178.86,29724549,47133.9,5.8149,10.3456,10.3456,14.5452,10.8193,-3.6177,2.1511,43.1277,6.6248,30.7584,2.8571,1.4059,56.8723,49270.748,2862.568,-0.1078,17.3198,6.1133,3.704,4.9674,1651.6637,1836.408,396.0,1.1943,0.0186,0.2782,2.7931,26.9986
3/30/2007,189.14,7730615,52430.4,5.1369,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,51357.985,3649.332,-0.2939,14.3671,7.1057,5.1109,6.215,2216.7241,2679.6740000000004,396.0,1.2449,0.0184,0.3899,2.4699,19.5657
4/30/2007,216.82,9018544,52430.4,5.8886,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,59030.485,3649.332,-0.2939,16.4696,7.1057,4.4585,5.4216,2216.7241,2679.6740000000004,396.0,1.2449,0.016,0.3899,2.8313,22.4291
5/31/2007,218.0,12775223,52430.4,5.9206,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,59357.185,3649.332,-0.2939,16.5591,7.1057,4.4344,5.3923,2216.7241,2679.6740000000004,396.0,1.2449,0.0159,0.3899,2.8467,22.5512
6/29/2007,242.82,16562802,52430.4,6.5947,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,66237.685,3649.332,-0.2939,18.4445,7.1057,3.9811,4.8411,2216.7241,2679.6740000000004,396.0,1.2449,0.0143,0.3899,3.1708,25.1187
7/31/2007,281.39,12812219,52430.4,7.6422,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,76929.685,3649.332,-0.2939,21.3744,7.1057,3.4354,4.1775,2216.7241,2679.6740000000004,396.0,1.2449,0.0123,0.3899,3.6745,29.1086
8/31/2007,267.0,12051605,52430.4,7.2513,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,72939.985,3649.332,-0.2939,20.2811,7.1057,3.6206,4.4027,2216.7241,2679.6740000000004,396.0,1.2449,0.013,0.3899,3.4865,27.62
9/28/2007,310.54,10643930,52430.4,8.4337,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,85008.085,3649.332,-0.2939,23.588,7.1057,3.113,3.7854,2216.7241,2679.6740000000004,396.0,1.2449,0.0112,0.3899,4.055,32.1241
10/31/2007,284.96,16917436,52430.4,7.7392,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,77919.685,3649.332,-0.2939,21.6456,7.1057,3.3923,4.1251,2216.7241,2679.6740000000004,396.0,1.2449,0.0122,0.3899,3.7211,29.4779
