Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,49.45,103844824,71089.5452,17.1106,11.2582,11.2582,21.358,34.6329,18.0545,0.9717,44.2901,1.2438,2.89,0.8333,1.8971,55.7099,86128.3015,2925.449,0.3101,29.0645,4.0602,2.665,3.124,2360.0404,2138.577,573.303,0.3043,0.0204,0.1608,4.4761,39.7572
2/28/2007,48.85,42043126,71089.5452,16.903,11.2582,11.2582,21.358,34.6329,18.0545,0.9717,44.2901,1.2438,2.89,0.8333,1.8971,55.7099,85094.9374,2925.449,0.3101,28.7118,4.0602,2.6978,3.1623,2360.0404,2138.577,573.303,0.3043,0.0207,0.1608,4.4218,39.2748
3/30/2007,47.5,49393198,81973.9618,17.0933,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,1.6362,2.7789,0.875,2.0477,56.6499,82863.0663,3538.409,0.2855,23.1132,4.2617,3.4447,3.9072,2839.4356,2817.191,862.8839999999999,0.4694,0.0295,0.2333,3.6613,29.0307
4/30/2007,47.6,44387044,81973.9618,17.1293,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,1.6362,2.7789,0.875,2.0477,56.6499,83201.6147,3538.409,0.2855,23.1619,4.2617,3.4374,3.899,2839.4356,2817.191,862.8839999999999,0.4694,0.0294,0.2333,3.669,29.0918
5/31/2007,49.95,62209546,81973.9618,17.975,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,1.6362,2.7789,0.875,2.0477,56.6499,87257.1685,3538.409,0.2855,24.3054,4.2617,3.2757,3.7156,2839.4356,2817.191,862.8839999999999,0.4694,0.028,0.2333,3.8502,30.5281
6/29/2007,51.43,47995820,81973.9618,18.5058,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,1.6362,2.7789,0.875,2.0477,56.6499,89907.0574,3538.409,0.2855,25.0231,4.2617,3.1818,3.609,2839.4356,2817.191,862.8839999999999,0.4694,0.0272,0.2333,3.9639,31.4326
7/31/2007,52.33,59114280,81973.9618,18.8296,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,1.6362,2.7789,0.875,2.0477,56.6499,91462.075,3538.409,0.2855,25.461,4.2617,3.127,3.547,2839.4356,2817.191,862.8839999999999,0.4694,0.0267,0.2333,4.0333,31.9826
8/31/2007,50.5,30707944,81973.9618,18.1729,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,1.6362,2.7789,0.875,2.0477,56.6499,88308.8448,3538.409,0.2855,24.573,4.2617,3.24,3.6751,2839.4356,2817.191,862.8839999999999,0.4694,0.0277,0.2333,3.8926,30.8642
9/28/2007,52.93,49420202,81973.9618,19.0456,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,1.6362,2.7789,0.875,2.0477,56.6499,92510.221,3538.409,0.2855,25.753,4.2617,3.0916,3.5067,2839.4356,2817.191,862.8839999999999,0.4694,0.0264,0.2333,4.0795,32.3493
10/31/2007,53.33,132047072,81973.9618,19.1895,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,1.6362,2.7789,0.875,2.0477,56.6499,93201.4266,3538.409,0.2855,25.9476,4.2617,3.0684,3.4804,2839.4356,2817.191,862.8839999999999,0.4694,0.0262,0.2333,4.1103,32.5938
11/30/2007,55.43,64602516,81973.9618,19.9452,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,1.6362,2.7789,0.875,2.0477,56.6499,96830.2561,3538.409,0.2855,26.9695,4.2617,2.9521,3.3486,2839.4356,2817.191,862.8839999999999,0.4694,0.0252,0.2333,4.2722,33.8773
12/31/2007,57.1,55601232,81973.9618,20.548,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,1.6362,2.7789,0.875,2.0477,56.6499,99726.4918,3538.409,0.2855,27.7845,4.2617,2.8655,3.2503,2839.4356,2817.191,862.8839999999999,0.4694,0.0245,0.2333,4.4013,34.8979
1/31/2008,46.15,75553916,81973.9618,16.6075,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,1.6362,2.7789,0.875,2.0477,56.6499,80804.4018,3538.409,0.2855,22.4563,4.2617,3.5454,4.0215,2839.4356,2817.191,862.8839999999999,0.4694,0.0303,0.2333,3.5573,28.2056
2/29/2008,49.9,34476058,81973.9618,17.957,12.6121,12.6121,25.8258,49.8563,20.8735,1.1976,43.3501,1.6362,2.7789,0.875,2.0477,56.6499,87284.5744,3538.409,0.2855,24.281,4.2617,3.279,3.7193,2839.4356,2817.191,862.8839999999999,0.4694,0.028,0.2333,3.8463,30.4975
3/31/2008,55.4,31558734,95733.7454,15.5016,14.1013,14.1013,25.587,27.5643,-12.4802,1.1555,38.9264,1.9271,3.5738,0.75,1.8145,61.0736,95004.5995,4226.356,-0.1838,22.6465,4.4486,3.4786,4.035,3393.1471,3329.416,864.023,0.5146,0.0179,0.3042,4.0538,28.7479
