Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,161.62,43846220,24049.1631,12.190999999999999,18.2451,18.2451,24.9037,42.9102,39.8172,1.6043,18.4352,2.7122,13.257,0.5,0.9709,81.5648,42787.1665,1269.07,1.0664,32.649,4.9959,1.6782,2.7052,737.4802,695.34,128.187,0.5347,0.0352,0.0477,10.8719,59.59
2/28/2007,145.43,48974900,24049.1631,10.9697,18.2451,18.2451,24.9037,42.9102,39.8172,1.6043,18.4352,2.7122,13.257,0.5,0.9709,81.5648,38636.4715,1269.07,1.0664,29.3784,4.9959,1.865,3.0063,737.4802,695.34,128.187,0.5347,0.0391,0.0477,9.7828,53.6207
3/30/2007,153.74,53666380,39700.0342,7.4148,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,40830.8813,2505.409,0.5652,15.7366,6.0935,4.7139999999999995,5.7878,1934.5102,1858.57,129.114,0.9224,0.0391,0.0655,5.4413,21.2134
4/30/2007,182.39,41467100,39700.0342,8.7966,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,48514.1473,2505.409,0.5652,18.6692,6.0935,3.9735,4.8787,1934.5102,1858.57,129.114,0.9224,0.0327,0.0655,6.4554,25.1666
5/31/2007,248.74,83654880,39700.0342,11.9969,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,65648.8661,2505.409,0.5652,25.4612,6.0935,2.9135,3.5772,1934.5102,1858.57,129.114,0.9224,0.024,0.0655,8.8039,34.3217
6/29/2007,292.52,120171040,39700.0342,14.1084,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,76954.0878,2505.409,0.5652,29.9425,6.0935,2.4775,3.0419,1934.5102,1858.57,129.114,0.9224,0.0204,0.0655,10.3534,40.3626
7/31/2007,335.04,119794300,39700.0342,16.1589,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,87932.6511,2505.409,0.5652,34.2942,6.0935,2.1631,2.6559,1934.5102,1858.57,129.114,0.9224,0.0178,0.0655,11.8581,46.2296
8/31/2007,293.59,45236612,39700.0342,14.1597,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,77228.5715,2505.409,0.5652,30.0512,6.0935,2.4685,3.0309,1934.5102,1858.57,129.114,0.9224,0.0203,0.0655,10.390999999999998,40.5103
9/28/2007,305.02,22555516,39700.0342,14.7113,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,80181.9377,2505.409,0.5652,31.2219,6.0935,2.376,2.9172,1934.5102,1858.57,129.114,0.9224,0.0195,0.0655,10.7958,42.0874
10/31/2007,430.4,37100624,39700.0342,20.7581,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,112557.2728,2505.409,0.5652,44.0551,6.0935,1.6839,2.0674,1934.5102,1858.57,129.114,0.9224,0.0139,0.0655,15.2332,59.3876
11/30/2007,406.09,20102888,39700.0342,19.5855,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,106279.1047,2505.409,0.5652,41.5666,6.0935,1.7847,2.1912,1934.5102,1858.57,129.114,0.9224,0.0147,0.0655,14.3727,56.0333
12/31/2007,469.02,13306472,39700.0342,22.621,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,122531.3292,2505.409,0.5652,48.0088,6.0935,1.5452,1.8972,1934.5102,1858.57,129.114,0.9224,0.0127,0.0655,16.6003,64.7165
1/31/2008,352.48,14916792,39700.0342,16.9998,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,92434.8562,2505.409,0.5652,36.0789,6.0935,2.0561,2.5245,1934.5102,1858.57,129.114,0.9224,0.0169,0.0655,12.4752,48.636
2/29/2008,343.86,7776532,39700.0342,16.5844,25.6505,25.6505,24.9037,28.7546,26.4458,2.247,6.947,7.2473,20.7341,0.5,0.9709,93.053,90210.8676,2505.409,0.5652,35.1973,6.0935,2.1076,2.5877,1934.5102,1858.57,129.114,0.9224,0.0173,0.0655,12.1704,47.4466
3/31/2008,317.21,8194468,81913.2763,9.5094,33.655,33.655,34.376999999999995,9.993,1.921,2.9211,7.4289,13.4609,33.3579,1.0,1.0215,92.5711,82078.6244,4260.449000000001,0.0388,19.2264,5.1907,4.2435,4.7656,3598.6635,3475.9840000000013,129.114,1.3174,0.0105,0.3283,7.931,23.5653
4/30/2008,375.45,11062056,81913.2763,11.2552,33.655,33.655,34.376999999999995,9.993,1.921,2.9211,7.4289,13.4609,33.3579,1.0,1.0215,92.5711,97117.1814,4260.449000000001,0.0388,22.7563,5.1907,3.5853,4.0264,3598.6635,3475.9840000000013,129.114,1.3174,0.0089,0.3283,9.387,27.8919
5/30/2008,370.36,12162832,81913.2763,11.1027,33.655,33.655,34.376999999999995,9.993,1.921,2.9211,7.4289,13.4609,33.3579,1.0,1.0215,92.5711,95975.2827,4260.449000000001,0.0388,22.4479,5.1907,3.6345,4.0817,3598.6635,3475.9840000000013,129.114,1.3174,0.009000000000000001,0.3283,9.2598,27.5138
6/30/2008,334.21,19926700,81913.2763,10.019,33.655,33.655,34.376999999999995,9.993,1.921,2.9211,7.4289,13.4609,33.3579,1.0,1.0215,92.5711,86623.5714,4260.449000000001,0.0388,20.2568,5.1907,4.0276,4.5232,3598.6635,3475.9840000000013,129.114,1.3174,0.01,0.3283,8.356,24.8282
7/31/2008,351.26,7700632,81913.2763,10.5301,33.655,33.655,34.376999999999995,9.993,1.921,2.9211,7.4289,13.4609,33.3579,1.0,1.0215,92.5711,91034.2738,4260.449000000001,0.0388,21.2902,5.1907,3.8321,4.3036,3598.6635,3475.9840000000013,129.114,1.3174,0.0095,0.3283,8.7823,26.0948
8/29/2008,381.61,12150508,81913.2763,11.4399,33.655,33.655,34.376999999999995,9.993,1.921,2.9211,7.4289,13.4609,33.3579,1.0,1.0215,92.5711,98963.5717,4260.449000000001,0.0388,23.1298,5.1907,3.5274,3.9614,3598.6635,3475.9840000000013,129.114,1.3174,0.0087,0.3283,9.5411,28.3495
9/30/2008,333.8,18152852,81913.2763,10.0066,33.655,33.655,34.376999999999995,9.993,1.921,2.9211,7.4289,13.4609,33.3579,1.0,1.0215,92.5711,86585.0879,4260.449000000001,0.0388,20.2318,5.1907,4.0326,4.5288,3598.6635,3475.9840000000013,129.114,1.3174,0.01,0.3283,8.3457,24.7977
10/31/2008,276.42,10025480,81913.2763,8.2866,33.655,33.655,34.376999999999995,9.993,1.921,2.9211,7.4289,13.4609,33.3579,1.0,1.0215,92.5711,71730.7977,4260.449000000001,0.0388,16.7543,5.1907,4.8696,5.4688,3598.6635,3475.9840000000013,129.114,1.3174,0.012,0.3283,6.9112,20.535
11/28/2008,306.61,10291864,81913.2763,9.1916,33.655,33.655,34.376999999999995,9.993,1.921,2.9211,7.4289,13.4609,33.3579,1.0,1.0215,92.5711,79576.2661,4260.449000000001,0.0388,18.584,5.1907,4.3902,4.9303,3598.6635,3475.9840000000013,129.114,1.3174,0.0108,0.3283,7.666,22.7778
12/31/2008,333.81,7316284,81913.2763,10.007,33.655,33.655,34.376999999999995,9.993,1.921,2.9211,7.4289,13.4609,33.3579,1.0,1.0215,92.5711,86620.9066,4260.449000000001,0.0388,20.2326,5.1907,4.0325,4.5286,3598.6635,3475.9840000000013,129.114,1.3174,0.01,0.3283,8.346,24.7985
1/30/2009,221.2,41626296,81913.2763,6.6311,33.655,33.655,34.376999999999995,9.993,1.921,2.9211,7.4289,13.4609,33.3579,1.0,1.0215,92.5711,57455.3917,4260.449000000001,0.0388,13.4071,5.1907,6.0854,6.8341,3598.6635,3475.9840000000013,129.114,1.3174,0.015,0.3283,5.5305,16.4328
2/27/2009,217.1,21502468,81913.2763,6.5082,33.655,33.655,34.376999999999995,9.993,1.921,2.9211,7.4289,13.4609,33.3579,1.0,1.0215,92.5711,56401.325999999994,4260.449000000001,0.0388,13.1586,5.1907,6.2003,6.9632,3598.6635,3475.9840000000013,129.114,1.3174,0.0153,0.3283,5.428,16.1282
3/31/2009,236.07,18666656,61151.003,4.926,35.2985,35.2985,30.5571,4.2404,-10.77,4.4031,9.3387,16.0955,47.924,1.5,0.8657,90.6613,59814.0145,5224.532,-0.2559,11.6967,8.7346,6.8179,7.7664,4413.8744,4166.418,129.516,2.1214,0.0086,0.8739,5.1773,14.6668
