Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,743.05,10862660,109013.6618,5.5091,6.2529,6.2529,3.2128,150.6568,103.2942,2.0634,26.1346,9.5843,134.8778,2.5,0.5138,73.8654,145997.7228,3453.383,6.1882,32.9404,2.6486,1.2899,1.4975,1254.3637,1467.2979999999998,383.473,1.1546,0.2501,0.7592,4.8477,77.5278
2/28/2007,676.9,10446617,109013.6618,5.0186,6.2529,6.2529,3.2128,150.6568,103.2942,2.0634,26.1346,9.5843,134.8778,2.5,0.5138,73.8654,134902.7732,3453.383,6.1882,30.0079,2.6486,1.4159,1.6438,1254.3637,1467.2979999999998,383.473,1.1546,0.2745,0.7592,4.4162,70.6259
3/30/2007,728.25,14392557,122282.0451,3.0591,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,128432.1907,16720.39,0.3723,6.9057,13.0102,8.3651,11.1975,10068.2584,9658.878,839.561,1.8299,0.2033,1.289,1.7944,11.9544
4/30/2007,708.45,11003810,122282.0451,2.9760000000000004,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,125118.2078,16720.39,0.3723,6.7179,13.0102,8.5989,11.5104,10068.2584,9658.878,839.561,1.8299,0.2089,1.289,1.7457,11.6294
5/31/2007,647.15,18473157,122282.0451,2.7185,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,114831.657,16720.39,0.3723,6.1367,13.0102,9.4134,12.6008,10068.2584,9658.878,839.561,1.8299,0.2287,1.289,1.5946,10.6231
6/29/2007,657.25,9625129,122282.0451,2.7609,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,116526.5047,16720.39,0.3723,6.2324,13.0102,9.2688,12.4071,10068.2584,9658.878,839.561,1.8299,0.2252,1.289,1.6195,10.7889
7/31/2007,634.05,7421294,122282.0451,2.6634,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,112720.6949,16720.39,0.3723,6.0124,13.0102,9.6079,12.8611,10068.2584,9658.878,839.561,1.8299,0.2333,1.289,1.5623,10.4081
8/31/2007,640.65,6313814,122282.0451,2.6912,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,113859.6276,16720.39,0.3723,6.075,13.0102,9.509,12.7286,10068.2584,9658.878,839.561,1.8299,0.2308,1.289,1.5786,10.5164
9/28/2007,650.05,5265444,122282.0451,2.7307,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,115438.7525,16720.39,0.3723,6.1642,13.0102,9.3715,12.5445,10068.2584,9658.878,839.561,1.8299,0.2274,1.289,1.6018,10.6707
10/31/2007,621.6,12227814,122282.0451,2.6111,15.0108,15.0108,13.7515,62.121,15.5693,2.5975,6.5191,60.9191,238.0566,3.75,0.9161,93.4809,110659.3799,16720.39,0.3723,5.8944,13.0102,9.8004,13.1187,10068.2584,9658.878,839.561,1.8299,0.2379,1.289,1.5317,10.2037
