Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,84.35,631905,10609.5253,4.6217,16.3249,16.3249,12.6309,9.6074,-15.8772,4.0067,24.8209,2.6859,18.2508,0.6667,0.7737,75.1791,14942.4219,546.899,-0.972,28.2941,5.4267,3.1842,3.1016,470.9571,492.729,122.3,2.4589,0.0208,1.7115,5.1268,31.4047
2/28/2007,71.33,358251,10609.5253,3.9085,16.3249,16.3249,12.6309,9.6074,-15.8772,4.0067,24.8209,2.6859,18.2508,0.6667,0.7737,75.1791,12554.5143,546.899,-0.972,23.9278,5.4267,3.7653,3.6675,470.9571,492.729,122.3,2.4589,0.0246,1.7115,4.3356,26.5572
3/30/2007,65.13,2239875,11948.71,5.2096,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,11466.7203,671.698,-0.7176,18.0783,5.8578,5.4521,5.1469,553.4164,662.062,124.29,1.7439,0.0318,1.1424,2.3431,18.3403
4/30/2007,66.87,334851,11948.71,5.3482,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,11784.7003,671.698,-0.7176,18.5594,5.8578,5.3108,5.0135,553.4164,662.062,124.29,1.7439,0.031,1.1424,2.4054,18.8303
5/31/2007,73.07,568494,11948.71,5.8441,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,12922.0903,671.698,-0.7176,20.2803,5.8578,4.8602,4.5881,553.4164,662.062,124.29,1.7439,0.0283,1.1424,2.6285,20.5761
6/29/2007,68.27,2333421,11948.71,5.4602,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,12041.5303,671.698,-0.7176,18.948,5.8578,5.2019,4.9107,553.4164,662.062,124.29,1.7439,0.0303,1.1424,2.4558,19.2245
7/31/2007,74.82,1456332,11948.71,5.9841,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,13243.1278,671.698,-0.7176,20.766,5.8578,4.7465,4.4807,553.4164,662.062,124.29,1.7439,0.0277,1.1424,2.6914,21.0689
8/31/2007,75.63,4075542,11948.71,6.0494,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,13392.9453,671.698,-0.7176,20.9927,5.8578,4.6952,4.4324,553.4164,662.062,124.29,1.7439,0.0274,1.1424,2.7208,21.296999999999997
9/28/2007,73.12,2667351,11948.71,5.8481,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,12931.2628,671.698,-0.7176,20.2942,5.8578,4.8568,4.5849,553.4164,662.062,124.29,1.7439,0.0283,1.1424,2.6303,20.5902
10/31/2007,91.4,5387745,11948.71,7.3105,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,16558.1691,671.698,-0.7176,25.3689,5.8578,3.8853,3.6678,553.4164,662.062,124.29,1.7439,0.0223,1.1424,3.2880000000000003,25.7378
11/30/2007,90.97,830022,11948.71,7.2759,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,16477.3806,671.698,-0.7176,25.2486,5.8578,3.9038,3.6852,553.4164,662.062,124.29,1.7439,0.0224,1.1424,3.2724,25.6167
12/31/2007,106.43,10429893,11948.71,8.5129,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,19360.9086,671.698,-0.7176,29.5415,5.8578,3.3365,3.1497,553.4164,662.062,124.29,1.7439,0.0191,1.1424,3.8288,29.9702
1/31/2008,90.8,2037279,11948.71,7.2625,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,16446.3081,671.698,-0.7176,25.2023,5.8578,3.911,3.692,553.4164,662.062,124.29,1.7439,0.0224,1.1424,3.2664,25.5688
2/29/2008,90.5,622596,11948.71,7.2385,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,16390.3776,671.698,-0.7176,25.119,5.8578,3.9239,3.7042,553.4164,662.062,124.29,1.7439,0.0225,1.1424,3.2556,25.4843
3/31/2008,94.77,1557636,17667.8735,6.1698,15.5796,15.5796,20.4895,43.8463,12.8536,1.9993,31.0081,4.8374,15.3598,1.5,1.3151,68.9919,18042.1777,955.441,0.386,18.4919,5.2956,5.1046,4.9887,776.3872,901.87,125.04,0.6082,0.0712,0.4235,3.0521,19.5911
4/30/2008,83.1,305247,17667.8735,5.4102,15.5796,15.5796,20.4895,43.8463,12.8536,1.9993,31.0081,4.8374,15.3598,1.5,1.3151,68.9919,15867.1026,955.441,0.386,16.2153,5.2956,5.8212,5.6891,776.3872,901.87,125.04,0.6082,0.0812,0.4235,2.6763,17.1786
5/30/2008,105.88,1631934,17667.8735,6.8935,15.5796,15.5796,20.4895,43.8463,12.8536,1.9993,31.0081,4.8374,15.3598,1.5,1.3151,68.9919,20114.7134,955.441,0.386,20.6611,5.2956,4.5686,4.4649,776.3872,901.87,125.04,0.6082,0.0637,0.4235,3.4101,21.8878
6/30/2008,83.33,2367231,17667.8735,5.4254,15.5796,15.5796,20.4895,43.8463,12.8536,1.9993,31.0081,4.8374,15.3598,1.5,1.3151,68.9919,15910.6041,955.441,0.386,16.2609,5.2956,5.8049,5.6732,776.3872,901.87,125.04,0.6082,0.081,0.4235,2.6839,17.2262
7/31/2008,81.4,482613,17667.8735,5.2995,15.5796,15.5796,20.4895,43.8463,12.8536,1.9993,31.0081,4.8374,15.3598,1.5,1.3151,68.9919,15550.1631,955.441,0.386,15.8836,5.2956,5.9428,5.8079,776.3872,901.87,125.04,0.6082,0.0829,0.4235,2.6216,16.8272
8/29/2008,100.33,534447,17667.8735,6.5322,15.5796,15.5796,20.4895,43.8463,12.8536,1.9993,31.0081,4.8374,15.3598,1.5,1.3151,68.9919,19079.9992,955.441,0.386,19.5781,5.2956,4.8214,4.7119,776.3872,901.87,125.04,0.6082,0.0673,0.4235,3.2314,20.7405
9/30/2008,96.43,964065,17667.8735,6.2783,15.5796,15.5796,20.4895,43.8463,12.8536,1.9993,31.0081,4.8374,15.3598,1.5,1.3151,68.9919,18352.9027,955.441,0.386,18.8171,5.2956,5.0164,4.9025,776.3872,901.87,125.04,0.6082,0.07,0.4235,3.1058,19.9343
10/31/2008,76.65,3306636,17667.8735,4.9903,15.5796,15.5796,20.4895,43.8463,12.8536,1.9993,31.0081,4.8374,15.3598,1.5,1.3151,68.9919,14664.5969,955.441,0.386,14.9567,5.2956,6.3111,6.1678,776.3872,901.87,125.04,0.6082,0.08800000000000001,0.4235,2.4686,15.8453
11/28/2008,77.9,1165131,17667.8735,5.0717,15.5796,15.5796,20.4895,43.8463,12.8536,1.9993,31.0081,4.8374,15.3598,1.5,1.3151,68.9919,14897.6406,955.441,0.386,15.2007,5.2956,6.2098,6.0689,776.3872,901.87,125.04,0.6082,0.0866,0.4235,2.5089,16.1037
12/31/2008,74.57,767706,17667.8735,4.8547,15.5796,15.5796,20.4895,43.8463,12.8536,1.9993,31.0081,4.8374,15.3598,1.5,1.3151,68.9919,14276.1906,955.441,0.386,14.5502,5.2956,6.4874,6.3401,776.3872,901.87,125.04,0.6082,0.0905,0.4235,2.4015,15.4153
1/30/2009,67.92,2213751,17667.8735,4.4217,15.5796,15.5796,20.4895,43.8463,12.8536,1.9993,31.0081,4.8374,15.3598,1.5,1.3151,68.9919,13036.3979,955.441,0.386,13.2526,5.2956,7.1226,6.9609,776.3872,901.87,125.04,0.6082,0.0994,0.4235,2.1873,14.0406
2/27/2009,67.67,1162572,17667.8735,4.4054,15.5796,15.5796,20.4895,43.8463,12.8536,1.9993,31.0081,4.8374,15.3598,1.5,1.3151,68.9919,12989.7891,955.441,0.386,13.2038,5.2956,7.1489,6.9867,776.3872,901.87,125.04,0.6082,0.0997,0.4235,2.1793,13.9889
3/31/2009,68.65,3367662,12798.7992,4.2485,11.9893,11.9893,12.4158,148.7853,133.2691,0.9914,37.062,4.8176,16.1586,1.5,1.0356,62.938,16813.5498,1423.6729999999998,2.82,9.1945,8.4674,7.0176,10.238,1161.7509,918.599,131.311,0.4287,0.3502,0.1701,1.7085,14.2498
4/29/2009,67.03,233949,12798.7992,4.1485,11.9893,11.9893,12.4158,148.7853,133.2691,0.9914,37.062,4.8176,16.1586,1.5,1.0356,62.938,16512.1466,1423.6729999999998,2.82,8.978,8.4674,7.1868,10.485,1161.7509,918.599,131.311,0.4287,0.3587,0.1701,1.6682,13.9136
5/29/2009,111.8,9327186,12798.7992,6.9189,11.9893,11.9893,12.4158,148.7853,133.2691,0.9914,37.062,4.8176,16.1586,1.5,1.0356,62.938,24858.2202,1423.6729999999998,2.82,14.9737,8.4674,4.3091,6.2866,1161.7509,918.599,131.311,0.4287,0.215,0.1701,2.7823,23.2066
6/30/2009,121.67,5890242,12798.7992,7.5295,11.9893,11.9893,12.4158,148.7853,133.2691,0.9914,37.062,4.8176,16.1586,1.5,1.0356,62.938,26697.7122,1423.6729999999998,2.82,16.2952,8.4674,3.9596,5.7768,1161.7509,918.599,131.311,0.4287,0.1976,0.1701,3.0279,25.2553
