Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,45.84,8264052,48229.6665,3.1697,17.7201,17.7201,8.7893,0.0,-78.6933,2.1732,31.4549,2.1194,14.4612,0.6667,0.496,68.5451,23220.0055,1560.094,-4.9155,19.7992,3.8463,4.6238,4.7404,1137.8495,1428.234,561.562,1.5943,0,1.2253,3.8324,21.6288
2/28/2007,40.59,1517124,48229.6665,2.8067,17.7201,17.7201,8.7893,0.0,-78.6933,2.1732,31.4549,2.1194,14.4612,0.6667,0.496,68.5451,19682.1711,1560.094,-4.9155,17.5315,3.8463,5.2219,5.3536,1137.8495,1428.234,561.562,1.5943,0,1.2253,3.3934,19.1516
3/30/2007,37.6,1410396,25340.4407,2.3962,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,15739.9896,1143.253,-8.3975,22.1652,7.2634,5.7272,4.1815,668.0972,1451.303,561.562,1.7242,0,1.4373,4.348,17.4583
4/30/2007,41.58,1392060,25340.4407,2.6495,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,18418.6356,1143.253,-8.3975,24.5082,7.2634,5.1797,3.7818,668.0972,1451.303,561.562,1.7242,0,1.4373,4.8076,19.3063
5/31/2007,39.64,2048928,25340.4407,2.5261,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,17113.0062,1143.253,-8.3975,23.3662,7.2634,5.4329,3.9666,668.0972,1451.303,561.562,1.7242,0,1.4373,4.5835,18.4055
6/29/2007,42.53,3866076,25340.4407,2.7103,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,19061.623,1143.253,-8.3975,25.0706,7.2634,5.0635,3.6969,668.0972,1451.303,561.562,1.7242,0,1.4373,4.9179,19.7474
7/31/2007,39.9,5069352,25340.4407,2.5422,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,17284.2824,1143.253,-8.3975,23.516,7.2634,5.3982,3.9413,668.0972,1451.303,561.562,1.7242,0,1.4373,4.6129,18.5263
8/31/2007,37.53,3892200,25340.4407,2.3914,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,15689.4491,1143.253,-8.3975,22.121,7.2634,5.7387,4.1899,668.0972,1451.303,561.562,1.7242,0,1.4373,4.3393,17.4258
9/28/2007,50.88,37732380,25340.4407,3.2421,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,24685.5936,1143.253,-8.3975,29.99,7.2634,4.2329,3.0905,668.0972,1451.303,561.562,1.7242,0,1.4373,5.8829,23.6245
10/31/2007,69.06,30530412,25340.4407,4.4008,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,36938.8324,1143.253,-8.3975,40.7078,7.2634,3.1184,2.2768,668.0972,1451.303,561.562,1.7242,0,1.4373,7.9853,32.0657
11/30/2007,68.6,48115740,25340.4407,4.3711,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,36624.3588,1143.253,-8.3975,40.4328,7.2634,3.1397,2.2923,668.0972,1451.303,561.562,1.7242,0,1.4373,7.9314,31.8522
12/31/2007,79.15,8350020,25340.4407,5.0439,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,43739.3238,1143.253,-8.3975,46.6562,7.2634,2.7209,1.9865,668.0972,1451.303,561.562,1.7242,0,1.4373,9.1522,36.7507
1/31/2008,70.88,14008836,25340.4407,4.5168,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,38165.841,1143.253,-8.3975,41.7811,7.2634,3.0383,2.2183,668.0972,1451.303,561.562,1.7242,0,1.4373,8.1958,32.9108
2/29/2008,69.15,4220856,25340.4407,4.4064,24.9017,24.9017,8.7274,0.0,-90.7828,2.1937,36.7601,2.1537,15.6931,0.7917,0.3505,63.2399,36997.7962,1143.253,-8.3975,40.7594,7.2634,3.1145,2.2739,668.0972,1451.303,561.562,1.7242,0,1.4373,7.9954,32.1075
3/31/2008,55.65,4810152,37498.2366,3.175,26.2766,26.2766,10.2198,0.0,-107.5546,1.9129,31.1937,2.9385,17.5265,0.9167,0.3889,68.8063,24795.2902,1815.499,-6.9969,20.6545,7.3219,5.2808,4.5637,1077.0514,1980.208,561.562,1.5037,0,1.3113,4.9759,18.9382
4/30/2008,56.81,1590588,37498.2366,3.2415,26.2766,26.2766,10.2198,0.0,-107.5546,1.9129,31.1937,2.9385,17.5265,0.9167,0.3889,68.8063,25581.4741,1815.499,-6.9969,21.0875,7.3219,5.1724,4.47,1077.0514,1980.208,561.562,1.5037,0,1.3113,5.0802,19.333
5/30/2008,50.88,1085436,37498.2366,2.9032,26.2766,26.2766,10.2198,0.0,-107.5546,1.9129,31.1937,2.9385,17.5265,0.9167,0.3889,68.8063,21585.9749,1815.499,-6.9969,18.8868,7.3219,5.7751,4.9909,1077.0514,1980.208,561.562,1.5037,0,1.3113,4.55,17.315
