Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,43.49,34671857,19796.25,6.2605,4.7758,4.7758,6.1347,57.5651,54.3286,1.0501,31.8654,0.9069,6.9472,0.289,1.2845,68.1346,36896.0225,2300.9655,1.2916,14.7166,10.0788,2.0852,5.1298,1010.1582,706.0948,750,0.4225,0.093,0.0376,2.2903,47.9546
2/28/2007,44.84,42101522,19796.25,6.4546,4.7758,4.7758,6.1347,57.5651,54.3286,1.0501,31.8654,0.9069,6.9472,0.289,1.2845,68.1346,37946.0225,2300.9655,1.2916,15.173,10.0788,2.0225,4.9755,1010.1582,706.0948,750,0.4225,0.0902,0.0376,2.3614,49.4432
3/30/2007,40.94,14601884,31875.0,5.5833,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,0.8803,7.3326,0.3372,1.528,55.1946,35778.9667,3203.3417,1.1962,9.9505,8.9531,2.1503,8.2973,1204.911,685.409,750,0.3463,0.121,0.0048,1.6092,46.5069
4/30/2007,41.95,13924115,31875.0,5.7212,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,0.8803,7.3326,0.3372,1.528,55.1946,36566.4667,3203.3417,1.1962,10.1964,8.9531,2.0985,8.0973,1204.911,685.409,750,0.3463,0.1181,0.0048,1.6489,47.6542
5/31/2007,44.46,10333936,31875.0,6.0628,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,0.8803,7.3326,0.3372,1.528,55.1946,38516.4667,3203.3417,1.1962,10.8051,8.9531,1.9802,7.6411,1204.911,685.409,750,0.3463,0.1114,0.0048,1.7474,50.5055
6/29/2007,46.53,10649539,31875.0,6.3452,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,0.8803,7.3326,0.3372,1.528,55.1946,40128.9667,3203.3417,1.1962,11.3085,8.9531,1.8921,7.301,1204.911,685.409,750,0.3463,0.1065,0.0048,1.8288,52.857
7/31/2007,53.56,50239346,31875.0,7.3043,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,0.8803,7.3326,0.3372,1.528,55.1946,45603.9667,3203.3417,1.1962,13.0177,8.9531,1.6437,6.3424,1204.911,685.409,750,0.3463,0.0925,0.0048,2.1052,60.8429
8/31/2007,60.98,28051857,31875.0,8.3158,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,0.8803,7.3326,0.3372,1.528,55.1946,51378.9667,3203.3417,1.1962,14.8205,8.9531,1.4437,5.5709,1204.911,685.409,750,0.3463,0.0812,0.0048,2.3967,69.2718
9/28/2007,60.78,11375476,31875.0,8.2895,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,0.8803,7.3326,0.3372,1.528,55.1946,51228.9667,3203.3417,1.1962,14.7736,8.9531,1.4483,5.5885,1204.911,685.409,750,0.3463,0.0815,0.0048,2.3892,69.0446
10/31/2007,72.82,24495160,31875.0,9.9317,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,0.8803,7.3326,0.3372,1.528,55.1946,60603.9667,3203.3417,1.1962,17.7003,8.9531,1.2088,4.6645,1204.911,685.409,750,0.3463,0.068,0.0048,2.8624,82.7218
11/30/2007,68.78,14550227,31875.0,9.3799,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,0.8803,7.3326,0.3372,1.528,55.1946,57453.9667,3203.3417,1.1962,16.7169,8.9531,1.2799,4.9389,1204.911,685.409,750,0.3463,0.07200000000000001,0.0048,2.7034,78.1325
12/31/2007,75.2,16093991,31875.0,10.2556,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,0.8803,7.3326,0.3372,1.528,55.1946,64063.9667,3203.3417,1.1962,18.2776,8.9531,1.1707,4.5172,1204.911,685.409,750,0.3463,0.0641,0.0048,2.9558,85.4254
1/31/2008,83.35,61584879,31875.0,11.3671,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,0.8803,7.3326,0.3372,1.528,55.1946,70583.9667,3203.3417,1.1962,20.2584,8.9531,1.0562,4.0755,1204.911,685.409,750,0.3463,0.0578,0.0048,3.2761,94.6836
2/29/2008,75.3,17446342,31875.0,10.2692,3.4602,3.4602,5.2874,66.7148,66.286,1.2156,44.8054,0.8803,7.3326,0.3372,1.528,55.1946,64143.9667,3203.3417,1.1962,18.3019,8.9531,1.1691,4.5112,1204.911,685.409,750,0.3463,0.064,0.0048,2.9597,85.539
3/31/2008,67.65,23589639,54120.0,6.3924,5.5161,5.5161,9.9828,50.4157,49.6566,1.3774,19.4684,2.1663,10.5829,0.4,1.8098,80.5316,58444.5635,4903.7305,0.8655,10.4673,8.3904,3.2023,8.3061,2392.7223,1643.6884,800,0.4163,0.0796,0.0091,1.7225,31.2284
4/30/2008,73.3,15979640,54120.0,6.9263,5.5161,5.5161,9.9828,50.4157,49.6566,1.3774,19.4684,2.1663,10.5829,0.4,1.8098,80.5316,62964.5635,4903.7305,0.8655,11.3415,8.3904,2.9554,7.6659,2392.7223,1643.6884,800,0.4163,0.0735,0.0091,1.8664,33.8365
5/30/2008,74.7,10866625,54120.0,7.0586,5.5161,5.5161,9.9828,50.4157,49.6566,1.3774,19.4684,2.1663,10.5829,0.4,1.8098,80.5316,64084.5635,4903.7305,0.8655,11.5582,8.3904,2.9,7.5222,2392.7223,1643.6884,800,0.4163,0.0721,0.0091,1.9021,34.4828
6/30/2008,64.8,8949578,54120.0,6.1231,5.5161,5.5161,9.9828,50.4157,49.6566,1.3774,19.4684,2.1663,10.5829,0.4,1.8098,80.5316,56164.5635,4903.7305,0.8655,10.0264,8.3904,3.3431,8.6714,2392.7223,1643.6884,800,0.4163,0.0831,0.0091,1.65,29.9128
7/31/2008,68.45,10279711,54120.0,6.468,5.5161,5.5161,9.9828,50.4157,49.6566,1.3774,19.4684,2.1663,10.5829,0.4,1.8098,80.5316,59084.5635,4903.7305,0.8655,10.5911,8.3904,3.1648,8.209,2392.7223,1643.6884,800,0.4163,0.0787,0.0091,1.7429,31.5977
8/29/2008,69.95,6853512,54120.0,6.6097,5.5161,5.5161,9.9828,50.4157,49.6566,1.3774,19.4684,2.1663,10.5829,0.4,1.8098,80.5316,60284.5635,4903.7305,0.8655,10.8232,8.3904,3.097,8.033,2392.7223,1643.6884,800,0.4163,0.077,0.0091,1.7811,32.2901
9/30/2008,60.0,12392815,54120.0,5.6695,5.5161,5.5161,9.9828,50.4157,49.6566,1.3774,19.4684,2.1663,10.5829,0.4,1.8098,80.5316,52324.5635,4903.7305,0.8655,9.2837,8.3904,3.6106,9.3651,2392.7223,1643.6884,800,0.4163,0.0898,0.0091,1.5278,27.697
