Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,105.47,44349147,269340.0346,2.3169,16.9186,16.9186,14.5915,20.4165,-24.0918,1.9384,34.6713,10.8159,45.5225,3.75,0.8625,65.3287,213107.8157,38064.5,-0.6497,6.2483,15.5614,10.255,13.4696,22553.9277,24390.5,8456.5,1.4024,0.0881,1.1972,1.6498,9.7514
2/28/2007,106.09,40403961,269340.0346,2.3304,16.9186,16.9186,14.5915,20.4165,-24.0918,1.9384,34.6713,10.8159,45.5225,3.75,0.8625,65.3287,214503.1408,38064.5,-0.6497,6.285,15.5614,10.1952,13.390999999999998,22553.9277,24390.5,8456.5,1.4024,0.0876,1.1972,1.6595,9.8087
3/30/2007,99.21,24220763,223717.1308,1.8922,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,232973.0338,32440.3,0.2853,6.8963,13.9245,11.2221,11.7229,21558.8087,25105.8,8456.5,0.7231,0.1638,0.5553,1.4032,8.9113
4/30/2007,111.15,35635902,223717.1308,2.12,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,259907.0376,32440.3,0.2853,7.7265,13.9245,10.0162,10.4632,21558.8087,25105.8,8456.5,0.7231,0.1462,0.5553,1.5722,9.9837
5/31/2007,114.51,41580528,223717.1308,2.184,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,267475.6195,32440.3,0.2853,7.9598,13.9245,9.7227,10.1565,21558.8087,25105.8,8456.5,0.7231,0.1419,0.5553,1.6196,10.2855
6/29/2007,116.36,35549814,223717.1308,2.2195,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,271661.595,32440.3,0.2853,8.0889,13.9245,9.5676,9.9945,21558.8087,25105.8,8456.5,0.7231,0.1396,0.5553,1.6459,10.4517
7/31/2007,126.84,29353330,223717.1308,2.4194,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,295297.5575,32440.3,0.2853,8.8175,13.9245,8.777000000000001,9.1687,21558.8087,25105.8,8456.5,0.7231,0.1281,0.5553,1.7941,11.3931
8/31/2007,116.21,28197426,223717.1308,2.2166,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,271323.3344,32440.3,0.2853,8.0785,13.9245,9.5799,10.0074,21558.8087,25105.8,8456.5,0.7231,0.1398,0.5553,1.6438,10.4382
9/28/2007,142.13,54440506,223717.1308,2.7108,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,329757.9995,32440.3,0.2853,9.8797,13.9245,7.8333,8.1829,21558.8087,25105.8,8456.5,0.7231,0.1143,0.5553,2.0103,12.7664
10/31/2007,154.46,87980067,223717.1308,2.9462,15.7472,15.7472,12.7956,30.9895,7.8287,1.628,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,357579.9495,32440.3,0.2853,10.7374,13.9245,7.2076,7.5293,21558.8087,25105.8,8456.5,0.7231,0.1052,0.5553,2.1848,13.8739
