Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,599.95,916403,23847.5928,4.649,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,22566.8772,2203.57,-1.2091,11.4502,10.4024,5.0308,7.0408,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.2691,19.8776
2/28/2007,558.0,288440,23847.5928,4.324,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,20802.648999999998,2203.57,-1.2091,10.6495,10.4024,5.409,7.5701,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.1105,18.4877
3/30/2007,538.95,293248,23847.5928,4.1763,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,20001.4917,2203.57,-1.2091,10.286,10.4024,5.6002,7.8377,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.0384,17.8566
4/30/2007,532.0,967381,23847.5928,4.1225,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,19709.206000000002,2203.57,-1.2091,10.1533,10.4024,5.6734,7.9401,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.0121,17.6263
5/31/2007,550.0,1176956,23847.5928,4.262,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,20466.205,2203.57,-1.2091,10.4969,10.4024,5.4877,7.6802,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.0802,18.2227
6/29/2007,577.75,522703,23847.5928,4.477,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,21633.2451,2203.57,-1.2091,11.0265,10.4024,5.2241,7.3113,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.1852,19.1421
7/31/2007,600.25,552444,23847.5928,4.6514,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,22579.4939,2203.57,-1.2091,11.4559,10.4024,5.0283,7.0373,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.2703,19.8875
8/31/2007,619.05,561174,23847.5928,4.797,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,23370.1373,2203.57,-1.2091,11.8147,10.4024,4.8756,6.8236,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.3414,20.5104
9/28/2007,658.2,196203,23847.5928,5.1004,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,25016.939,2203.57,-1.2091,12.5619,10.4024,4.5856,6.4177,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.4894,21.8076
10/31/2007,661.75,413958,23847.5928,5.1279,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,25166.2378,2203.57,-1.2091,12.6296,10.4024,4.561,6.3833,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.5029,21.9252
11/30/2007,721.1,351988,23847.5928,5.5878,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,27662.2614,2203.57,-1.2091,13.7623,10.4024,4.1856,5.8579,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.7273,23.8916
12/31/2007,740.15,379258,31127.4066,4.8159,12.7243,12.7243,19.2693,0.0,-60.3808,2.6847,31.023000000000003,38.6811,153.6896,12,1.5144,68.977,27225.0381,2626.2901,-1.486,11.8522,9.6467,5.2261,7.0399,1454.7384,1626.754,420.56,1.6740000000000002,0.0,1.5644,2.4347,19.1347
1/31/2008,611.25,150198,31127.4066,3.9772,12.7243,12.7243,19.2693,0.0,-60.3808,2.6847,31.023000000000003,38.6811,153.6896,12,1.5144,68.977,21804.0198,2626.2901,-1.486,9.7881,9.6467,6.3282,8.5245,1454.7384,1626.754,420.56,1.6740000000000002,0.0,1.5644,2.0107,15.8023
2/29/2008,616.3,278525,31127.4066,4.01,12.7243,12.7243,19.2693,0.0,-60.3808,2.6847,31.023000000000003,38.6811,153.6896,12,1.5144,68.977,22016.4026,2626.2901,-1.486,9.869,9.6467,6.2763,8.4547,1454.7384,1626.754,420.56,1.6740000000000002,0.0,1.5644,2.0273,15.9328
3/31/2008,616.5,1206653,31127.4066,4.0113,12.7243,12.7243,19.2693,0.0,-60.3808,2.6847,31.023000000000003,38.6811,153.6896,12,1.5144,68.977,22024.8138,2626.2901,-1.486,9.8722,9.6467,6.2743,8.4519,1454.7384,1626.754,420.56,1.6740000000000002,0.0,1.5644,2.028,15.937999999999999
4/30/2008,665.65,276909,31127.4066,4.3311,12.7243,12.7243,19.2693,0.0,-60.3808,2.6847,31.023000000000003,38.6811,153.6896,12,1.5144,68.977,24091.8662,2626.2901,-1.486,10.6592,9.6467,5.811,7.8278,1454.7384,1626.754,420.56,1.6740000000000002,0.0,1.5644,2.1897,17.2087
5/30/2008,739.2,501214,31127.4066,4.8097,12.7243,12.7243,19.2693,0.0,-60.3808,2.6847,31.023000000000003,38.6811,153.6896,12,1.5144,68.977,27185.0849,2626.2901,-1.486,11.837,9.6467,5.2328,7.0489999999999995,1454.7384,1626.754,420.56,1.6740000000000002,0.0,1.5644,2.4316,19.1101
6/30/2008,646.2,220793,31127.4066,4.2046,12.7243,12.7243,19.2693,0.0,-60.3808,2.6847,31.023000000000003,38.6811,153.6896,12,1.5144,68.977,23273.877,2626.2901,-1.486,10.3478,9.6467,5.9859,8.0635,1454.7384,1626.754,420.56,1.6740000000000002,0.0,1.5644,2.1257,16.7058
7/31/2008,643.0,269740,31127.4066,4.1838,12.7243,12.7243,19.2693,0.0,-60.3808,2.6847,31.023000000000003,38.6811,153.6896,12,1.5144,68.977,23139.2978,2626.2901,-1.486,10.2965,9.6467,6.0157,8.1036,1454.7384,1626.754,420.56,1.6740000000000002,0.0,1.5644,2.1152,16.6231
8/29/2008,656.5,195252,31127.4066,4.2716,12.7243,12.7243,19.2693,0.0,-60.3808,2.6847,31.023000000000003,38.6811,153.6896,12,1.5144,68.977,23707.0538,2626.2901,-1.486,10.5127,9.6467,5.892,7.937,1454.7384,1626.754,420.56,1.6740000000000002,0.0,1.5644,2.1596,16.9721
9/30/2008,623.0,243380,31127.4066,4.0536,12.7243,12.7243,19.2693,0.0,-60.3808,2.6847,31.023000000000003,38.6811,153.6896,12,1.5144,68.977,22298.1778,2626.2901,-1.486,9.9763,9.6467,6.2088,8.3637,1454.7384,1626.754,420.56,1.6740000000000002,0.0,1.5644,2.0494,16.1061
10/31/2008,591.7,722172,31127.4066,3.85,12.7243,12.7243,19.2693,0.0,-60.3808,2.6847,31.023000000000003,38.6811,153.6896,12,1.5144,68.977,20981.825,2626.2901,-1.486,9.4751,9.6467,6.5373,8.8062,1454.7384,1626.754,420.56,1.6740000000000002,0.0,1.5644,1.9464,15.2969
11/28/2008,507.35,250940,31127.4066,3.3011,12.7243,12.7243,19.2693,0.0,-60.3808,2.6847,31.023000000000003,38.6811,153.6896,12,1.5144,68.977,17434.4014,2626.2901,-1.486,8.1243,9.6467,7.6241,10.2702,1454.7384,1626.754,420.56,1.6740000000000002,0.0,1.5644,1.6689,13.1162
12/31/2008,566.6,126152,23828.6678,3.1317,12.2155,12.2155,18.9034,0.0,-61.738,2.735,33.4957,44.78,180.9223,15,1.5475,66.5043,19131.4165,2321.831,-2.0232,10.2629,12.1364,7.9033,7.9834,1208.8904,1883.3229999999999,420.555,1.6442,0.0,1.5056,1.5456,12.652999999999999
1/30/2009,602.75,151261,23828.6678,3.3315,12.2155,12.2155,18.9034,0.0,-61.738,2.735,33.4957,44.78,180.9223,15,1.5475,66.5043,20651.7409,2321.831,-2.0232,10.9177,12.1364,7.4293,7.5046,1208.8904,1883.3229999999999,420.555,1.6442,0.0,1.5056,1.6442,13.4603
2/27/2009,621.7,218627,23828.6678,3.4363,12.2155,12.2155,18.9034,0.0,-61.738,2.735,33.4957,44.78,180.9223,15,1.5475,66.5043,21448.702,2321.831,-2.0232,11.2609,12.1364,7.2028,7.2758,1208.8904,1883.3229999999999,420.555,1.6442,0.0,1.5056,1.6959,13.8834
3/31/2009,704.3,370885,23828.6678,3.8928,12.2155,12.2155,18.9034,0.0,-61.738,2.735,33.4957,44.78,180.9223,15,1.5475,66.5043,24922.5276,2321.831,-2.0232,12.7571,12.1364,6.3581,6.4225,1208.8904,1883.3229999999999,420.555,1.6442,0.0,1.5056,1.9212,15.728
4/29/2009,827.6,440373,23828.6678,4.5743,12.2155,12.2155,18.9034,0.0,-61.738,2.735,33.4957,44.78,180.9223,15,1.5475,66.5043,30108.0324,2321.831,-2.0232,14.9904,12.1364,5.4108,5.4657,1208.8904,1883.3229999999999,420.555,1.6442,0.0,1.5056,2.2575,18.4815
5/29/2009,861.5,1046774,23828.6678,4.7617,12.2155,12.2155,18.9034,0.0,-61.738,2.735,33.4957,44.78,180.9223,15,1.5475,66.5043,31533.7308,2321.831,-2.0232,15.6044,12.1364,5.1979,5.2506,1208.8904,1883.3229999999999,420.555,1.6442,0.0,1.5056,2.35,19.2385
6/30/2009,984.6,1606369,23828.6678,5.4421,12.2155,12.2155,18.9034,0.0,-61.738,2.735,33.4957,44.78,180.9223,15,1.5475,66.5043,36710.8244,2321.831,-2.0232,17.8342,12.1364,4.548,4.5941,1208.8904,1883.3229999999999,420.555,1.6442,0.0,1.5056,2.6858,21.9875
7/31/2009,1106.65,415454,23828.6678,6.1167,12.2155,12.2155,18.9034,0.0,-61.738,2.735,33.4957,44.78,180.9223,15,1.5475,66.5043,41843.7591,2321.831,-2.0232,20.0449,12.1364,4.0464,4.0875,1208.8904,1883.3229999999999,420.555,1.6442,0.0,1.5056,3.0187,24.713
8/31/2009,1106.1,489224,23828.6678,6.1137,12.2155,12.2155,18.9034,0.0,-61.738,2.735,33.4957,44.78,180.9223,15,1.5475,66.5043,41820.6283,2321.831,-2.0232,20.0349,12.1364,4.0485,4.0895,1208.8904,1883.3229999999999,420.555,1.6442,0.0,1.5056,3.0172,24.7008
9/30/2009,1158.15,963649,23828.6678,6.4014,12.2155,12.2155,18.9034,0.0,-61.738,2.735,33.4957,44.78,180.9223,15,1.5475,66.5043,44009.6431,2321.831,-2.0232,20.9777,12.1364,3.8665,3.9057,1208.8904,1883.3229999999999,420.555,1.6442,0.0,1.5056,3.1592,25.8631
10/30/2009,1219.35,323776,23828.6678,6.7396,12.2155,12.2155,18.9034,0.0,-61.738,2.735,33.4957,44.78,180.9223,15,1.5475,66.5043,46583.4703,2321.831,-2.0232,22.0862,12.1364,3.6724,3.7097,1208.8904,1883.3229999999999,420.555,1.6442,0.0,1.5056,3.3261,27.2298
11/30/2009,1375.65,101462,23828.6678,7.6035,12.2155,12.2155,18.9034,0.0,-61.738,2.735,33.4957,44.78,180.9223,15,1.5475,66.5043,53156.8231,2321.831,-2.0232,24.9173,12.1364,3.2552,3.2882,1208.8904,1883.3229999999999,420.555,1.6442,0.0,1.5056,3.7525,30.7202
12/31/2009,1300.35,397313,54686.9188,6.0421,12.1146,12.1146,18.655,0.0,-90.4651,2.2949,32.5196,55.35,215.2145,18,1.5399,67.4804,46499.5573,3065.6090000000013,-2.6709,17.8388,6.5929,4.2565,4.8373,1690.1986,2327.828,420.555,1.6634,0.0,1.6021,2.8461,23.4932
1/29/2010,1325.0,620325,54686.9188,6.1566,12.1146,12.1146,18.655,0.0,-90.4651,2.2949,32.5196,55.35,215.2145,18,1.5399,67.4804,47536.2377,3065.6090000000013,-2.6709,18.177,6.5929,4.1774,4.7473,1690.1986,2327.828,420.555,1.6634,0.0,1.6021,2.9,23.9386
2/26/2010,1432.05,806260,54686.9188,6.6541,12.1146,12.1146,18.655,0.0,-90.4651,2.2949,32.5196,55.35,215.2145,18,1.5399,67.4804,52038.3351,3065.6090000000013,-2.6709,19.6456,6.5929,3.8651,4.3924,1690.1986,2327.828,420.555,1.6634,0.0,1.6021,3.1343,25.8726
3/31/2010,1493.45,565032,54686.9188,6.9394,12.1146,12.1146,18.655,0.0,-90.4651,2.2949,32.5196,55.35,215.2145,18,1.5399,67.4804,54620.5682,3065.6090000000013,-2.6709,20.4879,6.5929,3.7062,4.2118,1690.1986,2327.828,420.555,1.6634,0.0,1.6021,3.2687,26.9819
4/30/2010,1635.6,839831,54686.9188,7.5999,12.1146,12.1146,18.655,0.0,-90.4651,2.2949,32.5196,55.35,215.2145,18,1.5399,67.4804,60598.8312,3065.6090000000013,-2.6709,22.438000000000002,6.5929,3.3841,3.8458,1690.1986,2327.828,420.555,1.6634,0.0,1.6021,3.5798,29.5501
5/31/2010,1666.45,470117,54686.9188,7.7432,12.1146,12.1146,18.655,0.0,-90.4651,2.2949,32.5196,55.35,215.2145,18,1.5399,67.4804,61896.2562,3065.6090000000013,-2.6709,22.8612,6.5929,3.3214,3.7746,1690.1986,2327.828,420.555,1.6634,0.0,1.6021,3.6473,30.1075
6/30/2010,1809.1,289109,54686.9188,8.406,12.1146,12.1146,18.655,0.0,-90.4651,2.2949,32.5196,55.35,215.2145,18,1.5399,67.4804,67895.5472,3065.6090000000013,-2.6709,24.8181,6.5929,3.0595,3.477,1690.1986,2327.828,420.555,1.6634,0.0,1.6021,3.9595,32.6847
7/30/2010,1762.1,386828,54686.9188,8.1876,12.1146,12.1146,18.655,0.0,-90.4651,2.2949,32.5196,55.35,215.2145,18,1.5399,67.4804,65918.9152,3065.6090000000013,-2.6709,24.1734,6.5929,3.1411,3.5697,1690.1986,2327.828,420.555,1.6634,0.0,1.6021,3.8567,31.8356
8/31/2010,1815.2,295667,54686.9188,8.4344,12.1146,12.1146,18.655,0.0,-90.4651,2.2949,32.5196,55.35,215.2145,18,1.5399,67.4804,68152.0861,3065.6090000000013,-2.6709,24.9018,6.5929,3.0493,3.4653,1690.1986,2327.828,420.555,1.6634,0.0,1.6021,3.9729,32.7949
9/30/2010,2034.0,728809,54686.9188,9.451,12.1146,12.1146,18.655,0.0,-90.4651,2.2949,32.5196,55.35,215.2145,18,1.5399,67.4804,77353.9415,3065.6090000000013,-2.6709,27.9034,6.5929,2.7212,3.0925,1690.1986,2327.828,420.555,1.6634,0.0,1.6021,4.4518,36.748000000000005
10/29/2010,2193.25,519086,54686.9188,10.191,12.1146,12.1146,18.655,0.0,-90.4651,2.2949,32.5196,55.35,215.2145,18,1.5399,67.4804,84051.3595,3065.6090000000013,-2.6709,30.0881,6.5929,2.5237,2.8680000000000003,1690.1986,2327.828,420.555,1.6634,0.0,1.6021,4.8003,39.6251
11/30/2010,2265.75,300126,54686.9188,10.5279,12.1146,12.1146,18.655,0.0,-90.4651,2.2949,32.5196,55.35,215.2145,18,1.5399,67.4804,87100.4194,3065.6090000000013,-2.6709,31.0827,6.5929,2.4429,2.7762,1690.1986,2327.828,420.555,1.6634,0.0,1.6021,4.959,40.935
12/31/2010,2338.3,614174,98338.4645,10.2432,13.0025,13.0025,18.8787,0.0,-101.5476,1.778,70.1271,71.3,228.2788,25,1.4519,29.8729,88590.5889,3767.2259999999997,-2.5878,26.1037,4.2525,3.0492,3.4271,2245.6582,2998.5240000000013,420.555,1.2811,0.0,1.218,4.2642,32.7952
1/31/2011,1994.5,397992,98338.4645,8.7371,13.0025,13.0025,18.8787,0.0,-101.5476,1.778,70.1271,71.3,228.2788,25,1.4519,29.8729,74131.7335,3767.2259999999997,-2.5878,22.2657,4.2525,3.5748,4.0178,2245.6582,2998.5240000000013,420.555,1.2811,0.0,1.218,3.6373,27.9734
2/28/2011,2089.7,279934,98338.4645,9.1542,13.0025,13.0025,18.8787,0.0,-101.5476,1.778,70.1271,71.3,228.2788,25,1.4519,29.8729,78135.4621,3767.2259999999997,-2.5878,23.3284,4.2525,3.412,3.8348,2245.6582,2998.5240000000013,420.555,1.2811,0.0,1.218,3.8109,29.3086
3/31/2011,2246.15,360547,98338.4645,9.8395,13.0025,13.0025,18.8787,0.0,-101.5476,1.778,70.1271,71.3,228.2788,25,1.4519,29.8729,84715.1206,3767.2259999999997,-2.5878,25.075,4.2525,3.1743,3.5677,2245.6582,2998.5240000000013,420.555,1.2811,0.0,1.218,4.0962,31.5028
4/29/2011,2443.15,95925,98338.4645,10.7025,13.0025,13.0025,18.8787,0.0,-101.5476,1.778,70.1271,71.3,228.2788,25,1.4519,29.8729,93000.1525,3767.2259999999997,-2.5878,27.2742,4.2525,2.9184,3.28,2245.6582,2998.5240000000013,420.555,1.2811,0.0,1.218,4.4555,34.2658
5/31/2011,2293.9,391794,98338.4645,10.0487,13.0025,13.0025,18.8787,0.0,-101.5476,1.778,70.1271,71.3,228.2788,25,1.4519,29.8729,86723.2946,3767.2259999999997,-2.5878,25.608,4.2525,3.1082,3.4934,2245.6582,2998.5240000000013,420.555,1.2811,0.0,1.218,4.1833,32.1725
6/30/2011,2403.4,292525,98338.4645,10.5284,13.0025,13.0025,18.8787,0.0,-101.5476,1.778,70.1271,71.3,228.2788,25,1.4519,29.8729,91328.4266,3767.2259999999997,-2.5878,26.8304,4.2525,2.9666,3.3342,2245.6582,2998.5240000000013,420.555,1.2811,0.0,1.218,4.383,33.7083
