Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,309.13,27468788,37402.9754,19.6723,11.6126,11.6126,7.7562,187.1003,161.3229,2.3498,9.5997,3.6479,15.7137,0.35,0.6679,90.4003,80543.3122,1459.109,4.3463,50.2809,3.3203,1.1801,1.6721,988.6403,879.76,437.486,1.5304,0.0994,0.3211,9.684,84.7419
2/28/2007,267.63,10980926,37402.9754,17.0313,11.6126,11.6126,7.7562,187.1003,161.3229,2.3498,9.5997,3.6479,15.7137,0.35,0.6679,90.4003,70798.3037,1459.109,4.3463,43.5307,3.3203,1.3631,1.9314,988.6403,879.76,437.486,1.5304,0.1145,0.3211,8.384,73.3655
3/30/2007,305.63,23723440,73385.5185,10.6919,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,81727.7793,4283.076,1.9477,16.9911,5.2407,4.2497,5.3047,3339.0333,3100.6,240.116,0.9407,0.1276,0.1431,5.8148,23.5315
4/30/2007,329.77,24175040,73385.5185,11.5368,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,87559.9625,4283.076,1.9477,18.3337,5.2407,3.9385,4.9163,3339.0333,3100.6,240.116,0.9407,0.1182,0.1431,6.2743,25.3902
5/31/2007,351.8,21543988,73385.5185,12.3073,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,93201.7027,4283.076,1.9477,19.5582,5.2407,3.6919,4.6085,3339.0333,3100.6,240.116,0.9407,0.1104,0.1431,6.6933,27.0863
6/29/2007,328.55,15293638,73385.5185,11.4939,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,87886.6554,4283.076,1.9477,18.2656,5.2407,3.9532,4.9346,3339.0333,3100.6,240.116,0.9407,0.1178,0.1431,6.251,25.2962
7/31/2007,343.75,11043800,73385.5185,12.0257,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,91570.538,4283.076,1.9477,19.1107,5.2407,3.7784,4.7164,3339.0333,3100.6,240.116,0.9407,0.1125,0.1431,6.5402,26.4665
8/31/2007,343.88,8573566,73385.5185,12.03,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,92198.6592,4283.076,1.9477,19.1176,5.2407,3.777,4.7147,3339.0333,3100.6,240.116,0.9407,0.1117,0.1431,6.5425,26.4765
9/28/2007,422.45,11688080,73385.5185,14.7789,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,111377.8194,4283.076,1.9477,23.4859,5.2407,3.0745,3.8378,3339.0333,3100.6,240.116,0.9407,0.0909,0.1431,8.0375,32.5259
10/31/2007,491.7,20317667,73385.5185,17.2015,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,128352.9601,4283.076,1.9477,27.3359,5.2407,2.6415,3.2973,3339.0333,3100.6,240.116,0.9407,0.0781,0.1431,9.3551,37.8577
11/30/2007,455.25,10452176,73385.5185,15.9264,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,119474.7133,4283.076,1.9477,25.3095,5.2407,2.853,3.5613,3339.0333,3100.6,240.116,0.9407,0.0843,0.1431,8.6616,35.0513
12/31/2007,596.0,13175380,73385.5185,20.8503,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,154897.7176,4283.076,1.9477,33.1344,5.2407,2.1792,2.7202,3339.0333,3100.6,240.116,0.9407,0.0639,0.1431,11.3395,45.8882
1/31/2008,493.2,10999118,73385.5185,17.254,24.7744,24.7744,18.8194,136.4735,121.5427,1.5437,3.0962,12.9881,28.5847,0.4,0.7596,96.9038,130853.6407,4283.076,1.9477,27.4193,5.2407,2.6334,3.2872,3339.0333,3100.6,240.116,0.9407,0.0765,0.1431,9.3836,37.9732
