Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,76.36,7351319,41241.9513,44.3738,17.3361,17.3361,31.7308,87.3363,52.5868,0.6716,65.1254,2.6514,1.7208,1.7287,2.1,34.8746,35417.9852,1481.4379999999999,0.2793,23.5821,3.5564,3.4723,3.9122,1255.2161,1213.0439999999999,225.84400000000002,0.2246,0.0196,0.1065,4.9928,28.7999
2/28/2007,74.41,3473401,41241.9513,43.2401,17.3361,17.3361,31.7308,87.3363,52.5868,0.6716,65.1254,2.6514,1.7208,1.7287,2.1,34.8746,34523.6345,1481.4379999999999,0.2793,22.9795,3.5564,3.5633,4.0148,1255.2161,1213.0439999999999,225.84400000000002,0.2246,0.0201,0.1065,4.8652,28.0644
3/30/2007,72.53,7673135,33165.2026,27.1848,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,3.15,2.6681,1.8522,2.1,39.0562,34510.6125,1848.703,0.6822,17.9397,5.37,4.1901,5.1459,1496.2926,1440.3129999999999,225.84400000000002,0.3539,0.0522,0.1754,3.4792,23.0254
4/30/2007,68.98,9684047,33165.2026,25.8519,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,3.15,2.6681,1.8522,2.1,39.0562,32880.4037,1848.703,0.6822,17.0601,5.37,4.4062,5.4112,1496.2926,1440.3129999999999,225.84400000000002,0.3539,0.0549,0.1754,3.3087,21.8984
5/31/2007,71.0,3672738,33165.2026,26.6109,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,3.15,2.6681,1.8522,2.1,39.0562,33808.717000000004,1848.703,0.6822,17.561,5.37,4.2805,5.2569,1496.2926,1440.3129999999999,225.84400000000002,0.3539,0.0533,0.1754,3.4058,22.5397
6/29/2007,71.27,5092636,33165.2026,26.7127,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,3.15,2.6681,1.8522,2.1,39.0562,33933.2469,1848.703,0.6822,17.6282,5.37,4.2642,5.2369,1496.2926,1440.3129999999999,225.84400000000002,0.3539,0.0531,0.1754,3.4188,22.6254
7/31/2007,69.52,4784223,33165.2026,26.0555,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,3.15,2.6681,1.8522,2.1,39.0562,33129.4634,1848.703,0.6822,17.1945,5.37,4.3717,5.3689,1496.2926,1440.3129999999999,225.84400000000002,0.3539,0.0545,0.1754,3.3347,22.0698
8/31/2007,66.51,6727672,33165.2026,24.9263,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,3.15,2.6681,1.8522,2.1,39.0562,31748.3142,1848.703,0.6822,16.4493,5.37,4.5698,5.6122,1496.2926,1440.3129999999999,225.84400000000002,0.3539,0.0569,0.1754,3.1902,21.1143
9/28/2007,69.69,2258156,33165.2026,26.1203,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,3.15,2.6681,1.8522,2.1,39.0562,33208.7247,1848.703,0.6822,17.2373,5.37,4.3609,5.3556,1496.2926,1440.3129999999999,225.84400000000002,0.3539,0.0543,0.1754,3.343,22.1238
10/31/2007,60.58,5118268,33165.2026,22.7049,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,3.15,2.6681,1.8522,2.1,39.0562,29031.3126,1848.703,0.6822,14.9834,5.37,5.0169,6.1613,1496.2926,1440.3129999999999,225.84400000000002,0.3539,0.0625,0.1754,2.9059,19.2317
11/30/2007,63.47,5166302,33165.2026,23.7878,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,3.15,2.6681,1.8522,2.1,39.0562,30355.8579,1848.703,0.6822,15.698,5.37,4.7885,5.8808,1496.2926,1440.3129999999999,225.84400000000002,0.3539,0.0597,0.1754,3.0445,20.1492
12/31/2007,67.47,9935192,33165.2026,25.2873,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,3.15,2.6681,1.8522,2.1,39.0562,32189.8437,1848.703,0.6822,16.6875,5.37,4.5045,5.532,1496.2926,1440.3129999999999,225.84400000000002,0.3539,0.0561,0.1754,3.2364,21.419
1/31/2008,56.88,5484583,33165.2026,21.3165,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,3.15,2.6681,1.8522,2.1,39.0562,27333.1776,1848.703,0.6822,14.0671,5.37,5.3436,6.5625,1496.2926,1440.3129999999999,225.84400000000002,0.3539,0.0666,0.1754,2.7282,18.0571
2/29/2008,66.75,4764578,33165.2026,25.0189,15.1098,15.1098,31.7308,142.3035,103.3732,1.0249,60.9438,3.15,2.6681,1.8522,2.1,39.0562,31861.5376,1848.703,0.6822,16.5104,5.37,4.5529,5.5914,1496.2926,1440.3129999999999,225.84400000000002,0.3539,0.0567,0.1754,3.202,21.1905
3/31/2008,61.78,16451323,27903.0356,16.2639,14.4423,14.4423,25.3648,109.0549,84.2312,1.0402,58.2513,3.5254,3.7983,2.0,1.7563,41.7487,33415.3267,2255.093,0.6408,12.3733,7.6839,5.7068,7.4307,1761.9370000000001,1592.366,225.84400000000002,0.2765,0.0585,0.1259,2.5307,17.5243
4/30/2008,65.25,7033222,27903.0356,17.1788,14.4423,14.4423,25.3648,109.0549,84.2312,1.0402,58.2513,3.5254,3.7983,2.0,1.7563,41.7487,35213.6806,2255.093,0.6408,13.0694,7.6839,5.4029,7.035,1761.9370000000001,1592.366,225.84400000000002,0.2765,0.0554,0.1259,2.6731,18.5085
5/30/2008,67.9,8802180,27903.0356,17.8764,14.4423,14.4423,25.3648,109.0549,84.2312,1.0402,58.2513,3.5254,3.7983,2.0,1.7563,41.7487,36569.8072,2255.093,0.6408,13.6002,7.6839,5.192,6.7604,1761.9370000000001,1592.366,225.84400000000002,0.2765,0.0533,0.1259,2.7817,19.2602
6/30/2008,67.25,2124786,27903.0356,17.7053,14.4423,14.4423,25.3648,109.0549,84.2312,1.0402,58.2513,3.5254,3.7983,2.0,1.7563,41.7487,36233.5619,2255.093,0.6408,13.47,7.6839,5.2422,6.8258,1761.9370000000001,1592.366,225.84400000000002,0.2765,0.0538,0.1259,2.755,19.0758
7/31/2008,60.95,903422,27903.0356,16.0467,14.4423,14.4423,25.3648,109.0549,84.2312,1.0402,58.2513,3.5254,3.7983,2.0,1.7563,41.7487,32974.5693,2255.093,0.6408,12.2081,7.6839,5.784,7.5313,1761.9370000000001,1592.366,225.84400000000002,0.2765,0.0593,0.1259,2.4969,17.2888
8/29/2008,66.0,879632,27903.0356,17.3762,14.4423,14.4423,25.3648,109.0549,84.2312,1.0402,58.2513,3.5254,3.7983,2.0,1.7563,41.7487,35586.9364,2255.093,0.6408,13.2196,7.6839,5.3415,6.955,1761.9370000000001,1592.366,225.84400000000002,0.2765,0.0548,0.1259,2.7038,18.7213
9/30/2008,55.35,1058744,27903.0356,14.5723,14.4423,14.4423,25.3648,109.0549,84.2312,1.0402,58.2513,3.5254,3.7983,2.0,1.7563,41.7487,30077.687,2255.093,0.6408,11.0864,7.6839,6.3692,8.2933,1761.9370000000001,1592.366,225.84400000000002,0.2765,0.0653,0.1259,2.2675,15.7003
10/31/2008,50.0,1140188,27903.0356,13.1638,14.4423,14.4423,25.3648,109.0549,84.2312,1.0402,58.2513,3.5254,3.7983,2.0,1.7563,41.7487,27310.1084,2255.093,0.6408,10.0148,7.6839,7.0507,9.1807,1761.9370000000001,1592.366,225.84400000000002,0.2765,0.0723,0.1259,2.0483,14.1828
11/28/2008,58.88,8669638,27903.0356,15.5004,14.4423,14.4423,25.3648,109.0549,84.2312,1.0402,58.2513,3.5254,3.7983,2.0,1.7563,41.7487,31901.1458,2255.093,0.6408,11.7925,7.6839,5.9879,7.7967,1761.9370000000001,1592.366,225.84400000000002,0.2765,0.0614,0.1259,2.4119,16.7017
12/31/2008,69.45,4031690,27903.0356,18.2845,14.4423,14.4423,25.3648,109.0549,84.2312,1.0402,58.2513,3.5254,3.7983,2.0,1.7563,41.7487,37371.5932,2255.093,0.6408,13.9106,7.6839,5.0761,6.6095,1761.9370000000001,1592.366,225.84400000000002,0.2765,0.0521,0.1259,2.8452,19.6999
1/30/2009,65.65,2944912,27903.0356,17.2841,14.4423,14.4423,25.3648,109.0549,84.2312,1.0402,58.2513,3.5254,3.7983,2.0,1.7563,41.7487,35405.8532,2255.093,0.6408,13.1495,7.6839,5.3699,6.9921,1761.9370000000001,1592.366,225.84400000000002,0.2765,0.0551,0.1259,2.6895,18.622
2/27/2009,63.78,4358308,27903.0356,16.7904,14.4423,14.4423,25.3648,109.0549,84.2312,1.0402,58.2513,3.5254,3.7983,2.0,1.7563,41.7487,34435.9157,2255.093,0.6408,12.7739,7.6839,5.5278,7.1977,1761.9370000000001,1592.366,225.84400000000002,0.2765,0.0567,0.1259,2.6127,18.0916
3/31/2009,66.7,11713454,34277.6513,5.9976,12.4381,12.4381,18.4962,48.5674,-18.9408,2.2434,59.4397,3.415,11.1211,2.0,1.4871,40.5603,33421.4052,2108.112,-0.5135,16.061,6.3507,5.1199,5.6584,1581.7183,1732.579,256.954,1.3517,0.0804,1.1693,2.4307,19.5315
4/29/2009,70.03,5965378,34277.6513,6.2966,12.4381,12.4381,18.4962,48.5674,-18.9408,2.2434,59.4397,3.415,11.1211,2.0,1.4871,40.5603,35141.4276,2108.112,-0.5135,16.8617,6.3507,4.8768,5.3897,1581.7183,1732.579,256.954,1.3517,0.0766,1.1693,2.5518,20.5066
5/29/2009,91.53,13521460,34277.6513,8.2299,12.4381,12.4381,18.4962,48.5674,-18.9408,2.2434,59.4397,3.415,11.1211,2.0,1.4871,40.5603,46263.3774,2108.112,-0.5135,22.0388,6.3507,3.7312,4.1236,1581.7183,1732.579,256.954,1.3517,0.0586,1.1693,3.3354,26.8023
6/30/2009,82.58,5857418,34277.6513,7.4251,12.4381,12.4381,18.4962,48.5674,-18.9408,2.2434,59.4397,3.415,11.1211,2.0,1.4871,40.5603,41633.5425,2108.112,-0.5135,19.8837,6.3507,4.1356,4.5706,1581.7183,1732.579,256.954,1.3517,0.065,1.1693,3.0092,24.1816
