Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,165.77,3633022,29241.1029,11.4194,2.3305,2.3305,3.352,132.4611,69.3973,1.2389,49.637,1.68,14.5163,0.8327,1.4383,50.363,51974.8172,1571.899,2.032,30.757,4.7927,1.0135,2.4722,789.2368,489.977,891.852,0.6596,0.1259,0.3676,2.2996,98.6726
2/28/2007,162.67,10596311,29241.1029,11.206,2.3305,2.3305,3.352,132.4611,69.3973,1.2389,49.637,1.68,14.5163,0.8327,1.4383,50.363,51070.0769,1571.899,2.032,30.1823,4.7927,1.0328,2.5193,789.2368,489.977,891.852,0.6596,0.1283,0.3676,2.2566,96.8274
3/30/2007,161.22,2600633,47090.2641,9.9617,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,56127.6112,1385.3770000000006,6.2968,33.9909,2.4683,1.2504,2.0521,822.7386,588.808,291.8520000000001,0.4199,0.2041,0.0684,1.9794,79.9742
4/30/2007,156.77,3431940,47090.2641,9.6869,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,54828.8711,1385.3770000000006,6.2968,33.0535,2.4683,1.2858,2.1103,822.7386,588.808,291.8520000000001,0.4199,0.2099,0.0684,1.9248,77.7668
5/31/2007,184.8,3836024,47090.2641,11.4187,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,63015.3117,1385.3770000000006,6.2968,38.9627,2.4683,1.0908,1.7902,822.7386,588.808,291.8520000000001,0.4199,0.1781,0.0684,2.269,91.6712
6/29/2007,204.24,7557733,47090.2641,12.6195,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,68691.8276,1385.3770000000006,6.2968,43.0601,2.4683,0.987,1.6199,822.7386,588.808,291.8520000000001,0.4199,0.1611,0.0684,2.5076,101.3145
7/31/2007,200.29,3055653,47090.2641,12.3757,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,67539.0133,1385.3770000000006,6.2968,42.228,2.4683,1.0065,1.6518,822.7386,588.808,291.8520000000001,0.4199,0.1643,0.0684,2.4591,99.3551
8/31/2007,183.2,1848963,47090.2641,11.3199,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,62548.349,1385.3770000000006,6.2968,38.6256,2.4683,1.1003,1.8058,822.7386,588.808,291.8520000000001,0.4199,0.1796,0.0684,2.2493,90.8775
9/28/2007,173.16,2624200,47090.2641,10.6994,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,59615.2868,1385.3770000000006,6.2968,36.5084,2.4683,1.1642,1.9106,822.7386,588.808,291.8520000000001,0.4199,0.19,0.0684,2.126,85.8971
10/31/2007,210.28,4705609,47090.2641,12.9931,2.4751,2.4751,3.0148,190.6688,173.0451,0.9873,64.4049,2.0159,16.1842,0.9992,1.2181,35.5951,70457.5882,1385.3770000000006,6.2968,44.3346,2.4683,0.9587,1.5733,822.7386,588.808,291.8520000000001,0.4199,0.1565,0.0684,2.5818,104.3107
