ate,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Date
31/01/2007,159.75,74704799,211809.4998,2.1872,13.4792,13.4792,8.4154,65.98899999999999,25.707,2.613,13.7276,14.5285,73.0388,1.9952,0.6243,86.2724,230449.2919,28071.42,0.8714,6.1879,11.7921,9.0945,11.5783,15817.0946,15795.77,1473.76,1.2578,0.3075,0.9382,1.4823,10.9956,1/31/2007
28/02/2007,126.19,122432248,211809.4998,1.7278,13.4792,13.4792,8.4154,65.98899999999999,25.707,2.613,13.7276,14.5285,73.0388,1.9952,0.6243,86.2724,187556.3373,28071.42,0.8714,4.8882,11.7921,11.5128,14.657,15817.0946,15795.77,1473.76,1.2578,0.3892,0.9382,1.1709,8.6857,2/28/2007
30/03/2007,118.17,64242253,151060.634,1.1785,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,23.4495,100.27,1.5417,0.7838,93.1137,159919.2963,43563.99,0.0069,3.0057,27.2399,19.8441,27.3182,26250.0716,25984.15,1043.25,1.8812,0.5589,1.5888,0.687,5.0393,3/30/2007
30/04/2007,132.45,53374563,151060.634,1.321,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,23.4495,100.27,1.5417,0.7838,93.1137,178177.7837,43563.99,0.0069,3.369,27.2399,17.7041,24.3722,26250.0716,25984.15,1043.25,1.8812,0.4987,1.5888,0.7701,5.6483,4/30/2007
31/05/2007,127.51,47543332,151060.634,1.2717,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,23.4495,100.27,1.5417,0.7838,93.1137,181401.053,43563.99,0.0069,3.2433,27.2399,18.3904,25.317,26250.0716,25984.15,1043.25,1.8812,0.4893,1.5888,0.7413,5.4376,5/31/2007
29/06/2007,145.24,127205527,151060.634,1.4485,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,23.4495,100.27,1.5417,0.7838,93.1137,205391.4494,43563.99,0.0069,3.6943,27.2399,16.1454,22.2265,26250.0716,25984.15,1043.25,1.8812,0.4296,1.5888,0.8444,6.1937,6/29/2007
31/07/2007,154.13,100332105,151060.634,1.5371,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,23.4495,100.27,1.5417,0.7838,93.1137,217417.3258,43563.99,0.0069,3.9204,27.2399,15.2144,20.9448,26250.0716,25984.15,1043.25,1.8812,0.4048,1.5888,0.8961,6.5728,7/31/2007
31/08/2007,143.2,59188120,151060.634,1.4281,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,23.4495,100.27,1.5417,0.7838,93.1137,202630.4063,43563.99,0.0069,3.6424,27.2399,16.3755,22.5432,26250.0716,25984.15,1043.25,1.8812,0.4357,1.5888,0.8326,6.1067,8/31/2007
28/09/2007,156.17,56648373,151060.634,1.5575,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,23.4495,100.27,1.5417,0.7838,93.1137,220178.3268,43563.99,0.0069,3.9723,27.2399,15.0156,20.6711,26250.0716,25984.15,1043.25,1.8812,0.3995,1.5888,0.908,6.6598,9/28/2007
31/10/2007,178.21,100874584,151060.634,1.7773,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,23.4495,100.27,1.5417,0.7838,93.1137,249997.586,43563.99,0.0069,4.5328,27.2399,13.1587,18.1148,26250.0716,25984.15,1043.25,1.8812,0.3501,1.5888,1.0361,7.5997,10/31/2007
30/11/2007,168.14,124587797,151060.634,1.6769,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,23.4495,100.27,1.5417,0.7838,93.1137,236376.4429,43563.99,0.0069,4.2768,27.2399,13.9465,19.1994,26250.0716,25984.15,1043.25,1.8812,0.3711,1.5888,0.9776,7.1703,11/30/2007
31/12/2007,194.85,74192121,151060.634,1.9432,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,23.4495,100.27,1.5417,0.7838,93.1137,272515.4215,43563.99,0.0069,4.9561,27.2399,12.0349,16.5677,26250.0716,25984.15,1043.25,1.8812,0.3202,1.5888,1.1328,8.3093,12/31/2007
31/01/2008,148.69,69927089,151060.634,1.4829,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,23.4495,100.27,1.5417,0.7838,93.1137,210054.5043,43563.99,0.0069,3.782,27.2399,15.7712,21.7113,26250.0716,25984.15,1043.25,1.8812,0.4197,1.5888,0.8645,6.3409,1/31/2008
29/02/2008,183.74,80682028,151060.634,1.8324,13.6336,13.6336,10.6857,61.7414,0.2192,3.0305,6.8863,23.4495,100.27,1.5417,0.7838,93.1137,257483.079,43563.99,0.0069,4.6735,27.2399,12.7625,17.5694,26250.0716,25984.15,1043.25,1.8812,0.3396,1.5888,1.0683,7.8356,2/29/2008
31/03/2008,149.73,81793662,202609.1832,1.1721,3.6548,3.6548,4.3715,171.1597,110.9241,1.5719999999999998,10.4172,15.4535,127.7479,1.6778,1.1961,89.5828,428420.3638,63212.5,3.3169,3.3613,14.7544,10.321,18.0652,31110.3798,21933.2,1230.6,0.9138,1.5969,0.5747,0.3541,9.6891,3/31/2008
30/04/2008,175.8,41036248,202609.1832,1.3762,3.6548,3.6548,4.3715,171.1597,110.9241,1.5719999999999998,10.4172,15.4535,127.7479,1.6778,1.1961,89.5828,463700.3514,63212.5,3.3169,3.9467,14.7544,8.7903,15.3859,31110.3798,21933.2,1230.6,0.9138,1.36,0.5747,0.4157,11.3761,4/30/2008
30/05/2008,174.4,81922692,202609.1832,1.3652,3.6548,3.6548,4.3715,171.1597,110.9241,1.5719999999999998,10.4172,15.4535,127.7479,1.6778,1.1961,89.5828,461798.2999,63212.5,3.3169,3.9151,14.7544,8.8612,15.5099,31110.3798,21933.2,1230.6,0.9138,1.371,0.5747,0.4124,11.2855,5/30/2008
30/06/2008,129.05,49832653,202609.1832,1.0102,3.6548,3.6548,4.3715,171.1597,110.9241,1.5719999999999998,10.4172,15.4535,127.7479,1.6778,1.1961,89.5828,400441.9387,63212.5,3.3169,2.8972,14.7544,11.9747,20.9596,31110.3798,21933.2,1230.6,0.9138,1.8527,0.5747,0.3052,8.3509,6/30/2008
31/07/2008,128.19,60492377,202609.1832,1.0035,3.6548,3.6548,4.3715,171.1597,110.9241,1.5719999999999998,10.4172,15.4535,127.7479,1.6778,1.1961,89.5828,399276.1642,63212.5,3.3169,2.8778,14.7544,12.0552,21.1005,31110.3798,21933.2,1230.6,0.9138,1.8652,0.5747,0.3031,8.2952,7/31/2008
29/08/2008,122.4,65511441,202609.1832,0.9581,3.6548,3.6548,4.3715,171.1597,110.9241,1.5719999999999998,10.4172,15.4535,127.7479,1.6778,1.1961,89.5828,433934.34,63212.5,3.3169,2.7478,14.7544,12.6254,22.0986,31110.3798,21933.2,1230.6,0.9138,1.5546,0.5747,0.2894,7.9205,8/29/2008
30/09/2008,98.25,64628928,202609.1832,0.7691,3.6548,3.6548,4.3715,171.1597,110.9241,1.5719999999999998,10.4172,15.4535,127.7479,1.6778,1.1961,89.5828,392872.8014,63212.5,3.3169,2.2057,14.7544,15.7288,27.5305,31110.3798,21933.2,1230.6,0.9138,1.9367,0.5747,0.2323,6.3578,9/30/2008
31/10/2008,60.5,246090116,202609.1832,0.4736,3.6548,3.6548,4.3715,171.1597,110.9241,1.5719999999999998,10.4172,15.4535,127.7479,1.6778,1.1961,89.5828,328687.5953,63212.5,3.3169,1.3582,14.7544,25.54300000000001,44.7086,31110.3798,21933.2,1230.6,0.9138,3.1451,0.5747,0.1431,3.915,10/31/2008
28/11/2008,52.95,173611936,202609.1832,0.4145,3.6548,3.6548,4.3715,171.1597,110.9241,1.5719999999999998,10.4172,15.4535,127.7479,1.6778,1.1961,89.5828,315850.5492,63212.5,3.3169,1.1887,14.7544,29.1851,51.0835,31110.3798,21933.2,1230.6,0.9138,3.5935,0.5747,0.1252,3.4264,11/28/2008
31/12/2008,51.4,147038432,202609.1832,0.4024,3.6548,3.6548,4.3715,171.1597,110.9241,1.5719999999999998,10.4172,15.4535,127.7479,1.6778,1.1961,89.5828,313215.1292,63212.5,3.3169,1.1539,14.7544,30.0652,52.6239,31110.3798,21933.2,1230.6,0.9138,3.7019,0.5747,0.1215,3.3261,12/31/2008
30/01/2009,48.95,108732665,202609.1832,0.3832,3.6548,3.6548,4.3715,171.1597,110.9241,1.5719999999999998,10.4172,15.4535,127.7479,1.6778,1.1961,89.5828,309049.4653,63212.5,3.3169,1.0989,14.7544,31.57,55.2578,31110.3798,21933.2,1230.6,0.9138,3.8872,0.5747,0.1157,3.1676,1/30/2009
27/02/2009,38.6,80782709,202609.1832,0.3022,3.6548,3.6548,4.3715,171.1597,110.9241,1.5719999999999998,10.4172,15.4535,127.7479,1.6778,1.1961,89.5828,291451.6604,63212.5,3.3169,0.8666,14.7544,40.035,70.0744,31110.3798,21933.2,1230.6,0.9138,4.9295,0.5747,0.0913,2.4978,2/27/2009
31/03/2009,52.05,148398391,88527.5278,0.5618,0.7353,0.7353,0.7011,166.0861,128.332,1.2379,47.7741,3.21,92.6512,1.35,0.9535,52.2259,320113.6053,37924.3,5.7679,2.0659,11.8461,6.1671,9.7375,12150.1458,4838.9,1704.6,0.6722,3.1989,0.33,0.1191,16.215,3/31/2009
29/04/2009,53.75,187897686,88527.5278,0.5801,0.7353,0.7353,0.7011,166.0861,128.332,1.2379,47.7741,3.21,92.6512,1.35,0.9535,52.2259,323004.066,37924.3,5.7679,2.1334,11.8461,5.9721,9.4295,12150.1458,4838.9,1704.6,0.6722,3.0977,0.33,0.1229,16.7445,4/29/2009
29/05/2009,84.65,223652818,88527.5278,0.9136,0.7353,0.7353,0.7011,166.0861,128.332,1.2379,47.7741,3.21,92.6512,1.35,0.9535,52.2259,375542.4398,37924.3,5.7679,3.3598,11.8461,3.7921,5.9874,12150.1458,4838.9,1704.6,0.6722,1.9669,0.33,0.1936,26.3707,5/29/2009
30/06/2009,86.45,316585599,88527.5278,0.9331,0.7353,0.7353,0.7011,166.0861,128.332,1.2379,47.7741,3.21,92.6512,1.35,0.9535,52.2259,378602.9276,37924.3,5.7679,3.4313,11.8461,3.7131,5.8627,12150.1458,4838.9,1704.6,0.6722,1.926,0.33,0.1977,26.9315,6/30/2009
31/07/2009,100.3,186229818,88527.5278,1.0826,0.7353,0.7353,0.7011,166.0861,128.332,1.2379,47.7741,3.21,92.6512,1.35,0.9535,52.2259,402151.6809,37924.3,5.7679,3.981,11.8461,3.2004,5.0532,12150.1458,4838.9,1704.6,0.6722,1.66,0.33,0.2294,31.2461,7/31/2009
31/08/2009,106.0,268099139,88527.5278,1.1441,0.7353,0.7353,0.7011,166.0861,128.332,1.2379,47.7741,3.21,92.6512,1.35,0.9535,52.2259,411843.2256,37924.3,5.7679,4.2072,11.8461,3.0283,4.7815,12150.1458,4838.9,1704.6,0.6722,1.5708,0.33,0.2425,33.0218,8/31/2009
30/09/2009,129.05,278884723,88527.5278,1.3929,0.7353,0.7353,0.7011,166.0861,128.332,1.2379,47.7741,3.21,92.6512,1.35,0.9535,52.2259,451034.472,37924.3,5.7679,5.1221,11.8461,2.4874,3.9274,12150.1458,4838.9,1704.6,0.6722,1.2902,0.33,0.2952,40.2025,9/30/2009
30/10/2009,121.85,189265976,88527.5278,1.3151,0.7353,0.7353,0.7011,166.0861,128.332,1.2379,47.7741,3.21,92.6512,1.35,0.9535,52.2259,438793.6216,37924.3,5.7679,4.8363,11.8461,2.6344,4.1595,12150.1458,4838.9,1704.6,0.6722,1.3664,0.33,0.2787,37.9595,10/30/2009
30/11/2009,138.1,174420329,88527.5278,1.4905,0.7353,0.7353,0.7011,166.0861,128.332,1.2379,47.7741,3.21,92.6512,1.35,0.9535,52.2259,466423.172,37924.3,5.7679,5.4813,11.8461,2.3244,3.6701,12150.1458,4838.9,1704.6,0.6722,1.2057,0.33,0.3159,43.0218,11/30/2009
31/12/2009,160.85,237456822,88527.5278,1.7361,0.7353,0.7353,0.7011,166.0861,128.332,1.2379,47.7741,3.21,92.6512,1.35,0.9535,52.2259,539390.215,37924.3,5.7679,6.3843,11.8461,1.9956,3.151,12150.1458,4838.9,1704.6,0.6722,0.9198,0.33,0.3679,50.108999999999995,12/31/2009
29/01/2010,147.35,235986577,88527.5278,1.5904,0.7353,0.7353,0.7011,166.0861,128.332,1.2379,47.7741,3.21,92.6512,1.35,0.9535,52.2259,513558.994,37924.3,5.7679,5.8484,11.8461,2.1785,3.4397,12150.1458,4838.9,1704.6,0.6722,1.0041,0.33,0.337,45.9034,1/29/2010
26/02/2010,162.65,268719103,88527.5278,1.7555,0.7353,0.7353,0.7011,166.0861,128.332,1.2379,47.7741,3.21,92.6512,1.35,0.9535,52.2259,542834.5336,37924.3,5.7679,6.4557,11.8461,1.9736,3.1161,12150.1458,4838.9,1704.6,0.6722,0.9096,0.33,0.3720000000000001,50.6698,2/26/2010
31/03/2010,181.25,198143859,346914.0752,1.6102,6.4822,6.4822,5.8315,110.7315,75.9448,1.4765,6.6211,22.17,112.5629,1.35,0.8996,93.3789,540999.994,94746.8,1.8662,3.3878,17.5101,12.2317,20.8522,47099.6301,39254.7,1913.7,0.7440000000000001,0.7433,0.4115,0.53,8.1755,3/31/2010
30/04/2010,178.5,114235000,346914.0752,1.5858,6.4822,6.4822,5.8315,110.7315,75.9448,1.4765,6.6211,22.17,112.5629,1.35,0.8996,93.3789,535737.9734,94746.8,1.8662,3.3364,17.5101,12.4202,21.1734,47099.6301,39254.7,1913.7,0.7440000000000001,0.7548,0.4115,0.522,8.0514,4/30/2010
31/05/2010,150.25,218080834,346914.0752,1.3348,6.4822,6.4822,5.8315,110.7315,75.9448,1.4765,6.6211,22.17,112.5629,1.35,0.8996,93.3789,481684.8168,94746.8,1.8662,2.8084,17.5101,14.7554,25.1544,47099.6301,39254.7,1913.7,0.7440000000000001,0.8967,0.4115,0.4394,6.7772,5/31/2010
30/06/2010,144.5,352735459,346914.0752,1.2837,6.4822,6.4822,5.8315,110.7315,75.9448,1.4765,6.6211,22.17,112.5629,1.35,0.8996,93.3789,470682.328,94746.8,1.8662,2.7009,17.5101,15.3426,26.1554,47099.6301,39254.7,1913.7,0.7440000000000001,0.9324,0.4115,0.4226,6.5178,6/30/2010
30/07/2010,160.35,168389465,346914.0752,1.4245,6.4822,6.4822,5.8315,110.7315,75.9448,1.4765,6.6211,22.17,112.5629,1.35,0.8996,93.3789,501013.7267,94746.8,1.8662,2.9971,17.5101,13.826,23.57,47099.6301,39254.7,1913.7,0.7440000000000001,0.8402,0.4115,0.4689,7.2327,7/30/2010
31/08/2010,166.4,145922328,346914.0752,1.4783,6.4822,6.4822,5.8315,110.7315,75.9448,1.4765,6.6211,22.17,112.5629,1.35,0.8996,93.3789,512590.3641,94746.8,1.8662,3.1102,17.5101,13.3233,22.7131,47099.6301,39254.7,1913.7,0.7440000000000001,0.8097,0.4115,0.4866,7.5056,8/31/2010
30/09/2010,197.05,148835574,346914.0752,1.7506,6.4822,6.4822,5.8315,110.7315,75.9448,1.4765,6.6211,22.17,112.5629,1.35,0.8996,93.3789,571242.8931,94746.8,1.8662,3.6831,17.5101,11.251,19.1802,47099.6301,39254.7,1913.7,0.7440000000000001,0.6837,0.4115,0.5762,8.8881,9/30/2010
29/10/2010,210.5,156483309,346914.0752,1.8701,6.4822,6.4822,5.8315,110.7315,75.9448,1.4765,6.6211,22.17,112.5629,1.35,0.8996,93.3789,596984.7928,94746.8,1.8662,3.9345,17.5101,10.5321,17.9546,47099.6301,39254.7,1913.7,0.7440000000000001,0.64,0.4115,0.6156,9.4948,10/29/2010
30/11/2010,206.55,158064006,346914.0752,1.835,6.4822,6.4822,5.8315,110.7315,75.9448,1.4765,6.6211,22.17,112.5629,1.35,0.8996,93.3789,589437.8899,94746.8,1.8662,3.8607,17.5101,10.7335,18.298,47099.6301,39254.7,1913.7,0.7440000000000001,0.6522,0.4115,0.604,9.3166,11/30/2010
31/12/2010,247.0,153137237,346914.0752,2.1943,6.4822,6.4822,5.8315,110.7315,75.9448,1.4765,6.6211,22.17,112.5629,1.35,0.8996,93.3789,666852.3348,94746.8,1.8662,4.6167,17.5101,8.9757,15.3014,47099.6301,39254.7,1913.7,0.7440000000000001,0.5454,0.4115,0.7223,11.1412,12/31/2010
31/01/2011,229.65,188326507,346914.0752,2.0402,6.4822,6.4822,5.8315,110.7315,75.9448,1.4765,6.6211,22.17,112.5629,1.35,0.8996,93.3789,633816.9857,94746.8,1.8662,4.2925,17.5101,9.6538,16.4574,47099.6301,39254.7,1913.7,0.7440000000000001,0.5864,0.4115,0.6716,10.3586,1/31/2011
28/02/2011,201.35,217865792,346914.0752,1.7888,6.4822,6.4822,5.8315,110.7315,75.9448,1.4765,6.6211,22.17,112.5629,1.35,0.8996,93.3789,579645.8564,94746.8,1.8662,3.7635,17.5101,11.0107,18.7706,47099.6301,39254.7,1913.7,0.7440000000000001,0.6688,0.4115,0.5888,9.0821,2/28/2011
31/03/2011,209.15,175460624,400510.5717,1.38,3.4210000000000003,3.4210000000000003,3.1879,94.3022,68.5042,1.6398,11.7124,12.84,151.5621,1.5,0.9319,88.2876,636574.3311,79068.4,2.7066,5.0623,12.4187,6.1391,12.9234,38184.1997,24563.7,1914.6,0.789,0.7358,0.4076,0.5575,16.2889,3/31/2011
29/04/2011,216.05,108522185,400510.5717,1.4255,3.4210000000000003,3.4210000000000003,3.1879,94.3022,68.5042,1.6398,11.7124,12.84,151.5621,1.5,0.9319,88.2876,649783.6769,79068.4,2.7066,5.2293,12.4187,5.9431,12.5107,38184.1997,24563.7,1914.6,0.789,0.7123,0.4076,0.5758,16.8263,4/29/2011
31/05/2011,197.35,125658761,400510.5717,1.3021,3.4210000000000003,3.4210000000000003,3.1879,94.3022,68.5042,1.6398,11.7124,12.84,151.5621,1.5,0.9319,88.2876,613987.832,79068.4,2.7066,4.7767,12.4187,6.5062,13.6961,38184.1997,24563.7,1914.6,0.789,0.7798,0.4076,0.526,15.3699,5/31/2011
30/06/2011,180.55,135756963,400510.5717,1.1913,3.4210000000000003,3.4210000000000003,3.1879,94.3022,68.5042,1.6398,11.7124,12.84,151.5621,1.5,0.9319,88.2876,581826.4067,79068.4,2.7066,4.3701,12.4187,7.1116,14.9706,38184.1997,24563.7,1914.6,0.789,0.8523,0.4076,0.4812,14.0615,6/30/2011
29/07/2011,168.45,132347496,400510.5717,1.1114,3.4210000000000003,3.4210000000000003,3.1879,94.3022,68.5042,1.6398,11.7124,12.84,151.5621,1.5,0.9319,88.2876,558661.8713,79068.4,2.7066,4.0772,12.4187,7.6224,16.0459,38184.1997,24563.7,1914.6,0.789,0.9135,0.4076,0.449,13.1192,7/29/2011
30/08/2011,150.6,179890352,400510.5717,0.9937,3.4210000000000003,3.4210000000000003,3.1879,94.3022,68.5042,1.6398,11.7124,12.84,151.5621,1.5,0.9319,88.2876,524492.0853,79068.4,2.7066,3.6451,12.4187,8.5259,17.9478,38184.1997,24563.7,1914.6,0.789,1.0218,0.4076,0.4014,11.729000000000001,8/30/2011
30/09/2011,131.45,161868521,400510.5717,0.8673,3.4210000000000003,3.4210000000000003,3.1879,94.3022,68.5042,1.6398,11.7124,12.84,151.5621,1.5,0.9319,88.2876,487837.1957,79068.4,2.7066,3.1816,12.4187,9.768,20.5624,38184.1997,24563.7,1914.6,0.789,1.1706,0.4076,0.3504,10.2375,9/30/2011
31/10/2011,135.95,206363966,400510.5717,0.897,3.4210000000000003,3.4210000000000003,3.1879,94.3022,68.5042,1.6398,11.7124,12.84,151.5621,1.5,0.9319,88.2876,496457.926,79068.4,2.7066,3.2905,12.4187,9.4446,19.8818,38184.1997,24563.7,1914.6,0.789,1.1319,0.4076,0.3624,10.588,10/31/2011
30/11/2011,122.95,153205236,400510.5717,0.8112,3.4210000000000003,3.4210000000000003,3.1879,94.3022,68.5042,1.6398,11.7124,12.84,151.5621,1.5,0.9319,88.2876,471569.5872,79068.4,2.7066,2.9759,12.4187,10.4433,21.984,38184.1997,24563.7,1914.6,0.789,1.2515,0.4076,0.3277,9.5755,11/30/2011
30/12/2011,115.85,188844518,400510.5717,0.7644,3.4210000000000003,3.4210000000000003,3.1879,94.3022,68.5042,1.6398,11.7124,12.84,151.5621,1.5,0.9319,88.2876,457976.417,79068.4,2.7066,2.804,12.4187,11.0833,23.3313,38184.1997,24563.7,1914.6,0.789,1.3282,0.4076,0.3088,9.0226,12/30/2011
31/01/2012,146.6,207157159,400510.5717,0.9673,3.4210000000000003,3.4210000000000003,3.1879,94.3022,68.5042,1.6398,11.7124,12.84,151.5621,1.5,0.9319,88.2876,516848.6928,79068.4,2.7066,3.5483,12.4187,8.7585,18.4375,38184.1997,24563.7,1914.6,0.789,1.0496,0.4076,0.3907,11.4174,1/31/2012
29/02/2012,148.9,261385069,400510.5717,0.9824,3.4210000000000003,3.4210000000000003,3.1879,94.3022,68.5042,1.6398,11.7124,12.84,151.5621,1.5,0.9319,88.2876,521252.7573,79068.4,2.7066,3.604,12.4187,8.6232,18.1527,38184.1997,24563.7,1914.6,0.789,1.0334,0.4076,0.3969,11.5966,2/29/2012
30/03/2012,129.4,254874170,247812.4593,0.7766,4.1975,4.1975,3.6473,122.0745,97.8429,1.6264,8.752,17.74,166.63099999999997,1.55,0.8689,91.248,593783.8812,88416.1,3.7205,2.8019,14.8885,13.7094,25.0125,51247.2123,33969.5,1914.8,0.7962,1.6566,0.4013,0.3061,7.2943,3/30/2012
30/04/2012,120.75,159421613,247812.4593,0.7247,4.1975,4.1975,3.6473,122.0745,97.8429,1.6264,8.752,17.74,166.63099999999997,1.55,0.8689,91.248,577223.0898,88416.1,3.7205,2.6146,14.8885,14.6915,26.8043,51247.2123,33969.5,1914.8,0.7962,1.7753,0.4013,0.2857,6.8067,4/30/2012
31/05/2012,116.65,218757605,247812.4593,0.7,4.1975,4.1975,3.6473,122.0745,97.8429,1.6264,8.752,17.74,166.63099999999997,1.55,0.8689,91.248,569373.4661,88416.1,3.7205,2.5258,14.8885,15.2079,27.7464,51247.2123,33969.5,1914.8,0.7962,1.8377,0.4013,0.276,6.5755,5/31/2012
29/06/2012,119.9,141166169,247812.4593,0.7196,4.1975,4.1975,3.6473,122.0745,97.8429,1.6264,8.752,17.74,166.63099999999997,1.55,0.8689,91.248,575595.7288,88416.1,3.7205,2.5962,14.8885,14.7957,26.9943,51247.2123,33969.5,1914.8,0.7962,1.7879,0.4013,0.2836,6.7587,6/29/2012
