Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,70.77,78013500,221068.6901,8.7185,37.9802,37.9802,36.3518,16.2698,-32.6811,3.9542,7.1736,3.4849,8.1172,0.25,0.9571,92.8264,287817.0056,23068.5,-0.4859,12.9625,10.9923,4.9243,7.2429,14303.6423,14724.8,4225.3,3.214,0.0187,2.278,7.7129,20.3076
2/28/2007,64.18,102407510,221068.6901,7.9067,37.9802,37.9802,36.3518,16.2698,-32.6811,3.9542,7.1736,3.4849,8.1172,0.25,0.9571,92.8264,259972.1459,23068.5,-0.4859,11.7555,10.9923,5.4299,7.9865,14303.6423,14724.8,4225.3,3.214,0.0206,2.278,6.9947,18.4166
3/30/2007,56.49,53027770,238667.1437,3.1292,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,193441.2075,64200.3,-0.7045,3.7175,33.1885,18.6109,26.2423,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,2.7881,5.3737
4/30/2007,67.91,84154220,238667.1437,3.7619,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,241694.3634,64200.3,-0.7045,4.4691,33.1885,15.481,21.829,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,3.3518,6.46
5/31/2007,65.66,60612780,238667.1437,3.6375,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,232208.5197,64200.3,-0.7045,4.3214,33.1885,16.0103,22.5754,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,3.241,6.246
6/29/2007,70.46,57175520,238667.1437,3.9031,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,252468.9297,64200.3,-0.7045,4.637,33.1885,14.9207,21.0389,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,3.4777,6.7026
7/31/2007,75.33,51555730,238667.1437,4.1732,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,273067.3653,64200.3,-0.7045,4.9578,33.1885,13.9551,19.6774,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,3.7183,7.1658
8/31/2007,72.25,32893830,238667.1437,4.0023,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,260032.2527,64200.3,-0.7045,4.7548,33.1885,14.550999999999998,20.5176,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,3.5660000000000003,6.8728
9/28/2007,81.11,40535030,238667.1437,4.4934,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,297489.7157,64200.3,-0.7045,5.3382,33.1885,12.9606,18.2752,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,4.0036,7.7157
10/31/2007,90.55,51542520,238667.1437,5.0167,51.889,51.889,65.3823,0.0051,-59.2968,7.1172,4.7562,10.5124,18.0509,0.5,1.26,95.2438,337397.8643,64200.3,-0.7045,5.9598,33.1885,11.6088,16.369,43107.0982,44418.1,4225.3,6.144,0.0,5.4707,4.4698,8.6136
