Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,61.95,55651832,682586.3297,1.8892,3.3563,3.3563,5.9333,92.8343,67.7811,1.155,28.7779,5.475,32.7918,1.5625,1.7678,71.2221,815791.8498,97836.9,2.2435,5.9167,10.6401,8.8378,12.5296,50876.8016,51159.0,11680.1,0.3234,0.5193,0.1996,0.3798,11.3151
2/28/2007,51.66,24294376,682586.3297,1.5755,3.3563,3.3563,5.9333,92.8343,67.7811,1.155,28.7779,5.475,32.7918,1.5625,1.7678,71.2221,719664.4452,97836.9,2.2435,4.9341,10.6401,10.5976,15.0246,50876.8016,51159.0,11680.1,0.3234,0.6228,0.1996,0.3167,9.4356
3/30/2007,49.96,25008832,466796.0757,1.2782,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,623207.2785,127626.8,1.0925,3.7338,20.479,16.5098,20.464,69287.3137,78674.5,11923.7,0.46,0.6315,0.3452,0.2583,6.0574
4/30/2007,55.13,34090280,466796.0757,1.4106,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,671562.9839,127626.8,1.0925,4.1206,20.479,14.9601,18.5431,69287.3137,78674.5,11923.7,0.46,0.5722,0.3452,0.2851,6.6843
5/31/2007,58.28,55845640,466796.0757,1.491,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,700938.4909,127626.8,1.0925,4.3555,20.479,14.153,17.5427,69287.3137,78674.5,11923.7,0.46,0.5414,0.3452,0.3014,7.0662
6/29/2007,55.45,42937312,466796.0757,1.4188,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,685348.4251,127626.8,1.0925,4.1444,20.479,14.8741,18.4365,69287.3137,78674.5,11923.7,0.46,0.5573,0.3452,0.2867,6.7231
7/31/2007,50.37,51315816,466796.0757,1.2888,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,636878.4111,127626.8,1.0925,3.7646,20.479,16.3746,20.2964,69287.3137,78674.5,11923.7,0.46,0.6135,0.3452,0.2605,6.1072
8/31/2007,48.54,55968072,466796.0757,1.2419,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,619410.1281,127626.8,1.0925,3.6278,20.479,16.9924,21.0621,69287.3137,78674.5,11923.7,0.46,0.6367,0.3452,0.251,5.8853
9/28/2007,58.81,79695232,466796.0757,1.5046,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,717363.5593,127626.8,1.0925,4.3953,20.479,14.0252,17.3843,69287.3137,78674.5,11923.7,0.46,0.5255,0.3452,0.3041,7.1305
10/31/2007,60.22,100689272,466796.0757,1.5408,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,730837.3858,127626.8,1.0925,4.5008,20.479,13.6962,16.9765,69287.3137,78674.5,11923.7,0.46,0.5132,0.3452,0.3114,7.3014
11/30/2007,67.9,189339376,466796.0757,1.7373,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,804108.7695,127626.8,1.0925,5.0749,20.479,12.1468,15.056,69287.3137,78674.5,11923.7,0.46,0.4551,0.3452,0.3511,8.2326
12/31/2007,99.37,269872680,466796.0757,2.5425,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,1104288.93,127626.8,1.0925,7.427,20.479,8.3001,10.288,69287.3137,78674.5,11923.7,0.46,0.311,0.3452,0.5139,12.0482
1/31/2008,59.61,222978064,466796.0757,1.5251,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,724994.7531,127626.8,1.0925,4.455,20.479,13.8369,17.1509,69287.3137,78674.5,11923.7,0.46,0.5185,0.3452,0.3082,7.2275
2/29/2008,70.01,156842504,466796.0757,1.7912,4.2651,4.2651,7.9301,77.1333,36.4838,1.2612,28.8231,8.2477,39.0834,2.375,1.8593,71.1769,824200.2718,127626.8,1.0925,5.2324,20.479,11.7813,14.603,69287.3137,78674.5,11923.7,0.46,0.4414,0.3452,0.362,8.4884
3/31/2008,55.69,83957224,531262.372,1.2179,3.7873,3.7873,6.8711,84.7254,47.6814,2.0947,7.7278,8.295,45.7276,0.6875,1.8142,92.2722,771738.6461,146552.9,1.4908,3.6251,18.99,14.894,21.8683,79488.4963,79127.4,11923.7,0.6277,0.7307,0.4793,0.2543,6.7137
4/30/2008,57.63,78039656,531262.372,1.2602,3.7873,3.7873,6.8711,84.7254,47.6814,2.0947,7.7278,8.295,45.7276,0.6875,1.8142,92.2722,790160.8248,146552.9,1.4908,3.7508,18.99,14.3948,21.1354,79488.4963,79127.4,11923.7,0.6277,0.7062,0.4793,0.2631,6.9476
5/30/2008,53.26,128191152,531262.372,1.1648,3.7873,3.7873,6.8711,84.7254,47.6814,2.0947,7.7278,8.295,45.7276,0.6875,1.8142,92.2722,748546.9714,146552.9,1.4908,3.4668,18.99,15.5738,22.8666,79488.4963,79127.4,11923.7,0.6277,0.7641,0.4793,0.2432,6.4207
6/30/2008,41.54,119188184,531262.372,0.9084,3.7873,3.7873,6.8711,84.7254,47.6814,2.0947,7.7278,8.295,45.7276,0.6875,1.8142,92.2722,636702.288,146552.9,1.4908,2.7036,18.99,19.9699,29.3212,79488.4963,79127.4,11923.7,0.6277,0.9798,0.4793,0.1896,5.0078
7/31/2008,50.36,65561160,531262.372,1.1014,3.7873,3.7873,6.8711,84.7254,47.6814,2.0947,7.7278,8.295,45.7276,0.6875,1.8142,92.2722,720883.8940000002,146552.9,1.4908,3.278,18.99,16.4706,24.1833,79488.4963,79127.4,11923.7,0.6277,0.8081,0.4793,0.2299,6.0711
8/29/2008,50.17,54402120,531262.372,1.0971,3.7873,3.7873,6.8711,84.7254,47.6814,2.0947,7.7278,8.295,45.7276,0.6875,1.8142,92.2722,719035.7143,146552.9,1.4908,3.2654,18.99,16.5342,24.2767,79488.4963,79127.4,11923.7,0.6277,0.8112,0.4793,0.2291,6.0482
9/30/2008,50.83,95990920,531262.372,1.1115,3.7873,3.7873,6.8711,84.7254,47.6814,2.0947,7.7278,8.295,45.7276,0.6875,1.8142,92.2722,725295.6779,146552.9,1.4908,3.3082,18.99,16.3207,23.9632,79488.4963,79127.4,11923.7,0.6277,0.8007,0.4793,0.2321,6.1278
10/31/2008,42.29,75905920,531262.372,0.9248,3.7873,3.7873,6.8711,84.7254,47.6814,2.0947,7.7278,8.295,45.7276,0.6875,1.8142,92.2722,643856.5321,146552.9,1.4908,2.7525,18.99,19.6157,28.8012,79488.4963,79127.4,11923.7,0.6277,0.9624,0.4793,0.1931,5.0983
