Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,58.2,380786121,732823.1545,7.1101,22.2473,22.2473,18.2501,0.7076,-39.6158,2.2824,43.3532,2.0395,8.1855,0.8833,0.8203,56.6468,620212.7393,34662.7,-1.0633,18.8965,4.9747,3.5044,4.743,21536.7839,22953.8,3755.2,1.1878,0.001,1.0158,6.3484,28.5364
2/28/2007,57.23,330174510,732823.1545,6.992000000000001,22.2473,22.2473,18.2501,0.7076,-39.6158,2.2824,43.3532,2.0395,8.1855,0.8833,0.8203,56.6468,609370.2435,34662.7,-1.0633,18.5827,4.9747,3.5636,4.8231,21536.7839,22953.8,3755.2,1.1878,0.001,1.0158,6.2429999999999986,28.0608
3/30/2007,50.38,727573653,568659.9732,5.3412,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,2.4441,9.4329,1.0333,0.893,57.6704,536989.9773,40934.8,-0.7943,13.8749,7.6198,4.8511,6.5138,25368.0055,27552.6,3762.2,1.0082,0.002,0.8279,4.4118,20.6129
4/30/2007,53.35,368110626,568659.9732,5.6557,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,2.4441,9.4329,1.0333,0.893,57.6704,570703.4752,40934.8,-0.7943,14.6919,7.6198,4.5813,6.1515,25368.0055,27552.6,3762.2,1.0082,0.0019,0.8279,4.6716,21.8281
5/31/2007,54.6,317211447,568659.9732,5.7883,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,2.4441,9.4329,1.0333,0.893,57.6704,584811.8111,40934.8,-0.7943,15.0361,7.6198,4.4765,6.0107,25368.0055,27552.6,3762.2,1.0082,0.0019,0.8279,4.7811,22.3395
6/29/2007,51.57,354277176,568659.9732,5.4667,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,2.4441,9.4329,1.0333,0.893,57.6704,550575.5827,40934.8,-0.7943,14.2008,7.6198,4.7398,6.3643,25368.0055,27552.6,3762.2,1.0082,0.002,0.8279,4.5154,21.0998
7/31/2007,57.0,595122024,568659.9732,6.0427,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,2.4441,9.4329,1.0333,0.893,57.6704,611899.816,40934.8,-0.7943,15.6971,7.6198,4.288,5.7576,25368.0055,27552.6,3762.2,1.0082,0.0018,0.8279,4.9912,23.3215
8/31/2007,56.93,451008720,568659.9732,6.0356,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,2.4441,9.4329,1.0333,0.893,57.6704,611147.3714,40934.8,-0.7943,15.6787,7.6198,4.293,5.7644,25368.0055,27552.6,3762.2,1.0082,0.0018,0.8279,4.9854,23.2928
9/28/2007,63.27,368954070,568659.9732,6.7070000000000025,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,2.4441,9.4329,1.0333,0.893,57.6704,682792.1135,40934.8,-0.7943,17.4228,7.6198,3.8632,5.1873,25368.0055,27552.6,3762.2,1.0082,0.0016,0.8279,5.54,25.8868
10/31/2007,59.63,423334515,568659.9732,6.3219,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,2.4441,9.4329,1.0333,0.893,57.6704,641929.298,40934.8,-0.7943,16.4222,7.6198,4.0986,5.5034,25368.0055,27552.6,3762.2,1.0082,0.0017,0.8279,5.2218,24.3975
11/30/2007,62.78,462831627,568659.9732,6.6558,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,2.4441,9.4329,1.0333,0.893,57.6704,677680.6659,40934.8,-0.7943,17.2897,7.6198,3.893,5.2273,25368.0055,27552.6,3762.2,1.0082,0.0016,0.8279,5.4976,25.6863
12/31/2007,69.82,380727120,568659.9732,7.4014,21.4022,21.4022,19.1122,1.0768,-30.2358,2.2658,42.3296,2.4441,9.4329,1.0333,0.893,57.6704,757120.2856,40934.8,-0.7943,19.2266,7.6198,3.5008,4.7007,25368.0055,27552.6,3762.2,1.0082,0.0015,0.8279,6.1135,28.5668
