Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,353.11,55988838,334218.3797,8.8571,8.0228,8.0228,8.8918,71.0124,39.5126,1.4969,24.2292,10.9981,39.8674,2.4444,1.1083,75.7708,466447.3273,16290.5,1.2215,25.9607,4.5865,2.9497,3.2762,10787.0202,13172.1,274.8,0.8285,0.0803,0.1913,2.5759,32.1065
2/28/2007,331.08,89401698,334218.3797,8.3045,8.0228,8.0228,8.8918,71.0124,39.5126,1.4969,24.2292,10.9981,39.8674,2.4444,1.1083,75.7708,438751.5577,16290.5,1.2215,24.3408,4.5865,3.1460000000000004,3.4942,10787.0202,13172.1,274.8,0.8285,0.0856,0.1913,2.4151,30.1034
3/30/2007,360.02,92331482,458926.9388,6.6304,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,493710.7306,24976.1,1.3147,18.1214,5.0131,4.9495,4.7564,16680.1333,22401.4,566.5,0.7755,0.1436,0.2679,2.2243,20.204
4/30/2007,377.42,67325697,458926.9388,6.9509,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,517718.0954,24976.1,1.3147,18.9972,5.0131,4.7213,4.5371,16680.1333,22401.4,566.5,0.7755,0.1364,0.2679,2.3318,21.1805
5/31/2007,446.64,81619628,458926.9388,8.2257,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,608276.7264,24976.1,1.3147,22.4814,5.0131,3.9896,3.8339,16680.1333,22401.4,566.5,0.7755,0.1147,0.2679,2.7595,25.0651
6/29/2007,488.44,104364779,458926.9388,8.9955,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,661590.8493,24976.1,1.3147,24.5854,5.0131,3.6482,3.5058,16680.1333,22401.4,566.5,0.7755,0.1048,0.2679,3.0177,27.4109
7/31/2007,579.51,146047113,458926.9388,10.6727,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,779885.3799,24976.1,1.3147,29.1691,5.0131,3.0749,2.9549,16680.1333,22401.4,566.5,0.7755,0.0881,0.2679,3.5804,32.5217
8/31/2007,573.96,124797290,458926.9388,10.5703,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,778951.1991,24976.1,1.3147,28.8895,5.0131,3.1046,2.9835,16680.1333,22401.4,566.5,0.7755,0.0882,0.2679,3.5461,32.2102
9/28/2007,623.99,84836358,458926.9388,11.4918,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,843442.2325,24976.1,1.3147,31.4079,5.0131,2.8557,2.7443,16680.1333,22401.4,566.5,0.7755,0.0811,0.2679,3.8552,35.0178
10/31/2007,942.94,181007312,458926.9388,17.3659,11.0092,11.0092,10.8425,86.2118,43.3924,1.5118,16.4387,17.8192,54.2987,2.8889,0.9849,83.5613,1255395.756,24976.1,1.3147,47.4622,5.0131,1.8897,1.816,16680.1333,22401.4,566.5,0.7755,0.0536,0.2679,5.8258,52.9171
