Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,28.0,19121120,31499.8,12.422,7.5948,7.5948,16.1101,91.7087,69.3629,1.4238,41.3904,0.7490000000000001,2.2541,0.31,2.1212,58.6096,36742.8959,1465.6,1.2375,22.1624,4.3994,2.6748,3.1329,902.1336,868.8,580.0,0.5272,0.0687,0.2803,2.8394,37.3832
2/28/2007,29.76,19643962,31499.8,13.2006,7.5948,7.5948,16.1101,91.7087,69.3629,1.4238,41.3904,0.7490000000000001,2.2541,0.31,2.1212,58.6096,38932.25,1465.6,1.2375,23.5515,4.3994,2.517,2.9481,902.1336,868.8,580.0,0.5272,0.0646,0.2803,3.0174,39.733000000000004
3/30/2007,29.98,34705776,37392.6,18.9793,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,0.9432,1.5794,0.3275,2.215,64.8867,39495.6,2128.5,0.988,16.6086,5.3892,3.1467,4.5447,1212.5826,1128.9,609.0,0.1973,0.0671,0.0765,2.2706,31.7854
4/30/2007,26.68,31964420,37392.6,16.8928,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,0.9432,1.5794,0.3275,2.215,64.8867,35384.85,2128.5,0.988,14.7827,5.3892,3.5353,5.106,1212.5826,1128.9,609.0,0.1973,0.0754,0.0765,2.021,28.2867
5/31/2007,28.05,40980638,37392.6,17.7583,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,0.9432,1.5794,0.3275,2.215,64.8867,37090.05,2128.5,0.988,15.5401,5.3892,3.363,4.8571,1212.5826,1128.9,609.0,0.1973,0.0717,0.0765,2.1245,29.7392
6/29/2007,27.05,23183210,37392.6,17.1247,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,0.9432,1.5794,0.3275,2.215,64.8867,35841.6,2128.5,0.988,14.9856,5.3892,3.4875,5.0369,1212.5826,1128.9,609.0,0.1973,0.0744,0.0765,2.0487,28.679000000000002
7/31/2007,27.49,34271032,37392.6,17.4029,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,0.9432,1.5794,0.3275,2.215,64.8867,36389.7,2128.5,0.988,15.2291,5.3892,3.4317,4.9563,1212.5826,1128.9,609.0,0.1973,0.0732,0.0765,2.082,29.1455
8/31/2007,28.19,16456728,37392.6,17.8511,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,0.9432,1.5794,0.3275,2.215,64.8867,37272.75,2128.5,0.988,15.6213,5.3892,3.3456,4.8319,1212.5826,1128.9,609.0,0.1973,0.0714,0.0765,2.1356,29.8876
9/28/2007,29.61,13608572,37392.6,18.7475,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,0.9432,1.5794,0.3275,2.215,64.8867,39038.85,2128.5,0.988,16.4057,5.3892,3.1856,4.6009,1212.5826,1128.9,609.0,0.1973,0.0679,0.0765,2.2429,31.3931
10/31/2007,32.98,20026734,37392.6,20.8803,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,0.9432,1.5794,0.3275,2.215,64.8867,43240.95,2128.5,0.988,18.2722,5.3892,2.8602,4.1309,1212.5826,1128.9,609.0,0.1973,0.061,0.0765,2.498,34.9661
11/30/2007,32.0,15605368,37392.6,20.2621,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,0.9432,1.5794,0.3275,2.215,64.8867,42022.95,2128.5,0.988,17.7312,5.3892,2.9475,4.2569,1212.5826,1128.9,609.0,0.1973,0.0629,0.0765,2.4241,33.9271
12/31/2007,33.54,22506436,37392.6,21.2358,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,0.9432,1.5794,0.3275,2.215,64.8867,43941.3,2128.5,0.988,18.5833,5.3892,2.8123,4.0617,1212.5826,1128.9,609.0,0.1973,0.06,0.0765,2.5406,35.5598
1/31/2008,31.12,71625840,37392.6,19.7057,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,0.9432,1.5794,0.3275,2.215,64.8867,40926.75,2128.5,0.988,17.2443,5.3892,3.0307,4.3771,1212.5826,1128.9,609.0,0.1973,0.0646,0.0765,2.3575,32.9941
2/29/2008,30.78,9647352,37392.6,19.4893,7.2509,7.2509,16.0608,130.4553,109.3097,0.7523,35.1133,0.9432,1.5794,0.3275,2.215,64.8867,40500.45,2128.5,0.988,17.0549,5.3892,3.0643,4.4257,1212.5826,1128.9,609.0,0.1973,0.0654,0.0765,2.3316,32.6336
3/31/2008,33.1,13041644,41290.2,12.8142,8.8677,8.8677,19.9667,114.0719,90.6272,0.9721,23.5924,1.3882,2.5831,0.3275,2.2516,76.4076,44143.8,2913.1,0.9792,13.8396,6.5991,4.1939,6.4602,2148.1538,1690.8,609.0,0.2946,0.087,0.1358,2.1145,23.8438
4/30/2008,32.51,15546016,41290.2,12.5874,8.8677,8.8677,19.9667,114.0719,90.6272,0.9721,23.5924,1.3882,2.5831,0.3275,2.2516,76.4076,43413.0,2913.1,0.9792,13.5947,6.5991,4.2694,6.5766,2148.1538,1690.8,609.0,0.2946,0.0885,0.1358,2.077,23.4188
5/30/2008,31.54,38854026,41290.2,12.2094,8.8677,8.8677,19.9667,114.0719,90.6272,0.9721,23.5924,1.3882,2.5831,0.3275,2.2516,76.4076,42195.0,2913.1,0.9792,13.1864,6.5991,4.4016,6.7802,2148.1538,1690.8,609.0,0.2946,0.0913,0.1358,2.0147,22.7201
6/30/2008,26.07,15198700,41290.2,10.0926,8.8677,8.8677,19.9667,114.0719,90.6272,0.9721,23.5924,1.3882,2.5831,0.3275,2.2516,76.4076,35374.2,2913.1,0.9792,10.9002,6.5991,5.3248,8.2023,2148.1538,1690.8,609.0,0.2946,0.1104,0.1358,1.6654,18.7797
7/31/2008,26.05,34703712,41290.2,10.0832,8.8677,8.8677,19.9667,114.0719,90.6272,0.9721,23.5924,1.3882,2.5831,0.3275,2.2516,76.4076,35343.75,2913.1,0.9792,10.89,6.5991,5.3298,8.21,2148.1538,1690.8,609.0,0.2946,0.1105,0.1358,1.6638,18.7653
