Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,924.9,20392729,252594.0655,4.7948,10.0394,10.0394,16.0294,13.6892,-30.764,2.2434,8.293,42.1965,192.8974,3.5,1.5967,91.707,250133.9471,19620,-0.8753,13.6194,8.3307,4.5623,6.2606,11376.3026,12191,1445,1.4913,0.0286,1.1718,2.2005,21.9189
2/28/2007,841.7,16821155,252594.0655,4.3635,10.0394,10.0394,16.0294,13.6892,-30.764,2.2434,8.293,42.1965,192.8974,3.5,1.5967,91.707,226096.6271,19620,-0.8753,12.3943,8.3307,5.0132,6.8794,11376.3026,12191,1445,1.4913,0.0314,1.1718,2.0026,19.9472
3/30/2007,820.2,27829030,236964.0351,3.3821,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,54.9756,242.5149,4.5,1.5484,91.8151,221421.0601,20887,-0.7441,11.345,9.4332,6.7027,7.6518,12439.2149,15883,1445,1.2009,0.0322,0.8995,1.6096,14.9193
4/30/2007,806.1,21423409,236964.0351,3.3239,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,54.9756,242.5149,4.5,1.5484,91.8151,217347.4278,20887,-0.7441,11.15,9.4332,6.8199,7.7856,12439.2149,15883,1445,1.2009,0.0328,0.8995,1.582,14.6629
5/31/2007,817.1,10926759,236964.0351,3.3693,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,54.9756,242.5149,4.5,1.5484,91.8151,220525.4388,20887,-0.7441,11.3022,9.4332,6.7281,7.6808,12439.2149,15883,1445,1.2009,0.0323,0.8995,1.6035,14.863
6/29/2007,744.15,14008938,236964.0351,3.0685,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,54.9756,242.5149,4.5,1.5484,91.8151,199449.4474,20887,-0.7441,10.2931,9.4332,7.3877,8.4338,12439.2149,15883,1445,1.2009,0.0355,0.8995,1.4604,13.536
7/31/2007,844.55,17942677,236964.0351,3.4825,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,54.9756,242.5149,4.5,1.5484,91.8151,228456.0209,20887,-0.7441,11.6819,9.4332,6.5095,7.4312,12439.2149,15883,1445,1.2009,0.0313,0.8995,1.6574,15.3623
8/31/2007,867.7,17570658,236964.0351,3.5779,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,54.9756,242.5149,4.5,1.5484,91.8151,235144.2896,20887,-0.7441,12.0021,9.4332,6.3358,7.2329,12439.2149,15883,1445,1.2009,0.0304,0.8995,1.7028,15.7834
9/28/2007,998.75,24167896,236964.0351,4.1183,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,54.9756,242.5149,4.5,1.5484,91.8151,273005.8662,20887,-0.7441,13.8148,9.4332,5.5044,6.2839,12439.2149,15883,1445,1.2009,0.0265,0.8995,1.96,18.1672
10/31/2007,1073.85,34621723,236964.0351,4.428,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,54.9756,242.5149,4.5,1.5484,91.8151,294703.0074,20887,-0.7441,14.8535,9.4332,5.1195,5.8444,12439.2149,15883,1445,1.2009,0.0246,0.8995,2.1074,19.5332
11/30/2007,1014.15,14786440,236964.0351,4.1818,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,54.9756,242.5149,4.5,1.5484,91.8151,277455.0802,20887,-0.7441,14.0278,9.4332,5.4209,6.1884,12439.2149,15883,1445,1.2009,0.0261,0.8995,1.9902,18.4473
12/31/2007,994.5,11317842,236964.0351,4.1008,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,54.9756,242.5149,4.5,1.5484,91.8151,271777.9986,20887,-0.7441,13.755999999999998,9.4332,5.528,6.3107,12439.2149,15883,1445,1.2009,0.0266,0.8995,1.9517,18.0898
1/31/2008,850.2,17454787,236964.0351,3.5058,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,54.9756,242.5149,4.5,1.5484,91.8151,230088.2851,20887,-0.7441,11.76,9.4332,6.4662,7.3818,12439.2149,15883,1445,1.2009,0.0311,0.8995,1.6685,15.465
2/29/2008,868.2,14290842,236964.0351,3.58,10.7888,10.7888,16.7055,10.8942,-22.1837,1.8574,8.1849,54.9756,242.5149,4.5,1.5484,91.8151,235288.6652,20887,-0.7441,12.009,9.4332,6.3321,7.2288,12439.2149,15883,1445,1.2009,0.0304,0.8995,1.7038,15.7925
3/31/2008,827.0,20885487,238928.6196,2.7695,9.9324,9.9324,12.7546,0.1461,-17.0637,0.7467,8.0731,61.95,298.6085,5.0,1.2841,91.9269,224207.573,32424,-0.454,7.3689,14.4616,7.4909,11.1736,18745.131,17899,1445,0.3755,0.0005,0.2576,1.3258,13.3495
4/30/2008,742.1,16179960,238928.6196,2.4852,9.9324,9.9324,12.7546,0.1461,-17.0637,0.7467,8.0731,61.95,298.6085,5.0,1.2841,91.9269,199679.1137,32424,-0.454,6.6124,14.4616,8.3479,12.4519,18745.131,17899,1445,0.3755,0.0006,0.2576,1.1897,11.979000000000001
5/30/2008,763.05,18158738,238928.6196,2.5554,9.9324,9.9324,12.7546,0.1461,-17.0637,0.7467,8.0731,61.95,298.6085,5.0,1.2841,91.9269,205731.7783,32424,-0.454,6.7991,14.4616,8.1187,12.1101,18745.131,17899,1445,0.3755,0.0006,0.2576,1.2233,12.3172
6/30/2008,616.55,14299525,238928.6196,2.0647,9.9324,9.9324,12.7546,0.1461,-17.0637,0.7467,8.0731,61.95,298.6085,5.0,1.2841,91.9269,163406.4628,32424,-0.454,5.4937,14.4616,10.0478,14.9876,18745.131,17899,1445,0.3755,0.0007,0.2576,0.9885,9.9524
7/31/2008,575.65,22852753,238928.6196,1.9278,9.9324,9.9324,12.7546,0.1461,-17.0637,0.7467,8.0731,61.95,298.6085,5.0,1.2841,91.9269,151590.0436,32424,-0.454,5.1293,14.4616,10.7617,16.0524,18745.131,17899,1445,0.3755,0.0008,0.2576,0.9229,9.2922
8/29/2008,649.6,27039441,238928.6196,2.1754,9.9324,9.9324,12.7546,0.1461,-17.0637,0.7467,8.0731,61.95,298.6085,5.0,1.2841,91.9269,172954.9384,32424,-0.454,5.7882,14.4616,9.5366,14.225,18745.131,17899,1445,0.3755,0.0007,0.2576,1.0414,10.4859
9/30/2008,690.2,22906706,238928.6196,2.3114,9.9324,9.9324,12.7546,0.1461,-17.0637,0.7467,8.0731,61.95,298.6085,5.0,1.2841,91.9269,184684.6845,32424,-0.454,6.1499,14.4616,8.9757,13.3883,18745.131,17899,1445,0.3755,0.0006,0.2576,1.1065,11.1412
10/31/2008,563.2,22718690,238928.6196,1.8861,9.9324,9.9324,12.7546,0.1461,-17.0637,0.7467,8.0731,61.95,298.6085,5.0,1.2841,91.9269,147993.1141,32424,-0.454,5.0183,14.4616,10.9996,16.4073,18745.131,17899,1445,0.3755,0.0008,0.2576,0.9029,9.0912
11/28/2008,533.55,19206881,238928.6196,1.7868,9.9324,9.9324,12.7546,0.1461,-17.0637,0.7467,8.0731,61.95,298.6085,5.0,1.2841,91.9269,139426.9325,32424,-0.454,4.7541,14.4616,11.6109,17.3191,18745.131,17899,1445,0.3755,0.0008,0.2576,0.8554,8.6126
12/31/2008,520.2,37208030,238928.6196,1.7421,9.9324,9.9324,12.7546,0.1461,-17.0637,0.7467,8.0731,61.95,298.6085,5.0,1.2841,91.9269,135569.9839,32424,-0.454,4.6352,14.4616,11.9089,17.7635,18745.131,17899,1445,0.3755,0.0008,0.2576,0.8340000000000001,8.3971
1/30/2009,568.3,30469131,238928.6196,1.9032,9.9324,9.9324,12.7546,0.1461,-17.0637,0.7467,8.0731,61.95,298.6085,5.0,1.2841,91.9269,149466.5551,32424,-0.454,5.0638,14.4616,10.9009,16.2601,18745.131,17899,1445,0.3755,0.0008,0.2576,0.9111,9.1735
2/27/2009,677.3,29042392,238928.6196,2.2682,9.9324,9.9324,12.7546,0.1461,-17.0637,0.7467,8.0731,61.95,298.6085,5.0,1.2841,91.9269,180957.7455,32424,-0.454,6.035,14.4616,9.1466,13.6433,18745.131,17899,1445,0.3755,0.0006,0.2576,1.0858,10.933
3/31/2009,779.85,36730365,225306.5103,2.3555,5.9705,5.9705,7.75,7.9328,-25.051,1.8139,8.2369,42.48,331.0823,3.5,1.2981,91.7631,201344.4664,24409,-0.9817,9.2305,12.123,5.4472,7.6536,12440.6817,12274,1445,1.1013,0.0337,0.8405,1.096,18.3581
4/29/2009,814.0,29910694,225306.5103,2.4586,5.9705,5.9705,7.75,7.9328,-25.051,1.8139,8.2369,42.48,331.0823,3.5,1.2981,91.7631,211210.743,24409,-0.9817,9.6347,12.123,5.2187,7.3325,12440.6817,12274,1445,1.1013,0.0323,0.8405,1.144,19.162
5/29/2009,1027.1,26395875,225306.5103,3.1023,5.9705,5.9705,7.75,7.9328,-25.051,1.8139,8.2369,42.48,331.0823,3.5,1.2981,91.7631,272777.4648,24409,-0.9817,12.157,12.123,4.1359,5.8112,12440.6817,12274,1445,1.1013,0.0256,0.8405,1.4434,24.1784
6/30/2009,1068.95,15990099,225306.5103,3.2287,5.9705,5.9705,7.75,7.9328,-25.051,1.8139,8.2369,42.48,331.0823,3.5,1.2981,91.7631,284868.3304,24409,-0.9817,12.6523,12.123,3.974,5.5836,12440.6817,12274,1445,1.1013,0.0246,0.8405,1.5022,25.1636
7/31/2009,1414.45,20348667,225306.5103,4.2722,5.9705,5.9705,7.75,7.9328,-25.051,1.8139,8.2369,42.48,331.0823,3.5,1.2981,91.7631,384686.7366,24409,-0.9817,16.7417,12.123,3.0033,4.2198,12440.6817,12274,1445,1.1013,0.0186,0.8405,1.9878,33.2968
8/31/2009,1437.75,26063357,225306.5103,4.3426,5.9705,5.9705,7.75,7.9328,-25.051,1.8139,8.2369,42.48,331.0823,3.5,1.2981,91.7631,391418.3578,24409,-0.9817,17.0175,12.123,2.9546,4.1514,12440.6817,12274,1445,1.1013,0.0183,0.8405,2.0205,33.8453
9/30/2009,1701.4,20830246,225306.5103,5.1389,5.9705,5.9705,7.75,7.9328,-25.051,1.8139,8.2369,42.48,331.0823,3.5,1.2981,91.7631,467589.4802,24409,-0.9817,20.1381,12.123,2.4968,3.5081,12440.6817,12274,1445,1.1013,0.0154,0.8405,2.3911,40.0518
