Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,39.76,2028740,23046.1759,4.9095,12.5922,12.5922,17.8182,25.5638,11.0743,1.7991,40.129,2.492,8.099,0.575,1.415,59.871,20922.9374,1583.616,0.3003,12.8093,6.6864,6.2671,6.2404,854.9012,1271.2841,255.077,0.8585,0.0541,0.2591,2.0092,15.9551
2/28/2007,35.14,5821100,23046.1759,4.3382,12.5922,12.5922,17.8182,25.5638,11.0743,1.7991,40.129,2.492,8.099,0.575,1.415,59.871,18562.1998,1583.616,0.3003,11.3186,6.6864,7.0925,7.0623,854.9012,1271.2841,255.077,0.8585,0.0612,0.2591,1.7754,14.1011
3/30/2007,33.55,1529240,17115.6436,3.3092,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,17811.6347,1772.5020000000006,0.3062,10.2007,9.9514,5.8204,7.8108,932.142,1052.369,269.46,1.2274,0.07400000000000001,0.3145,1.3979,17.1813
4/30/2007,35.94,725440,17115.6436,3.5447,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,19029.6274,1772.5020000000006,0.3062,10.9266,9.9514,5.4337,7.2919,932.142,1052.369,269.46,1.2274,0.069,0.3145,1.4973,18.4053
5/31/2007,35.0,8987420,17115.6436,3.4522,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,18551.358,1772.5020000000006,0.3062,10.6416,9.9514,5.5793,7.4872,932.142,1052.369,269.46,1.2274,0.0709,0.3145,1.4583,17.9239
6/29/2007,34.5,587640,17115.6436,3.4029,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,18296.281000000006,1772.5020000000006,0.3062,10.4895,9.9514,5.6601,7.5957,932.142,1052.369,269.46,1.2274,0.0719,0.3145,1.4374,17.6678
7/31/2007,35.05,4975240,17115.6436,3.4572,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,18576.8657,1772.5020000000006,0.3062,10.6568,9.9514,5.5713,7.4766,932.142,1052.369,269.46,1.2274,0.0708,0.3145,1.4604,17.9495
8/31/2007,35.0,3993320,17115.6436,3.4522,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,19558.1674,1772.5020000000006,0.3062,10.6416,9.9514,5.5793,7.4872,932.142,1052.369,269.46,1.2274,0.0671,0.3145,1.4583,17.9239
9/28/2007,37.37,5440620,17115.6436,3.6862,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,20836.7551,1772.5020000000006,0.3062,11.3629,9.9514,5.2251,7.0119,932.142,1052.369,269.46,1.2274,0.0628,0.3145,1.5571,19.1376
10/31/2007,38.59,4961080,17115.6436,3.8061,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,21491.5429,1772.5020000000006,0.3062,11.7323,9.9514,5.0605,6.7911,932.142,1052.369,269.46,1.2274,0.0609,0.3145,1.6078,19.7624
11/30/2007,44.08,7978260,17115.6436,4.3481,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,24452.9082,1772.5020000000006,0.3062,13.403,9.9514,4.4297,5.9446,932.142,1052.369,269.46,1.2274,0.0533,0.3145,1.8367,22.5739
12/31/2007,43.99,7002540,17115.6436,4.339,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,24403.0581,1772.5020000000006,0.3062,13.3749,9.9514,4.439,5.9571,932.142,1052.369,269.46,1.2274,0.0534,0.3145,1.8328,22.5278
1/31/2008,39.99,18658960,17115.6436,3.9442,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,22246.0308,1772.5020000000006,0.3062,12.158,9.9514,4.8834,6.5534,932.142,1052.369,269.46,1.2274,0.0587,0.3145,1.6661,20.4793
2/29/2008,35.0,3210320,17115.6436,3.4522,8.1361,8.1361,12.8007,23.7686,10.1899,2.3263,29.4459,1.9527,10.1384,0.575,1.5733,70.5541,19558.1674,1772.5020000000006,0.3062,10.6416,9.9514,5.5793,7.4872,932.142,1052.369,269.46,1.2274,0.0671,0.3145,1.4583,17.9239
3/31/2008,37.56,13304660,20240.4772,3.3804,8.5428,8.5428,12.6565,21.7947,-4.9579,2.2669,27.0379,2.2191,11.1102,0.6,1.4816,72.9621,20075.8172,1870.395,-0.1624,10.8215,9.3167,5.9086,7.1637,1012.0917,1195.921,269.46,1.4018,0.066,0.574,1.4458,16.9258
4/30/2008,34.56,215040,20240.4772,3.1102,8.5428,8.5428,12.6565,21.7947,-4.9579,2.2669,27.0379,2.2191,11.1102,0.6,1.4816,72.9621,18457.71,1870.395,-0.1624,9.9564,9.3167,6.4220000000000015,7.7861,1012.0917,1195.921,269.46,1.4018,0.0717,0.574,1.3302,15.5739
