Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,142.05,66236178,1105716.7759999998,2.6028,22.0568,22.0568,8.5008,49.9853,29.9967,2.1231,38.7958,7.2475,54.5762,2.8,0.3854,61.2042,1306255.281,77282.0,1.7467,15.1558,6.2289,5.1021,4.83,54649.7171,59759.0,82455.0,1.2888,0.192,1.1631,4.3231,19.5999
2/28/2007,139.9,81449619,1105716.7759999998,2.5634,22.0568,22.0568,8.5008,49.9853,29.9967,2.1231,38.7958,7.2475,54.5762,2.8,0.3854,61.2042,1288527.532,77282.0,1.7467,14.9264,6.2289,5.1805,4.9042,54649.7171,59759.0,82455.0,1.2888,0.195,1.1631,4.2577,19.3032
3/30/2007,150.25,76470546,1238881.0259999998,2.5433,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,8.37,59.0779,3.2,0.4002,65.0226,1243368.093,101827.0,0.0394,12.1665,8.1896,5.5707,6.5244,63511.9174,75666.0,82455.0,2.7761,0.2183,2.866,3.6611,17.951
4/30/2007,159.8,101705897,1238881.0259999998,2.7049,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,8.37,59.0779,3.2,0.4002,65.0226,1322112.282,101827.0,0.0394,12.9398,8.1896,5.2378,6.1344,63511.9174,75666.0,82455.0,2.7761,0.2052,2.866,3.8938,19.092
5/31/2007,158.5,66955125,1238881.0259999998,2.6829,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,8.37,59.0779,3.2,0.4002,65.0226,1311393.178,101827.0,0.0394,12.8346,8.1896,5.2808,6.1848,63511.9174,75666.0,82455.0,2.7761,0.2069,2.866,3.8621,18.9367
6/29/2007,152.8,60811604,1238881.0259999998,2.5864,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,8.37,59.0779,3.2,0.4002,65.0226,1264394.028,101827.0,0.0394,12.373,8.1896,5.4777,6.4155,63511.9174,75666.0,82455.0,2.7761,0.2146,2.866,3.7232,18.2557
7/31/2007,165.8,97308785,1238881.0259999998,2.8065,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,8.37,59.0779,3.2,0.4002,65.0226,1371585.071,101827.0,0.0394,13.4257,8.1896,5.0483,5.9125,63511.9174,75666.0,82455.0,2.7761,0.1978,2.866,4.04,19.8088
8/31/2007,173.35,109273616,1238881.0259999998,2.9343,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,8.37,59.0779,3.2,0.4002,65.0226,1433838.331,101827.0,0.0394,14.0371,8.1896,4.8284,5.6549,63511.9174,75666.0,82455.0,2.7761,0.1892,2.866,4.224,20.7109
9/28/2007,193.95,199402528,1238881.0259999998,3.283,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,8.37,59.0779,3.2,0.4002,65.0226,1603694.906,101827.0,0.0394,15.7051,8.1896,4.3155,5.0543,63511.9174,75666.0,82455.0,2.7761,0.1691,2.866,4.7259,23.171999999999997
10/31/2007,238.9,344308076,1238881.0259999998,4.0438,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,8.37,59.0779,3.2,0.4002,65.0226,1974328.551,101827.0,0.0394,19.345,8.1896,3.5036,4.1033,63511.9174,75666.0,82455.0,2.7761,0.1373,2.866,5.8212,28.5424
11/30/2007,236.65,312931385,1238881.0259999998,4.0057,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,8.37,59.0779,3.2,0.4002,65.0226,1955776.255,101827.0,0.0394,19.1628,8.1896,3.5369,4.1423,63511.9174,75666.0,82455.0,2.7761,0.1386,2.866,5.7664,28.2736
12/31/2007,250.9,176400146,1238881.0259999998,4.2469,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,8.37,59.0779,3.2,0.4002,65.0226,2073274.129,101827.0,0.0394,20.3167,8.1896,3.3360000000000003,3.9071,63511.9174,75666.0,82455.0,2.7761,0.1307,2.866,6.1136,29.9761
1/31/2008,196.05,483299405,1238881.0259999998,3.3185,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,8.37,59.0779,3.2,0.4002,65.0226,1621010.383,101827.0,0.0394,15.8752,8.1896,4.2693,5.0002,63511.9174,75666.0,82455.0,2.7761,0.1673,2.866,4.7771,23.4229
2/29/2008,202.0,238673419,1238881.0259999998,3.4192,22.3605,22.3605,8.9478,55.4605,0.8222,3.6091,34.9774,8.37,59.0779,3.2,0.4002,65.0226,1670070.898,101827.0,0.0394,16.357,8.1896,4.1436,4.8529,63511.9174,75666.0,82455.0,2.7761,0.1624,2.866,4.9221,24.1338
3/31/2008,196.6,198676991,1621058.301,3.0665,19.3345,19.3345,7.9299,57.2688,28.188,2.4681,38.7408,9.06,64.1115,3.5,0.4101,61.2592,1771660.388,117495.0,1.2712,13.7968,6.6319,4.6083,5.8872,68874.5976,74699.0,82455.0,1.7392,0.1872,1.4422,4.1958,21.6998
4/30/2008,196.75,174443529,1621058.301,3.0689,19.3345,19.3345,7.9299,57.2688,28.188,2.4681,38.7408,9.06,64.1115,3.5,0.4101,61.2592,1772897.208,117495.0,1.2712,13.8074,6.6319,4.6048,5.8827,68874.5976,74699.0,82455.0,1.7392,0.1871,1.4422,4.199,21.7163
5/30/2008,172.35,200722744,1621058.301,2.6883,19.3345,19.3345,7.9299,57.2688,28.188,2.4681,38.7408,9.06,64.1115,3.5,0.4101,61.2592,1571707.866,117495.0,1.2712,12.095,6.6319,5.2567,6.7155,68874.5976,74699.0,82455.0,1.7392,0.2135,1.4422,3.6783,19.0232
6/30/2008,151.9,165442825,1621058.301,2.3693,19.3345,19.3345,7.9299,57.2688,28.188,2.4681,38.7408,9.06,64.1115,3.5,0.4101,61.2592,1403088.11,117495.0,1.2712,10.6599,6.6319,5.9645,7.6196,68874.5976,74699.0,82455.0,1.7392,0.2423,1.4422,3.2418,16.766
7/31/2008,170.35,208791375,1621058.301,2.6571,19.3345,19.3345,7.9299,57.2688,28.188,2.4681,38.7408,9.06,64.1115,3.5,0.4101,61.2592,1555216.936,117495.0,1.2712,11.9547,6.6319,5.3185,6.7944,68874.5976,74699.0,82455.0,1.7392,0.21600000000000005,1.4422,3.6356,18.8024
8/29/2008,174.9,140295897,1621058.301,2.7281,19.3345,19.3345,7.9299,57.2688,28.188,2.4681,38.7408,9.06,64.1115,3.5,0.4101,61.2592,1592733.801,117495.0,1.2712,12.274,6.6319,5.1801,6.6176,68874.5976,74699.0,82455.0,1.7392,0.2104,1.4422,3.7327,19.3046
9/30/2008,171.9,183197252,1621058.301,2.6813,19.3345,19.3345,7.9299,57.2688,28.188,2.4681,38.7408,9.06,64.1115,3.5,0.4101,61.2592,1567997.407,117495.0,1.2712,12.0635,6.6319,5.2705,6.7331,68874.5976,74699.0,82455.0,1.7392,0.2141,1.4422,3.6687,18.9735
10/31/2008,141.1,218660318,1621058.301,2.2009,19.3345,19.3345,7.9299,57.2688,28.188,2.4681,38.7408,9.06,64.1115,3.5,0.4101,61.2592,1314037.09,117495.0,1.2712,9.902,6.6319,6.421,8.2029,68874.5976,74699.0,82455.0,1.7392,0.2608,1.4422,3.0113,15.574000000000002
11/28/2008,159.45,194566054,1621058.301,2.4871,19.3345,19.3345,7.9299,57.2688,28.188,2.4681,38.7408,9.06,64.1115,3.5,0.4101,61.2592,1465341.369,117495.0,1.2712,11.1897,6.6319,5.682,7.2589,68874.5976,74699.0,82455.0,1.7392,0.2308,1.4422,3.403,17.5993
12/31/2008,180.6,177762368,1621058.301,2.817,19.3345,19.3345,7.9299,57.2688,28.188,2.4681,38.7408,9.06,64.1115,3.5,0.4101,61.2592,1639732.951,117495.0,1.2712,12.674,6.6319,5.0166,6.4088,68874.5976,74699.0,82455.0,1.7392,0.2038,1.4422,3.8544,19.9338
