Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,151.9,211655232,1869898.54,3.434,21.7832,21.7832,17.906,3.8861,-4.0667,2.1211,41.6733,11.9978,44.2346,5.0,0.8220000000000001,58.3267,1933217.96,288069.29,-0.0812,6.7671,15.5398,7.8985,11.3016,142319.2206,153976.23,14259.3,0.6249,0.0115,0.3175,2.7578,12.6607
2/28/2007,131.34,154883778,1869898.54,2.9692,21.7832,21.7832,17.906,3.8861,-4.0667,2.1211,41.6733,11.9978,44.2346,5.0,0.8220000000000001,58.3267,1669388.15,288069.29,-0.0812,5.8512,15.5398,9.1348,13.0706,142319.2206,153976.23,14259.3,0.6249,0.0133,0.3175,2.3846,10.947000000000001
3/30/2007,146.8,176417502,1883918.924,2.8239,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1757590.83,334256.42,-0.4028,5.6361,19.0179,9.2654,13.5682,165505.4019,177695.97,21388.87,1.0666,0.0085,0.8082,2.2902,10.6018
4/30/2007,152.31,154761762,1883918.924,2.9299,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1828280.535,334256.42,-0.4028,5.8476,19.0179,8.9303,13.0775,165505.4019,177695.97,21388.87,1.0666,0.0082,0.8082,2.3761,10.9997
5/31/2007,153.72,154940922,1883918.924,2.9569,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1846354.0,334256.42,-0.4028,5.9017,19.0179,8.8485,12.9577,165505.4019,177695.97,21388.87,1.0666,0.0081,0.8082,2.3981,11.1016
6/29/2007,150.92,143240862,1883918.924,2.9032,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1810528.785,334256.42,-0.4028,5.7945,19.0179,9.0122,13.1973,165505.4019,177695.97,21388.87,1.0666,0.0083,0.8082,2.3545,10.8993
7/31/2007,152.42,149220186,1883918.924,2.9321,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1829778.639,334256.42,-0.4028,5.8521,19.0179,8.9235,13.0675,165505.4019,177695.97,21388.87,1.0666,0.0082,0.8082,2.3779,11.0077
8/31/2007,143.28,152406666,1883918.924,2.7562,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1712461.479,334256.42,-0.4028,5.5011,19.0179,9.4928,13.9012,165505.4019,177695.97,21388.87,1.0666,0.0087,0.8082,2.2353,10.3476
9/28/2007,159.68,175300386,1883918.924,3.0717,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1922927.006,334256.42,-0.4028,6.1308,19.0179,8.5179,12.4735,165505.4019,177695.97,21388.87,1.0666,0.0078,0.8082,2.4911,11.532
10/31/2007,207.73,333883392,1883918.924,3.9959,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,2539457.162,334256.42,-0.4028,7.9753,19.0179,6.5479,9.5887,165505.4019,177695.97,21388.87,1.0666,0.006,0.8082,3.2406,15.0021
11/30/2007,194.59,254106510,1883918.924,3.7432,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,2370913.966,334256.42,-0.4028,7.471,19.0179,6.9899,10.2358,165505.4019,177695.97,21388.87,1.0666,0.0064,0.8082,3.0357,14.0532
12/31/2007,206.16,243982026,1883918.924,3.9657,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,2519351.755,334256.42,-0.4028,7.9151,19.0179,6.5977,9.6616,165505.4019,177695.97,21388.87,1.0666,0.006,0.8082,3.2162,14.8887
1/31/2008,164.92,316943460,1883918.924,3.1725,21.6013,21.6013,17.4448,2.3695,-19.9344,2.1113,37.3138,13.8467,51.985,5.1667,0.8076,62.6862,1990194.564,334256.42,-0.4028,6.3320000000000025,19.0179,8.2472,12.0771,165505.4019,177695.97,21388.87,1.0666,0.0076,0.8082,2.5729,11.9104
