Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,882.15,46513,26476.5988,10.5022,24.6173,24.6173,29.8843,0,-90.1344,2.0587,58.1682,42.9788,83.9964,25.0,1.214,41.8318,26177.6158,1308.2377,-1.8786,21.8884,5.4467,4.8721,4.2922,886.8819,1395.1235,324.6074,1.5056,0,1.4538,5.0528,20.5252
2/28/2007,825.95,68938,26476.5988,9.8332,24.6173,24.6173,29.8843,0,-90.1344,2.0587,58.1682,42.9788,83.9964,25.0,1.214,41.8318,24353.3244,1308.2377,-1.8786,20.4939,5.4467,5.2036,4.5843,886.8819,1395.1235,324.6074,1.5056,0,1.4538,4.7309,19.2176
3/30/2007,793.95,47812,26476.5988,9.4522,24.6173,24.6173,29.8843,0,-90.1344,2.0587,58.1682,42.9788,83.9964,25.0,1.214,41.8318,23314.5819,1308.2377,-1.8786,19.6999,5.4467,5.4133,4.769,886.8819,1395.1235,324.6074,1.5056,0,1.4538,4.5476,18.4731
4/30/2007,777.25,55472,26476.5988,9.2534,24.6173,24.6173,29.8843,0,-90.1344,2.0587,58.1682,42.9788,83.9964,25.0,1.214,41.8318,22772.4882,1308.2377,-1.8786,19.2856,5.4467,5.5296,4.8715,886.8819,1395.1235,324.6074,1.5056,0,1.4538,4.4519,18.0845
5/31/2007,771.75,60537,26476.5988,9.1879,24.6173,24.6173,29.8843,0,-90.1344,2.0587,58.1682,42.9788,83.9964,25.0,1.214,41.8318,22593.9544,1308.2377,-1.8786,19.1491,5.4467,5.569,4.9062,886.8819,1395.1235,324.6074,1.5056,0,1.4538,4.4204,17.9565
6/29/2007,755.95,83282,24538.6929,8.4273,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,27.6709,89.7029,20.0,1.1993,15.4436,24246.289,1462.7101,-0.1999,16.7762,6.0327,3.6604,5.5947,914.9339,898.2171,324.6074,0.2677,0,0.1784,4.5584,27.3193
7/31/2007,799.8,172645,24538.6929,8.9161,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,27.6709,89.7029,20.0,1.1993,15.4436,25669.6908,1462.7101,-0.1999,17.7493,6.0327,3.4597,5.2879999999999985,914.9339,898.2171,324.6074,0.2677,0,0.1784,4.8228,28.904
8/31/2007,752.85,198560,24538.6929,8.3927,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,27.6709,89.7029,20.0,1.1993,15.4436,24145.6609,1462.7101,-0.1999,16.7074,6.0327,3.6755,5.6178,914.9339,898.2171,324.6074,0.2677,0,0.1784,4.5397,27.2073
9/28/2007,740.05,440092,24538.6929,8.25,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,27.6709,89.7029,20.0,1.1993,15.4436,23730.3841,1462.7101,-0.1999,16.4233,6.0327,3.7391,5.7149,914.9339,898.2171,324.6074,0.2677,0,0.1784,4.4625,26.7447
10/31/2007,678.95,299562,24538.6929,7.5689,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,27.6709,89.7029,20.0,1.1993,15.4436,21747.0171,1462.7101,-0.1999,15.0674,6.0327,4.0755,6.2292,914.9339,898.2171,324.6074,0.2677,0,0.1784,4.0941,24.5366
11/30/2007,715.7,169546,24538.6929,7.9786,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,27.6709,89.7029,20.0,1.1993,15.4436,22939.9588,1462.7101,-0.1999,15.8829,6.0327,3.8663,5.9094,914.9339,898.2171,324.6074,0.2677,0,0.1784,4.3157,25.8647
12/31/2007,782.15,191314,24538.6929,8.7193,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,27.6709,89.7029,20.0,1.1993,15.4436,25096.9921,1462.7101,-0.1999,17.3576,6.0327,3.5378,5.4073,914.9339,898.2171,324.6074,0.2677,0,0.1784,4.7163,28.2662
1/31/2008,754.0,364164,24538.6929,8.4055,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,27.6709,89.7029,20.0,1.1993,15.4436,24183.215,1462.7101,-0.1999,16.7329,6.0327,3.6699,5.6092,914.9339,898.2171,324.6074,0.2677,0,0.1784,4.5466,27.2488
2/29/2008,730.0,68413,24538.6929,8.138,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,27.6709,89.7029,20.0,1.1993,15.4436,23404.1511,1462.7101,-0.1999,16.2003,6.0327,3.7905,5.7936,914.9339,898.2171,324.6074,0.2677,0,0.1784,4.4019,26.3815
3/31/2008,689.35,95064,24538.6929,7.6848,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,27.6709,89.7029,20.0,1.1993,15.4436,22084.6115,1462.7101,-0.1999,15.2982,6.0327,4.0141,6.1353,914.9339,898.2171,324.6074,0.2677,0,0.1784,4.1568,24.9125
4/30/2008,774.9,72963,24538.6929,8.6385,16.6855,16.6855,20.0115,0,-10.0411,1.964,84.5564,27.6709,89.7029,20.0,1.1993,15.4436,24861.6499,1462.7101,-0.1999,17.1967,6.0327,3.5709,5.4579,914.9339,898.2171,324.6074,0.2677,0,0.1784,4.6726,28.0041
