Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,52.07,825260,6308.8538,2.0305,11.5472,11.5472,7.9666,101.022,93.7972,0.9104,18.5785,4.0502,25.6447,0.75,0.6899,81.4215,6597.4076,734.0784,2.8397,6.1475,8.7458,7.778,12.0343,366.4467,351.0031,43.3315,0.282,0.4975,0.1076,1.4846,12.8562
2/28/2007,42.15,629940,6308.8538,1.6436,11.5472,11.5472,7.9666,101.022,93.7972,0.9104,18.5785,4.0502,25.6447,0.75,0.6899,81.4215,5737.4841,734.0784,2.8397,4.9761,8.7458,9.609,14.8673,366.4467,351.0031,43.3315,0.282,0.6146,0.1076,1.2017,10.4069
3/30/2007,38.93,3416460,3373.5761,1.3907,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,5451.7852,935.4151,2.2217,3.6065,17.1581,8.2603,18.9792,436.0097,278.6688,43.3315,0.2961,0.6685,0.1096,0.8905,12.107000000000001
4/30/2007,35.66,787600,3373.5761,1.2738,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,5168.1772,935.4151,2.2217,3.3033,17.1581,9.0185,20.7212,436.0097,278.6688,43.3315,0.2961,0.7298,0.1096,0.8156,11.09
5/31/2007,36.5,658980,3373.5761,1.304,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,5241.4083,935.4151,2.2217,3.3816,17.1581,8.8097,20.2415,436.0097,278.6688,43.3315,0.2961,0.7129,0.1096,0.835,11.3513
6/29/2007,44.26,1006880,3373.5761,1.5813,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,5914.1376,935.4151,2.2217,4.1008,17.1581,7.2647,16.6916,436.0097,278.6688,43.3315,0.2961,0.5879,0.1096,1.0125,13.7646
7/31/2007,49.28,1272260,3373.5761,1.7604,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,6348.5409,935.4151,2.2217,4.5652,17.1581,6.5257,14.9937,436.0097,278.6688,43.3315,0.2961,0.5281,0.1096,1.1272,15.3258
8/31/2007,44.94,769700,3373.5761,1.6056,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,5973.0691,935.4151,2.2217,4.1638,17.1581,7.1548,16.4391,436.0097,278.6688,43.3315,0.2961,0.579,0.1096,1.0281,13.9761
9/28/2007,47.7,695180,3373.5761,1.7041,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,6211.8545,935.4151,2.2217,4.4192,17.1581,6.7412,15.4887,436.0097,278.6688,43.3315,0.2961,0.5456,0.1096,1.0912,14.8344
10/31/2007,54.51,2246620,3373.5761,1.9475,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,6802.2258,935.4151,2.2217,5.0504,17.1581,5.8987,13.5531,436.0097,278.6688,43.3315,0.2961,0.4774,0.1096,1.247,16.9523
11/30/2007,53.36,2369260,3373.5761,1.9063,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,6702.1335,935.4151,2.2217,4.9434,17.1581,6.0264,13.8465,436.0097,278.6688,43.3315,0.2961,0.4877,0.1096,1.2206,16.5946
12/31/2007,67.17,2981980,3373.5761,2.3996,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,7898.9081,935.4151,2.2217,6.2228,17.1581,4.7873,10.9996,436.0097,278.6688,43.3315,0.2961,0.3874,0.1096,1.5365,20.8894
1/31/2008,52.51,2772180,3373.5761,1.8758,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,6628.2558,935.4151,2.2217,4.8644,17.1581,6.1243,14.0713,436.0097,278.6688,43.3315,0.2961,0.4956,0.1096,1.2011,16.3303
2/29/2008,43.5,2190880,3373.5761,1.5541,7.3557,7.3557,5.2188,92.9658,85.6708,0.8926,23.3242,3.2155,27.9908,0.75,0.7095,76.6758,5847.8825,935.4151,2.2217,4.0301,17.1581,7.3921,16.9842,436.0097,278.6688,43.3315,0.2961,0.5982,0.1096,0.9951,13.5282
3/31/2008,36.64,2243480,3175.1177,1.2098,7.0928,7.0928,5.1159,100.7523,89.1833,1.2427,21.9161,3.4221,30.2846,0.75,0.7213,78.0839,5515.6701,745.6293,3.1392,4.2583,13.5181,9.3405,14.0709,293.217,296.5735,43.3315,0.4619,0.8328,0.2218,0.7594,10.7069
4/30/2008,41.7,506200,3175.1177,1.3769,7.0928,7.0928,5.1159,100.7523,89.1833,1.2427,21.9161,3.4221,30.2846,0.75,0.7213,78.0839,5954.3864,745.6293,3.1392,4.8467,13.5181,8.2066,12.3627,293.217,296.5735,43.3315,0.4619,0.7317,0.2218,0.8643,12.1855
5/30/2008,41.25,294320,3175.1177,1.3621,7.0928,7.0928,5.1159,100.7523,89.1833,1.2427,21.9161,3.4221,30.2846,0.75,0.7213,78.0839,5915.3894,745.6293,3.1392,4.7944,13.5181,8.2961,12.4975,293.217,296.5735,43.3315,0.4619,0.7397,0.2218,0.855,12.054
6/30/2008,35.0,197380,3175.1177,1.1557,7.0928,7.0928,5.1159,100.7523,89.1833,1.2427,21.9161,3.4221,30.2846,0.75,0.7213,78.0839,5373.7643,745.6293,3.1392,4.0680000000000005,13.5181,9.7776,14.7292,293.217,296.5735,43.3315,0.4619,0.8718,0.2218,0.7254,10.2276
7/31/2008,32.34,307320,3175.1177,1.068,7.0928,7.0928,5.1159,100.7523,89.1833,1.2427,21.9161,3.4221,30.2846,0.75,0.7213,78.0839,5143.4654,745.6293,3.1392,3.7591,13.5181,10.581,15.9395,293.217,296.5735,43.3315,0.4619,0.9434,0.2218,0.6703,9.4503
8/29/2008,38.38,390660,3175.1177,1.2674,7.0928,7.0928,5.1159,100.7523,89.1833,1.2427,21.9161,3.4221,30.2846,0.75,0.7213,78.0839,5666.8918,745.6293,3.1392,4.4611,13.5181,8.9159,13.4312,293.217,296.5735,43.3315,0.4619,0.795,0.2218,0.7955,11.2153
9/30/2008,31.66,395440,3175.1177,1.0455,7.0928,7.0928,5.1159,100.7523,89.1833,1.2427,21.9161,3.4221,30.2846,0.75,0.7213,78.0839,5084.5366,745.6293,3.1392,3.6801,13.5181,10.8082,16.2818,293.217,296.5735,43.3315,0.4619,0.9637,0.2218,0.6562,9.2516
10/31/2008,21.05,672120,3175.1177,0.6951,7.0928,7.0928,5.1159,100.7523,89.1833,1.2427,21.9161,3.4221,30.2846,0.75,0.7213,78.0839,4164.8573,745.6293,3.1392,2.4466,13.5181,16.2572,24.4904,293.217,296.5735,43.3315,0.4619,1.4496,0.2218,0.4363,6.1512
11/28/2008,19.72,351340,3175.1177,0.6512,7.0928,7.0928,5.1159,100.7523,89.1833,1.2427,21.9161,3.4221,30.2846,0.75,0.7213,78.0839,4049.5995,745.6293,3.1392,2.292,13.5181,17.3537,26.1422,293.217,296.5735,43.3315,0.4619,1.5473,0.2218,0.4087,5.7625
12/31/2008,20.0,252800,3175.1177,0.6604,7.0928,7.0928,5.1159,100.7523,89.1833,1.2427,21.9161,3.4221,30.2846,0.75,0.7213,78.0839,4073.8643,745.6293,3.1392,2.3246,13.5181,17.1107,25.7762,293.217,296.5735,43.3315,0.4619,1.5257,0.2218,0.4145,5.8444
