Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,341.61,269859572,1108326.62,3.7316,11.3198,11.3198,10.549,45.3388,34.8125,1.1722,14.672,16.86,91.546,2.5,0.9319,85.32799999999997,2087964.484,144897.8,1.237,13.1414,11.2139,4.9879,5.7741,93842.3959,93982.3,13931.7,0.4117,0.1226,0.2283,2.2935,20.2616
2/28/2007,338.13,245834460,1108326.62,3.6935,11.3198,11.3198,10.549,45.3388,34.8125,1.1722,14.672,16.86,91.546,2.5,0.9319,85.32799999999997,2068525.047,144897.8,1.237,13.0072,11.2139,5.0393,5.8337,93842.3959,93982.3,13931.7,0.4117,0.1239,0.2283,2.2701,20.0552
3/30/2007,342.57,299434508,1909524.069,2.7991,10.6134,10.6134,10.527,46.9723,39.7431,1.2681,11.9294,20.7675,122.3873,2.75,0.9919,88.0706,2228467.79,204024.5,1.3955,9.7632,9.1554,6.0622,7.7829,127803.858,120748.3,14533.5,0.3142,0.1762,0.1806,1.7508,16.4955
4/30/2007,390.26,249977164,1909524.069,3.1887,10.6134,10.6134,10.527,46.9723,39.7431,1.2681,11.9294,20.7675,122.3873,2.75,0.9919,88.0706,2494279.452,204024.5,1.3955,11.1223,9.1554,5.3214,6.8319,127803.858,120748.3,14533.5,0.3142,0.1547,0.1806,1.9946,18.7919
5/31/2007,439.7,294649852,1909524.069,3.5927,10.6134,10.6134,10.527,46.9723,39.7431,1.2681,11.9294,20.7675,122.3873,2.75,0.9919,88.0706,2769845.67,204024.5,1.3955,12.5312,9.1554,4.7231,6.0637,127803.858,120748.3,14533.5,0.3142,0.1373,0.1806,2.2472,21.1725
6/29/2007,425.14,239216092,1909524.069,3.4737,10.6134,10.6134,10.527,46.9723,39.7431,1.2681,11.9294,20.7675,122.3873,2.75,0.9919,88.0706,2688673.8260000004,204024.5,1.3955,12.1162,9.1554,4.8849,6.2714,127803.858,120748.3,14533.5,0.3142,0.142,0.1806,2.1728,20.4714
7/31/2007,473.38,299760356,1909524.069,3.8678,10.6134,10.6134,10.527,46.9723,39.7431,1.2681,11.9294,20.7675,122.3873,2.75,0.9919,88.0706,2957551.205,204024.5,1.3955,13.4909,9.1554,4.3871,5.6324,127803.858,120748.3,14533.5,0.3142,0.1275,0.1806,2.4193,22.7943
8/31/2007,490.23,359534048,1909524.069,4.0055,10.6134,10.6134,10.527,46.9723,39.7431,1.2681,11.9294,20.7675,122.3873,2.75,0.9919,88.0706,3051473.648,204024.5,1.3955,13.9712,9.1554,4.2363,5.4388,127803.858,120748.3,14533.5,0.3142,0.1232,0.1806,2.5055,23.6056
9/28/2007,574.51,262941944,1909524.069,4.6942,10.6134,10.6134,10.527,46.9723,39.7431,1.2681,11.9294,20.7675,122.3873,2.75,0.9919,88.0706,3521294.89,204024.5,1.3955,16.3733,9.1554,3.6148,4.6408,127803.858,120748.3,14533.5,0.3142,0.1051,0.1806,2.9362,27.6639
10/31/2007,695.95,609569256,1909524.069,5.6865,10.6134,10.6134,10.527,46.9723,39.7431,1.2681,11.9294,20.7675,122.3873,2.75,0.9919,88.0706,4365611.919,204024.5,1.3955,19.8342,9.1554,2.9841,3.8311,127803.858,120748.3,14533.5,0.3142,0.0832,0.1806,3.5569,33.5115
