Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,191.0,17714166,21409.7575,2.1976,7.4505,7.4505,7.2570000000000014,121.7708,120.094,1.1171,18.8552,15.9107,86.9121,3,0.974,81.1448,19059.4741,2666.98,2.5253,4.6211,9.4759,8.3302,15.7565,1275.2183,1026.657,684.154,0.3749,0.5541,0.0255,0.8944,12.0045
2/28/2007,151.95,21281477,21409.7575,1.7483,7.4505,7.4505,7.2570000000000014,121.7708,120.094,1.1171,18.8552,15.9107,86.9121,3,0.974,81.1448,17050.115,2666.98,2.5253,3.6763,9.4759,10.470999999999998,19.8058,1275.2183,1026.657,684.154,0.3749,0.662,0.0255,0.7115,9.5502
3/30/2007,121.25,32451953,8231.0565,0.986,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,13785.0235,5755.93,0.9649,1.3916,41.755,36.0,61.0707,3187.1074,2883.417,689.055,0.7673,0.6966,0.059,0.4246,2.7778
4/30/2007,154.8,44665349,8231.0565,1.2588,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,16062.5654,5755.93,0.9649,1.7767,41.755,28.1977,47.8348,3187.1074,2883.417,689.055,0.7673,0.5456,0.059,0.5421,3.5464
5/31/2007,156.7,22788051,8231.0565,1.2743,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,16191.5469,5755.93,0.9649,1.7985,41.755,27.8558,47.2548,3187.1074,2883.417,689.055,0.7673,0.539,0.059,0.5487,3.5899
6/29/2007,171.4,22973863,8231.0565,1.3938,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,17189.4564,5755.93,0.9649,1.9672,41.755,25.4667,43.202,3187.1074,2883.417,689.055,0.7673,0.4928,0.059,0.6002,3.9267
7/31/2007,144.3,17407046,8231.0565,1.1734,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,15349.7728,5755.93,0.9649,1.6562,41.755,30.2495,51.3155,3187.1074,2883.417,689.055,0.7673,0.5853,0.059,0.5053,3.3058
8/31/2007,133.65,7749339,8231.0565,1.0868,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,14626.7976,5755.93,0.9649,1.5339,41.755,32.6599,55.4046,3187.1074,2883.417,689.055,0.7673,0.632,0.059,0.468,3.0619
9/28/2007,145.25,17095266,8231.0565,1.1811,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,15414.2636,5755.93,0.9649,1.6671,41.755,30.0516,50.9799,3187.1074,2883.417,689.055,0.7673,0.5815,0.059,0.5086,3.3276
10/31/2007,139.75,18896368,8231.0565,1.1364,15.2844,15.2844,17.5288,68.6819,66.5299,1.7749,14.1259,43.65,122.9739,6,1.1468,85.8741,15040.8961,5755.93,0.9649,1.6039,41.755,31.2343,52.9862,3187.1074,2883.417,689.055,0.7673,0.6044,0.059,0.4894,3.2016
