Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,95.45,58213630,159645.6286,11.1579,35.0222,35.0222,15.7645,115.4751,20.4673,4.5241,16.5789,3.09,8.5541,0.55,0.4501,83.4211,199839.6831,4910.3,0.6766,36.0599,3.0067,3.2375,2.4285,4132.807,5732.5,942.7,3.2344,0.0956,2.6211,10.8176,30.89
2/28/2007,86.07,51091040,159645.6286,10.0617,35.0222,35.0222,15.7645,115.4751,20.4673,4.5241,16.5789,3.09,8.5541,0.55,0.4501,83.4211,182002.8204,4910.3,0.6766,32.5171,3.0067,3.5902,2.6931,4132.807,5732.5,942.7,3.2344,0.1051,2.6211,9.7548,27.8544
3/30/2007,97.84,51325010,204319.6697,6.827999999999999,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,4.1735,14.3298,0.675,0.515,83.4211,201201.045,7296.4,-0.3641,25.1971,3.61,4.2654,3.5263,4132.807,7842.7,980.7,5.5507,0.0548,3.7206,8.6231,23.4432
4/30/2007,102.63,81774740,204319.6697,7.1616,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,4.1735,14.3298,0.675,0.515,83.4211,196273.4012,7296.4,-0.3641,26.4282,3.61,4.0667,3.3621,4132.807,7842.7,980.7,5.5507,0.0562,3.7206,9.0444,24.5909
5/31/2007,111.93,48453720,204319.6697,7.811,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,4.1735,14.3298,0.675,0.515,83.4211,215407.5522,7296.4,-0.3641,28.8245,3.61,3.7286,3.0826,4132.807,7842.7,980.7,5.5507,0.0512,3.7206,9.8644,26.8192
6/29/2007,102.55,59337560,204319.6697,7.1564,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,4.1735,14.3298,0.675,0.515,83.4211,197702.6994,7296.4,-0.3641,26.4089,3.61,4.0697,3.3645,4132.807,7842.7,980.7,5.5507,0.0558,3.7206,9.0378,24.5717
7/31/2007,93.16,65772740,204319.6697,6.5015,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,4.1735,14.3298,0.675,0.515,83.4211,180356.5471,7296.4,-0.3641,23.9921,3.61,4.4797,3.7034,4132.807,7842.7,980.7,5.5507,0.0611,3.7206,8.2107,22.3218
8/31/2007,92.94,55648640,204319.6697,6.4858,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,4.1735,14.3298,0.675,0.515,83.4211,181858.4729,7296.4,-0.3641,23.9341,3.61,4.4905,3.7124,4132.807,7842.7,980.7,5.5507,0.0606,3.7206,8.1908,22.2691
9/28/2007,96.48,43909100,204319.6697,6.7328,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,4.1735,14.3298,0.675,0.515,83.4211,188869.4859,7296.4,-0.3641,24.8458,3.61,4.3257,3.5762,4132.807,7842.7,980.7,5.5507,0.0583,3.7206,8.5028,23.1173
10/31/2007,105.5,53032710,204319.6697,7.3619,36.7848,36.7848,18.9446,39.5715,-9.4321,8.0571,16.5789,4.1735,14.3298,0.675,0.515,83.4211,206723.3332,7296.4,-0.3641,27.1673,3.61,3.9561,3.2706,4132.807,7842.7,980.7,5.5507,0.0533,3.7206,9.2973,25.2785
