Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,47.94,280855420,35359.8722,20.6203,5.6212,5.6212,9.4482,113.8666,106.3365,1.2197,17.1103,0.9205,2.3248,0.15,1.6808,82.8897,45473.7986,1581.57,1.5905,25.6279,4.1321,1.9202,3.4074,1203.8261,809.3480000000003,822.763,0.2048,0.0633,0.0338,2.8151,52.0804
2/28/2007,41.37,201688520,35359.8722,17.7953,5.6212,5.6212,9.4482,113.8666,106.3365,1.2197,17.1103,0.9205,2.3248,0.15,1.6808,82.8897,39643.2639,1581.57,1.5905,22.1169,4.1321,2.225,3.9483,1203.8261,809.3480000000003,822.763,0.2048,0.0733,0.0338,2.4294,44.943000000000005
3/30/2007,42.14,196292860,37411.3096,11.0976,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,39556.4801,2045.349,1.0488,18.1931,5.1707,2.6717,4.7976,1278.876,998.605,443.893,0.1747,0.0662,0.0444,1.7799,37.4312
4/30/2007,49.62,202461500,37411.3096,13.0681,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,46199.3391,2045.349,1.0488,21.4235,5.1707,2.2688,4.0742,1278.876,998.605,443.893,0.1747,0.0562,0.0444,2.0959,44.0753
5/31/2007,56.25,126585720,37411.3096,14.8129,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,52080.9215,2045.349,1.0488,24.2837,5.1707,2.0016,3.5943,1278.876,998.605,443.893,0.1747,0.0496,0.0444,2.3758,49.9645
6/29/2007,67.08,194235840,37411.3096,17.6656,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,61697.8636,2045.349,1.0488,28.9605,5.1707,1.6784,3.0139,1278.876,998.605,443.893,0.1747,0.0416,0.0444,2.8333,59.5843
7/31/2007,57.64,177006560,37411.3096,15.1789,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,53314.9441,2045.349,1.0488,24.8839,5.1707,1.9533,3.5077,1278.876,998.605,443.893,0.1747,0.0484,0.0444,2.4345,51.1991
8/31/2007,62.08,144426120,37411.3096,16.3495,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,57261.153,2045.349,1.0488,26.8029,5.1707,1.8135,3.2565,1278.876,998.605,443.893,0.1747,0.045,0.0444,2.6222,55.143
9/28/2007,73.45,114477480,37411.3096,19.3418,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,67348.179,2045.349,1.0488,31.7084,5.1707,1.5329,2.7527,1278.876,998.605,443.893,0.1747,0.038,0.0444,3.1021,65.2425
10/31/2007,86.19,73626760,37411.3096,22.6969,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,78658.4962,2045.349,1.0488,37.2087,5.1707,1.3063,2.3458,1278.876,998.605,443.893,0.1747,0.0324,0.0444,3.6402,76.5589
11/30/2007,76.71,45606480,37411.3096,20.2023,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,70249.0002,2045.349,1.0488,33.1191,5.1707,1.4676,2.6355,1278.876,998.605,443.893,0.1747,0.0364,0.0444,3.2401,68.1382
12/31/2007,78.12,54349720,37411.3096,20.573,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,71498.5505,2045.349,1.0488,33.7268,5.1707,1.4412,2.588,1278.876,998.605,443.893,0.1747,0.0357,0.0444,3.2996,69.3907
1/31/2008,56.86,51555020,37411.3096,14.9728,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,52619.9088,2045.349,1.0488,24.546,5.1707,1.9802,3.5559,1278.876,998.605,443.893,0.1747,0.0491,0.0444,2.4014,50.5063
2/29/2008,54.99,43938780,37411.3096,14.4804,4.7765,4.7765,9.546,73.4947,63.6341,1.1917,22.325,1.1258,3.7972,0.25,1.9985,77.675,50959.7602,2045.349,1.0488,23.7387,5.1707,2.0475,3.6769,1278.876,998.605,443.893,0.1747,0.0508,0.0444,2.3224,48.8453
3/31/2008,52.85,58756680,46919.4996,10.5248,4.9239,4.9239,10.5686,47.0781,34.6536,1.286,24.0651,1.662,5.0215,0.4,2.1464,75.9349,48464.0289,2493.471,0.6196,18.8169,5.145,3.1447,4.6042,1662.3773,1475.6370000000006,443.893,0.0618,0.0447,0.0546,1.5656,31.799
4/30/2008,62.12,55040300,46919.4996,12.3704,4.9239,4.9239,10.5686,47.0781,34.6536,1.286,24.0651,1.662,5.0215,0.4,2.1464,75.9349,56691.5301,2493.471,0.6196,22.1166,5.145,2.6756,3.9173,1662.3773,1475.6370000000006,443.893,0.0618,0.0381,0.0546,1.8402,37.3767
5/30/2008,58.97,119295180,46919.4996,11.7426,4.9239,4.9239,10.5686,47.0781,34.6536,1.286,24.0651,1.662,5.0215,0.4,2.1464,75.9349,53892.8064,2493.471,0.6196,20.9942,5.145,2.8186,4.1267,1662.3773,1475.6370000000006,443.893,0.0618,0.0401,0.0546,1.7468,35.4813
6/30/2008,49.62,62089260,46919.4996,9.8811,4.9239,4.9239,10.5686,47.0781,34.6536,1.286,24.0651,1.662,5.0215,0.4,2.1464,75.9349,45594.2801,2493.471,0.6196,17.666,5.145,3.3496,4.9042,1662.3773,1475.6370000000006,443.893,0.0618,0.0476,0.0546,1.4699,29.8556
7/31/2008,56.33,30199720,46919.4996,11.2178,4.9239,4.9239,10.5686,47.0781,34.6536,1.286,24.0651,1.662,5.0215,0.4,2.1464,75.9349,51553.5033,2493.471,0.6196,20.056,5.145,2.9505,4.3198,1662.3773,1475.6370000000006,443.893,0.0618,0.042,0.0546,1.6687,33.8929
8/29/2008,63.53,47059180,46919.4996,12.6512,4.9239,4.9239,10.5686,47.0781,34.6536,1.286,24.0651,1.662,5.0215,0.4,2.1464,75.9349,57943.3026,2493.471,0.6196,22.6186,5.145,2.6162,3.8304,1662.3773,1475.6370000000006,443.893,0.0618,0.0372,0.0546,1.8819,38.225
9/30/2008,55.58,37722180,46919.4996,11.068,4.9239,4.9239,10.5686,47.0781,34.6536,1.286,24.0651,1.662,5.0215,0.4,2.1464,75.9349,50885.4517,2493.471,0.6196,19.7881,5.145,2.9904,4.3783,1662.3773,1475.6370000000006,443.893,0.0618,0.0425,0.0546,1.6464,33.4416
10/31/2008,50.41,75390660,46919.4996,10.0389,4.9239,4.9239,10.5686,47.0781,34.6536,1.286,24.0651,1.662,5.0215,0.4,2.1464,75.9349,46297.8457,2493.471,0.6196,17.9482,5.145,3.297,4.8271,1662.3773,1475.6370000000006,443.893,0.0618,0.0469,0.0546,1.4933,30.3309
