Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,103.43,1488470,18376.3969,5.0324,5.259,5.259,6.1556,76.3082,51.8686,1.9082,41.588,3.0057,20.5518,1.25,1.1705,58.412,19305.3642,1090.613,1.6543,16.0477,5.4043,2.9061,4.7734,610.1247,508.627,423.092,0.9171,0.1517,0.3027,1.8096,34.4113
2/28/2007,101.33,1905340,18376.3969,4.9302,5.259,5.259,6.1556,76.3082,51.8686,1.9082,41.588,3.0057,20.5518,1.25,1.1705,58.412,18950.1311,1090.613,1.6543,15.7218,5.4043,2.9664,4.8723,610.1247,508.627,423.092,0.9171,0.1548,0.3027,1.7729,33.7126
3/30/2007,97.9,1729756,16566.904,4.0382,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,19347.9152,1633.936,1.7024,10.1392,8.4448,5.6446,7.8785,1169.231,935.132,423.092,0.748,0.1804,0.0624,1.3138,17.7159
4/30/2007,97.25,697992,16566.904,4.0114,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,19238.0027,1633.936,1.7024,10.0719,8.4448,5.6823,7.9312,1169.231,935.132,423.092,0.748,0.1816,0.0624,1.3051,17.5983
5/31/2007,130.57,5994904,16566.904,5.386,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,24877.1926,1633.936,1.7024,13.5233,8.4448,4.2321,5.907,1169.231,935.132,423.092,0.748,0.1353,0.0624,1.7523,23.6279
6/29/2007,129.8,2074256,16566.904,5.3541,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,24746.0744,1633.936,1.7024,13.443,8.4448,4.2574,5.9423,1169.231,935.132,423.092,0.748,0.1361,0.0624,1.7419,23.4885
7/31/2007,112.15,1667124,16566.904,4.626,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,21759.3732,1633.936,1.7024,11.615,8.4448,4.9274,6.8775,1169.231,935.132,423.092,0.748,0.1575,0.0624,1.5051,20.2946
8/31/2007,103.35,1296150,16566.904,4.263,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,20270.253,1633.936,1.7024,10.7037,8.4448,5.3469,7.4631,1169.231,935.132,423.092,0.748,0.1709,0.0624,1.3869999999999998,18.7022
9/28/2007,94.8,3200592,16566.904,3.9104,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,18823.4186,1633.936,1.7024,9.8182,8.4448,5.8292,8.1362,1169.231,935.132,423.092,0.748,0.1863,0.0624,1.2722,17.155
10/31/2007,92.4,11886890,16566.904,3.8114,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,18417.2954,1633.936,1.7024,9.5696,8.4448,5.9806,8.3475,1169.231,935.132,423.092,0.748,0.1912,0.0624,1.24,16.7207
11/30/2007,88.75,4422296,16566.904,3.6608,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,17799.6497,1633.936,1.7024,9.1916,8.4448,6.2266,8.6908,1169.231,935.132,423.092,0.748,0.199,0.0624,1.1909999999999998,16.0602
12/31/2007,100.3,6230230,16566.904,4.1372,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,19754.1176,1633.936,1.7024,10.3878,8.4448,5.5095,7.69,1169.231,935.132,423.092,0.748,0.1761,0.0624,1.346,18.1502
1/31/2008,79.5,5566738,16566.904,3.2793,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,16234.3832,1633.936,1.7024,8.2336,8.4448,6.9510000000000005,9.702,1169.231,935.132,423.092,0.748,0.2222,0.0624,1.0669,14.3863
2/29/2008,78.5,1586048,16566.904,3.238,7.416,7.416,9.413,72.8636,67.8011,1.7342,27.1442,5.5261,24.2433,1.5,1.2693,72.8558,16065.1807,1633.936,1.7024,8.13,8.4448,7.0396,9.8256,1169.231,935.132,423.092,0.748,0.225,0.0624,1.0535,14.2053
3/31/2008,70.4,1572772,11913.2795,2.3379,9.9404,9.9404,11.6146,59.4969,36.2723,1.9696,21.989,7.96,30.1119,1.75,1.1684,78.01100000000002,13761.2583,2542.521,0.727,4.6856,18.4755,11.3068,18.0825,1990.6689,1346.767,423.092,0.9829,0.2545,0.353,0.8793,8.8442
