Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,995.15,2149821,84970.4781,11.8877,6.652,6.652,6.2448,138.7977,118.0983,1.457,9.6801,18.08,83.7123,1.75,0.9388,90.3199,136284.1443,5756.0,2.1464,21.5223,5.9113,1.8168,2.7851,2735.2089,2251.0,1244.9,0.5968,0.1172,0.3414,3.6609,55.0415
2/28/2007,888.05,2914485,84970.4781,10.6084,6.652,6.652,6.2448,138.7977,118.0983,1.457,9.6801,18.08,83.7123,1.75,0.9388,90.3199,122951.7043,5756.0,2.1464,19.206,5.9113,2.0359,3.1209,2735.2089,2251.0,1244.9,0.5968,0.1313,0.3414,3.2669,49.1178
3/30/2007,772.1,3128132,96115.5472,5.4358,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,63.05,142.041,4.0,1.1963,93.6566,110953.7641,14586.7,1.0136,6.5893,13.1466,8.166,12.7972,8232.5086,7849.1,1244.9,0.3521,0.1642,0.1286,1.9344,12.2458
4/30/2007,821.25,3539900,96115.5472,5.7818,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,63.05,142.041,4.0,1.1963,93.6566,117072.2461,14586.7,1.0136,7.0087,13.1466,7.6773,12.0313,8232.5086,7849.1,1244.9,0.3521,0.1544,0.1286,2.0576,13.0254
5/31/2007,831.5,1830370,96115.5472,5.8539,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,63.05,142.041,4.0,1.1963,93.6566,118348.2266,14586.7,1.0136,7.0962,13.1466,7.5827,11.883,8232.5086,7849.1,1244.9,0.3521,0.1525,0.1286,2.0832,13.1879
6/29/2007,900.4,2034055,96115.5472,6.339,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,63.05,142.041,4.0,1.1963,93.6566,126925.3052,14586.7,1.0136,7.6842,13.1466,7.0024,10.9737,8232.5086,7849.1,1244.9,0.3521,0.1408,0.1286,2.2559,14.2807
7/31/2007,933.4,4038491,96115.5472,6.5713,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,63.05,142.041,4.0,1.1963,93.6566,131033.3399,14586.7,1.0136,7.9658,13.1466,6.7549,10.5857,8232.5086,7849.1,1244.9,0.3521,0.1359,0.1286,2.3385,14.8041
8/31/2007,920.35,2860563,96115.5472,6.4795,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,63.05,142.041,4.0,1.1963,93.6566,129408.7989,14586.7,1.0136,7.8545,13.1466,6.8507,10.7358,8232.5086,7849.1,1244.9,0.3521,0.1378,0.1286,2.3058,14.5971
9/28/2007,1047.3,2143682,96115.5472,7.3732,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,63.05,142.041,4.0,1.1963,93.6566,145212.3879,14586.7,1.0136,8.9379,13.1466,6.0202,9.4345,8232.5086,7849.1,1244.9,0.3521,0.1211,0.1286,2.6239,16.6106
10/31/2007,997.2,3053766,96115.5472,7.0205,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,63.05,142.041,4.0,1.1963,93.6566,138975.6393,14586.7,1.0136,8.5103,13.1466,6.3227,9.9085,8232.5086,7849.1,1244.9,0.3521,0.1272,0.1286,2.4984,15.815999999999999
11/30/2007,984.25,2729743,96115.5472,6.9293,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,63.05,142.041,4.0,1.1963,93.6566,137363.5456,14586.7,1.0136,8.3998,13.1466,6.4059,10.0388,8232.5086,7849.1,1244.9,0.3521,0.1288,0.1286,2.4659,15.6106
12/31/2007,1013.5,2764700,96115.5472,7.1353,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,63.05,142.041,4.0,1.1963,93.6566,141004.7611,14586.7,1.0136,8.6494,13.1466,6.221,9.7491,8232.5086,7849.1,1244.9,0.3521,0.1251,0.1286,2.5392,16.0745
1/31/2008,873.45,3193592,96115.5472,6.1493,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,63.05,142.041,4.0,1.1963,93.6566,123570.4968,14586.7,1.0136,7.4542,13.1466,7.2185,11.3123,8232.5086,7849.1,1244.9,0.3521,0.1452,0.1286,2.1883,13.8533
2/29/2008,904.5,2156096,96115.5472,6.3679,15.7971,15.7971,18.8982,89.0116,83.3669,1.2456,6.3434,63.05,142.041,4.0,1.1963,93.6566,127435.7871,14586.7,1.0136,7.7192,13.1466,6.9707,10.924,8232.5086,7849.1,1244.9,0.3521,0.1402,0.1286,2.2661,14.3458
