Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,163.85,12145996,49094.8166,4.8009,12.0247,12.0247,7.4742,107.7432,75.2133,1.8554,9.4678,5.845,34.1289,0.5,0.6216,90.5322,70846.3823,4580.4,2.0977,12.269,7.8024,3.5673,5.6558,2735.5813,2007.3,375.5,0.7727,0.2248,0.3799,3.3665,28.0325
2/28/2007,159.18,11958182,49094.8166,4.6639,12.0247,12.0247,7.4742,107.7432,75.2133,1.8554,9.4678,5.845,34.1289,0.5,0.6216,90.5322,69099.1768,4580.4,2.0977,11.9189,7.8024,3.6721,5.8219,2735.5813,2007.3,375.5,0.7727,0.2314,0.3799,3.2704,27.2335
3/30/2007,162.32,14502688,60879.0394,4.0712,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,77355.0383,4992.7,3.3328,12.1788,6.4366,4.2896,5.488,2816.5047,2608.4,375.0,0.6997,0.3498,0.312,2.6309,23.3115
4/30/2007,165.28,11390906,60879.0394,4.1452,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,78457.553,4992.7,3.3328,12.4002,6.4366,4.213,5.3901,2816.5047,2608.4,375.0,0.6997,0.3436,0.312,2.6787,23.7366
5/31/2007,141.25,22211024,60879.0394,3.5426,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,69478.5986,4992.7,3.3328,10.5976,6.4366,4.9296,6.3068,2816.5047,2608.4,375.0,0.6997,0.402,0.312,2.2893,20.2855
6/29/2007,155.7,21412816,60879.0394,3.905,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,74884.3452,4992.7,3.3328,11.6818,6.4366,4.4721,5.7215,2816.5047,2608.4,375.0,0.6997,0.3647,0.312,2.5235,22.3607
7/31/2007,154.05,23247134,60879.0394,3.8637,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,74267.6283,4992.7,3.3328,11.558,6.4366,4.52,5.7828,2816.5047,2608.4,375.0,0.6997,0.3686,0.312,2.4968,22.1238
8/31/2007,165.98,13305806,60879.0394,4.1627,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,78724.8092,4992.7,3.3328,12.4527,6.4366,4.1953,5.3673,2816.5047,2608.4,375.0,0.6997,0.3421,0.312,2.6901,23.8371
9/28/2007,198.65,28708276,60879.0394,4.9822,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,90937.7143,4992.7,3.3328,14.9042,6.4366,3.5052,4.4845,2816.5047,2608.4,375.0,0.6997,0.2858,0.312,3.2197,28.529
10/31/2007,179.28,29201708,60879.0394,4.4963,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,92360.6786,4992.7,3.3328,13.4506,6.4366,3.884,4.9691,2816.5047,2608.4,375.0,0.6997,0.2805,0.312,2.9056,25.7472
11/30/2007,171.48,24439668,60879.0394,4.3007,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,89353.9733,4992.7,3.3328,12.8653,6.4366,4.0607,5.1952,2816.5047,2608.4,375.0,0.6997,0.2921,0.312,2.7792,24.627
12/31/2007,174.48,14787784,60879.0394,4.3759,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,90981.5532,4992.7,3.3328,13.0904,6.4366,3.9909,5.1058,2816.5047,2608.4,375.0,0.6997,0.2857,0.312,2.8278,25.0578
1/31/2008,173.18,33526472,60879.0394,4.3433,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,90428.0028,4992.7,3.3328,12.9929,6.4366,4.0208,5.1442,2816.5047,2608.4,375.0,0.6997,0.2878,0.312,2.8068,24.8711
2/29/2008,167.5,17326896,60879.0394,4.2010000000000005,11.286,11.286,6.3877,141.4684,110.9135,1.713,8.6301,6.9631,39.8716,0.6,0.5660000000000001,91.3699,88011.5423,4992.7,3.3328,12.5671,6.4366,4.1571,5.3185,2816.5047,2608.4,375.0,0.6997,0.2976,0.312,2.7148,24.0554
3/31/2008,131.07,17090354,57580.1349,2.5729,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,66474.6854,5127.8,2.0676,20.3702,7.5141,2.4651,3.4536,3062.5249,2574.9,439.3,1.011,0.281,0.3771,2.9712,40.5651
4/30/2008,161.25,13532928,57580.1349,3.1652,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,79323.4422,5127.8,2.0676,25.0597,7.5141,2.0038,2.8073,3062.5249,2574.9,439.3,1.011,0.2284,0.3771,3.6553,49.9056
5/30/2008,170.75,20537480,57580.1349,3.3517,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,83368.6184,5127.8,2.0676,26.536,7.5141,1.8923,2.6511,3062.5249,2574.9,439.3,1.011,0.2157,0.3771,3.8706,52.8458
6/30/2008,141.15,9253996,57580.1349,2.7706,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,72482.9465,5127.8,2.0676,21.9359,7.5141,2.2891,3.2071,3062.5249,2574.9,439.3,1.011,0.2537,0.3771,3.1996,43.6848
7/31/2008,170.0,13410188,57580.1349,3.3369,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,85118.7042,5127.8,2.0676,26.4195,7.5141,1.9007,2.6628,3062.5249,2574.9,439.3,1.011,0.2106,0.3771,3.8536,52.6137
8/29/2008,167.95,20929318,57580.1349,3.2967,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,84220.8427,5127.8,2.0676,26.1009,7.5141,1.9239,2.6953,3062.5249,2574.9,439.3,1.011,0.2132,0.3771,3.8071,51.9792
9/30/2008,154.78,24409954,57580.1349,3.0381,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,78492.5397,5127.8,2.0676,24.0534,7.5141,2.0876,2.9247,3062.5249,2574.9,439.3,1.011,0.2312,0.3771,3.5085,47.9032
10/31/2008,106.2,33009782,57580.1349,2.0846,7.3244,7.3244,5.1214,69.8887,47.2477,2.1315,17.0609,3.2311,50.9448,1.0,0.6992,82.9391,57204.4746,5127.8,2.0676,16.5044,7.5141,3.0425,4.2625,3062.5249,2574.9,439.3,1.011,0.337,0.3771,2.4074,32.8681
