Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE
1/31/2007,94.84,315403560,50568.3871,6.5063,31.6283,31.6283,44.3661,0.8458,-42.8898,3.6357,27.3895,7.3021,14.576,2.0,1.4027,72.6105,69818.7435,8691.778,-0.5733,8.5895,19.0071,7.6998,11.2461,5624.0767,5748.474,393.62,2.4434,0.0013,1.6433,4.1077,12.988
2/28/2007,89.15,276719600,50568.3871,6.1161,31.6283,31.6283,44.3661,0.8458,-42.8898,3.6357,27.3895,7.3021,14.576,2.0,1.4027,72.6105,65341.316,8691.778,-0.5733,8.0744,19.0071,8.191,11.9636,5624.0767,5748.474,393.62,2.4434,0.0014,1.6433,3.8614,12.2088
3/30/2007,85.17,415987320,67051.233,4.167,29.9165,29.9165,37.3449,0.0,-53.0427,5.6365,24.1851,8.2696,20.4397,1.25,1.2483,75.8149,58606.5571,9568.173,-0.9027,7.0077,16.3261,9.7092,13.6845,6185.5349,6510.129,393.62,4.3355,0.0,3.3006,3.0813,10.2992
4/30/2007,89.09,283655980,67051.233,4.3587,29.9165,29.9165,37.3449,0.0,-53.0427,5.6365,24.1851,8.2696,20.4397,1.25,1.2483,75.8149,61690.5697,9568.173,-0.9027,7.3301,16.3261,9.2823,13.0828,6185.5349,6510.129,393.62,4.3355,0.0,3.3006,3.2230000000000003,10.7732
5/31/2007,83.85,72369540,67051.233,4.1025,29.9165,29.9165,37.3449,0.0,-53.0427,5.6365,24.1851,8.2696,20.4397,1.25,1.2483,75.8149,57569.3684,9568.173,-0.9027,6.8993,16.3261,9.8617,13.8995,6185.5349,6510.129,393.62,4.3355,0.0,3.3006,3.0336,10.1395
6/29/2007,88.83,55762840,67051.233,4.3459,29.9165,29.9165,37.3449,0.0,-53.0427,5.6365,24.1851,8.2696,20.4397,1.25,1.2483,75.8149,61485.8873,9568.173,-0.9027,7.3087,16.3261,9.3094,13.1211,6185.5349,6510.129,393.62,4.3355,0.0,3.3006,3.2136,10.7418
7/31/2007,90.05,52280340,67051.233,4.4059,29.9165,29.9165,37.3449,0.0,-53.0427,5.6365,24.1851,8.2696,20.4397,1.25,1.2483,75.8149,62450.2563,9568.173,-0.9027,7.4094,16.3261,9.1828,12.9426,6185.5349,6510.129,393.62,4.3355,0.0,3.3006,3.2579,10.8893
8/31/2007,97.22,37190740,67051.233,4.7562,29.9165,29.9165,37.3449,0.0,-53.0427,5.6365,24.1851,8.2696,20.4397,1.25,1.2483,75.8149,68086.8947,9568.173,-0.9027,7.9986,16.3261,8.5065,11.9893,6185.5349,6510.129,393.62,4.3355,0.0,3.3006,3.5169,11.7563
9/28/2007,126.21,138697220,67051.233,6.1749,29.9165,29.9165,37.3449,0.0,-53.0427,5.6365,24.1851,8.2696,20.4397,1.25,1.2483,75.8149,90914.8863,9568.173,-0.9027,10.3844,16.3261,6.5521,9.2348,6185.5349,6510.129,393.62,4.3355,0.0,3.3006,4.5659,15.2619
10/31/2007,186.62,163517480,67051.233,9.1301,29.9165,29.9165,37.3449,0.0,-53.0427,5.6365,24.1851,8.2696,20.4397,1.25,1.2483,75.8149,138468.1179,9568.173,-0.9027,15.3543,16.3261,4.4313,6.2456,6185.5349,6510.129,393.62,4.3355,0.0,3.3006,6.7512,22.566999999999997
11/30/2007,172.54,110274900,67051.233,8.4412,29.9165,29.9165,37.3449,0.0,-53.0427,5.6365,24.1851,8.2696,20.4397,1.25,1.2483,75.8149,127381.8107,9568.173,-0.9027,14.1957,16.3261,4.793,6.7554,6185.5349,6510.129,393.62,4.3355,0.0,3.3006,6.2417,20.8644
