Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
12/1/2006,102.97,89.72,102.97,89.03,16467.0,-85.32319391634982,-8.64,0.3254750365562264,20.987767327318227,0.32850671229201395,0.523718470579638,1.0169613615395205,0.10143725713146302,-0.7596848544424297,-20017.394378244833,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/4/2006,93.12,86.47,95.98,84.07,48699.0,-85.32319391634982,-8.64,0.3254750365562264,20.987767327318227,0.32850671229201395,0.523718470579638,1.0169613615395205,0.10143725713146302,-0.7596848544424297,-20017.394378244833,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/5/2006,86.67,86.8,88.33,85.68,14169.0,-85.32319391634982,-8.64,0.3254750365562264,20.987767327318227,0.32850671229201395,0.523718470579638,1.0169613615395205,0.10143725713146302,-0.7596848544424297,-20017.394378244833,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/6/2006,85.33,85.48,88.67,85.0,10896.0,-85.32319391634982,-8.64,0.3254750365562264,20.987767327318227,0.32850671229201395,0.523718470579638,1.0169613615395205,0.10143725713146302,-0.7596848544424297,-20017.394378244833,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/7/2006,91.33,82.52,93.05,80.67,34326.0,-85.32319391634982,-8.64,0.3254750365562264,20.987767327318227,0.32850671229201395,0.523718470579638,1.0169613615395205,0.10143725713146302,-0.7596848544424297,-20017.394378244833,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/8/2006,85.0,88.53,93.33,76.67,959085.0,-85.32319391634982,-8.64,0.3254750365562264,20.987767327318227,0.32850671229201395,0.523718470579638,1.0169613615395205,0.10143725713146302,-0.7596848544424297,-20017.394378244833,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/11/2006,93.0,86.5,93.0,84.0,58068.0,-85.32319391634982,-8.64,0.3254750365562264,20.987767327318227,0.32850671229201395,0.523718470579638,1.0169613615395205,0.10143725713146302,-0.7596848544424297,-20017.394378244833,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/12/2006,89.28,80.88,89.28,80.33,35565.0,-85.32319391634982,-8.64,0.3254750365562264,20.987767327318227,0.32850671229201395,0.523718470579638,1.0169613615395205,0.10143725713146302,-0.7596848544424297,-20017.394378244833,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/13/2006,77.7,80.78,84.0,77.33,41361.0,-85.32319391634982,-8.64,0.3254750365562264,20.987767327318227,0.32850671229201395,0.523718470579638,1.0169613615395205,0.10143725713146302,-0.7596848544424297,-20017.394378244833,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/14/2006,83.32,82.05,86.67,78.5,888315.0,-85.32319391634982,-8.64,0.3254750365562264,20.987767327318227,0.32850671229201395,0.523718470579638,1.0169613615395205,0.10143725713146302,-0.7596848544424297,-53690.98640226314,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/15/2006,82.33,83.08,85.67,80.0,1579155.0,-85.32319391634982,-8.64,0.3254750365562264,20.987767327318227,0.32850671229201395,0.523718470579638,1.0169613615395205,0.10143725713146302,-0.7596848544424297,12817.715983722184,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/18/2006,84.0,81.6,85.67,81.0,32745.0,-85.32319391634982,-8.64,0.3254750365562264,20.987767327318227,0.32850671229201395,0.5787271140030157,1.0169613615395205,0.10143725713146302,-0.7596848544424297,-9869.478942107173,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/19/2006,80.68,82.05,83.83,80.68,208113.0,-85.32319391634982,-8.64,0.3254750365562264,20.987767327318227,0.32850671229201395,0.5864262848269561,1.0169613615395205,0.10143725713146302,-0.7596848544424297,-18946.747210228732,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/20/2006,81.5,80.53,82.67,80.0,5913.0,-85.32319391634982,-8.64,0.3009387673084723,20.987767327318227,0.32850671229201395,0.6726661432923464,1.0169613615395205,0.10143725713146302,-0.7596848544424297,-13626.77968596496,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/21/2006,81.67,81.08,82.0,80.0,5757.0,-77.16209218021753,-8.64,0.3009387673084723,20.987767327318227,0.32850671229201395,0.6964834812367116,1.0169613615395205,0.10143725713146302,-1.0158419388956337,-8944.538961404895,0.2857142857142857,-0.0002585675295214788,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/22/2006,80.75,79.48,82.32,79.03,22860.0,-83.13325330132051,-6.989999999999995,0.26324955013370566,20.987767327318227,0.32850671229201395,0.8028413623221979,1.0169613615395205,0.10143725713146302,6.575321094671712,-11506.03757662777,0.2857142857142857,-0.00015753229159000688,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/26/2006,80.67,78.98,82.63,78.5,22545.0,-86.13445378151259,-7.819999999999993,0.2439851941852454,20.987767327318227,0.32850671229201395,0.9049331527383515,1.0169613615395205,0.10143725713146302,1.1507460254987292,-11698.26081641829,0.2857142857142857,-0.00011862701961645283,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/27/2006,80.67,82.75,84.05,80.33,21756.0,-63.50540216086434,-2.730000000000004,0.3834633342344195,20.987767327318227,0.32850671229201395,0.7343118220825318,1.0169613615395205,0.10143725713146302,-1.2721647364381545,-3224.613088307533,0.35714285714285715,-9.469031034614423e-05,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
12/28/2006,82.67,83.57,85.6,82.0,24591.0,-58.58343337334938,1.0499999999999972,0.49971182972219824,20.987767327318227,0.32850671229201395,0.5416540955843914,1.0169613615395205,0.10143725713146302,-1.0077311610098474,-2515.9877750237715,0.42857142857142855,-7.849891767631153e-05,0.14569143201780774,84.18699999999998,90.78999999999999,77.58400000000002
