Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
12/1/2006,145.95,143.5,145.95,142.75,4555508.0,,,,,,,,,,,,,,,,
12/4/2006,143.5,144.45,145.5,139.0,2340845.0,,,,,,,,,,,,,,,,
12/5/2006,146.0,141.7,148.0,140.1,5357455.0,,,,,,,,,,,,,,,,
12/6/2006,142.0,140.0,144.0,138.5,5131992.0,,,,,,,,,,,,,,,,
12/7/2006,141.0,140.95,142.0,139.05,3176481.0,,,,,,,,,,,,,,,,
12/8/2006,141.8,141.2,142.6,139.4,3883855.0,,,,,,,,,,,,,,,,
12/11/2006,140.0,137.45,141.4,134.0,5554920.0,,,,,,,,,,,,,,,,
12/12/2006,136.0,131.4,138.5,125.05,6887983.0,,,,,,,,,,,,,,,,
12/13/2006,138.0,134.1,138.0,130.2,6412483.0,,,,,,,,,,247014.24133003387,,,,,,
12/14/2006,136.0,138.65,141.05,134.15,3867415.0,,,,,,,,,,578847.539597471,,,,,,
12/15/2006,141.45,140.15,142.0,137.1,6891191.0,,,,,,0.4790908929633133,,,,807029.7678368031,,,,,,
12/18/2006,140.15,139.5,142.9,135.15,3329954.0,,,,,,0.3595452131854415,,,,437223.9415957778,,,,,,
12/19/2006,139.5,135.2,140.5,134.3,4380930.0,,,0.25230254363012705,,,0.5090165147572066,,,,-822556.5605275903,,,,,,
12/20/2006,137.4,134.05,137.9,132.0,4783708.0,-60.78431372549014,,0.21195110346348595,,,0.6809363099170582,,,-0.3969554470885473,-749968.1422078676,0.35714285714285715,,,,,
12/21/2006,135.0,132.65,135.0,131.0,2648158.0,-66.88453159041391,-10.849999999999994,0.1962085421894968,,,0.8849798222673257,,,-1.2924623494546128,-342589.50215289916,0.35714285714285715,-1.5325049916901158e-06,,,,
12/22/2006,133.5,136.65,137.95,132.85,5168428.0,-49.45533769063178,-7.799999999999983,0.3584137164175969,,,0.7860848671442398,,,-1.7948753050680966,785755.4064288436,0.42857142857142855,-9.468298106329667e-07,,,,
12/26/2006,139.8,139.8,140.45,136.3,2491774.0,-22.163588390501257,-1.8999999999999773,0.4641513034383433,,,0.5059720912132946,,,-1.7335709479174226,915629.8705493757,0.42857142857142855,-7.825042435789036e-07,,,,
12/27/2006,139.8,141.85,142.9,138.25,3989765.0,-5.882352941176531,1.8499999999999943,0.5483246667898652,,,0.15598734736281017,,,1.3905144433974683,1033132.4264005504,0.5,-3.850153227548833e-07,,,,
12/28/2006,143.1,144.2,144.95,141.5,4566110.0,-3.7688442211055295,3.25,0.6078046248572854,,,-0.26562626168447423,,,4.316047653908452,1109181.9022686868,0.5714285714285714,-1.9390394078640202e-07,,,,
12/29/2006,144.2,141.05,144.8,140.55,1859144.0,-19.597989949748637,-0.14999999999997726,0.5678217553974135,57.859094758600556,,-0.3820476943945721,,,2.787837740872637,-221952.7519259621,0.5,-3.116655688806139e-07,,138.93416666666667,144.69166666666666,133.17666666666665
1/2/2007,152.0,144.6,152.0,141.0,1644289.0,-27.45825602968462,7.150000000000006,0.725646999759109,118.88762676519613,,-0.7022845033760632,,,0.4788973041450883,-475678.50863643596,0.5714285714285714,1.8300966006929443e-06,,139.02416666666667,145.17166666666668,132.87666666666664
1/3/2007,146.5,145.05,147.35,144.05,2414754.0,-31.88073394495406,13.650000000000006,0.7256469997591091,105.31756904758846,,-0.9720316030209233,,,-inf,-656796.7285265959,0.5714285714285714,2.5784056730988707e-06,,139.14916666666667,145.13666666666668,133.16166666666666
