Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
12/1/2006,57.0,57.77,66.55,55.4,1866960.0,,,,,,,,,,,,,,,,
12/4/2006,59.0,57.76,65.4,57.11,1306450.0,,,,,,,,,,,,,,,,
12/5/2006,58.01,58.28,61.1,58.01,339590.0,,,,,,,,,,,,,,,,
12/6/2006,59.6,57.79,59.6,57.0,224400.0,,,,,,,,,,,,,,,,
12/7/2006,56.8,56.8,58.5,56.4,82790.0,,,,,,,,,,,,,,,,
12/8/2006,57.4,55.77,57.99,55.11,53400.0,,,,,,,,,,,,,,,,
12/11/2006,55.6,56.03,60.0,55.1,149430.0,,,,,,,,,,,,,,,,
12/12/2006,55.8,50.5,57.47,50.45,137640.0,,,,,,,,,,,,,,,,
12/13/2006,49.0,50.49,53.2,49.0,189430.0,,,,,,,,,,102535.21513127972,,,,,,
12/14/2006,50.7,52.42,54.5,50.66,177140.0,,,,,,,,,,101850.64113399867,,,,,,
12/15/2006,53.8,52.91,54.0,52.5,53630.0,,,,,,0.6230500587770678,,,,88831.99022191162,,,,,,
12/18/2006,53.8,53.39,54.9,53.0,64800.0,,,,,,0.5762145295268297,,,,70862.94668168823,,,,,,
12/19/2006,53.5,51.87,53.99,51.51,55660.0,,,0.30963450311454627,,,0.6196983285126549,,,,56447.43083730875,,,,,,
12/20/2006,51.7,51.67,53.6,51.22,33630.0,-84.78632478632477,,0.29720782419950514,,,0.6557891777460227,,,-0.9805153122554721,50968.675551086955,0.35714285714285715,,,,,
12/21/2006,51.0,51.26,52.0,50.0,40680.0,-86.21951219512198,-6.510000000000005,0.2487486321533466,,,0.6989699126065645,,,-1.0096014948611682,53684.90907372677,0.35714285714285715,-2.768255682564823e-05,,,,
12/22/2006,51.2,51.31,52.49,50.6,22470.0,-80.90909090909089,-6.449999999999996,0.301526294253209,,,0.7199174128825518,,,-0.9800610386188497,44761.502677194236,0.35714285714285715,-2.4535099803206262e-05,,,,
12/26/2006,52.74,52.25,53.0,51.0,84660.0,-70.45454545454545,-6.030000000000001,0.35587128690183684,,,0.6687872069302259,,,-1.240418894830659,45318.4355416568,0.42857142857142855,-2.2662419000311346e-05,,,,
12/27/2006,52.5,52.67,53.48,52.1,11750.0,-66.63636363636361,-5.119999999999997,0.40605626579932014,,,0.5949386157677665,,,-0.9601279943896419,34085.77399553992,0.5,-1.4996420647391871e-05,,,,
12/28/2006,53.9,53.18,54.0,52.81,193230.0,-62.0,-3.6199999999999974,0.45876659110341256,,,0.49823301492748584,,,1.5261942287719201,4054.2950835057054,0.5714285714285714,-1.3185847053624782e-05,,,,
12/29/2006,53.5,54.16,54.68,53.01,55840.0,-53.09090909090912,-1.6100000000000065,0.5226827927389585,-12.329738860960253,,0.35380447021602635,,,-1.227223993248088,21065.167742792546,0.6428571428571429,-8.778821937148912e-06,,54.512000000000015,57.93499999999999,51.089000000000006
1/2/2007,56.08,53.55,56.08,53.3,34840.0,-46.28099173553722,-2.480000000000004,0.6272529208856854,1.8795076089662686,,0.27833170566018595,,,-0.7894018503215279,10416.999129985248,0.6428571428571429,-6.3049576779818496e-06,,54.23216666666667,57.23666666666666,51.22766666666668
1/3/2007,53.41,53.41,53.78,52.6,61180.0,-37.711864406779696,2.9099999999999966,0.5568692811414626,-17.456937644804594,,0.22597414145209171,,,-1.414591928048656,21350.004822869072,0.6428571428571429,4.707068500739115e-06,,53.89083333333334,56.53983333333332,51.24183333333334
1/4/2007,53.3,53.17,54.0,50.2,108640.0,-47.861842105263115,2.6799999999999997,0.38566889187179604,-35.42594139119777,,0.1989945286440431,,,-5.144618291806161,36001.241799724026,0.6428571428571429,6.513166073579891e-06,,53.557166666666674,56.24166666666665,50.87266666666668
1/5/2007,53.05,54.15,55.5,52.51,195920.0,-31.743421052631582,1.7299999999999969,0.4971534854101142,26.261855606056045,,0.10831931848842657,,,-1.7815920460244232,25339.785189462436,0.6428571428571429,6.2981473405000485e-06,,53.35333333333333,56.05733333333332,50.649333333333345
1/8/2007,52.5,54.79,57.0,52.5,291990.0,-31.571428571428584,1.8800000000000026,0.5842154729820421,65.26274483936677,,-0.007950218412673848,,,-1.1358957965902385,14291.143126547526,0.6428571428571429,5.7797220633662155e-06,,53.22983333333333,56.053833333333316,50.40583333333335
1/9/2007,55.01,55.02,56.39,54.9,165510.0,-28.285714285714242,1.6300000000000026,0.5842154729820421,100.75509718920361,0.14699694888366985,-0.11451679608985188,,,2.515149450698307,-37217.659216943764,0.6428571428571429,4.889188186834517e-06,,53.18716666666667,55.94166666666665,50.43266666666668
1/10/2007,55.0,54.53,57.0,53.6,97120.0,-35.28571428571427,2.6600000000000037,0.4869375467918574,102.98349733377437,0.12836812660036087,-0.16147682068357483,,,1.103482251207503,-24776.527267299072,0.6428571428571429,7.84559099328633e-06,,53.08716666666667,55.76666666666665,50.40766666666668
1/11/2007,55.0,55.03,55.98,54.25,87780.0,-28.142857142857125,3.3599999999999994,0.48693754679185736,93.79050678956904,0.11563860762486979,-0.23196321673082565,,,-1.8155378135939617,-6203.193301415482,0.7142857142857143,9.303862607827857e-06,,53.201166666666666,55.61616666666665,50.78616666666668
1/12/2007,54.14,55.01,55.38,54.14,69390.0,-29.26470588235298,3.75,0.4779717554260153,75.7334718617054,0.15044710779697495,-0.2828197006322313,,,-6.00732846265845,13584.164226984043,0.7142857142857143,1.3802268346549013e-05,,53.39849999999999,55.66549999999999,51.1315
1/15/2007,51.7,55.04,56.1,51.7,52770.0,-28.82352941176473,3.729999999999997,0.3248724317092098,41.70305164763276,0.1796523454375053,-0.32141782246925743,,,0.29196572385799585,20237.385849606697,0.6428571428571429,5.405944703098437e-06,,53.486166666666655,55.78116666666665,51.191166666666675
1/16/2007,52.6,54.11,55.39,52.6,180090.0,-42.50000000000003,1.8599999999999994,0.3248724317092098,26.330562047161145,0.19183824178768125,-0.2798224835512997,,,-8.265126973232704,17144.019830929603,0.5714285714285714,4.743293721208601e-06,,53.530999999999985,55.890499999999975,51.17150000000001
