Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
12/1/2006,34.85,36.54,37.21,34.7,5944257.0,,,,,,,,,,,,,,,,
12/4/2006,36.67,37.15,37.85,36.67,13499904.0,,,,,,,,,,,,,,,,
12/5/2006,37.27,36.69,37.42,36.08,3112494.0,,,,,,,,,,,,,,,,
12/6/2006,36.52,36.0,37.12,35.39,2919774.0,,,,,,,,,,,,,,,,
12/7/2006,35.48,37.61,37.78,35.45,11838981.0,,,,,,,,,,,,,,,,
12/8/2006,37.7,36.69,38.12,36.24,11751696.0,,,,,,,,,,,,,,,,
12/11/2006,36.94,36.82,38.12,35.76,24176394.0,,,,,,,,,,,,,,,,
12/12/2006,36.79,35.25,37.76,34.55,16442283.0,,,,,,,,,,,,,,,,
12/13/2006,35.33,37.51,37.88,34.04,11342760.0,,,,,,,,,,1730596.7309163837,,,,,,
12/14/2006,37.61,39.09,39.82,36.97,18155610.0,,,,,,,,,,3395684.794278595,,,,,,
12/15/2006,40.0,38.82,40.3,38.64,19295826.0,,,,,,-0.1938320908063247,,,,-3358332.4040816855,,,,,,
12/18/2006,39.36,39.83,40.15,37.88,9132255.0,,,,,,-0.30089310380375167,,,,746916.9716454684,,,,,,
12/19/2006,39.85,38.5,40.13,37.94,9681441.0,,,0.5021778774035611,,,-0.3011717144177908,,,,-1092263.7724740386,,,,,,
12/20/2006,38.48,37.99,39.09,37.58,7987782.0,-36.90095846645361,,0.4566239908831632,,,-0.2679110189985323,,,-2.317311942365529,-1403701.741469989,0.5,,,,,
12/21/2006,37.82,37.93,38.61,36.58,5382234.0,-37.859424920127765,1.3900000000000006,0.35376759287431686,,,-0.23584866929960668,,,-1.705781038591801,277025.24991451047,0.5,-3.7538552373994705e-08,,,,
12/22/2006,38.15,38.1,39.03,37.64,5629503.0,-35.14376996805106,0.9500000000000028,0.4173685573371818,,,-0.21886603904687263,,,5.829173430482861,-208066.82190030057,0.5,-3.2635089931214006e-08,,,,
12/26/2006,38.03,38.5,38.91,37.94,4845951.0,-28.753993610223606,1.8100000000000023,0.41736855733718176,,,-0.22795212694116174,,,-1.8706131715139214,441404.9068034288,0.5714285714285714,-1.5664966495949263e-08,,,,
12/27/2006,38.64,40.82,41.09,38.52,9237459.0,-3.8297872340425956,4.82,0.6532178958273842,,,-0.3783878925790205,,,-0.27838764646830955,2715394.240068954,0.6428571428571429,3.270860489525621e-08,,,,
12/28/2006,41.48,40.16,41.48,39.58,10508718.0,-17.74193548387098,2.549999999999997,0.6799603097002047,,,-0.4470585785524932,,,-0.3318729086401928,-184842.0332456594,0.6428571428571429,3.701081551486947e-08,,,,
12/29/2006,40.15,40.78,41.15,39.76,3903075.0,-9.40860215053758,4.090000000000003,0.6799603097002047,118.22858056325633,,-0.5350058480996651,,,-1.742360216148864,512015.0315772252,0.6428571428571429,2.8646768146250013e-08,,37.96183333333333,40.01733333333333,35.90633333333333
1/2/2007,40.7,41.08,41.42,39.85,4679796.0,-5.376344086021488,4.259999999999998,0.7011986901378819,112.82957647418395,,-0.6163918141040412,,,-1.286142004225448,1010589.4552098138,0.7142857142857143,3.4633558081400424e-08,,38.1935,40.202000000000005,36.184999999999995
1/3/2007,41.36,40.42,41.36,39.82,5470179.0,-14.24731182795693,5.170000000000002,0.6952832816722186,90.74992525300814,,-0.6277868160072586,,,-1.1318895910589815,-98170.98148331998,0.7142857142857143,4.4675384910170556e-08,,38.358999999999995,40.38550000000001,36.332499999999996
1/4/2007,40.85,40.45,41.03,39.85,3839880.0,-21.02040816326519,2.940000000000005,0.6952832816722188,78.43845629137269,,-0.6312198076028466,,,-0.9926500420327663,-139460.00556909564,0.6428571428571429,4.609827692795584e-08,,38.544666666666664,40.563166666666675,36.52616666666667
1/5/2007,40.3,39.66,40.7,39.25,4141995.0,-37.14285714285716,0.5699999999999932,0.5677492663824449,49.44724317474047,,-0.5721256571924798,,,-0.8809077558696017,-734134.4319519307,0.5714285714285714,7.168198232591819e-09,,38.72966666666667,40.734166666666674,36.72516666666666
1/8/2007,39.7,39.02,39.85,37.68,1466718.0,-50.20408163265295,0.20000000000000284,0.3653917643346674,1.1343502593357244,,-0.4749611335569739,,,-0.9474325043966593,-230461.2163488202,0.5,-1.2730812206619055e-07,,38.82483333333333,40.82133333333334,36.828333333333326
1/9/2007,39.09,38.68,39.39,38.33,3942642.0,-57.1428571428571,-1.1499999999999986,0.3653917643346674,-5.364338411869536,0.2721670504217108,-0.369883684415079,,,-0.7169231765391763,-537611.0988156538,0.42857142857142855,-1.174052386172201e-07,,38.914,40.86950000000001,36.958499999999994
1/10/2007,38.94,38.52,39.7,38.06,1459623.0,-60.408163265306015,0.020000000000003126,0.4197580550512952,-12.321955285850642,0.2785644638781137,-0.2723502398170865,,,-0.8244378060964119,-392578.8457450198,0.42857142857142855,-1.1612327889579895e-07,,39.007,40.92650000000001,37.08749999999999
1/11/2007,38.64,38.76,39.09,37.36,2503677.0,-55.510204081632644,0.769999999999996,0.34316185006773686,-43.3477697200464,0.24909110761385475,-0.21028723206335087,,,-0.12828476929236535,397648.8892861393,0.42857142857142855,-1.3899950944648823e-07,,39.134499999999996,40.980000000000004,37.288999999999994
1/12/2007,39.09,39.81,40.53,38.97,3836646.0,-40.533980582524165,1.8800000000000026,0.5416765434349666,33.358213015327095,0.22450165541607878,-0.23510903276884676,,,-1.1550441072286153,286437.9629358393,0.5,-7.477263227767481e-08,,39.299166666666665,41.030666666666676,37.56766666666666
1/15/2007,39.22,39.22,40.45,38.97,5172156.0,-54.854368932038824,1.1199999999999974,0.5416765434349667,14.46362516081767,0.1928724249652446,-0.20890599348251015,,,-5.570223429828152,-967090.225424957,0.42857142857142855,-8.864133626405223e-08,,39.34516666666666,41.00816666666667,37.68216666666666
1/16/2007,38.82,38.81,39.64,38.64,2923635.0,-64.80582524271836,0.3100000000000023,0.4959450765017034,-21.762439591043936,0.1829044751625065,-0.15603397144555942,,,-1.2644549189802698,-916512.5836939965,0.35714285714285715,-1.0385403749788607e-07,,39.33399999999999,40.964000000000006,37.70399999999999
1/17/2007,38.94,39.64,40.15,38.55,3198789.0,-44.660194174757216,-1.1799999999999997,0.5619006967091406,7.490685015677435,0.18498126872738907,-0.1740142355079044,,,-1.28331250760662,169580.57771826762,0.35714285714285715,-1.2377525181624718e-07,0.06325338167149705,39.342,40.938500000000005,37.74549999999999
1/18/2007,40.15,39.56,40.46,39.09,2836284.0,-45.81280788177336,-0.5999999999999943,0.5987266260396112,22.928023066804517,0.2022970634871255,-0.18013352926833903,,,-1.48774424130518,-53330.5061379415,0.35714285714285715,-1.1847492527720568e-07,0.057935846325659505,39.38433333333333,40.93983333333334,37.82883333333333
1/19/2007,39.7,39.5,40.39,36.76,1917531.0,-41.20171673819743,-1.2800000000000011,0.34628634556579524,-39.78876214970886,0.2170449347097904,-0.17837177955401273,,,-0.6316249388016434,454171.03554319276,0.2857142857142857,-2.7882931938911665e-07,0.05013514117007442,39.4175,41.07900000000001,37.75599999999999
1/22/2007,39.85,39.62,39.85,38.98,1877997.0,-37.82608695652177,-1.4600000000000009,0.34628634556579524,-1.9183099584765224,0.21289972335149235,-0.18391954026017743,,,-1.7328241351382019,591118.2458895697,0.2857142857142857,-2.553471226627853e-07,0.0418643629718679,39.50633333333333,41.10983333333334,37.902833333333334
1/23/2007,39.45,39.48,40.27,38.64,4062300.0,-36.2997658079626,-0.9400000000000048,0.40635477082292154,-9.263941414433171,0.21300740968217943,-0.17561342227764953,,0.06192990507419284,0.9146471601770596,351520.8663049521,0.2857142857142857,-2.5329578619426313e-07,0.027729160771411167,39.56666666666666,41.182166666666674,37.951166666666666
1/24/2007,39.69,41.76,42.29,39.39,10152384.0,-9.58408679927669,1.3099999999999952,0.6068386612630335,124.421566092519,0.2370339218690186,-0.3393061421541361,,0.1114922717868502,-4.579362992723893,2230781.543900228,0.35714285714285715,-2.2174460377351834e-07,0.03408099160642567,39.701499999999996,41.41350000000001,37.9895
1/25/2007,41.89,42.78,43.76,40.61,11500401.0,-13.999999999999954,3.1200000000000045,0.6936979509535492,175.3433458519556,0.2576585384177588,-0.5408512617242991,,0.16715065633536808,11.603533709653437,2129638.384257477,0.42857142857142855,-1.8380288424427244e-07,0.047321934987634644,39.81349999999999,41.554500000000004,38.0725
1/29/2007,42.79,42.42,43.39,41.06,3603006.0,-19.14285714285709,3.3999999999999986,0.6936979509535491,142.07764168417134,0.2753861979741082,-0.6649653690754178,,0.19927333565790095,-1.450390987792631,704398.9927951512,0.42857142857142855,-5.408469616248877e-08,0.05748285465842369,39.90766666666666,41.670166666666674,38.14516666666667
1/31/2007,42.55,41.77,42.73,41.21,3914691.0,-28.428571428571352,3.0900000000000034,0.6936979509535491,107.45214444290676,0.281113459215602,-0.7048235130263194,,0.2074071631934388,0.6076242338038689,-462252.48554337677,0.42857142857142855,-6.298133151007294e-08,0.0652569447773195,39.97466666666666,41.74366666666667,38.205666666666666
2/1/2007,41.76,41.28,42.15,40.98,3595317.0,-35.42857142857138,2.759999999999998,0.6587195277380624,79.16109110085155,0.29258479963874484,-0.6903859699740948,,0.20171951516730388,-2.131123975638796,-1126966.1466130451,0.42857142857142855,-7.400047445439637e-08,0.06898405143996464,40.00899999999999,41.758,38.26
2/2/2007,41.69,41.67,42.45,41.42,2734248.0,-29.857142857142804,2.9100000000000037,0.6827917206977664,91.34271625296728,0.31518827469286603,-0.7011454157027543,,0.20350663392959858,-5.767252671526964,-1186781.2118158524,0.5,-3.1716580728255724e-08,0.07680615265848903,40.07466666666666,41.79816666666667,38.351166666666664
2/5/2007,41.52,42.67,43.09,41.02,8989134.0,-15.57142857142852,2.8599999999999994,0.7297190906060779,101.08456417496782,0.37254304859810805,-0.7786135543342354,,0.22034975532179382,-2.559612275340807,1043622.2532092317,0.5,-7.40336865993679e-08,0.08895592556319622,40.165499999999994,41.9335,38.3975
2/6/2007,42.25,45.8,47.12,41.02,27659577.0,-12.741312741312743,6.579999999999998,0.8697357827566669,166.0680407562563,0.43544698379622204,-1.072228105570602,9.178232193816932,0.27720567611290464,-9.130639583606195,5153269.62252393,0.5714285714285714,-4.1474339233734914e-08,0.12487792716905909,40.40433333333333,42.404833333333336,38.40383333333334
2/7/2007,45.8,50.43,51.27,45.52,44562375.0,-5.789110957960049,11.619999999999997,0.9193679401769327,214.08439689375163,0.4933524249794776,-1.6485029916426015,11.893931118595365,0.3694508693848739,26.20202833806368,11409906.265822282,0.6428571428571429,1.2313436411485192e-08,0.19075663209621524,40.915499999999994,43.095000000000006,38.736000000000004
2/8/2007,50.61,50.81,53.13,46.97,28228761.0,-14.172266340867438,11.170000000000002,0.9326403707391318,181.23867975280254,0.5433879052353712,-2.110405352546131,14.676834989803998,0.4334118768114565,-8.824508903889786,5112596.490605906,0.6428571428571429,3.060698252229797e-08,0.24533846222226283,41.490666666666655,43.92516666666667,39.05616666666667
2/9/2007,50.76,48.38,51.55,48.18,16059945.0,-29.016493585827725,8.82,0.9326403707391319,135.42689112308062,0.550717367419356,-2.2589603427908145,16.206169600682834,0.4283402282122008,-15.483152545329789,-4647807.823123628,0.5714285714285714,1.3170811430713652e-08,0.27146862810444605,42.02116666666666,44.542166666666674,39.50016666666667
