Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
12/1/2006,191.0,195.0,195.73,190.03,387180.0,,,,,,,,,,,,,,,,
12/4/2006,196.0,194.63,196.0,193.05,447272.0,,,,,,,,,,,,,,,,
12/5/2006,194.5,196.28,198.48,193.75,675646.0,,,,,,,,,,,,,,,,
12/6/2006,196.5,191.55,197.2,190.0,499456.0,,,,,,,,,,,,,,,,
12/7/2006,193.5,189.45,193.5,189.0,594188.0,,,,,,,,,,,,,,,,
12/8/2006,192.45,186.78,192.45,186.0,326446.0,,,,,,,,,,,,,,,,
12/11/2006,189.45,181.07,189.5,178.5,651440.0,,,,,,,,,,,,,,,,
12/12/2006,180.5,177.78,185.0,173.5,634446.0,,,,,,,,,,,,,,,,
12/13/2006,182.45,185.0,187.0,173.05,555150.0,,,,,,,,,,154931.4933587166,,,,,,
12/14/2006,186.5,187.68,189.25,180.8,482678.0,,,,,,,,,,187100.27696773363,,,,,,
12/15/2006,189.95,191.28,192.5,186.28,453480.0,,,,,,0.5650648136354164,,,,173611.35626247467,,,,,,
12/18/2006,192.0,190.45,192.0,184.0,448198.0,,,,,,0.3328116988997749,,,,151146.92153456726,,,,,,
12/19/2006,190.0,185.8,191.95,185.25,413964.0,,,0.36113622906584436,,,0.418821604494525,,,,-60847.31149445466,,,,,,
12/20/2006,189.45,187.73,189.45,179.5,412006.0,-42.27290601651596,,0.2540328169782566,,,0.3659061361646252,,,-0.06403947559874636,47647.4240075144,0.35714285714285715,,,,,
12/21/2006,187.15,187.78,189.0,176.2,237184.0,-42.07628784899724,-7.219999999999999,0.21233222979441932,,,0.3183642258203463,,,5.029290156027921,63284.142142196506,0.35714285714285715,-2.1102639978050398e-05,,,,
12/22/2006,188.75,190.93,191.9,187.5,316594.0,-29.689343295320448,-3.6999999999999886,0.3247309033006218,,,0.08724176620228263,,,2.755027323345353,59092.14982381828,0.35714285714285715,-1.4829381906110199e-05,,,,
12/26/2006,193.45,195.0,195.5,187.75,501450.0,-9.109730848861245,-1.2800000000000011,0.4393292648223522,,,-0.3419741158526506,,,-2.5356106342205535,132933.0963912143,0.35714285714285715,-1.3499375007626784e-05,,,,
12/27/2006,196.48,199.48,200.0,194.0,624486.0,-1.9294990723562542,7.929999999999978,0.5495791078091503,,,-0.9489493285630601,,,-2.0860236154213703,175618.8857165381,0.42857142857142855,-7.220952386689204e-06,,,,
12/28/2006,199.0,195.0,202.45,193.63,879902.0,-25.340136054421748,5.550000000000011,0.599101945029659,,,-1.1164865939481672,,,1.4508052557776134,-175812.41520113082,0.42857142857142855,-5.2050813321413545e-06,,,,
