Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
12/1/2006,568.85,559.15,568.95,541.6,3689.0,,,,,,,,,,,,,,,,
12/4/2006,553.0,563.35,583.0,551.0,82248.0,,,,,,,,,,,,,,,,
12/5/2006,586.6,560.15,586.6,558.0,3487.0,,,,,,,,,,,,,,,,
12/6/2006,565.0,564.45,571.95,560.0,7500.0,,,,,,,,,,,,,,,,
12/7/2006,556.7,576.05,581.0,551.0,66217.0,,,,,,,,,,,,,,,,
12/8/2006,574.0,580.6,592.0,560.55,9896.0,,,,,,,,,,,,,,,,
12/11/2006,581.0,563.6,590.95,550.0,4729.0,,,,,,,,,,,,,,,,
12/12/2006,560.0,542.45,572.8,537.1,7032.0,,,,,,,,,,,,,,,,
12/13/2006,535.0,549.0,552.9,531.05,2064.0,,,,,,,,,,-1860.8437213183502,,,,,,
12/14/2006,555.0,555.35,557.0,538.05,5524.0,,,,,,,,,,-338.8752710490421,,,,,,
12/15/2006,570.0,550.9,570.0,547.0,2969.0,,,,,,1.5720852794509028,,,,-1624.7792237485262,,,,,,
12/18/2006,550.0,560.0,567.95,550.0,3023.0,,,,,,1.2496267947719844,,,,-1294.4221346161057,,,,,,
12/19/2006,560.0,550.55,560.0,550.0,1791.0,,,0.6197074675465416,,,1.527719241683485,,,,-1626.5936278556765,,,,,,
12/20/2006,555.0,553.4,558.9,536.65,2915.0,-63.33059885151763,,0.43864132529954986,,,1.5508581714465208,,,0.40996404875600434,-667.1601115208832,0.5,,,,,
12/21/2006,557.0,550.5,557.0,540.55,2508.0,-68.0885972108285,-8.649999999999977,0.43864132529954986,,,1.7206115999050553,,,-1.028033833976102,-507.5744581965279,0.5,-0.011405811755815471,,,,
12/22/2006,540.6,560.0,562.0,540.55,33858.0,-52.50205086136174,-3.3500000000000227,0.5100264478784359,,,1.2516213750717498,,,-10.29688047669119,7995.145121755398,0.5,-0.011618525497989534,,,,
12/26/2006,562.0,550.0,564.5,545.3,2676.0,-68.90894175553728,-10.149999999999977,0.5435161007878264,,,1.497263946721887,,,-0.2864609289617403,1695.0828548169675,0.42857142857142855,-0.012865744279123528,,,,
12/27/2006,555.0,548.75,562.45,548.0,3164.0,-70.95980311730922,-15.700000000000045,0.5435161007878264,,,1.745818035905586,,,-1.0639137195328525,-1489.1586067994303,0.42857142857142855,-0.012039879310127065,,,,
12/28/2006,559.0,553.25,559.0,550.6,30013.0,-63.57670221493022,-22.799999999999955,0.5435161007878264,,,1.6269298082626165,,,-5.069458947510485,-5238.516072124284,0.42857142857142855,-0.012049184656713771,,,,
12/29/2006,524.0,567.05,573.0,517.25,6519.0,-32.42876526458626,-13.550000000000068,0.22640131159556706,-39.696327072238816,,0.6161203954388839,,,-4.229145402460309,-1184.993102229554,0.35714285714285715,-0.020291638753609842,,557.5791666666665,581.9641666666664,533.1941666666664
1/2/2007,560.0,550.5,567.9,542.15,51808.0,-40.35874439461883,-13.100000000000023,0.22640131159556703,-30.004467448907715,,0.9226931293422922,,,2.697579482421542,-6782.857500980934,0.42857142857142855,-0.016352730112102892,,557.4266666666665,581.7316666666665,533.1216666666664
1/3/2007,560.0,570.3,574.95,549.95,8437.0,-8.058925476603271,27.84999999999991,0.3355148100867699,59.14003707220401,,-0.17905958227402152,,,2.9922075988302503,-1020.3466129975644,0.5,-0.009151408925407927,,557.3908333333331,581.3458333333332,533.4358333333332
1/4/2007,571.6,568.3,579.7,557.1,109952.0,-18.254603682946488,19.299999999999955,0.40117676362165644,84.44506481513211,,-0.8955221903887605,,,-1.2132877400198463,-557.0401456963173,0.5714285714285714,0.0007471236628988313,,557.3966666666665,581.0516666666665,533.7416666666666
1/5/2007,570.0,566.35,571.1,560.0,5037.0,-21.3771016813451,11.0,0.40117676362165644,64.55047323141692,,-1.3073563445265108,,,-1.370035171403702,221.27360690490718,0.5,-0.0010614275324975137,,557.4141666666665,581.0266666666665,533.8016666666665
1/8/2007,565.1,566.35,574.0,562.05,3150.0,-21.3771016813451,15.450000000000045,0.44569875198829195,79.10782816296506,,-1.612241172255608,,,-3.5577606415582226,9.129501704563609,0.5,-0.006463636326085699,,557.3199999999998,580.0299999999999,534.6099999999999
1/9/2007,567.0,559.95,570.0,559.5,5343.0,-31.62530024019213,-0.049999999999954525,0.4144362499989283,60.3696147970754,0.2329644199438213,-1.3812986711492385,,,2.064654465478751,-1347.8108862144923,0.42857142857142855,-0.007124811384972891,,556.5916666666665,578.2541666666665,534.9291666666666
1/10/2007,555.0,570.1,571.95,553.0,6159.0,-15.37229783827064,19.550000000000068,0.34355928837217914,81.67091618017406,0.22046621871415015,-1.9046743020385293,,,2.3628675866043234,1343.7229162058911,0.5,-0.006039483599640259,,556.433333333333,576.9958333333332,535.8708333333332
1/11/2007,570.0,575.85,590.0,568.0,204969.0,-19.450171821305812,22.450000000000045,0.5759352798755227,160.81561049860667,0.22312533604755244,-2.7017180675442205,,,-112.59001243451587,-17889.01260212987,0.5714285714285714,-0.001973653276028661,,557.7916666666664,577.6691666666666,537.9141666666666
