Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
12/1/2006,78.78,78.31,79.52,77.55,92594.0,,,,,,,,,,,,,,,,
12/4/2006,77.08,78.34,79.97,77.08,87935.0,,,,,,,,,,,,,,,,
12/5/2006,78.06,78.16,78.78,73.35,83424.0,,,,,,,,,,,,,,,,
12/6/2006,78.04,77.27,79.03,76.85,89466.0,,,,,,,,,,,,,,,,
12/7/2006,77.79,78.76,80.51,76.88,92045.0,,,,,,,,,,,,,,,,
12/8/2006,78.53,78.73,79.52,77.89,90753.0,,,,,,,,,,,,,,,,
12/11/2006,78.53,76.16,80.51,75.22,166174.0,,,,,,,,,,,,,,,,
12/12/2006,78.88,76.09,78.88,74.63,192545.0,,,,,,,,,,,,,,,,
12/13/2006,77.55,78.16,79.99,72.68,363464.0,,,,,,,,,,50145.02278874713,,,,,,
12/14/2006,79.42,77.18,79.42,75.82,91535.0,,,,,,,,,,15035.254523621885,,,,,,
12/15/2006,77.55,75.55,78.78,75.08,272928.0,,,,,,0.1915947583507176,,,,-54177.59777426474,,,,,,
12/18/2006,77.4,76.16,77.79,74.34,291139.0,,,,,,0.22304528687300262,,,,-10937.15611922105,,,,,,
12/19/2006,77.55,75.17,77.79,73.59,330720.0,,,0.09005946311033668,,,0.29933435157892063,,,,-22148.660109629767,,,,,,
12/20/2006,76.01,75.74,76.36,74.34,70037.0,-60.91954022988521,,0.09005946311033668,,,0.3195149869485334,,,-2.2786204168508646,8792.75747964597,0.35714285714285715,,,,,
12/21/2006,76.04,76.01,76.56,74.58,41622.0,-57.4712643678161,-2.299999999999997,0.12874828754644513,,,0.3146352728377195,,,-2.643140792467057,17896.192297490627,0.42857142857142855,-8.404523763902667e-06,,,,
12/22/2006,74.48,74.73,76.04,74.43,119345.0,-73.81864623243936,-3.6099999999999994,0.12417918914898429,,,0.3846095301724546,,,-2.163039657694489,-9066.127342648353,0.35714285714285715,-8.703852268624873e-06,,,,
12/26/2006,74.34,76.16,76.53,74.34,62443.0,-55.55555555555568,-2.0,0.22751100858763879,,,0.34470677417159834,,,-1.7517982701664336,17054.523216941234,0.42857142857142855,3.234275390928709e-06,,,,
