Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
3/13/2006,71.61,70.03,71.61,69.88,1983168.0,,,,,,,,,,,,,,,,
3/14/2006,70.0,69.66,70.75,67.75,3597168.0,,,,,,,,,,,,,,,,
3/16/2006,69.0,69.74,70.25,69.0,1123216.0,,,,,,,,,,,,,,,,
3/17/2006,70.0,68.36,70.0,67.77,2540880.0,,,,,,,,,,,,,,,,
3/20/2006,67.75,67.96,69.38,67.75,2130440.0,,,,,,,,,,,,,,,,
3/21/2006,67.75,68.1,68.87,56.24,6574664.0,,,,,,,,,,,,,,,,
3/22/2006,68.01,69.03,69.32,67.51,1618328.0,,,,,,,,,,,,,,,,
3/23/2006,69.25,70.21,70.49,69.25,5020920.0,,,,,,,,,,,,,,,,
3/24/2006,70.44,71.23,71.56,70.19,2932600.0,,,,,,,,,,470731.56105037406,,,,,,
3/27/2006,69.75,71.74,71.88,69.75,1673016.0,,,,,,,,,,246596.5261679634,,,,,,
3/28/2006,70.0,70.84,72.25,70.0,964368.0,,,,,,-0.223449667778155,,,,-369892.06421669235,,,,,,
3/29/2006,71.38,70.53,71.5,70.0,1867288.0,,,,,,-0.2190533014242817,,,,-674208.4594936979,,,,,,
3/30/2006,70.0,72.04,72.61,70.0,2076728.0,,,0.3419483039225653,,,-0.2981841416218032,,,,-211400.35300829588,,,,,,
3/31/2006,72.25,73.05,73.38,70.76,2205872.0,-1.9253208868144598,,0.4073219386865064,,,-0.41207757285332036,,,-2.006666572537592,143538.5227736202,0.5,,,,,
4/3/2006,73.38,76.01,77.75,73.13,6475360.0,-8.089260808926058,5.980000000000004,0.6409210494760362,,,-0.6683637912412763,,,0.6250752460799004,258058.21213168,0.5714285714285714,-1.0928449824912239e-07,,,,
4/4/2006,76.75,76.66,77.48,70.28,7586296.0,-5.0674105067410675,7.0,0.49431094840867584,,,-0.8938538710171855,,,27.345947259997967,1603650.386860641,0.5714285714285714,-1.2598094594960216e-07,,,,
4/5/2006,76.63,75.55,77.5,75.01,2428184.0,-10.227801022780117,5.810000000000002,0.4952458637512078,,,-0.9860369842726016,,,0.149298309341138,-254082.352228523,0.5714285714285714,1.8171454077650538e-08,,,,
4/7/2006,76.51,74.36,76.6,73.25,3633208.0,-15.760111576011163,6.0,0.41697056818840006,,,-0.9695002058047351,,,-0.22508008038882546,-940786.3848568609,0.5714285714285714,-2.3033308545184843e-08,,,,
4/10/2006,74.0,73.76,74.0,72.26,2431656.0,-18.549511854951163,5.800000000000011,0.3781762159578089,,,-0.9065100119113367,,,-0.6949846649018934,-196107.03826216445,0.5714285714285714,-9.729054218646831e-08,,,,
4/12/2006,73.75,71.11,73.98,70.38,3748000.0,-64.84375000000003,3.010000000000005,0.31413617316871206,15.072862648851915,,-0.6742828725145813,,,-3.0258989061689254,-1130052.606788732,0.5714285714285714,6.621942967667868e-07,,71.18816666666666,74.23816666666666,68.13816666666665
4/13/2006,70.63,70.54,71.41,68.5,4132920.0,-77.94594594594588,1.5100000000000051,0.26278940044476273,-24.164227320005573,,-0.4490655011749425,,,-0.3964971263689234,-180575.80686545814,0.5,8.214595298880186e-08,,71.17033333333333,74.27933333333331,68.06133333333332
4/17/2006,70.54,71.56,71.88,69.44,476112.0,-66.91891891891889,1.3500000000000085,0.2959838696621683,-6.919641265621015,,-0.3377668372956464,,,-0.768899335305899,-190334.53583876166,0.5,3.145515879179709e-07,,71.249,74.32999999999998,68.16799999999998
4/18/2006,71.25,71.31,71.88,70.28,822280.0,-69.6216216216216,0.0799999999999983,0.29598386966216833,-4.034552128167574,,-0.23046068991287427,,,-0.8373083151076273,-213232.89961541578,0.5,3.393902888678649e-07,,71.32366666666665,74.42216666666664,68.22516666666664
4/19/2006,71.5,69.37,71.74,68.63,4390192.0,-90.59459459459454,-2.3699999999999903,0.24452313198788167,-36.14500082932866,,-0.01102920734348345,,,8.418366815150826,-1006682.351607878,0.42857142857142855,2.995598201165137e-07,,71.38383333333333,74.52633333333331,68.2413333333333
4/20/2006,70.5,67.48,71.13,67.13,2250584.0,-96.70433145009409,-3.3599999999999994,0.2068069065013261,-69.49976884328038,,0.29110387671370574,,,2.389818549682748,-1098243.8304496077,0.42857142857142855,1.1396407117589717e-07,,71.39466666666667,74.65566666666663,68.13366666666664
4/21/2006,66.88,67.37,68.75,66.88,6664184.0,-95.49218031278741,-3.1599999999999966,0.20084925419989663,-111.4214767122175,0.45755846978552817,0.5306114978368299,,,-3.7116830960019693,-1452582.2992981984,0.42857142857142855,1.0912436420805336e-07,,71.55783333333332,74.2808333333333,68.83483333333331
4/24/2006,67.76,66.51,67.76,65.51,2287560.0,-91.83006535947712,-5.530000000000001,0.1699010988568743,-129.65741209973135,0.488789282434226,0.7719800151662497,,,-1.1540263047562007,-539063.717266438,0.35714285714285715,-2.3599979353717656e-08,,71.45649999999999,74.20149999999997,68.71149999999997
4/25/2006,66.75,66.89,67.24,65.76,1378656.0,-88.72549019607845,-6.159999999999997,0.1699010988568743,-114.68068503183264,0.42577226313179284,0.9240127980032469,,,-0.5452612029624305,194985.0728790727,0.35714285714285715,-9.885312337412074e-08,,71.28883333333332,74.04583333333329,68.53183333333331
4/26/2006,66.66,70.26,70.91,66.25,1389232.0,-60.38365304420349,-5.75,0.46429620149998724,-49.84072709040588,0.4048826871693875,0.7889563891571356,,,-0.8290157687581863,564768.0346255816,0.35714285714285715,2.2776727090203056e-07,,71.19616666666666,74.11766666666662,68.27466666666665
4/27/2006,71.0,69.02,75.38,67.31,5625760.0,-70.72560467055887,-7.640000000000001,0.6424860887682372,-14.488708622751215,0.35626926939865594,0.76442729036836,,,1.3575410328577227,-683691.8857676497,0.42857142857142855,6.16830261477505e-07,,71.1685,74.38699999999996,67.94999999999997
4/28/2006,67.5,70.27,71.11,65.0,1452056.0,-54.568965517241395,-5.280000000000001,0.5361466656093226,-53.79792617055826,0.31528743036185,0.644991059468154,,,-1.8590570047680244,232803.29432530885,0.35714285714285715,-5.459705874561702e-07,,71.05666666666666,74.46816666666663,67.64516666666665
4/29/2006,69.38,70.11,71.11,69.38,176112.0,-50.770712909441215,-4.25,0.5361466656093226,-19.75771986356177,0.2867444839581856,0.5559865131678094,,,-1.0156092909910515,243051.30807201102,0.42857142857142855,1.0782680662344531e-06,-0.07350660655165196,71.03283333333333,74.45583333333329,67.60983333333331
5/2/2006,70.64,70.76,71.62,69.51,1073344.0,-44.50867052023114,-3.0,0.5576662868041709,-8.469499055513184,0.2729724846024759,0.4318630553817684,,,-1.0890451418031095,296943.17361381376,0.5,1.2149463087975485e-06,-0.07897753670965893,70.98683333333332,74.38483333333329,67.58883333333331
5/3/2006,70.75,72.02,72.49,70.75,1889264.0,-32.369942196531795,0.9099999999999966,0.5946789301984384,19.046972202050608,0.28095926975480845,0.23601250166588272,,,-0.4772626687956233,505096.68287177064,0.5714285714285714,1.3495273715202123e-06,-0.07434153591684209,70.95466666666665,74.30866666666662,67.60066666666664
5/4/2006,72.38,73.8,74.38,71.88,3400632.0,-15.221579961464347,3.259999999999991,0.6649531535657571,63.52202260771355,0.29387406074265926,-0.05309515840380641,,,4.189584890950004,847721.2407019938,0.6428571428571429,1.5407213864457333e-06,-0.06010594594746461,70.84083333333331,74.08883333333328,67.5928333333333
5/5/2006,74.38,73.7,75.04,72.79,1347760.0,-16.184971098265834,2.1400000000000006,0.6868310521961745,79.1803422244398,0.25856115383016903,-0.2711097430399576,,0.03764688538903067,-2.0895343429451088,249127.76535185633,0.6428571428571429,1.3762565564887342e-06,-0.04839696470288629,70.79266666666663,73.79316666666662,67.79216666666665
5/8/2006,74.75,73.23,74.88,69.03,735944.0,-20.71290944123307,1.9200000000000017,0.4805595938138797,51.44585023959706,0.228294521359717,-0.4030592929975114,,0.06059864368984978,-1.139417841268747,165576.4118508179,0.5714285714285714,2.0502586709858727e-07,-0.038670730763716535,70.61066666666663,73.77916666666661,67.44216666666664
5/9/2006,74.5,72.93,74.63,72.25,933576.0,-23.603082851637666,3.5600000000000023,0.48055959381387975,83.7872546501113,0.20231331842562414,-0.4789249878893713,,0.07458036243225047,-0.7845116887640986,-112971.78513174439,0.6428571428571429,5.207245279518763e-07,-0.022325351239175645,70.5373333333333,73.6573333333333,67.4173333333333
