Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
3/13/2006,59.33,58.37,60.02,58.2,32136651.0,,,,,,,,,,,,,,,,
3/14/2006,58.93,58.63,59.67,58.33,19279893.0,,,,,,,,,,,,,,,,
3/16/2006,58.73,57.87,59.0,57.12,36037959.0,,,,,,,,,,,,,,,,
3/17/2006,58.33,58.52,59.65,58.05,27809844.0,,,,,,,,,,,,,,,,
3/20/2006,58.45,59.07,59.33,58.45,14797200.0,,,,,,,,,,,,,,,,
3/21/2006,59.33,59.52,60.25,59.03,24480126.0,,,,,,,,,,,,,,,,
3/22/2006,59.33,58.97,59.63,58.47,11402118.0,,,,,,,,,,,,,,,,
3/23/2006,59.32,59.63,60.08,58.7,14451366.0,,,,,,,,,,,,,,,,
3/24/2006,58.7,61.85,62.17,57.85,44968518.0,,,,,,,,,,13896026.498997044,,,,,,
3/27/2006,62.0,64.32,64.63,61.43,31957065.0,,,,,,,,,,12706310.001775878,,,,,,
3/28/2006,63.67,64.33,66.0,63.1,24242115.0,,,,,,-0.5835725141044037,,,,2276766.406749538,,,,,,
3/29/2006,65.3,64.4,66.03,63.72,30652035.0,,,,,,-0.6894662093696979,,,,-4832087.828245955,,,,,,
3/30/2006,65.13,66.87,68.17,64.67,33314793.0,,,0.9272615606738802,,,-0.8983795693135406,,,,-816248.3344844109,,,,,,
3/31/2006,67.17,65.05,67.17,64.67,19596063.0,-28.235294117647094,,0.9272615606738803,,,-0.93760569575565,,,-0.4781002091754158,-5918090.627030529,0.7142857142857143,,,,,
4/3/2006,65.22,66.42,66.6,65.0,15326742.0,-15.837104072398184,8.050000000000004,0.9272615606738803,,,-1.0365231385896791,,,-2.115629549073961,443932.2678302652,0.7857142857142857,4.6804355585179e-08,,,,
4/4/2006,66.33,68.02,68.3,66.0,25701795.0,-2.5044722719141426,9.389999999999993,0.9465450478069259,,,-1.1955925870631106,,,-3.6693095076490043,5339451.120787154,0.7857142857142857,5.597963797540132e-08,,,,
4/5/2006,68.17,68.67,68.82,67.83,13606497.0,-1.3673655423882551,10.800000000000004,0.9511187340426474,,,-1.342292967601658,,,-1.8266805520406209,3729236.264277705,0.8571428571428571,6.558888298214534e-08,,,,
4/7/2006,68.0,66.55,69.5,63.67,41346183.0,-25.321888412017195,8.029999999999994,0.5314110627234814,,,-1.3044977544584526,,,-1.0820097589430142,-396933.80462122336,0.7857142857142857,4.481749358902196e-08,,,,
4/10/2006,67.33,66.37,67.93,65.52,27337104.0,-26.866952789699532,7.300000000000004,0.5314110627234814,,,-1.248038106327158,,,0.6723560717251776,-4416461.622362062,0.7857142857142857,4.552916297405827e-08,,,,
4/12/2006,66.37,64.07,67.33,63.57,41756091.0,-46.609442060085904,4.54999999999999,0.4166653119796691,39.138373399930295,,-1.039537583530631,,,18.48917915555548,-12764677.515506074,0.7142857142857143,3.465867325432341e-08,,62.852666666666664,65.19766666666666,60.50766666666667
4/13/2006,64.0,62.95,65.17,60.33,49267095.0,-56.22317596566522,3.980000000000004,0.29467852082974666,-4.428148841079562,,-0.7918867044913611,,,-0.18997106305177144,-4047670.5334779704,0.7142857142857143,1.999980923456149e-08,,63.050333333333334,65.54633333333334,60.55433333333334
4/17/2006,63.02,64.32,64.5,63.02,16738986.0,-44.463519313304786,4.689999999999991,0.2946785208297466,12.674148178004925,,-0.6826116373963771,,,-0.6693162861061964,2598857.3757526735,0.7142857142857143,2.405930864942563e-08,,63.303833333333344,65.80683333333334,60.800833333333344
4/18/2006,64.5,65.93,66.5,64.5,18646512.0,-38.931297709923584,4.080000000000005,0.43147015249631226,41.086028307027696,,-0.6991513189473437,,,-0.6888072668750971,3605334.0083302506,0.7142857142857143,3.313562359561823e-08,,63.68616666666668,66.19516666666668,61.177166666666686
4/19/2006,66.0,66.12,67.33,65.17,19965324.0,-36.85932388222459,1.8000000000000114,0.4797820155810053,47.75396716476112,,-0.7168070001520164,,,-0.34661257251832417,386730.27184632304,0.7142857142857143,1.733097632832206e-08,,64.05950000000001,66.59650000000002,61.522500000000015
4/20/2006,66.17,66.87,67.35,65.45,22342578.0,-28.680479825517942,2.5400000000000063,0.4810082141649819,50.57159495767137,,-0.7742374883354728,,,-1.8768727969156846,3301412.1633989383,0.7142857142857143,5.25409021007497e-09,,64.43983333333334,67.02783333333335,61.85183333333335
4/21/2006,67.33,66.8,68.0,65.67,29053449.0,-29.443838604143973,2.3999999999999915,0.523156737749974,52.02433644629233,0.1995448718467352,-0.8049556071489263,,,-1.1018892183686826,408669.59107272094,0.7142857142857143,5.996450142421667e-09,,64.80100000000002,67.44450000000003,62.15750000000001
4/24/2006,66.7,67.83,68.13,66.5,26580009.0,-18.211559432933495,0.9599999999999937,0.5319289982667008,66.46384096376987,0.18524838873207586,-0.8924918470140284,,,-2.2314780556840237,4796355.448880779,0.7142857142857143,-3.4949516743900096e-09,,65.22416666666668,67.89116666666669,62.55716666666668
4/25/2006,67.83,65.77,68.3,65.33,20040597.0,-40.676117775354456,0.7199999999999989,0.4466085184893449,32.46611630635031,0.1795113688881601,-0.8030445178606413,,,-2.187268491207212,-3657596.4533468625,0.7142857142857143,-4.231470656821691e-09,,65.57400000000001,68.32050000000002,62.82750000000002
4/26/2006,66.0,67.18,67.48,65.03,27538701.0,-25.29989094874583,0.7600000000000051,0.4263748557185998,32.405380204202935,0.16667372707337047,-0.8255579675635687,,,0.06945921573085023,4303354.687024988,0.7142857142857143,-6.895304347690745e-09,,65.87100000000001,68.52400000000003,63.21800000000002
4/27/2006,67.48,67.6,69.0,66.87,41300019.0,-20.719738276990242,-0.4200000000000017,0.5464914968507698,84.46992221596938,0.1853023333233733,-0.8640562501047953,,,-2.3698885141228154,-3567878.0899168914,0.7142857142857143,-9.3356368392277e-09,,66.08916666666667,68.68866666666669,63.489666666666686
4/28/2006,65.68,66.97,67.6,63.42,21206928.0,-27.58996728462378,-1.7000000000000028,0.3529392055090237,-8.538653469466071,0.1835582981334672,-0.8380370465090294,,,-30.841415786193863,2374903.937155121,0.6428571428571429,-4.9583696755771505e-08,,66.16516666666666,68.82866666666669,63.50166666666669
4/29/2006,67.47,67.92,68.47,67.37,6299961.0,-12.456747404844268,1.3700000000000045,0.41339131509258203,80.23971821717913,0.15858203385325784,-0.8779423364566412,,,-1.0,-119946.61236919789,0.7142857142857143,-2.0019699166790766e-09,0.08588680976393141,66.32533333333333,68.92833333333336,63.722333333333346
5/2/2006,68.17,69.17,69.95,68.0,32136555.0,-8.108108108108116,2.799999999999997,0.5042947444128072,118.52770212780487,0.15180537666050842,-0.9915547757853034,,,-1.2096950806426103,914039.277234314,0.7142857142857143,1.6890075759605581e-09,0.08554017339041696,66.44883333333334,68.97433333333336,63.923333333333346
5/3/2006,69.33,69.63,70.9,69.33,24636669.0,-12.015137180700183,5.560000000000002,0.5553309605111196,133.76194172272338,0.14297751181703752,-1.1031943019412154,,,-4.738371746037066,-5630116.9865205,0.7857142857142857,1.5078822255132887e-08,0.08923581900137045,66.665,69.14400000000003,64.186
5/4/2006,69.67,69.8,70.8,69.17,26994786.0,-13.959390862944264,6.849999999999994,0.5444379574828414,114.46248673603263,0.13544040879126587,-1.190510590281562,,,-1.483736162741784,-4902815.745787696,0.7857142857142857,3.346441998191996e-08,0.09450310579393399,66.86083333333335,69.34133333333337,64.38033333333334
5/5/2006,70.28,69.48,70.63,69.2,11549022.0,-18.983957219251348,5.160000000000011,0.5444379574828415,98.19146971809015,0.12084305561671534,-1.221039554128609,,0.26856691446283604,-1.8763192728509395,-4445216.466849648,0.7142857142857143,2.6466712026405583e-08,0.09879614719132433,66.97733333333335,69.41433333333336,64.54033333333334
5/8/2006,70.2,69.27,70.2,68.85,12099537.0,-21.7914438502675,3.339999999999989,0.5150167196214537,82.5218657179723,0.12022655886974488,-1.2150163164900079,,0.269533050596822,0.9019942530205727,-3072770.8099682736,0.6428571428571429,1.0027844860192602e-08,0.09816207718486707,67.02733333333335,69.48233333333336,64.57233333333332
5/9/2006,69.32,68.78,70.05,67.92,18470952.0,-28.34224598930486,2.6599999999999966,0.4418157910611002,59.35771057820983,0.11969735142960816,-1.1591758117506572,,0.26182404047203467,-1.3216518085029167,-1908902.0502032507,0.5714285714285714,-2.1582870119853326e-10,0.10036549708417236,67.14450000000002,69.41450000000002,64.87449999999998
5/10/2006,69.0,68.35,69.33,68.12,9956079.0,-34.09090909090923,1.4799999999999898,0.44181579106110025,44.92883652477188,0.13467097851448592,-1.069425860077672,,0.24817196584819912,6.070081371533622,-2091292.2882837174,0.5,-3.3840214773963076e-09,0.10142453650385849,67.24416666666669,69.45416666666668,65.03416666666666
5/11/2006,68.63,67.92,69.83,67.4,18626280.0,-39.8395721925134,1.1200000000000045,0.38536014066364355,33.07796425844644,0.17094347278529268,-0.9540538433708576,,0.2296531242237697,-1.6343514105509191,-3402020.0284143677,0.42857142857142855,-6.9009068235740925e-09,0.09742791121721582,67.41383333333336,69.55733333333335,65.27033333333333
5/12/2006,67.67,67.17,68.0,66.0,14779380.0,-49.86631016042784,-0.6599999999999966,0.29949771700880307,-23.243009577286035,0.23305430638889726,-0.7953179960237264,,0.20168443427657143,-1.1781577197105417,559992.97571223,0.35714285714285715,-2.4614006062389684e-08,0.08519266311371564,67.62583333333336,69.62733333333334,65.62433333333333
5/15/2006,66.97,63.67,67.33,62.67,26169162.0,-87.84933171324424,-2.0999999999999943,0.18584962562130922,-132.088983102131,0.2929605262997628,-0.39289558577416983,,0.1226252448064573,-1.718350570259922,-3421811.0484221755,0.35714285714285715,-4.4760062632579576e-08,0.06395094909898599,67.65633333333335,69.81683333333334,65.49583333333332
5/16/2006,64.33,64.93,65.83,61.57,35102832.0,-63.98713826366554,-2.25,0.16236623940391884,-136.06739971871397,0.2827083082975585,-0.17044303218042955,,0.07808754501926242,-2.56035067387283,6461952.320119251,0.2857142857142857,-5.247036640888859e-08,0.04660562607321742,67.57966666666667,69.85316666666668,65.30616666666666
5/17/2006,65.67,68.1,68.67,65.33,33896883.0,-30.01071811361211,0.5,0.39144024891918067,-10.8171167393479,0.29535900996740005,-0.23928025930992192,7.6913530358111775,0.08220363980306547,0.5071332344823528,10572048.642076235,0.2857142857142857,-3.5433322614290337e-08,0.04390719319222992,67.63766666666666,69.97016666666669,65.30516666666665
5/18/2006,68.67,63.72,68.67,63.03,35835030.0,-76.95605573419081,-3.25,0.31176748747359123,-92.62347193713269,0.32998898957675976,0.04883255817031795,6.146636692687297,0.03017430563216617,-inf,-4422999.802106688,0.2857142857142857,-1.422014327186472e-08,0.02306586726033368,67.56683333333334,70.08633333333334,65.04733333333331
5/19/2006,64.03,59.97,66.67,59.18,31640676.0,-93.25938566552901,-7.950000000000003,0.22379082699394615,-166.84802058673858,0.3887252627680565,0.5650029097617306,4.134723296012661,-0.04548953878147278,-4.884383512145974,-9486753.402227866,0.21428571428571427,-9.373471673993543e-08,-0.007938324682415525,67.32266666666668,70.10016666666668,64.54516666666665
5/22/2006,60.67,57.18,65.0,48.33,41618601.0,-60.78865750996899,-11.990000000000002,0.11670358131953705,-208.6636410597539,0.43949899653986807,1.1797905504047463,1.6925716219672942,-0.1218818449212046,-1.168940988795424,-1934207.7104410008,0.14285714285714285,-2.774067991264922e-07,-0.05051037147565006,66.79016666666668,70.31966666666668,63.26066666666666
5/23/2006,57.67,59.33,60.25,54.33,40155555.0,-51.045838896306186,-10.299999999999997,0.11670358131953705,-149.5196282949463,0.4638579286311573,1.480214022043306,-0.45125191819734356,-0.15192789927919206,-5.516375891974609,9318386.621494494,0.14285714285714285,-2.7601438023195066e-07,-0.08021648192575155,66.36533333333334,70.04233333333335,62.68833333333332
5/24/2006,59.7,58.03,61.78,57.0,50001747.0,-56.50224215246635,-11.769999999999996,0.18951476339681697,-114.75732885682622,0.4888100655884674,1.8000651109344759,-2.7067546609978237,-0.1824479302204146,3.049466046958753,-4783721.231143121,0.21428571428571427,-2.6111419096793874e-07,-0.11015780794744517,65.98400000000001,69.77750000000002,62.1905
5/25/2006,57.67,60.47,61.65,55.67,33503214.0,-44.490169181527214,-9.010000000000005,0.1750422913679356,-96.83653461370741,0.4868418158571115,1.8392035450368809,-4.49005057213828,-0.18065858822482317,-5.436992538357668,5388078.75717941,0.2857142857142857,-2.6980208713619913e-07,-0.12756413475142922,65.55600000000001,69.54200000000002,61.56999999999999
5/26/2006,61.33,61.07,63.45,59.57,38739801.0,-41.344383057090226,-8.199999999999996,0.262938866432503,-59.60697421122806,0.489088339848739,1.801850080036182,-6.087648276465939,-0.1737395834115708,1.4712392836648398,-189166.85622204654,0.35714285714285715,-2.463051634050983e-07,-0.14208206635045945,65.32433333333334,69.29533333333335,61.35333333333333
5/29/2006,61.33,59.32,61.98,58.7,29670978.0,-48.88372093023255,-9.46,0.24819126426884097,-72.39223397870146,0.49327709927684604,1.8892352680418085,-7.67781358959478,-0.17971920608775033,1.9903633282372988,-5529548.675624245,0.35714285714285715,-2.510957176192213e-07,-0.16136756607343317,64.92833333333334,69.00833333333335,60.848333333333336
5/30/2006,59.67,58.83,60.67,58.23,24229890.0,-51.162790697674424,-9.519999999999996,0.23980718584846994,-75.29747218118716,0.5147035938074138,1.9745723640067965,-9.258540629103456,-0.1873184420797392,0.1557094048677271,-5257827.646757024,0.35714285714285715,-2.552404357891643e-07,-0.17949921311419031,64.4385,68.54300000000002,60.334
5/31/2006,58.0,55.13,58.32,53.6,61725126.0,-66.56833824975416,-12.79,0.1732745576835336,-111.6538108034497,0.5355401895273927,2.3097237351908007,-11.398983775861058,-0.21531452105175525,-9.640182931189925,-7657919.67086106,0.35714285714285715,-2.732777787674843e-07,-0.20837906858334987,63.72500000000001,67.98700000000002,59.46300000000001
6/1/2006,56.0,53.38,57.0,52.85,49301910.0,-75.17207472959684,-13.79,0.1647321735948424,-113.93467004929664,0.555592088627275,2.6835939083864133,-13.323169623117106,-0.24629640275487683,1.4574720756664752,-12716503.874780107,0.35714285714285715,-2.6389018146489396e-07,-0.23870633633179625,62.94933333333334,67.33733333333336,58.561333333333344
