Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
3/13/2006,886.9,877.2,891.9,870.1,2581018.0,,,,,,,,,,,,,,,,
3/14/2006,877.6,866.3,886.5,863.0,2805162.0,,,,,,,,,,,,,,,,
3/16/2006,869.95,880.55,884.0,869.95,1979397.0,,,,,,,,,,,,,,,,
3/17/2006,884.95,876.7,897.0,872.25,5382640.0,,,,,,,,,,,,,,,,
3/20/2006,884.95,881.0,889.25,877.1,1339190.0,,,,,,,,,,,,,,,,
3/21/2006,884.0,871.2,887.75,867.1,1874926.0,,,,,,,,,,,,,,,,
3/22/2006,873.0,846.7,874.0,842.25,3413029.0,,,,,,,,,,,,,,,,
3/23/2006,848.0,837.45,858.0,831.55,3019695.0,,,,,,,,,,,,,,,,
3/24/2006,835.0,838.15,849.0,833.0,2248340.0,,,,,,,,,,98044.8171450242,,,,,,
3/27/2006,841.0,838.55,849.0,835.0,1920807.0,,,,,,,,,,171176.8676325949,,,,,,
3/28/2006,840.0,850.9,863.0,838.0,4617052.0,,,,,,3.5864063798343295,,,,507819.43957725505,,,,,,
3/29/2006,852.2,856.6,863.0,852.0,1421869.0,,,,,,2.9748659385031715,,,,480565.87114435807,,,,,,
3/30/2006,859.0,856.2,865.9,838.3,4644161.0,,,0.28951758463490046,,,2.504463434217996,,,,913619.7863826198,,,,,,
3/31/2006,864.8,874.3,882.0,856.0,2461209.0,-34.682964094728845,,0.48567961893700157,,,1.0708264446370777,,,-2.115148950047245,887534.4095443429,0.5,,,,,
4/3/2006,880.0,910.3,914.9,878.0,3537913.0,-5.518896220755875,33.09999999999991,0.6884790721166212,,,-2.160312104953846,,,-2.3165087881504123,1303893.586217922,0.5714285714285714,9.928045803258425e-06,,,,
4/4/2006,912.0,912.55,924.8,907.0,2795311.0,-13.136729222520108,46.25,0.7259921921523746,,,-4.7213890695059035,,,-2.0445333449747416,200070.1521117039,0.6428571428571429,2.25146650474819e-05,,,,
4/5/2006,916.0,916.6,922.0,904.0,1181660.0,-8.793565683646039,36.05000000000007,0.696659592987661,,,-6.866607650318997,,,-1.1371207336439615,207807.67609251742,0.5714285714285714,1.823120338126268e-05,,,,
4/7/2006,920.0,894.3,924.0,877.0,2512675.0,-32.707774798927616,17.59999999999991,0.490752424126972,,,-7.019190379016209,,,0.38262679529396815,-163857.73288269344,0.5,-9.823782733936604e-07,,,,
4/10/2006,907.0,884.6,907.0,868.0,1486673.0,-43.1099195710455,3.6000000000000227,0.44065905972694774,,,-6.42883228960261,,,-0.8044105553145537,-161540.52812152336,0.42857142857142855,-2.44019923554008e-05,,,,
4/12/2006,888.0,841.85,888.0,830.4,1859812.0,-87.87076271186436,-29.350000000000023,0.295337604606815,-54.49032785692117,,-3.1096060001117394,,,-0.5438648045751181,-428873.0630430762,0.42857142857142855,-8.248388669340756e-05,,872.3833333333334,897.9333333333334,846.8333333333333
4/13/2006,841.85,870.1,882.1,810.5,5749376.0,-47.856517935258054,23.399999999999977,0.24582970205366633,-47.915633722888316,,-2.3768110650505605,,,-3.2852810266666923,1060526.4752372047,0.5,-8.113463983324285e-05,,871.1083333333333,899.1483333333333,843.0683333333333
4/17/2006,882.05,881.8,898.9,870.15,1105972.0,-37.62029746281716,44.34999999999991,0.3516919906061706,33.6197975026998,,-2.565945323228334,,,-0.7382504611402868,297700.72945802164,0.5714285714285714,-1.8058819662908213e-06,,871.6924999999999,899.9949999999999,843.3899999999998
4/18/2006,876.0,881.4,903.3,876.0,2829995.0,-37.97025371828521,43.25,0.37807365024671086,41.286878213067695,,-2.6550330155926076,,,0.8067671284012821,-515949.70146176766,0.6428571428571429,3.644360718448472e-06,,872.1291666666666,901.0941666666665,843.1641666666662
4/19/2006,885.9,874.45,894.4,865.65,1700085.0,-44.05074365704281,35.90000000000009,0.3404695982654035,17.458849268353134,,-2.215096540110494,,,-5.462650850068314,-468384.9054989571,0.5714285714285714,-8.502510716545553e-06,,871.9383333333333,901.1033333333332,842.773333333333
4/20/2006,878.9,882.6,890.0,867.0,1349013.0,-36.92038495188097,31.700000000000045,0.3404695982654035,22.63682530887467,,-2.4134110382129847,,,-3.067105990450824,-44744.60645450789,0.5714285714285714,-1.364719143677866e-05,,871.8091666666666,901.5166666666667,842.1016666666662
4/21/2006,883.0,904.05,916.8,876.0,3911174.0,-18.153980752405957,47.44999999999993,0.5088705289096058,70.67138874632151,0.22534134142561021,-4.045649858937168,,,0.06298311878126919,445175.91195796756,0.5714285714285714,-4.1777294150307764e-06,,872.9891666666666,903.7041666666667,842.2741666666664
4/24/2006,908.0,898.5,911.0,895.15,1445948.0,-23.00962379702534,42.299999999999955,0.5088705289096058,70.23302774506713,0.2360080084402071,-4.876724406915287,,,-1.8318853776117905,-125522.83571454816,0.6428571428571429,3.340915992950407e-06,,875.3508333333333,905.2708333333334,845.4308333333331
4/25/2006,902.0,868.35,903.0,860.25,993749.0,-49.387576552930845,-5.949999999999932,0.35272430142322225,0.2986690490813854,0.20417719013766372,-3.3120324679987334,,,-1.2323831096860614,-278351.3755567708,0.5714285714285714,-7.532235477022003e-05,,877.0941666666668,907.8291666666668,846.3591666666664
4/26/2006,884.8,923.5,928.9,870.0,3973070.0,-4.560810810810793,13.200000000000045,0.48740879329817244,78.7564307276998,0.18661890803110526,-6.028265748898207,,,-4.08369249956639,911150.119671464,0.5714285714285714,-7.689720767445846e-05,,880.4650000000001,913.345,847.5849999999997
4/27/2006,928.9,899.0,942.0,891.6,3824802.0,-32.69961977186312,-13.549999999999955,0.542915358906466,82.23653689304467,0.19188037180788875,-6.299324159406183,,,-6.715785118271844,-574711.5404358953,0.5714285714285714,-6.941365340159049e-05,,883.9658333333334,918.6658333333335,849.2658333333331
4/28/2006,860.0,919.95,924.9,850.0,2274851.0,-16.768060836501867,3.3500000000000227,0.3886923581473833,38.73645619944512,0.17755604554802504,-7.970269455827861,,,-3.9779976392252383,355991.10172281886,0.5714285714285714,-0.000135283685918169,,886.3483333333334,923.5433333333334,849.1533333333331
4/29/2006,922.0,927.6,940.0,920.0,772022.0,-10.950570342205305,33.30000000000007,0.4536886751238402,121.9815142032432,0.15491753493679908,-9.746770945455978,,,-0.16196515352714233,17786.70190219913,0.6428571428571429,-3.984691779690547e-05,0.0703131776468554,889.9483333333334,927.5933333333335,852.3033333333331
5/2/2006,929.0,942.2,954.0,926.5,1442034.0,-8.22299651567941,57.60000000000002,0.509482071992293,137.95773278001323,0.15017617817204565,-12.103862266782585,,,-1.182528790691631,1768.8820304429973,0.7142857142857143,-1.525463288495183e-06,0.07481913610255318,894.32,931.9600000000003,856.68
5/3/2006,942.5,963.45,967.85,934.0,2005147.0,-2.7963139497934395,121.60000000000002,0.560694871591964,147.54515007362178,0.13833539005752532,-15.389410636649814,,,-0.6117775626543991,401872.2651684748,0.7857142857142857,7.395212884029011e-05,0.09342426153621657,898.5366666666666,936.5691666666669,860.5041666666666
5/4/2006,959.0,957.65,967.05,928.0,1128323.0,-8.655070004242718,87.54999999999995,0.5328845418352766,118.24340442066696,0.12822589682128965,-17.347400296553587,,,-3.7908381115146104,243152.00355375314,0.7142857142857143,7.702214822669681e-05,0.10102220484956628,901.0283333333334,939.1683333333336,862.8883333333331
5/5/2006,958.0,940.7,960.0,935.15,942113.0,-23.03775986423417,58.90000000000009,0.5328845418352766,95.95769066327043,0.11933326629591787,-17.404597120861126,,0.2037814619840238,-0.6952299149286839,-195776.96022047946,0.6428571428571429,6.14008084586026e-06,0.10357038606626698,902.5533333333335,941.0458333333338,864.0608333333332
5/8/2006,948.0,939.55,952.0,935.0,494665.0,-24.013576580398865,58.14999999999998,0.5320062635964805,82.48508932341669,0.14077620907361665,-17.162266025732265,,0.19932759867534716,-0.6513563986951779,-264826.8037003077,0.5714285714285714,-7.394448130643296e-06,0.10707092267790853,903.9525000000001,942.3950000000004,865.5099999999999
5/9/2006,941.0,965.8,974.95,926.5,1543804.0,-7.322929171668738,91.34999999999991,0.6374848872247287,99.00101959240052,0.15918306184639933,-18.766144085773817,,0.2125368136415009,0.9974850875782992,109722.11898256879,0.6428571428571429,2.0427945551578488e-05,0.12752387765877632,906.8183333333334,945.3333333333337,868.3033333333331
5/10/2006,970.0,952.95,974.0,945.15,653238.0,-17.607042817126846,70.35000000000002,0.6374848872247287,91.02203303054154,0.1468382617239803,-18.827595169599363,,0.2105122169387658,-1.2045517014483322,-148082.75940281444,0.6428571428571429,5.020346475229488e-05,0.13417362502282654,910.3600000000002,948.3675000000005,872.3524999999997
5/11/2006,951.0,937.2,957.65,930.4,669145.0,-30.21208483393356,33.15000000000009,0.5344196960401257,55.600166897969395,0.1340253109370776,-17.4564174572879,,0.19438870558385135,-0.5984479203053624,-251267.61177452243,0.5714285714285714,-8.366440830851604e-06,0.12934232276859206,914.7766666666669,951.2666666666671,878.2866666666665
5/12/2006,930.4,932.8,948.0,920.25,955068.0,-33.733493397359005,34.299999999999955,0.47362090894955455,34.0434380173232,0.17365902938243855,-15.845599508590567,,0.17783455823763805,-0.8522212224935011,-193012.7980018771,0.5,-3.413921227636217e-05,0.12479289284207074,918.7491666666668,953.0466666666673,884.4516666666665
5/15/2006,932.0,885.75,939.45,870.0,1177400.0,-71.38855542216888,17.399999999999977,0.28706457668953156,-49.350863639958014,0.21368052021465428,-10.786270029393677,,0.12411102214913511,-1.1982930821575657,-327301.2296306036,0.5,-9.20984871277832e-05,0.11214060022553723,919.4883333333337,955.8208333333339,883.1558333333332
5/16/2006,880.0,882.3,905.0,861.0,1832658.0,-74.14965986394563,-41.200000000000045,0.26545600634093375,-84.67168140647956,0.2293048277004561,-6.435611205926648,,0.08035582563359382,-0.9784161771979184,-166340.72887852893,0.42857142857142855,-0.00014823022559436633,0.090592660067816,919.281666666667,956.4491666666672,882.1141666666666
5/17/2006,894.8,912.55,915.9,881.0,2027566.0,-49.93997599039621,13.549999999999955,0.3353691485827053,-42.320121933489574,0.28605637524404526,-5.292992257190008,7.355306644121201,0.06669445821084988,-0.17012212494658904,454420.8707202915,0.42857142857142855,-0.00014556497632567622,0.08155808968291785,920.5308333333336,958.0058333333338,883.0558333333332
5/18/2006,912.5,820.5,912.95,790.1,1567499.0,-83.55423316202327,-99.45000000000005,0.17504941821686493,-164.01863615511203,0.34032384207756045,2.7925361651971343,5.822381903440059,-0.008688644660176811,3.273000851104672,-106092.70310475478,0.42857142857142855,-0.0003392299353934793,0.04390466940275353,918.596666666667,961.0641666666672,876.1291666666666
5/19/2006,830.0,783.55,854.4,769.45,2048494.0,-93.1386861313869,-144.05000000000007,0.15555732772605385,-182.3985164941431,0.4046238880195029,11.9606565921722,3.8741719178860174,-0.08390943564107056,-7.691596810686442,-509246.72411972994,0.35714285714285715,-0.0005352650760738333,0.003590731903466411,913.7725000000004,958.4475000000006,869.0974999999999
5/22/2006,802.9,748.6,852.0,655.0,1132297.0,-70.74542897327707,-193.60000000000002,0.0908575823648633,-188.9703169694867,0.46020714580534394,21.722247717065557,1.5934604853676724,-0.15553290571642403,-1.0379598888565835,-210391.21000803408,0.2857142857142857,-0.0012752940094672284,-0.05038766676356262,906.2883333333336,960.0208333333337,852.5558333333331
5/23/2006,716.6,805.7,820.0,660.0,1111026.0,-52.898890451633065,-157.75,0.09085758236486328,-146.38504141054904,0.5070967561752957,24.668634111598635,-0.4569366996042543,-0.16925447034357674,0.5594166775234861,239223.4861246021,0.2857142857142857,-0.0014270339755258397,-0.07973922036003035,900.5233333333338,960.1183333333338,840.9283333333331
5/24/2006,812.0,762.7,821.0,748.0,1132546.0,-66.3384903891233,-194.94999999999993,0.09523509953455826,-113.09711145114542,0.5515882671937046,30.05108153999788,-2.870874887846688,-0.19739131144918665,0.297598031506355,-104122.22437556773,0.35714285714285715,-0.0012137492346928262,-0.1195122312817858,894.011666666667,954.3116666666672,833.7116666666665
5/25/2006,756.85,792.95,815.0,715.25,1637746.0,-56.88388810751679,-147.75,0.08057447039354801,-102.0639442637043,0.5900831386348788,31.557755074516194,-4.824116614219535,-0.19945005552538295,-4.974746712647091,270817.8495303379,0.35714285714285715,-0.0012981342100252616,-0.14412633607944964,887.1883333333338,949.955833333334,824.4208333333332
5/26/2006,798.0,791.7,811.95,780.0,1629377.0,-57.27457415221128,-147.8499999999999,0.080574470393548,-76.26178681175362,0.6233970737249844,32.475033356704785,-6.792794827216785,-0.20143860807718017,-1.4538696439281975,-29866.407640339945,0.42857142857142855,-0.0012449218290088153,-0.16739580815461064,882.0016666666672,942.6216666666672,821.3816666666664
5/29/2006,811.0,791.3,811.7,787.45,791878.0,-57.27272727272729,-174.5,0.080574470393548,-67.2667456508155,0.6563068127258681,32.85377056350387,-8.629298918395946,-0.20310511960017175,0.8013704385424685,-183377.38980284863,0.42857142857142855,-0.0012532433761402444,-0.19318986948253164,875.3825000000004,936.2150000000005,814.5499999999996
5/30/2006,795.0,768.85,803.9,755.2,863600.0,-62.382289773665946,-184.10000000000002,0.06535508579774349,-76.65006995373876,0.6891172296065241,34.53782350749884,-10.724818462862721,-0.21282163141098992,0.13216849062125696,-178295.8914806342,0.35714285714285715,-0.0013618222001287518,-0.21965319305559897,867.136666666667,929.0291666666672,805.2441666666663
5/31/2006,755.25,735.0,755.25,706.65,1766863.0,-72.6962457337884,-202.20000000000005,0.04920943842279501,-100.71264051967134,0.7198564921230327,38.12341790374512,-13.257498182736676,-0.23276652385644075,-4.228750194296049,54432.70630597194,0.35714285714285715,-0.0014120763281942356,-0.24845499382146805,855.9966666666671,918.6266666666672,793.3666666666662
6/1/2006,739.4,683.6,756.0,670.0,4165649.0,-89.94550887677974,-249.19999999999993,0.040495483415257216,-109.57634523596472,0.6794916505160289,44.54170060199533,-15.499124967452818,-0.26600386792406744,3.4268824136083826,-855223.7360902631,0.35714285714285715,-0.001417999816400588,-0.28746612511106134,843.611666666667,908.5891666666672,778.6341666666663
6/2/2006,690.0,769.7,819.4,686.0,5174512.0,-56.03679570716748,-116.04999999999995,0.2910685266083105,-60.28774304708161,0.6445334891652804,42.27804517429854,-16.344106668710936,-0.24316748155880244,-23.61703654119901,176241.17589590795,0.42857142857142855,-0.0012210241175170777,-0.2937061816911259,834.2658333333336,904.6708333333338,763.860833333333
6/5/2006,790.0,736.05,790.0,731.35,2730215.0,-68.93445764660791,-146.25,0.2910685266083105,-58.94618201946228,0.6256315784873094,42.67544401192856,-17.173653699779464,-0.23718448724182423,-2.399382328832436,-566917.8188373774,0.42857142857142855,-0.001171530568410637,-0.30704482467659855,824.7800000000003,897.2675000000003,752.2924999999996
6/6/2006,710.0,730.9,751.5,700.1,3095354.0,-70.57569296375267,-181.64999999999998,0.24848479462543555,-73.0145949813861,0.6092944384095619,42.906011387704666,-18.318657263232872,-0.23432573749845706,-1.7758423452356102,105515.79906513495,0.35714285714285715,-0.0012318916411782406,-0.3220453619386455,813.3675000000003,886.0025000000003,740.7324999999996
