Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
3/13/2006,137.9,139.4,142.0,137.05,5918377.0,,,,,,,,,,,,,,,,
3/14/2006,140.1,137.9,141.25,136.9,3578921.0,,,,,,,,,,,,,,,,
3/16/2006,140.0,135.95,140.0,135.1,5565944.0,,,,,,,,,,,,,,,,
3/17/2006,135.1,137.25,138.9,135.1,3289208.0,,,,,,,,,,,,,,,,
3/20/2006,138.0,137.7,138.9,137.0,3518270.0,,,,,,,,,,,,,,,,
3/21/2006,138.25,138.15,140.8,137.55,5782340.0,,,,,,,,,,,,,,,,
3/22/2006,138.0,137.0,138.35,136.1,5483868.0,,,,,,,,,,,,,,,,
3/23/2006,138.0,135.75,138.0,134.9,5425071.0,,,,,,,,,,,,,,,,
3/24/2006,136.5,135.55,137.25,135.0,5272449.0,,,,,,,,,,-362270.2308779014,,,,,,
3/27/2006,137.35,136.85,138.0,136.0,4112191.0,,,,,,,,,,228330.1846402723,,,,,,
3/28/2006,137.8,135.8,138.0,135.3,3413167.0,,,,,,0.1931338338477815,,,,-9892.025406135712,,,,,,
3/29/2006,136.0,135.25,136.85,134.7,1802375.0,,,,,,0.24630335926877933,,,,275981.2279678588,,,,,,
3/30/2006,135.5,133.05,136.8,132.5,4833724.0,,,0.19460657003321985,,,0.4067419779903503,,,,-460023.1922724671,,,,,,
3/31/2006,133.6,134.1,136.0,133.5,5336399.0,-83.15789473684217,,0.19460657003321982,,,0.4606957126549389,,,8.28355258612291,-462930.7413667026,0.35714285714285715,,,,,
4/3/2006,135.85,135.4,137.25,135.0,5182292.0,-66.85714285714279,-4.0,0.3673624827412737,,,0.4183627936894254,,,0.7273352935223568,-595066.8549769502,0.42857142857142855,-2.826415239536786e-07,,,,
