Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
3/13/2006,102.85,101.85,105.05,101.08,160532.0,,,,,,,,,,,,,,,,
3/14/2006,103.5,100.28,103.5,100.0,108890.0,,,,,,,,,,,,,,,,
3/16/2006,101.5,98.8,101.88,98.0,105260.0,,,,,,,,,,,,,,,,
3/17/2006,100.0,98.1,100.0,97.65,84098.0,,,,,,,,,,,,,,,,
3/20/2006,100.0,96.83,100.0,96.0,97738.0,,,,,,,,,,,,,,,,
3/21/2006,97.5,96.28,99.0,96.0,93150.0,,,,,,,,,,,,,,,,
3/22/2006,97.0,96.98,97.63,95.55,92606.0,,,,,,,,,,,,,,,,
3/23/2006,99.45,96.63,99.45,96.0,70942.0,,,,,,,,,,,,,,,,
3/24/2006,97.0,99.63,102.48,96.03,300762.0,,,,,,,,,,29513.815253621127,,,,,,
3/27/2006,103.9,102.2,105.0,101.0,175108.0,,,,,,,,,,2330.13293677436,,,,,,
3/28/2006,103.35,102.35,105.0,101.78,138676.0,,,,,,-0.2596415364921967,,,,-14608.967021562108,,,,,,
3/29/2006,103.0,102.5,103.5,102.0,81002.0,,,,,,-0.39436914401767353,,,,-1245.1189027037108,,,,,,
3/30/2006,105.0,107.65,115.0,102.75,267608.0,,,0.9122345480217385,,,-0.7799693931313385,,,,-3776.0660514054252,,,,,,
3/31/2006,109.35,108.58,112.2,107.0,255862.0,-33.007712082262216,,0.9122345480217386,,,-1.1123653813979786,,,0.021539656757141486,-18809.36689182066,0.42857142857142855,,,,,
4/3/2006,110.93,117.4,118.0,110.0,494294.0,-2.672605790645854,15.550000000000011,0.9393692826644086,,,-1.8722422086008237,,,-5.593428711368847,137572.89201853628,0.5,2.3331062667640815e-05,,,,
4/4/2006,117.0,116.13,122.25,114.85,221180.0,-22.921348314606757,15.849999999999994,0.9519339102672469,,,-2.3482749251800072,,,1.3387995874110417,12936.316610689237,0.5714285714285714,3.7223661213061096e-05,,,,
4/5/2006,116.5,117.85,119.5,115.5,226384.0,-16.479400749063693,19.049999999999997,0.951933910267247,,,-2.788615758598823,,,-1.7634805370745392,18483.55719379375,0.5714285714285714,4.066409361840425e-05,,,,
4/7/2006,127.5,116.88,127.5,112.5,342308.0,-33.23943661971832,18.78,0.9683638858772323,,,-3.03045363060734,,,1.490525918498662,-37962.54630800546,0.6428571428571429,5.071463402937179e-05,,,,
4/10/2006,117.0,117.6,119.5,116.5,165198.0,-30.985915492957762,20.769999999999996,0.9683638858772323,,,-3.2256354247654,,,-0.4185369974393408,-26591.10273189515,0.6428571428571429,5.053203998656424e-05,,,,
4/12/2006,118.0,116.1,119.0,115.08,186750.0,-35.680751173708934,19.819999999999993,0.8959879078830283,85.88664245603572,,-3.2393701569710487,,,-3.5790632863299763,-33834.02790249752,0.6428571428571429,5.024290109836825e-05,,106.02216666666668,111.03066666666669,101.01366666666667
4/13/2006,115.03,111.23,116.5,109.08,111108.0,-51.65079365079364,14.25,0.6566947755209025,45.87133585908798,,-2.888961054742751,,,0.03745094629328566,-20169.86636123756,0.6428571428571429,3.1429782051916966e-05,,106.50266666666668,111.68366666666668,101.32166666666667
4/17/2006,110.5,107.45,114.0,106.0,444660.0,-63.71147124245312,10.820000000000007,0.5670015387899145,18.078697391049687,,-2.3296992168223056,,,-9.105573343707132,-87544.63035654198,0.5714285714285714,2.3901771076532465e-05,,106.89716666666668,112.30316666666667,101.49116666666667
4/18/2006,109.45,106.08,110.95,104.75,369714.0,-80.83018867924528,6.450000000000003,0.5329165949370248,-0.18185752564273627,,-1.7752712520346137,,,2.0137796066132974,-84160.56799106755,0.5,1.8982731442586003e-05,,107.2821666666667,112.80416666666667,101.76016666666668
4/19/2006,107.03,107.5,109.0,106.5,156424.0,-77.76049766718506,5.299999999999997,0.5329165949370248,-0.5906064900302802,,-1.42132600527691,,,-0.650759490300581,-18141.18014955953,0.5,1.2758058201489442e-05,,107.73633333333335,113.26583333333333,102.20683333333335
4/20/2006,109.0,108.08,109.88,105.0,107258.0,-76.15686274509804,5.730000000000004,0.48621970466716036,-5.204805692765881,,-1.1696863649918043,,,-2.041946343360882,29330.867255585086,0.42857142857142855,1.1103776078531485e-05,,108.2385,113.81199999999998,102.665
4/21/2006,106.53,113.55,116.0,106.53,169476.0,-56.363636363636374,11.049999999999997,0.6362648766188551,28.730472291498824,0.3587321178359269,-1.3441741907942628,,,-2.528077349469577,63078.0664571781,0.5,2.7217016238325518e-05,,108.98516666666667,114.88216666666668,103.0881666666667
4/24/2006,113.5,115.08,117.5,111.5,154958.0,-54.5934065934066,7.429999999999993,0.6640142501669234,49.035346567621254,0.35400007043914955,-1.5728674845433943,,,-1.2984613693155553,54675.665189615574,0.5,1.6137180003973757e-05,,109.88383333333334,115.97683333333332,103.79083333333335
4/25/2006,115.5,115.28,116.5,112.58,146314.0,-53.714285714285715,6.700000000000003,0.6640142501669235,45.45124753381782,0.35007883720885635,-1.7471550304442474,,,-0.8685207350995442,54285.54448654881,0.5,1.5161263037096156e-05,,110.75516666666667,116.87166666666664,104.6386666666667
4/26/2006,115.0,115.0,116.48,113.75,79110.0,-54.94505494505495,-2.4000000000000057,0.6640142501669234,44.17191650339149,0.3866500223153995,-1.842637396468092,,,-0.9539279986920323,29517.60733111517,0.5,1.1491973401406263e-05,,111.54,117.47049999999999,105.60950000000005
4/27/2006,117.95,118.53,125.0,116.25,191200.0,-39.42857142857142,2.4000000000000057,0.7982881145710314,95.98071850333103,0.3519578879481046,-2.1521745426428396,,,-3.3110539289572998,-10272.506251167448,0.5,1.862972147175998e-05,,112.39966666666669,118.56766666666667,106.23166666666673
4/28/2006,107.5,116.05,118.0,100.05,114910.0,-41.71220400728598,-1.7999999999999972,0.42534834236160357,-20.322384689487915,0.3199975828628078,-2.187616542818617,,,-1.6316250073465541,32074.05481769021,0.5,-0.00010947558250696664,,112.81583333333336,119.72033333333334,105.91133333333339
4/29/2006,117.95,115.18,118.5,114.5,31894.0,-39.3587174348697,-1.6999999999999886,0.4347525145747624,41.31207550470665,0.3013558762888032,-2.1259613181982076,,,-0.5221634039153108,11191.41692348356,0.5,-5.03377296132319e-05,0.15819570887554707,113.48550000000003,120.51500000000001,106.45600000000006
5/2/2006,120.0,126.68,128.95,116.0,411278.0,-7.854671280276756,9.080000000000013,0.5947024531534559,139.9845548512054,0.2891654855366926,-2.904800350123196,,,-3.982148827320011,93243.79892740771,0.5714285714285714,-3.430514538445525e-05,0.15790298123251142,114.25600000000001,121.32050000000001,107.19150000000006
5/3/2006,130.0,125.25,130.0,122.5,217002.0,-15.859766277128545,9.150000000000006,0.6075766801288444,141.28188058430663,0.2787829235197223,-3.3737373422232224,,,0.2386153273830169,14990.80479797993,0.6428571428571429,-2.354642025963941e-05,0.1578200560713333,115.08883333333333,122.26833333333335,107.9093333333334
5/4/2006,126.0,127.83,129.5,123.63,554200.0,-7.2454090150250465,16.599999999999994,0.6075766801288445,130.83059484034086,0.26991844258566655,-3.894683535984214,,,-1.842637317493861,75984.81607691947,0.7142857142857143,-3.035036121504253e-06,0.16894393627355336,115.6815,122.75450000000001,108.60850000000008
