Date,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
3/13/2006,56.2,55.19,57.48,55.0,3156620.0,,,,,,,,,,,,,,,,
3/14/2006,55.75,54.0,56.1,53.63,2738920.0,,,,,,,,,,,,,,,,
3/16/2006,54.75,57.73,58.73,54.11,9714960.0,,,,,,,,,,,,,,,,
3/17/2006,58.0,58.13,59.43,57.5,6009080.0,,,,,,,,,,,,,,,,
3/20/2006,58.5,62.0,62.5,57.75,14452080.0,,,,,,,,,,,,,,,,
3/21/2006,62.4,61.39,63.74,58.63,8273960.0,,,,,,,,,,,,,,,,
3/22/2006,61.35,59.86,61.45,59.0,6542580.0,,,,,,,,,,,,,,,,
3/23/2006,60.15,58.32,61.45,58.0,6104180.0,,,,,,,,,,,,,,,,
3/24/2006,58.99,58.29,59.9,57.85,3203200.0,,,,,,,,,,-1607623.9678095835,,,,,,
3/27/2006,59.0,58.99,59.7,58.43,4489280.0,,,,,,,,,,-840488.6827960971,,,,,,
3/28/2006,59.25,61.82,62.5,58.5,9742160.0,,,,,,-0.3271703313153509,,,,1609680.3505232413,,,,,,
3/29/2006,61.8,62.04,63.75,59.61,7289360.0,,,,,,-0.43348519946027864,,,,893243.5062168614,,,,,,
3/30/2006,63.35,62.92,64.5,62.2,9150080.0,,,0.8783492152303003,,,-0.5562904156734803,,,,-906210.9403317472,,,,,,
3/31/2006,63.5,64.24,64.7,62.78,6878340.0,-4.155374887082276,,0.8822059575683305,,,-0.7174888504551546,,,-2.340270605901226,596821.5145841701,0.6428571428571429,,,,,
4/3/2006,64.7,65.37,65.65,64.25,4746620.0,-2.3294509151414395,10.180000000000007,0.8996437550556483,,,-0.8969582344179443,,,-2.484592348918759,924496.968039236,0.7142857142857143,1.6922417852473698e-07,,,,
4/4/2006,65.95,66.55,67.0,61.0,5419200.0,-3.4910783553142193,12.549999999999997,0.5678300412486623,,,-1.0934313161166003,,,-0.16390856893283134,1517569.1561516065,0.7142857142857143,1.8266562785867756e-07,,,,
4/5/2006,67.28,67.93,68.25,65.35,3779000.0,-2.9767441860464485,10.20000000000001,0.6286181937908494,,,-1.315100716768697,,,-2.4117631885959194,1099814.6670428372,0.7142857142857143,2.8332478607309044e-07,,,,
4/7/2006,68.01,67.89,68.65,67.15,3992540.0,-6.972477064220227,9.759999999999998,0.6469537407308952,,,-1.4661971852922022,,,-1.004665734236489,-111022.76655885251,0.7142857142857143,2.6592881433533784e-07,,,,
4/10/2006,66.15,66.39,68.93,65.25,5117220.0,-22.924187725631814,4.390000000000001,0.5091750942399561,,,-1.4682593718742751,,,-3.9324994006801557,-1189258.5995875201,0.6428571428571429,1.8535024389341047e-07,,,,
4/12/2006,66.75,62.41,68.4,60.05,6550800.0,-58.84476534296035,1.019999999999996,0.3044355590008248,37.26117933543147,,-1.1926972130071718,,,0.4608602511441828,-1803505.0114657418,0.5714285714285714,-1.2225964953739996e-07,,61.50516666666665,64.84366666666668,58.166666666666664
4/13/2006,62.5,59.21,62.5,58.75,5699520.0,-87.72563176895308,-0.6499999999999986,0.2727940380814811,-29.269701104536086,,-0.7537857012578115,,,-0.1348749380988323,-2347200.3474926203,0.5714285714285714,-2.657688856461248e-07,,61.71833333333332,65.12033333333335,58.31633333333333
4/17/2006,59.95,60.86,61.5,59.25,2546240.0,-72.83393501805058,2.539999999999999,0.27279403808148117,-31.191546122302825,,-0.5156699595188243,,,-1.60044398146962,-648343.5111335275,0.6428571428571429,-2.6136322391251537e-07,,62.01633333333332,65.40733333333336,58.62533333333333
4/18/2006,58.75,61.69,64.2,58.75,3246340.0,-68.95238095238099,3.3999999999999986,0.43513347534400576,-16.050715200298175,,-0.3812751090816704,,,-1.4830607203340016,-161276.9877326194,0.7142857142857143,-9.060020176373733e-08,,62.25083333333332,65.68333333333335,58.81833333333333
4/19/2006,62.25,65.34,66.25,62.0,5367280.0,-34.41994247363376,6.350000000000001,0.5275341304083665,46.65247286778145,,-0.5233195276034195,,,-0.5227209163203053,943253.959574472,0.7142857142857143,5.544354139996633e-08,,62.55966666666666,66.10816666666668,59.011166666666654
4/20/2006,65.75,66.23,67.65,64.95,6016620.0,-26.522593320235764,4.410000000000004,0.5814810246033714,79.13283403095944,,-0.6894850355870048,,,-1.2460907557194487,236947.35990591784,0.7142857142857143,8.307601513681466e-08,,62.83599999999999,66.28200000000001,59.389999999999986
4/21/2006,65.3,67.01,71.3,64.0,10513940.0,-34.18326693227086,4.970000000000006,0.6884827611630732,93.89828016218482,0.2863714274269568,-0.8655251348773234,,,-0.4611633872000016,-559185.4171694058,0.7142857142857143,1.0215778101369167e-07,,63.14516666666666,66.70066666666669,59.58966666666665
4/24/2006,68.0,66.5,68.01,65.35,2694000.0,-38.24701195219122,3.5799999999999983,0.6884827611630732,68.76431835505528,0.27277999245730955,-0.9564215212730431,,,-1.101773812753957,-364312.0719536621,0.6428571428571429,3.762371636913534e-09,,63.47099999999999,67.03700000000002,59.90499999999999
4/25/2006,65.56,64.69,67.0,63.75,2149800.0,-52.66932270916336,0.45000000000000284,0.5990920914796178,31.690422237031786,0.25420323785607923,-0.8867252371258374,,,-1.3181995415037042,-423411.06023565406,0.5714285714285714,-1.44932015224087e-07,,63.765499999999996,67.32150000000003,60.20949999999999
