Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,29.55,19851795,2667.5218,2.5076,6.0855,6.0855,7.3348,8.0614,-2.1337,1.7117,11.9383,1.396,11.784,0.1667,1.2053,88.0617,5004.5618,523.4555,-0.08199999999999999,9.6427,19.9444,4.7242,7.4581,246.9728,238.4657,113.875,0.7968,0.0321,0.154,1.2881,21.1676,31.18,29.55,31.18,29.44,119520.0,-52.07547169811322,1.5500000000000007,0.4814340635678298,36.19026113244267,0.4889251719182138,-1.1343176513063256,16.555564800885545,0.3568145035033028,-0.645028932950282,-255801.2760252865,0.6428571428571429,-8.926314682741997e-07,0.31089234677955435,29.044499999999992,30.40450000000002,27.684500000000014
2/28/2007,24.41,5783265,2667.5218,2.0712,6.0855,6.0855,7.3348,8.0614,-2.1337,1.7117,11.9383,1.396,11.784,0.1667,1.2053,88.0617,4126.0162,523.4555,-0.08199999999999999,7.9643,19.9444,5.7197,9.0297,246.9728,238.4657,113.875,0.7968,0.0389,0.154,1.0639,17.4857,23.19,24.41,25.27,23.19,154455.0,-75.30364372469639,-3.0100000000000016,0.14429337074503218,-93.43350209570607,0.5343395895722767,1.000409152351022,-11.226211569403969,-0.2281255504836821,-0.7566371655594538,22669.68315764957,0.42857142857142855,-3.2776028819949087e-06,-0.2398659960492045,26.58133333333333,27.764333333333337,25.398333333333344
3/30/2007,22.69,5137365,3876.3049,1.5908,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,4697.4926,830.8153,0.9884,9.3366,17.6864,6.0646,8.5186,468.2568,470.4346,113.875,0.7835,0.2773,0.116,1.3019,16.4862,21.74,22.69,22.94,21.74,113310.0,-42.24598930481281,0.5,0.6344020291962923,10.92223629430105,0.21590813950999801,0.8752031732280479,-17.156541337296776,-0.2487484140059429,0.4885431716367506,60544.852510283126,0.42857142857142855,1.0931413754894514e-06,-0.16144688728263834,22.341333333333324,23.548333333333346,21.134333333333352
4/30/2007,24.66,3398175,3876.3049,1.7289,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,5033.9932,830.8153,0.9884,10.1471,17.6864,5.5802,7.8382,468.2568,470.4346,113.875,0.7835,0.2551,0.116,1.415,17.9176,25.2,24.66,25.2,24.22,125070.0,-47.390396659707726,2.3200000000000003,0.5352040829351793,25.74863698949241,0.3869136139899077,-0.6113145558876383,12.997393818515926,0.18127615339491168,-1.09790371594182,-17314.131660933326,0.5,8.350146882366988e-07,0.2370839382435888,24.100666666666665,25.059166666666684,23.14216666666668
5/31/2007,26.33,5162820,3876.3049,1.8458,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,5318.6807,830.8153,0.9884,10.8328,17.6864,5.227,7.342,468.2568,470.4346,113.875,0.7835,0.239,0.116,1.5106,19.131,26.4,26.33,26.79,26.05,115890.0,-76.83397683397692,-0.25,0.4216578852603386,-17.64753906548375,0.17205033800616892,-0.4663708386637815,12.2597899095307,0.1638499155960933,-0.6924668282857298,46386.284267107156,0.42857142857142855,-3.2385399326997106e-07,0.09716969448518836,26.525666666666666,27.514166666666664,25.537166666666685
6/29/2007,34.99,15125070,3876.3049,2.4528,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,6797.917,830.8153,0.9884,14.3958,17.6864,3.9333,5.5249,468.2568,470.4346,113.875,0.7835,0.1798,0.116,2.0074,25.4232,33.65,34.99,35.22,33.4,2569440.0,-2.5698324022346024,7.57,0.9531148541327732,154.78932980695453,0.6679495280438694,-1.8167321718888587,15.530862186126118,0.5032892406896353,-76.18543126151171,374430.39062664367,0.7142857142857143,-4.141866641876242e-07,0.2923534584845752,28.361333333333334,29.47533333333335,27.24733333333333
7/31/2007,39.96,13771605,3876.3049,2.8012,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,7646.8551,830.8153,0.9884,16.4406,17.6864,3.4441,4.8377,468.2568,470.4346,113.875,0.7835,0.1575,0.116,2.2926,29.0344,40.0,39.96,40.67,39.67,312375.0,-34.17085427135677,2.3000000000000043,0.7214327838937461,78.64258611430535,0.4359581908829252,-2.2354234225376075,35.554252430905855,0.4937577677921406,-0.7180532762864836,-142295.09346037242,0.5714285714285714,5.1540647087768086e-08,0.3298656208011583,38.02516666666666,39.88466666666668,36.16566666666667
8/31/2007,39.75,6527835,3876.3049,2.7868,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,7611.5538,830.8153,0.9884,16.3555,17.6864,3.462,4.8629,468.2568,470.4346,113.875,0.7835,0.1583,0.116,2.2807,28.8818,39.66,39.75,40.0,39.0,126315.0,-26.04166666666668,0.9500000000000028,0.5637742049378089,48.30706532918565,0.2036312793810149,-0.4568259135346153,2.6309581496375842,0.09151538076913568,-0.4726380497189366,28031.717751905177,0.5,7.298544191303146e-07,0.013614180284583369,38.954000000000015,40.81500000000001,37.093000000000025
9/28/2007,45.3,12153708,3876.3049,3.1756,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,8559.0619,830.8153,0.9884,18.6376,17.6864,3.0381,4.2675,468.2568,470.4346,113.875,0.7835,0.1389,0.116,2.5989,32.9143,49.5,45.3,49.5,44.7,157536.0,-47.02750665483586,-1.0600000000000025,0.5713506781182621,19.209004124402984,0.1683557471362449,-1.594458121803136,21.02857957570201,0.2300635003995561,-0.7025781993384591,10708.29917277504,0.42857142857142855,-1.7461496511114112e-06,0.27238478205665306,45.83183333333334,48.58533333333334,43.07833333333335
10/31/2007,52.47,15044679,3876.3049,3.678,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,9783.2289,830.8153,0.9884,21.5861,17.6864,2.6231,3.6845,468.2568,470.4346,113.875,0.7835,0.1199,0.116,3.0101,38.124,52.17,52.47,54.33,50.5,534288.0,-63.4920634920635,-0.8299999999999983,0.4752199995301342,3.8750165374309415,0.2646193786354503,-1.7923013718962435,19.59186843730879,0.19165381988683888,-1.0685910758368602,-46789.67916527618,0.5,-1.0267896396989312e-07,0.2426681013550513,52.2526666666667,56.59566666666666,47.90966666666669
11/30/2007,57.47,6887796,3876.3049,4.0285,7.8958,7.8958,10.472,44.1126,33.7014,1.6012,8.4722,1.3763,14.2651,0.2333,1.3263,91.5278,10637.2988,830.8153,0.9884,23.6433,17.6864,2.3949,3.364,468.2568,470.4346,113.875,0.7835,0.1095,0.116,3.2969,41.7569,57.75,57.47,59.33,56.75,166131.0,-55.55555555555557,6.490000000000002,0.6165015987521207,49.15675926874473,0.31239019967502263,-1.708903684566522,12.276391801277336,0.1949306073540512,-0.4960224368240104,-15859.073485361529,0.5714285714285714,2.106412683292968e-06,0.1658539200395502,55.45850000000003,59.63099999999999,51.286000000000016
