Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,33.67,16980200,11154.4348,2.0361,3.3875,3.3875,4.9422,128.7859,96.5031,1.0462,19.3951,2.3199,16.5369,0.45,1.4589,80.6049,21741.9219,2383.3,2.5671,5.4162,13.7981,6.8901,12.8087,1224.7909,889.4,383.4,0.3932,0.5226,0.2119,0.4917,14.5136,34.95,33.67,34.97,33.5,434190.0,-89.06976744186049,-0.07000000000000027,0.457706995967745,-59.57250558162664,0.2853154075664409,-0.09796970450879884,0.3219108317893085,0.030908776580110695,0.10127371289104273,-71453.83827444451,0.5,-1.6890778770128607e-07,0.01394950815746717,34.80566666666667,36.13016666666668,33.48116666666668
2/28/2007,30.56,5696960,11154.4348,1.848,3.3875,3.3875,4.9422,128.7859,96.5031,1.0462,19.3951,2.3199,16.5369,0.45,1.4589,80.6049,20298.8042,2383.3,2.5671,4.9159,13.7981,7.5913,14.1122,1224.7909,889.4,383.4,0.3932,0.5758,0.2119,0.4462,13.173,30.5,30.56,31.18,28.93,170320.0,-70.47101449275365,-4.080000000000002,0.1708402737826009,-140.54479875742774,0.4021654548510795,0.8890385974029371,-8.482887021844071,-0.2618341756797259,0.1859886070822635,79230.9128239461,0.2857142857142857,-3.5067909581699517e-06,-0.14527584556200646,32.88050000000002,34.278499999999994,31.482499999999995
3/30/2007,27.99,11589560,12985.7332,1.3891,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,20619.8197,4055.61,1.8824,2.8833,19.6685,10.0111,24.657,1719.0043,1170.64,464.09,0.4370000000000001,0.7247,0.1424,0.272,9.9907,27.39,27.99,28.29,26.7,798220.0,-34.57446808510642,0.4399999999999977,0.5810555560349672,34.75271748062445,0.3206360010407843,1.0658321749640756,-17.093569446994692,-0.33908596632747445,-10.534940454230783,291023.1285591845,0.42857142857142855,-1.1500549650829248e-06,-0.16780579896521522,27.33033333333336,28.735833333333336,25.92483333333333
4/30/2007,31.59,13398930,12985.7332,1.5681,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,22292.6298,4055.61,1.8824,3.2547,19.6685,8.8686,21.8431,1719.0043,1170.64,464.09,0.4370000000000001,0.642,0.1424,0.307,11.2757,29.11,31.59,31.98,29.11,1243130.0,-25.948406676782977,4.079999999999998,0.4717536679950493,58.51651314215996,0.3599208094892629,-0.9881172904668212,11.743684464213224,0.33929611857427244,75.3928903178347,265659.61124921683,0.42857142857142855,-4.947161710475271e-07,0.2243257282703729,29.189666666666678,30.65866666666665,27.720666666666652
5/31/2007,35.9,30568480,12985.7332,1.7818,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,24290.2574,4055.61,1.8824,3.6982,19.6685,7.805,19.2234,1719.0043,1170.64,464.09,0.4370000000000001,0.565,0.1424,0.3489,12.8141,36.5,35.9,36.5,35.62,759090.0,-50.0,3.0399999999999987,0.4121884286360424,53.5155470214423,0.2635423546345196,-1.3154997387818668,24.19738494001132,0.3913255554864821,-1.296449679019511,-157132.4621897706,0.6428571428571429,5.631889084026086e-07,0.2508832380494474,34.6496666666667,36.19766666666665,33.10166666666666
6/29/2007,31.93,27378430,12985.7332,1.5847,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,22448.0782,4055.61,1.8824,3.2892,19.6685,8.7756,21.6139,1719.0043,1170.64,464.09,0.4370000000000001,0.6352,0.1424,0.3103,11.3971,32.66,31.93,32.69,31.46,1017280.0,-73.14049586776858,-2.0700000000000003,0.6529693633447514,-49.582193051359816,0.2461730333584522,0.643832395916462,-8.305886529136702,-0.2379046582687303,0.8814985558662131,47149.63763759238,0.42857142857142855,-5.022330289536156e-07,-0.16634032705872698,33.223000000000006,34.63199999999999,31.814
7/31/2007,37.92,28084320,12985.7332,1.8823,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,25229.9081,4055.61,1.8824,3.9069,19.6685,7.3882,18.1969,1719.0043,1170.64,464.09,0.4370000000000001,0.5348,0.1424,0.3686,13.5351,37.93,37.92,38.27,37.4,654100.0,-50.526315789473635,2.520000000000003,0.5310219262592918,25.819154600771192,0.4322988843101786,-1.1904119778840467,16.07374159343904,0.25381792918351553,-0.8830767170093095,94662.39631897387,0.6428571428571429,3.751775028345406e-07,0.2453727236294674,37.224333333333355,39.07883333333333,35.36983333333332
8/31/2007,40.55,24555594,12985.7332,2.0129,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,26450.2861,4055.61,1.8824,4.1778,19.6685,6.909,17.0166,1719.0043,1170.64,464.09,0.4370000000000001,0.5001,0.1424,0.3941,14.4739,39.3,40.55,40.9,38.0,2017443.0,-42.78846153846157,1.4199999999999946,0.5649486081264783,61.96216191410078,0.14483766593087893,-0.590468473168066,6.646428813082799,0.09584157974177998,-1.6934195982492786,527555.2534345433,0.5,-9.0883752856521e-07,0.06227911235364824,38.80050000000002,41.194,36.406999999999975
9/28/2007,39.2,24032573,12985.7332,1.9458,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,25823.8598,4055.61,1.8824,4.0388,19.6685,7.1469,17.6027,1719.0043,1170.64,464.09,0.4370000000000001,0.5173,0.1424,0.381,13.992,43.0,39.2,43.0,38.75,583325.0,-67.85714285714279,-1.0999999999999943,0.7370486105163098,36.764114082840244,0.22899914027652865,0.060020813427257735,1.320624173094211,-0.011282637855834964,2.048647207666547,87871.35241196968,0.5,8.26587187259748e-07,-0.006040672422155737,39.77416666666669,41.731666666666655,37.81666666666664
10/31/2007,38.95,31315790,12985.7332,1.9334,2.7229,2.7229,4.9595,100.666,81.6651,1.1331,17.8373,2.8016,20.1455,0.45,1.8214,82.1627,25707.8535,4055.61,1.8824,4.013,19.6685,7.1928,17.7157,1719.0043,1170.64,464.09,0.4370000000000001,0.5207,0.1424,0.3786,13.9028,39.0,38.95,40.9,38.75,1736994.0,-24.519230769230752,1.5,0.6428475447366313,83.92100698495325,0.2324217753795455,-0.035163238730362416,-5.8517270186693775,0.002408992994570861,1.5244514850090012,-529463.138452103,0.5,-1.149226898307071e-06,-0.04114082812027288,37.51833333333336,39.59083333333334,35.44583333333328
