Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,283.7,5765339,10443.4687,3.381,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,12023.794,1087.385,0.7523,10.3053,9.6558,5.074,7.7527,566.4592,568.578,394.987,0.7715,0.0965,0.0844,1.5396,19.7085,293.9,283.7,297.8,281.35,66565.0,-95.8517210944396,-28.350000000000023,0.4092200606882815,-88.45576866692288,0.2593644605449954,-4.34147771822802,12.389226538428064,0.11450853135974087,-0.43326444447829054,2959.3950634326466,0.5,-0.0003462784126838689,0.2117245254536316,305.7058333333333,323.18333333333334,288.2283333333335
2/28/2007,241.75,1395854,10443.4687,2.8811,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,10366.8235,1087.385,0.7523,8.7815,9.6558,5.9544,9.098,566.4592,568.578,394.987,0.7715,0.1133,0.0844,1.3119,16.7943,245.0,241.75,255.5,240.9,72983.0,-88.2476390346275,-31.75,0.4918393345627673,-83.56355773382083,0.22496264912249966,9.423355832891787,-14.557166505124853,-0.15654862306414216,0.9713909557772388,-22711.50516019172,0.42857142857142855,-0.0005741716305356732,-0.2310788023102825,265.55333333333334,280.5908333333333,250.51583333333355
3/30/2007,213.3,1129857,10443.4687,2.542,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,9243.0855,1087.385,0.7523,7.747999999999997,9.6558,6.7486,10.3114,566.4592,568.578,394.987,0.7715,0.1284,0.0844,1.1575,14.8179,199.05,213.3,217.0,199.05,128772.0,-61.43437077131257,3.050000000000012,0.28239544780584663,-83.05819494713555,0.318340833237045,10.3167432721786,-17.888899934072928,-0.21550028268278595,0.2707281897839038,28368.323441173965,0.5,-0.0003811163661441459,-0.1993920482796241,221.58666666666664,233.54166666666669,209.63166666666683
4/30/2007,235.6,1141074,10443.4687,2.8078,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,10123.9065,1087.385,0.7523,8.5581,9.6558,6.1099,9.3354,566.4592,568.578,394.987,0.7715,0.1162,0.0844,1.2786,16.367,249.5,235.6,249.5,232.2,25568.0,-88.8341543513957,-10.25,0.3930551859477821,-2.763611016800557,0.2716806213436146,-3.626816456665807,12.436931865294149,0.08977802079354323,-0.6456526311093549,-11165.849176892683,0.5,-0.0006302277956182631,0.2272661693664125,239.77666666666656,250.18666666666672,229.36666666666687
5/31/2007,262.65,1364946,10443.4687,3.1302,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,11192.3463,1087.385,0.7523,9.5406,9.6558,5.4806,8.374,566.4592,568.578,394.987,0.7715,0.1042,0.0844,1.4254,18.2462,275.0,262.65,281.85,261.7,49989.0,-53.68217054263569,38.349999999999966,0.5778563390088975,44.25493697906353,0.3651991491647718,-9.884266065036966,16.527206375840855,0.2048112207025267,-1.90088360153986,-24412.83496354007,0.5714285714285714,0.00031960505414547515,0.2401926072179425,253.76,269.16,238.36000000000013
6/29/2007,291.9,2012797,10443.4687,3.4788,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,12347.6833,1087.385,0.7523,10.6031,9.6558,4.9314,7.5349,566.4592,568.578,394.987,0.7715,0.0938,0.0844,1.5841,20.2782,289.0,291.9,297.9,285.0,199194.0,-15.28525296017228,11.899999999999974,0.8121485224176245,111.5150320279618,0.4038160084927133,-3.7651190239548655,7.442498585042598,0.06867532244735218,-1.5335729633935846,19954.547869968646,0.5,0.00030648798699644934,0.016255510809682596,276.3841666666666,292.4341666666668,260.33416666666693
7/31/2007,250.8,1136556,10443.4687,2.9889,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,10724.2868,1087.385,0.7523,9.1102,9.6558,5.7396,8.7697,566.4592,568.578,394.987,0.7715,0.1092,0.0844,1.361,17.423,249.8,250.8,254.0,242.15,29519.0,-65.49295774647884,-29.349999999999966,0.3635830642570376,-66.59541972222853,0.40503347290544656,7.91351287416623,-9.438034700692242,-0.1970103112086176,-1.5155266697901022,13505.614859706433,0.35714285714285715,-0.0006137191801458135,-0.16284685735890386,265.04999999999984,276.8950000000001,253.20500000000013
8/31/2007,244.05,416994,10443.4687,2.9085,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,10457.6705,1087.385,0.7523,8.865,9.6558,5.8983,9.0122,566.4592,568.578,394.987,0.7715,0.1122,0.0844,1.3244,16.954,246.0,244.05,246.0,242.5,12265.0,-20.62499999999995,-0.14999999999997726,0.3255931963310995,47.143588530393046,0.3774192833370967,2.687539296682189,-8.14100516693077,-0.07982548531317203,-0.8334267040149501,-1751.5518615617816,0.5714285714285714,0.0005255169107938215,-0.043257572624158976,240.895,251.03750000000008,230.75250000000042
9/28/2007,290.2,2343732,10443.4687,3.4585,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,12280.623,1087.385,0.7523,10.5414,9.6558,4.9603,7.579,566.4592,568.578,394.987,0.7715,0.0943,0.0844,1.5749,20.1601,291.0,290.2,300.0,288.0,43884.0,-73.47368421052633,22.550000000000008,0.4592824339841055,-6.544589245264401,0.33772313484746685,-11.945580949218707,30.10891705902771,0.20762439836418145,1.3465926680588298,-21305.72060091117,0.42857142857142855,-0.0007533614654513887,0.3986437637398075,295.59,316.1525000000001,275.02750000000026
10/31/2007,314.5,1668521,10443.4687,3.7481,7.8118,7.8118,9.0762,32.6288,24.6813,1.5429,16.6726,14.3948,83.9091,2.4,1.1619,83.3274,13240.4487,1087.385,0.7523,11.4241,9.6558,4.5771,6.9934,566.4592,568.578,394.987,0.7715,0.0871,0.0844,1.7067,21.8482,320.0,314.5,323.75,310.0,59870.0,-36.5019011406844,20.69999999999999,0.6664941005468381,63.27775839280877,0.2815695121663016,-7.295856907701534,9.081490836457336,0.13036546635868554,-0.5462487421503827,475.6966494305872,0.5714285714285714,-0.0008855982956971992,0.11381749532761674,305.2533333333332,323.6333333333335,286.8733333333336
