Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,41.36,9405083,42435.4509,5.5751,10.5445,10.5445,10.5187,66.0663,59.8056,1.4613,24.7375,1.6177,7.4185,0.4,0.9975,75.2625,46277.8705,2681,1.5606,14.5334,5.75,3.9113,4.8814,1652.5826,1524,314,0.5466,0.1098,0.0986,2.6959,25.5672,42.34,41.36,42.4,41.17,105540.0,-87.07317073170731,-1.990000000000002,0.3925127576471465,-132.41793468268273,0.2422821916659705,0.058023504578670775,1.1943667326600218,-0.0017391617144679214,-0.4555999454999154,-59204.87926719492,0.42857142857142855,-3.8604305125943605e-06,-0.0013458451591807279,43.19833333333334,44.84733333333333,41.549333333333344
2/28/2007,38.93,6281618,42435.4509,5.2481,10.5445,10.5445,10.5187,66.0663,59.8056,1.4613,24.7375,1.6177,7.4185,0.4,0.9975,75.2625,43809.5613,2681,1.5606,13.6811,5.75,4.155,5.1855,1652.5826,1524,314,0.5466,0.1167,0.0986,2.5378,24.065,37.65,38.93,40.61,34.69,166740.0,-55.08474576271186,-2.450000000000003,0.34304863132422403,-188.26445155860503,0.31712980259110085,0.4617094954262768,-5.243780017619679,-0.08962660393189317,-1.4672507638128658,-11868.087977083142,0.35714285714285715,-8.679837542451814e-06,-0.06353169571066097,40.92349999999999,43.09049999999999,38.7565
3/30/2007,41.56,3418463,42294.1355,4.5241,13.0944,13.0944,13.1908,51.3925,40.1387,1.4506,21.6424,2.4817,9.1869,0.5333,1.0074,78.3576,45967.1331,3516,1.0043,11.1365,7.6489,5.971,6.8776,2390.2269,2338,628,0.5546,0.1069,0.1455,2.193,16.7466,40.74,41.56,41.97,40.39,172463.0,-4.981773997569826,3.280000000000001,0.3765987709289284,121.40212316349673,0.2758528895003161,-0.1942007932326036,-0.6703382313934008,0.04096210863658637,-4.4035055542190165,30926.62694180083,0.5,-1.7240635540894927e-06,0.03675085788314166,39.178166666666655,41.38366666666665,36.97266666666669
4/30/2007,39.91,10116735,42294.1355,4.3447,13.0944,13.0944,13.1908,51.3925,40.1387,1.4506,21.6424,2.4817,9.1869,0.5333,1.0074,78.3576,44290.1902,3516,1.0043,10.6949,7.6489,6.2175,7.1616,2390.2269,2338,628,0.5546,0.1113,0.1455,2.106,16.0817,39.62,39.91,40.24,38.88,186570.0,-77.46170678336995,-3.25,0.3608473408476165,-100.57509176069077,0.17910949260745787,0.28512385053974754,2.2809013878901827,-0.07852218442354301,4.8599358384389655,197792.8078185401,0.35714285714285715,-1.7026167210131783e-06,-0.018800656331743174,41.3575,42.841499999999975,39.87350000000001
5/31/2007,41.3,6142095,42294.1355,4.4959,13.0944,13.0944,13.1908,51.3925,40.1387,1.4506,21.6424,2.4817,9.1869,0.5333,1.0074,78.3576,45703.3443,3516,1.0043,11.067,7.6489,6.0085,6.9208,2390.2269,2338,628,0.5546,0.1076,0.1455,2.1793,16.6418,39.64,41.3,41.72,38.27,580988.0,-15.363128491620238,1.509999999999998,0.2875006406181129,20.626228316755206,0.17336998439230678,-0.11384186709369715,-0.8199619420253002,0.03318943041203752,-8.2339847265803,97999.95185668881,0.5,-4.3503807304583386e-07,0.018831908715202253,40.25400000000001,41.62699999999997,38.88100000000002
6/29/2007,46.52,24516563,42294.1355,5.0636,13.0944,13.0944,13.1908,51.3925,40.1387,1.4506,21.6424,2.4817,9.1869,0.5333,1.0074,78.3576,51010.5232,3516,1.0043,12.4645,7.6489,5.3348,6.1449,2390.2269,2338,628,0.5546,0.0955,0.1455,2.4545,18.7452,46.23,46.52,47.03,45.8,802005.0,-44.512820512820475,4.8700000000000045,0.6664622102527911,50.87943915953686,0.41373951353829397,-1.6182416084788684,15.930237344170909,0.3310824027452903,0.2561208488797722,-37795.21745374016,0.6428571428571429,-1.3545111630863518e-07,0.2218448514273463,44.29966666666668,46.23416666666665,42.36516666666669
7/31/2007,43.34,11016638,42294.1355,4.7176,13.0944,13.0944,13.1908,51.3925,40.1387,1.4506,21.6424,2.4817,9.1869,0.5333,1.0074,78.3576,47775.9704,3516,1.0043,11.6128,7.6489,5.7261,6.5955,2390.2269,2338,628,0.5546,0.1025,0.1455,2.2868,17.4638,44.12,43.34,44.12,42.73,615885.0,-64.02321083172136,-1.759999999999998,0.3034571805029296,-33.436788981791956,0.3766308199415029,0.24532842406066635,-1.7431657984864368,-0.05824319132288175,-6.730034121325966,22135.88802796066,0.5,-8.017792325445053e-07,-0.0674595921988221,43.9005,45.777,42.02400000000001
8/31/2007,37.81,8531610,42294.1355,4.1156,13.0944,13.0944,13.1908,51.3925,40.1387,1.4506,21.6424,2.4817,9.1869,0.5333,1.0074,78.3576,42148.4766,3516,1.0043,10.131,7.6489,6.5636,7.5602,2390.2269,2338,628,0.5546,0.1175,0.1455,1.995,15.2355,38.14,37.81,38.39,37.31,325523.0,-80.45649072753204,-4.030000000000001,0.37716581780009467,-60.390574130180205,0.4402525164430744,1.6688406796896589,-15.377848977551348,-0.3851927324188163,-1.7641721159084949,48714.37723344184,0.35714285714285715,-4.2870279668151165e-06,-0.2291239294980329,40.31366666666669,42.077666666666666,38.54966666666667
9/28/2007,38.38,17210543,42294.1355,4.1781,13.0944,13.0944,13.1908,51.3925,40.1387,1.4506,21.6424,2.4817,9.1869,0.5333,1.0074,78.3576,42732.6728,3516,1.0043,10.2848,7.6489,6.4655,7.4472,2390.2269,2338,628,0.5546,0.1157,0.1455,2.0253,15.4652,37.64,38.38,39.01,37.03,765705.0,-43.816254416960966,-0.2999999999999972,0.5962941394629777,-19.27388441448653,0.2363790889244971,0.632840578184485,-7.139898229495798,-0.1923036320708468,-3.1020335347810977,204519.83772948274,0.35714285714285715,-3.705440130609024e-07,-0.048587714042757066,38.363,39.678000000000026,37.048
10/31/2007,39.11,14573708,42294.1355,4.2574,13.0944,13.0944,13.1908,51.3925,40.1387,1.4506,21.6424,2.4817,9.1869,0.5333,1.0074,78.3576,43473.7954,3516,1.0043,10.48,7.6489,6.3451,7.3085,2390.2269,2338,628,0.5546,0.1136,0.1455,2.0637,15.7594,37.65,39.11,41.35,37.03,1116150.0,-44.89990467111535,0.4200000000000017,0.7576990789768765,137.48439916053118,0.3741274413096605,0.10966170930911544,-2.0531373547871508,-0.03258231421117536,-0.8025203105094809,-38933.07165704359,0.5,-1.5062456359600269e-06,-0.015449137528502653,37.537500000000016,39.531500000000015,35.54350000000002
11/30/2007,35.56,6416190,42294.1355,3.8704,13.0944,13.0944,13.1908,51.3925,40.1387,1.4506,21.6424,2.4817,9.1869,0.5333,1.0074,78.3576,39856.1122,3516,1.0043,9.5274,7.6489,6.9795,8.0392,2390.2269,2338,628,0.5546,0.1249,0.1455,1.8761,14.3289,35.43,35.56,35.98,35.3,111878.0,-92.73255813953487,0.4299999999999997,0.8136564194380445,-70.37876409384016,0.5437052448501946,0.4881366444507336,-4.846511024840867,-0.1463305975291018,-1.3565983126019752,37293.677528518616,0.5,5.243904096512185e-06,-0.07683322723656291,36.419000000000025,37.976000000000006,34.86200000000001
12/31/2007,38.83,26590800,42294.1355,4.2271,13.0944,13.0944,13.1908,51.3925,40.1387,1.4506,21.6424,2.4817,9.1869,0.5333,1.0074,78.3576,43191.1639,3516,1.0043,10.4055,7.6489,6.3904,7.3608,2390.2269,2338,628,0.5546,0.1144,0.1455,2.0491,15.6465,38.88,38.83,39.62,38.52,599235.0,-54.29864253393665,3.0899999999999963,0.6265400399615427,35.84753416648526,0.4260902598875052,-0.6418519091828685,8.501205710499079,0.1595614575063453,-0.9606232574765441,-23184.071936826567,0.5,-5.297484944882225e-07,0.1492529506222578,37.97983333333336,39.57533333333333,36.38433333333335
1/31/2008,30.43,9078915,42294.1355,3.3121,13.0944,13.0944,13.1908,51.3925,40.1387,1.4506,21.6424,2.4817,9.1869,0.5333,1.0074,78.3576,34636.8506,3516,1.0043,8.1531,7.6489,8.1559,9.3943,2390.2269,2338,628,0.5546,0.146,0.1455,1.6055,12.2618,31.98,30.43,32.09,29.92,151688.0,-53.553719008264466,-5.969999999999999,0.10792031052714347,-80.6617351809563,0.6398344414913625,1.6363445730566684,-15.761362066183182,-0.3423563243994925,-0.5227156764437079,-27367.68457112853,0.2857142857142857,-9.146678515621105e-06,-0.2638177450447945,34.359166666666695,37.37266666666668,31.34566666666668
2/29/2008,32.2,5231325,42294.1355,3.5049,13.0944,13.0944,13.1908,51.3925,40.1387,1.4506,21.6424,2.4817,9.1869,0.5333,1.0074,78.3576,36439.4115,3516,1.0043,8.6277,7.6489,7.7072,8.8775,2390.2269,2338,628,0.5546,0.138,0.1455,1.699,12.975,31.83,32.2,32.96,31.11,342593.0,-22.82282282282275,1.0700000000000038,0.66769412610067,79.40931168126964,0.2621400378431094,0.5074323567351335,-9.182394706467234,-0.12020360616670855,-1.36633934792766,7924.422930830275,0.6428571428571429,1.4913756328859506e-07,-0.0604837477243436,31.332166666666712,33.007166666666684,29.65716666666667
3/31/2008,31.29,3286755,31836.7943,2.7749,11.368,11.368,11.3498,76.1834,67.622,1.3881,21.9332,2.7343,11.2748,0.6,0.9984,78.0668,39344.8679,4428,1.6518,6.6564,11.2543,8.7397,11.7356,2806.7257,2576,628,0.5542,0.2588,0.1145,1.3007,11.4435,31.48,31.29,31.85,30.52,76950.0,-16.161616161616234,2.390000000000001,0.2217580313116933,55.99277973209507,0.4004959424245469,0.1290462961462353,-3.187747623319385,-0.02790991195555977,-0.4328762374670321,4108.317930997153,0.5714285714285714,2.440963053020756e-06,-0.029635051562025505,30.394666666666694,32.53166666666668,28.257666666666665
4/30/2008,35.59,3630375,31836.7943,3.1564,11.368,11.368,11.3498,76.1834,67.622,1.3881,21.9332,2.7343,11.2748,0.6,0.9984,78.0668,43722.5157,4428,1.6518,7.5717,11.2543,7.6833,10.3169,2806.7257,2576,628,0.5542,0.2275,0.1145,1.4796,13.0161,35.06,35.59,40.23,33.95,611085.0,-48.893572181243364,4.1200000000000045,0.8219591552296773,142.03857988923758,0.33472890043619985,-0.8772513213099771,12.644705902752184,0.22589986858108466,-2.586911119078157,-101137.688008856,0.5,-7.123504088178739e-07,0.18953800787296068,33.18050000000003,35.104500000000016,31.25650000000001
5/30/2008,36.66,4673760,31836.7943,3.2517,11.368,11.368,11.3498,76.1834,67.622,1.3881,21.9332,2.7343,11.2748,0.6,0.9984,78.0668,44815.3575,4428,1.6518,7.8002,11.2543,7.4582,10.0147,2806.7257,2576,628,0.5542,0.2209,0.1145,1.5242,13.4075,36.91,36.66,37.03,36.07,89123.0,-68.84210526315796,-0.990000000000002,0.3958606118119963,-61.44317387114889,0.28931561140162826,-0.6218131607839794,14.39645609833625,0.20070686691647954,-0.8916813353711035,-8340.14580652505,0.5,-5.5258215955728105e-06,0.11813388715163005,37.417000000000044,39.076000000000036,35.758
6/30/2008,37.07,5724345,31836.7943,3.2878,11.368,11.368,11.3498,76.1834,67.622,1.3881,21.9332,2.7343,11.2748,0.6,0.9984,78.0668,45229.8837,4428,1.6518,7.8868,11.2543,7.3763,9.9047,2806.7257,2576,628,0.5542,0.2184,0.1145,1.5412,13.5574,38.27,37.07,39.5,32.75,113153.0,-47.50911300121504,-1.1199999999999974,0.2011207747269747,-63.91863944214289,0.29641554737373765,-0.5552796990672562,7.171358081134723,0.15153188879273782,0.6147499983929698,-6778.604750759198,0.5714285714285714,-1.2133397771774075e-05,0.1094609307263361,38.02950000000004,40.19750000000001,35.8615
7/31/2008,38.33,2364945,31836.7943,3.4,11.368,11.368,11.3498,76.1834,67.622,1.3881,21.9332,2.7343,11.2748,0.6,0.9984,78.0668,46517.4272,4428,1.6518,8.156,11.2543,7.1328,9.5778,2806.7257,2576,628,0.5542,0.2112,0.1145,1.5938,14.0182,38.02,38.33,38.88,37.65,238133.0,-28.040540540540594,-0.4299999999999997,0.3726320505040526,29.4648317291618,0.26849841122031753,0.13798668275213544,-1.4053456887439142,-0.03666929739168274,2.036759802879564,2050.4459537906914,0.42857142857142855,-6.706260714145162e-06,-0.041909583916200366,37.9141666666667,39.82916666666669,35.99916666666665
8/29/2008,39.91,3335903,31836.7943,3.5401,11.368,11.368,11.3498,76.1834,67.622,1.3881,21.9332,2.7343,11.2748,0.6,0.9984,78.0668,48125.2864,4428,1.6518,8.4922,11.2543,6.8504,9.1986,2806.7257,2576,628,0.5542,0.2029,0.1145,1.6595,14.5961,40.46,39.91,40.98,39.5,312165.0,-52.61261261261268,-1.6000000000000014,0.4275757916488126,1.838827975395948,0.2650960601407991,-0.22139426174516785,5.209522576525205,0.05400521951131655,-0.4374053826745032,-39866.68413475358,0.42857142857142855,-2.252201983702804e-05,0.058579446816009816,40.104666666666716,41.76466666666669,38.44466666666668
9/30/2008,38.32,9101550,31836.7943,3.3989,11.368,11.368,11.3498,76.1834,67.622,1.3881,21.9332,2.7343,11.2748,0.6,0.9984,78.0668,46504.8658,4428,1.6518,8.1534,11.2543,7.1351,9.5809,2806.7257,2576,628,0.5542,0.2113,0.1145,1.5933,14.0146,37.16,38.32,39.25,35.92,64860.0,-57.19339622641508,-4.609999999999999,0.1993781409163676,-135.37868241882157,0.3452496066448119,0.1058739175865,0.554216982734728,-0.015982702530423123,-1.8461839530332704,-70945.73564570578,0.2857142857142857,-2.0309614795960738e-05,-0.02283289994376372,40.539666666666704,42.786666666666704,38.292666666666676
10/31/2008,32.13,2236448,31836.7943,2.8493,11.368,11.368,11.3498,76.1834,67.622,1.3881,21.9332,2.7343,11.2748,0.6,0.9984,78.0668,40199.0431,4428,1.6518,6.835,11.2543,8.5114,11.4289,2806.7257,2576,628,0.5542,0.2521,0.1145,1.3356,11.7507,31.23,32.13,32.44,30.86,45705.0,-59.280089988751385,-3.219999999999999,0.1717688702358892,-63.6153271154956,0.5285194682659707,1.9723790523412392,-21.25798864598564,-0.3000657013381292,-1.6823947022715702,3206.914828142494,0.35714285714285715,-7.212693138438137e-07,-0.31094605493952504,34.585166666666716,37.53116666666669,31.639166666666675
11/28/2008,28.26,971498,31836.7943,2.5061,11.368,11.368,11.3498,76.1834,67.622,1.3881,21.9332,2.7343,11.2748,0.6,0.9984,78.0668,36261.0442,4428,1.6518,6.0116,11.2543,9.6771,12.9942,2806.7257,2576,628,0.5542,0.2866,0.1145,1.1747,10.3354,28.27,28.26,28.8,27.53,13763.0,-84.63687150837988,-4.09,0.1742444026074041,-117.00614557597387,0.4653906515071832,1.671153128315602,-16.80488100130944,-0.3167566447359783,-1.1459805062960622,-5446.097358979867,0.35714285714285715,-1.013794186056459e-05,-0.1816156448258878,31.20083333333336,33.21933333333335,29.182333333333343
12/31/2008,35.59,5113905,31836.7943,3.1563,11.368,11.368,11.3498,76.1834,67.622,1.3881,21.9332,2.7343,11.2748,0.6,0.9984,78.0668,41034.3762,4428,1.6518,7.5714,11.2543,7.6835,10.3173,2806.7257,2576,628,0.5542,0.2458,0.1145,1.4795,13.0161,34.4,35.59,36.47,33.87,455003.0,-12.865497076023324,4.140000000000004,0.8393720236707045,126.77575567333649,0.5175121500495196,-0.8158685337346085,6.7191152260676965,0.16396271677981025,1.057778394557152,47589.81451142329,0.7142857142857143,6.438122101287682e-07,0.1937656924399264,31.793000000000035,33.57650000000001,30.00950000000002
1/30/2009,33.14,9762968,31836.7943,2.9393,11.368,11.368,11.3498,76.1834,67.622,1.3881,21.9332,2.7343,11.2748,0.6,0.9984,78.0668,38729.3593,4428,1.6518,7.0509,11.2543,8.2508,11.079,2806.7257,2576,628,0.5542,0.2639,0.1145,1.3778,12.1201,33.47,33.14,34.53,32.48,217410.0,-58.097165991902806,-3.25,0.5922692937227408,-48.862084284026395,0.22249595913089207,0.1639235879920733,5.1072106287511625,-0.03521768642828611,2.751920336808446,-62244.46663382131,0.42857142857142855,-2.514494311592509e-06,-0.046239127024758436,34.613833333333346,36.72133333333336,32.50633333333336
2/27/2009,34.15,1174200,31836.7943,3.0292,11.368,11.368,11.3498,76.1834,67.622,1.3881,21.9332,2.7343,11.2748,0.6,0.9984,78.0668,39684.0257,4428,1.6518,7.2665,11.2543,8.006,10.7503,2806.7257,2576,628,0.5542,0.2561,0.1145,1.4199,12.4895,34.67,34.15,35.27,33.67,21188.0,-68.78612716763011,-0.5900000000000034,0.3621484702251389,-46.72915159298894,0.3020863924102463,-0.16119440069591914,2.3372192544618082,0.05448308711947147,-0.781239106365345,-1192.3420026281929,0.35714285714285715,-1.4702176850955754e-06,0.061730574776992266,34.83550000000002,36.07800000000001,33.593
3/31/2009,36.22,7306478,37079.9569,3.0019,10.3025,10.3025,10.0029,100.7472,80.7393,1.4483,20.2654,2.96,12.0655,0.6,0.9709,79.7346,47464.9514,6309,1.6099,5.8773,13.2919,8.1723,13.9995,4256.1147,2949,682,0.6829999999999999,0.3418,0.2335,1.2954,12.2365,37.07,36.22,37.75,36.1,397253.0,-50.68836045056324,4.289999999999999,0.9460038454922955,157.61754589692578,0.5646057875192123,-0.32508445691488674,0.10185094002205307,0.10017032292006924,4.8132580286087965,-215742.4195933662,0.7142857142857143,3.825778130518875e-06,0.02722046142581793,33.86150000000002,35.2715,32.4515
4/29/2009,40.86,4750703,37079.9569,3.3865,10.3025,10.3025,10.0029,100.7472,80.7393,1.4483,20.2654,2.96,12.0655,0.6,0.9709,79.7346,52215.1164,6309,1.6099,6.6302,13.2919,7.2442,12.4097,4256.1147,2949,682,0.6829999999999999,0.303,0.2335,1.4614,13.8041,41.77,40.86,42.27,40.4,226313.0,-41.2384716732543,3.25,0.8630884502153019,62.36710963515584,0.7772534298200187,-1.7684954648043032,21.35194883923645,0.479828323386781,-1.6089639483696885,-50976.69930241528,0.6428571428571429,2.8018046231392246e-06,0.3043804228255958,38.98783333333335,41.09283333333333,36.88283333333333
5/29/2009,44.31,14052893,37079.9569,3.6722,10.3025,10.3025,10.0029,100.7472,80.7393,1.4483,20.2654,2.96,12.0655,0.6,0.9709,79.7346,55743.6153,6309,1.6099,7.1895,13.2919,6.6807,11.4444,4256.1147,2949,682,0.6829999999999999,0.2794,0.2335,1.5846,14.9696,45.33,44.31,45.91,43.6,571530.0,-53.3426183844011,0.6200000000000045,0.5338381286383045,44.86480216751356,0.21235409753709714,-1.2264659975501502,15.55332848598876,0.2010340635595311,-0.4100611202897567,16117.21475480488,0.5,-2.4181211121803457e-06,0.12571808908593415,43.818500000000036,46.77300000000001,40.864000000000026
6/30/2009,50.47,10877460,37079.9569,4.1827,10.3025,10.3025,10.0029,100.7472,80.7393,1.4483,20.2654,2.96,12.0655,0.6,0.9709,79.7346,62049.8688,6309,1.6099,8.1891,13.2919,5.8653,10.0474,4256.1147,2949,682,0.6829999999999999,0.2453,0.2335,1.8049,17.0507,52.67,50.47,53.2,50.17,101183.0,-29.37853107344636,5.6999999999999975,0.7525169151756056,143.67438294349634,0.2969111565583629,-1.8678523398650169,10.437771131888123,0.3188756293753777,-1.1174552585198976,3954.202239337232,0.6428571428571429,7.699793161113078e-07,0.17361016601510074,46.253333333333366,49.05333333333333,43.45333333333335
7/31/2009,61.99,16355273,37079.9569,5.1381,10.3025,10.3025,10.0029,100.7472,80.7393,1.4483,20.2654,2.96,12.0655,0.6,0.9709,79.7346,73850.2068,6309,1.6099,10.0595,13.2919,4.7747,8.1793,4256.1147,2949,682,0.6829999999999999,0.1997,0.2335,2.2172,20.9426,56.67,61.99,63.47,50.01,488055.0,-11.21049493142514,14.760000000000005,0.5722541603502086,111.55212139619492,0.38537251305341497,-3.342294312169315,17.926633305242078,0.4043346239767013,1.303466106641916,43272.59211087931,0.6428571428571429,4.1509769650517676e-07,0.293469410147274,50.95250000000003,54.76299999999999,47.14200000000001
8/31/2009,60.7,13903643,37079.9569,5.0309,10.3025,10.3025,10.0029,100.7472,80.7393,1.4483,20.2654,2.96,12.0655,0.6,0.9709,79.7346,72526.1665,6309,1.6099,9.8496,13.2919,4.8764,8.3536,4256.1147,2949,682,0.6829999999999999,0.204,0.2335,2.1709,20.5068,59.33,60.7,61.01,58.17,574943.0,-24.530831099195684,3.5900000000000034,0.3801423430970111,21.424413175834324,0.12535551167811906,-1.5586437536055726,14.663161960666713,0.20543191710402176,-1.6928092137972055,41446.62770961854,0.5,-1.0167885202481076e-06,0.08257048907275302,59.58050000000005,62.89100000000001,56.27000000000002
9/30/2009,69.56,16209653,37079.9569,5.7652,10.3025,10.3025,10.0029,100.7472,80.7393,1.4483,20.2654,2.96,12.0655,0.6,0.9709,79.7346,81596.5246,6309,1.6099,11.2873,13.2919,4.2553,7.2895,4256.1147,2949,682,0.6829999999999999,0.17800000000000002,0.2335,2.4878,23.5,66.8,69.56,70.53,66.8,337785.0,-20.84048027444248,4.019999999999996,0.5003624244737915,108.16098754519348,0.1821284820618412,-2.206937111605044,11.39428033958678,0.3693004629353525,4.779439970604038,-10354.006655200385,0.5714285714285714,-2.268550376154942e-06,0.17959329385518658,65.13866666666672,69.14166666666671,61.13566666666668
10/30/2009,75.67,6989085,37079.9569,6.2719,10.3025,10.3025,10.0029,100.7472,80.7393,1.4483,20.2654,2.96,12.0655,0.6,0.9709,79.7346,87855.0034,6309,1.6099,12.2793,13.2919,3.9115,6.7007,4256.1147,2949,682,0.6829999999999999,0.1636,0.2335,2.7065,25.5642,73.33,75.67,75.99,73.33,166230.0,-12.453113278319554,7.040000000000006,0.3623869362322693,78.6846887298878,0.2843498509727579,-2.424197637114503,14.73918809303779,0.35807014764072764,-0.5773372692800426,56660.414927333026,0.5714285714285714,-9.25979134927574e-06,0.1806041777062302,71.74433333333337,75.74533333333339,67.74333333333334
