Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,44.93,5121088,12042.234,2.4775,7.8372,7.8372,7.3485,92.7097,87.0887,1.2086,22.6402,3.7544,18.133,0.85,0.9376,77.3598,15425.441,1556.898,2.5769,7.3309,9.6977,8.357000000000001,10.3851,902.0853,953.821,254.056,0.1615,0.3742,0.0323,0.9378,11.9673,45.13,44.93,48.1,44.5,307108.0,-69.93103448275862,-2.2199999999999998,0.4329683811807673,17.08957314830863,0.3733826858301187,-0.7199974662638979,8.539905773031798,0.25607278000936096,-4.292307697123139,-70800.11641678363,0.5714285714285714,-4.961425326666093e-07,0.17856820810227092,45.34316666666668,48.06866666666666,42.617666666666665
2/28/2007,38.88,2929560,12042.234,2.1439,7.8372,7.8372,7.3485,92.7097,87.0887,1.2086,22.6402,3.7544,18.133,0.85,0.9376,77.3598,13888.4046,1556.898,2.5769,6.3436,9.6977,9.6576,12.0013,902.0853,953.821,254.056,0.1615,0.4324,0.0323,0.8115,10.3558,37.7,38.88,42.5,37.7,259396.0,-74.86631016042776,-4.399999999999999,0.569848186006663,-45.370980595643395,0.27807779928318754,1.1877236029288127,-11.255736862426774,-0.22526278171664224,4.065438410993388,-37069.86456601063,0.42857142857142855,-3.722172033752299e-06,-0.1968210565569186,41.21583333333334,43.97383333333333,38.45783333333335
3/30/2007,32.63,3215540,8288.563,1.504,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,12919.196000000002,2075.57,2.231,3.9934,16.0658,14.0818,20.2246,1204.841,1167.182,254.056,0.3713,0.7632,0.1922,0.6057,7.1024,32.5,32.63,33.0,29.63,51238.0,-61.88055908513338,-2.9199999999999946,0.1582333239192034,-81.61248357843915,0.4995574011524387,1.7781241182815537,-21.530272228444467,-0.3255115228465074,-1.4825215997801862,28661.5178532352,0.21428571428571427,-1.1652001729001473e-05,-0.2506845346245662,33.58450000000001,35.792,31.376999999999992
4/30/2007,36.7,4911234,8288.563,1.6918,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,13954.4726,2075.57,2.231,4.4922,16.0658,12.5183,17.979,1204.841,1167.182,254.056,0.3713,0.6785,0.1922,0.6814,7.9883,36.05,36.7,37.0,35.63,43288.0,-42.83054003724392,1.5200000000000031,0.53848076400425,35.485747537771665,0.2460617844409909,-0.4941121216087581,7.613709482114157,0.11499389441449395,-7.0031524187713625,60419.98730052264,0.42857142857142855,-6.983495111501753e-06,0.16861343390363592,35.68433333333334,37.56983333333332,33.79883333333333
5/31/2007,37.13,1401718,8288.563,1.7114,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,14062.4463,2075.57,2.231,4.5442,16.0658,12.3749,17.7731,1204.841,1167.182,254.056,0.3713,0.6707,0.1922,0.6893,8.0819,37.5,37.13,37.93,36.55,21690.0,-52.808988764044855,1.1000000000000014,0.4694558130201951,30.20930860513669,0.17950168289659732,-0.4926960211649814,6.424226039950052,0.1383187250676694,-1.4432583267690526,-9024.688025492951,0.5,-1.596553775634163e-06,0.06628074169230491,36.82016666666667,38.51616666666667,35.12416666666667
6/29/2007,39.38,1938360,8288.563,1.8152,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,14634.0714,2075.57,2.231,4.8196,16.0658,11.6678,16.7575,1204.841,1167.182,254.056,0.3713,0.6324,0.1922,0.7311,8.5717,38.13,39.38,40.15,38.0,301250.0,-14.951456310679538,3.200000000000003,0.8765694320334181,172.76261189329728,0.4058894795632627,-0.2593543098704387,-0.4027913257815671,0.08313255299345401,-14.527716875012706,30010.059157285024,0.5714285714285714,6.03204112890992e-07,-0.007721127356026425,36.77800000000001,38.2095,35.34649999999999
7/31/2007,43.1,4354914,8288.563,1.9869,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,15652.147,2075.57,2.231,5.2756,16.0658,10.6594,15.3092,1204.841,1167.182,254.056,0.3713,0.574,0.1922,0.8002,9.3814,42.0,43.1,43.5,42.0,109088.0,-58.66666666666664,-0.3299999999999983,0.5756399118945402,56.145034061874064,0.3252599586722239,-1.0253986229411751,13.642471387426367,0.2304451443610055,-1.2514172031756994,21806.459306722823,0.7142857142857143,9.322792232412056e-07,0.1417006923300337,42.108833333333344,44.40533333333333,39.812333333333335
8/31/2007,46.6,5166374,8288.563,2.1482,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,16547.1656,2075.57,2.231,5.704,16.0658,9.8588,14.1594,1204.841,1167.182,254.056,0.3713,0.5309,0.1922,0.8652,10.1432,45.0,46.6,47.25,44.03,281582.0,-24.12060301507536,6.32,0.8349227221208163,80.14012942606027,0.5277535606301303,-1.2581456972977847,8.277188935186787,0.16265438761150286,-5.2492320070275715,47378.95928617528,0.6428571428571429,5.654657495837598e-06,0.13678062894219584,43.21450000000002,46.27549999999998,40.15350000000001
9/28/2007,60.48,8527686,8288.563,2.7878,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,20095.2991,2075.57,2.231,7.4023,16.0658,7.5969,10.9108,1204.841,1167.182,254.056,0.3713,0.4091,0.1922,1.1228,13.1644,54.2,60.48,61.95,52.5,1937528.0,-7.7901430842607615,14.629999999999995,0.9274506544675524,221.66480977786168,0.490012701139911,-2.0952646459093174,9.542527703106558,0.2558994056725249,-36.55054438017381,496916.5380735882,0.5,2.286518184954211e-06,0.12629955345204222,47.29383333333333,50.49633333333332,44.09133333333335
10/31/2007,52.93,4459180,8288.563,2.4398,8.5298,8.5298,7.0908,114.7876,84.0241,1.3277,21.9092,4.5942,21.6924,1.0,0.8313,78.0908,18164.6131,2075.57,2.231,6.4782,16.0658,8.6806,12.4672,1204.841,1167.182,254.056,0.3713,0.4674,0.1922,0.9826,11.520999999999999,53.5,52.93,54.38,51.75,111658.0,-21.152263374485603,3.530000000000001,0.6053133954212379,73.03070550297966,0.1758341633900712,-1.0302779009139087,6.1990219753853975,0.07581102054889187,-0.6610203323149398,-13394.200134232295,0.7142857142857143,-5.380726572040256e-06,0.03787692395574942,50.92516666666665,55.42316666666665,46.42716666666667
