Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,84.35,631905,10609.5253,4.6217,16.3249,16.3249,12.6309,9.6074,-15.8772,4.0067,24.8209,2.6859,18.2508,0.6667,0.7737,75.1791,14942.4219,546.899,-0.972,28.2941,5.4267,3.1842,3.1016,470.9571,492.729,122.3,2.4589,0.0208,1.7115,5.1268,31.4047,89.0,84.35,89.32,83.75,32901.0,-63.22930800542748,-3.0,0.5609337630380802,-45.59145541666481,0.12052028713004105,-0.2469950708052835,1.0169613615395203,0.019371223057019327,-3.7917000158838414,-3242.168716650337,0.5,-8.962439530964348e-05,0.0690717029918841,87.23966666666664,92.83966666666667,81.63966666666667
2/28/2007,71.33,358251,10609.5253,3.9085,16.3249,16.3249,12.6309,9.6074,-15.8772,4.0067,24.8209,2.6859,18.2508,0.6667,0.7737,75.1791,12554.5143,546.899,-0.972,23.9278,5.4267,3.7653,3.6675,470.9571,492.729,122.3,2.4589,0.0246,1.7115,4.3356,26.5572,72.33,71.33,73.33,62.37,11913.0,-56.34733364794714,-10.019999999999996,0.11762134460734765,-131.62181234360406,0.5732238255605188,3.353554908627644,-13.20778638589914,-0.3767436272802594,0.19648537360155213,2910.773205752557,0.14285714285714285,-0.0014377874232088025,-0.22264553851630808,78.54166666666661,84.35516666666669,72.72816666666664
3/30/2007,65.13,2239875,11948.71,5.2096,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,11466.7203,671.698,-0.7176,18.0783,5.8578,5.4521,5.1469,553.4164,662.062,124.29,1.7439,0.0318,1.1424,2.3431,18.3403,66.57,65.13,66.67,64.37,21282.0,-73.49665924276171,-4.8700000000000045,0.5807766882304186,-98.24502399432218,0.2615080904722988,2.5303033733493843,-15.135349906947074,-0.31452330038335624,2.2086348278585013,23040.116524900568,0.42857142857142855,-0.00022270709761774136,-0.15327433583289013,68.02983333333327,73.87383333333341,62.18583333333332
4/30/2007,66.87,334851,11948.71,5.3482,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,11784.7003,671.698,-0.7176,18.5594,5.8578,5.3108,5.0135,553.4164,662.062,124.29,1.7439,0.031,1.1424,2.4054,18.8303,66.67,66.87,68.33,65.08,2991.0,-36.363636363636274,0.9399999999999976,0.557023418850334,87.4587271646065,0.1346793247069818,0.4268402095333101,-2.066929256611832,-0.07707999783819228,-1.0461187836081192,3336.848325970727,0.5714285714285714,-3.6240326134537696e-05,0.0013452491481729836,65.46583333333325,68.55483333333339,62.37683333333331
5/31/2007,73.07,568494,11948.71,5.8441,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,12922.0903,671.698,-0.7176,20.2803,5.8578,4.8602,4.5881,553.4164,662.062,124.29,1.7439,0.0283,1.1424,2.6285,20.5761,73.0,73.07,73.98,70.0,14619.0,-31.7929759704252,7.519999999999996,0.5504110086426793,82.29395089131344,0.30263742058560456,-1.7490054592393705,7.9778361448062505,0.2586121911987272,1.175026602654967,8902.005236153327,0.5714285714285714,-0.00020561022781583616,0.13278012028125433,68.47099999999998,73.52800000000009,63.41399999999997
6/29/2007,68.27,2333421,11948.71,5.4602,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,12041.5303,671.698,-0.7176,18.948,5.8578,5.2019,4.9107,553.4164,662.062,124.29,1.7439,0.0303,1.1424,2.4558,19.2245,71.28,68.27,71.67,67.07,297390.0,-85.78754578754581,1.7399999999999949,0.5965418991037965,-51.06570078736894,0.3869088254341339,-0.3435624940234305,2.5714516115960606,0.04655609888526821,-139.6894720152233,-10055.717967375604,0.5,0.00013772620128978068,-0.004267997869404219,70.3091666666666,75.08616666666674,65.53216666666665
7/31/2007,74.82,1456332,11948.71,5.9841,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,13243.1278,671.698,-0.7176,20.766,5.8578,4.7465,4.4807,553.4164,662.062,124.29,1.7439,0.0277,1.1424,2.6914,21.0689,76.0,74.82,76.02,71.33,204621.0,-50.163934426229545,7.689999999999998,0.8910722431137951,168.00416242922347,0.4191929659054323,-0.610955905729611,-0.9494353023994316,0.08872585333680845,-11.10885752923476,34865.40715522186,0.5,0.00025134909090793065,0.00895463000342872,69.07483333333326,72.76933333333344,65.38033333333335
8/31/2007,75.63,4075542,11948.71,6.0494,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,13392.9453,671.698,-0.7176,20.9927,5.8578,4.6952,4.4324,553.4164,662.062,124.29,1.7439,0.0274,1.1424,2.7208,21.296999999999997,75.12,75.63,79.47,74.47,31395.0,-43.993677555321426,0.7299999999999898,0.7456209278956648,-1.4491669017371616,0.3810176818821221,-1.017508069558147,6.9000167353547575,0.07461341157496615,-0.7661321275771384,-2632.3607659889058,0.5,7.435638583615291e-05,0.03754991459719895,76.60749999999993,82.86100000000006,70.35399999999998
9/28/2007,73.12,2667351,11948.71,5.8481,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,12931.2628,671.698,-0.7176,20.2942,5.8578,4.8568,4.5849,553.4164,662.062,124.29,1.7439,0.0283,1.1424,2.6303,20.5902,75.3,73.12,78.33,71.67,52221.0,-68.79999999999995,-3.8299999999999983,0.6444591350878881,-31.110456820104126,0.2301044165048553,0.5518374430109105,-3.4080257617677976,-0.07569779252073353,2.2495719630517383,19284.84094158127,0.5,-4.89632599164845e-05,-0.05122528222867659,75.08249999999992,79.32050000000007,70.84449999999997
10/31/2007,91.4,5387745,11948.71,7.3105,12.7748,12.7748,17.8603,16.5662,-21.0147,3.1567,37.5463,3.5512,12.5025,1.0,1.3981,62.4537,16558.1691,671.698,-0.7176,25.3689,5.8578,3.8853,3.6678,553.4164,662.062,124.29,1.7439,0.0223,1.1424,3.2880000000000003,25.7378,93.33,91.4,95.33,90.13,24801.0,-26.397966594045,19.620000000000005,0.6291821981090009,84.89040300057722,0.288515208298333,-4.688521472235095,18.056565446520626,0.3266803550760675,-1.0438019993608791,-5640.530204184272,0.5714285714285714,-8.115841203149776e-05,0.3593075971591453,82.06566666666662,89.67766666666674,74.45366666666662
