Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,105.47,44349147,269340.0346,2.3169,16.9186,16.9186,14.5915,20.4165,-24.0918,1.9384,34.6713,10.8159,45.5225,3.75,0.8625,65.3287,213107.8157,38064.5,-0.6497,6.2483,15.5614,10.255,13.4696,22553.9277,24390.5,8456.5,1.4024,0.0881,1.1972,1.6498,9.7514,106.88,105.47,106.88,104.27,1872288,-54.138398914518305,-1.3900000000000006,0.5992652274688183,39.389937050226266,0.3115225009702305,-1.8301082466955727,8.619744340066465,0.19029462319460733,-1.1968605958355814,-1948.2600144271273,0.5714285714285714,-1.0719951695748649e-07,0.1217591876461953,104.03249999999998,107.27649999999996,100.78849999999971
2/28/2007,106.09,40403961,269340.0346,2.3304,16.9186,16.9186,14.5915,20.4165,-24.0918,1.9384,34.6713,10.8159,45.5225,3.75,0.8625,65.3287,214503.1408,38064.5,-0.6497,6.285,15.5614,10.1952,13.390999999999998,22553.9277,24390.5,8456.5,1.4024,0.0876,1.1972,1.6595,9.8087,103.88,106.09,107.29,99.49,2587470,-61.493582263710564,-3.489999999999996,0.19506123444592785,-92.23938328885806,0.4018471533981017,-0.12697550082003772,4.576832234268803,0.016034708290100976,2.220433436502292,913705.058800432,0.5,-6.744362078350217e-07,0.02086878279981144,108.06499999999996,112.95749999999992,103.17249999999979
3/30/2007,99.21,24220763,223717.1308,1.8922,15.7472,15.7472,12.7956,30.9895,7.8287,1.6280000000000001,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,232973.0338,32440.3,0.2853,6.8963,13.9245,11.2221,11.7229,21558.8087,25105.8,8456.5,0.7231,0.1638,0.5553,1.4032,8.9113,99.24,99.21,102.3,98.1,907267,-68.06422836752904,0.9399999999999976,0.3542207612231824,-25.68012618724093,0.3097698218396768,1.0280304181210769,-5.741243227307074,-0.06910954172948611,1.3985275798113015,-115188.81043696676,0.42857142857142855,1.5286415443825536e-07,-0.05061195199356412,100.8236666666667,105.25366666666666,96.39366666666643
4/30/2007,111.15,35635902,223717.1308,2.12,15.7472,15.7472,12.7956,30.9895,7.8287,1.6280000000000001,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,259907.0376,32440.3,0.2853,7.7265,13.9245,10.0162,10.4632,21558.8087,25105.8,8456.5,0.7231,0.1462,0.5553,1.5722,9.9837,106.13,111.15,112.39,105.75,1439495,-17.095115681233903,2.7600000000000047,0.6524480353083142,57.9665934703546,0.2285974588265957,-1.3796602179948962,7.240211087983821,0.10700216951198364,-0.08493041070245566,181174.54568329785,0.5,1.3732450222382656e-07,0.0970160890312498,107.55450000000003,111.59599999999992,103.51299999999979
5/31/2007,114.51,41580528,223717.1308,2.184,15.7472,15.7472,12.7956,30.9895,7.8287,1.6280000000000001,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,267475.6195,32440.3,0.2853,7.9598,13.9245,9.7227,10.1565,21558.8087,25105.8,8456.5,0.7231,0.1419,0.5553,1.6196,10.2855,113.63,114.51,115.88,111.56,2853840,-13.135186960690234,10.260000000000003,0.7071855623068639,85.43805018139369,0.2907753167706705,-1.3952250369458454,3.3352101436038004,0.11061284395805396,-0.10947444201984824,255738.96316926915,0.7142857142857143,1.948448326511121e-06,0.031263416277445784,109.87200000000007,113.97249999999993,105.77149999999979
6/29/2007,116.36,35549814,223717.1308,2.2195,15.7472,15.7472,12.7956,30.9895,7.8287,1.6280000000000001,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,271661.595,32440.3,0.2853,8.0889,13.9245,9.5676,9.9945,21558.8087,25105.8,8456.5,0.7231,0.1396,0.5553,1.6459,10.4517,119.81,116.36,119.81,114.88,1093682,-44.49838187702266,-0.1700000000000017,0.8125726868207309,100.5451718811984,0.4508115927404986,-1.6849969630485333,4.054052166866793,0.11397287248867645,-1.6523870874212554,-134146.06787183034,0.5714285714285714,-1.2494243719956201e-08,0.0474983988151101,113.30866666666672,118.0691666666666,108.54816666666642
7/31/2007,126.84,29353330,223717.1308,2.4194,15.7472,15.7472,12.7956,30.9895,7.8287,1.6280000000000001,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,295297.5575,32440.3,0.2853,8.8175,13.9245,8.777000000000001,9.1687,21558.8087,25105.8,8456.5,0.7231,0.1281,0.5553,1.7941,11.3931,128.55,126.84,130.13,124.88,2566414,-29.57746478873237,10.060000000000002,0.8465501888731305,86.01394334220781,0.6317326974856373,-3.0526346187479305,10.71085074314932,0.2391897727040785,-2.0039666872999566,-156853.5863858157,0.8571428571428571,8.178624348126014e-07,0.14283345607953446,122.08700000000006,126.40349999999994,117.77049999999971
8/31/2007,116.21,28197426,223717.1308,2.2166,15.7472,15.7472,12.7956,30.9895,7.8287,1.6280000000000001,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,271323.3344,32440.3,0.2853,8.0785,13.9245,9.5799,10.0074,21558.8087,25105.8,8456.5,0.7231,0.1398,0.5553,1.6438,10.4382,118.13,116.21,118.13,115.13,1747995,-38.397965670692976,-1.0500000000000114,0.5551142746485571,-2.7058302670002705,0.2881720960096683,1.2309423034546114,-7.0165071396881755,-0.07221856882470909,1.2556347046912966,-455720.28928599524,0.5714285714285714,-5.235862351604416e-07,-0.1097747947892572,116.67800000000008,121.46999999999993,111.8859999999997
9/28/2007,142.13,54440506,223717.1308,2.7108,15.7472,15.7472,12.7956,30.9895,7.8287,1.6280000000000001,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,329757.9995,32440.3,0.2853,9.8797,13.9245,7.8333,8.1829,21558.8087,25105.8,8456.5,0.7231,0.1143,0.5553,2.0103,12.7664,142.86,142.13,145.58,141.04,2437681,-17.030303030303042,25.83999999999999,0.9405940162395664,114.1793606946044,0.6787293455118101,-6.246058025807941,12.841510213571803,0.3338390209135516,-6.613134094077298,-919938.6596144608,0.6428571428571429,3.813504713547253e-06,0.2617968919138625,125.107,130.8174999999999,119.39649999999969
10/31/2007,154.46,87980067,223717.1308,2.9462,15.7472,15.7472,12.7956,30.9895,7.8287,1.6280000000000001,25.2627,11.1331,52.4287,2.8125,0.8126,74.7373,357579.9495,32440.3,0.2853,10.7374,13.9245,7.2076,7.5293,21558.8087,25105.8,8456.5,0.7231,0.1052,0.5553,2.1848,13.8739,156.0,154.46,157.84,153.77,3559009,-28.420082911100874,4.030000000000001,0.4681135519866344,54.19745141184214,0.2257693654638912,-5.097398186421941,21.248443820139734,0.18616173628129465,1.6189825720000277,-760480.7235276786,0.5714285714285714,-6.535003639914459e-06,0.1892883199397127,150.06633333333338,160.26283333333333,139.86983333333302
